John.1.1 | Kezdetben volt az Ige, és az Ige Istennél volt, és az Ige Isten volt.
John.10.32 | "Felelt nekik Jézus: Sok jó cselekedetet mutattam nektek az Atyától; vajjon azok közül melyik miatt köveztek meg engem?"
John.10.33 | Feleltek neki a zsidók: Azért, ami jót tettél, nem kövezünk meg téged, hanem a káromlásért, hogy te ember létedre Istenné teszed magadat.
John.10.34 | Felelt nekik Jézus: Nincs-e megírva a ti törvényetekben: Én mondtam: istenek vagytok?
John.10.35 | Ha isteneknek mondta azokat, akikhez az Isten szólt — és az Írást nem lehet semmibe venni —
John.10.36 | akkor ti arról, akit az Atya megszentelt és elküldött a világba, azt mondjátok: Káromlást szólsz, — mivel azt mondtam: az Isten Fia vagyok?!
John.10.37 | "Ha nem cselekszem az én Atyám cselekedeteit, ne higgyetek nekem;"
John.10.38 | ha azonban cselekszem, ha nekem nem hisztek is, higgyetek a cselekedeteknek, hogy megtudjátok és elhiggyétek, hogy az Atya énbennem van és én az Atyában vagyok.
John.10.39 | Ismét meg akarták őt fogni, de ő átment közöttük.
John.10.40 | És újra elment a Jordánontúl arra a helyre, ahol János először keresztelt, és ott maradt.
John.10.41 | És sokan mentek hozzá és mondták: János nem tett ugyan semmi csodát, de mindaz, amit János róla mondott, igaz volt.
John.10.42 | És sokan hittek őbenne.

John.11.1 | Volt pedig egy beteg, Lázár, Betániából, Máriának és testvérének, Mártának falujából.
John.11.2 | Az a Mária volt pedig ez, aki megkente az Urat kenettel és hajával törölte meg a lábát: ennek a testvére, Lázár volt beteg.
John.11.3 | Elküldtek azért a nőtestvérek hozzá ezzel az üzenettel: Uram, íme akit te szeretsz, beteg.
John.11.4 | Mikor pedig Jézus ezt hallotta, így szólt: Ez a betegség nem halálos, hanem az Isten dicsőségére való, hogy megdicsőíttessék általa az Isten Fia.
John.11.5 | Jézus pedig kedvelte Mártát és az ő nőtestvérét és Lázárt.
John.11.6 | Mikor azért meghallotta, hogy beteg, akkor két napig maradt azon a helyen, ahol volt.
John.11.7 | De azután azt mondta tanítványainak: Menjünk ismét Júdeába.
John.11.8 | "Szóltak neki ""a tanítványok: Mester, most akartak a zsidók megkövezni és újra odamégy?"
John.11.9 | Felelt Jézus: vajjon nem tizenkét órája van-e a napnak? Ha valaki nappal jár, nem botlik meg, mert látja a világ világosságát,
John.11.10 | de ha valaki éjjel jár, megbotlik, mert nincsen annak világossága.
John.11.11 | "Ezeket mondta s azután így szólt nekik: Lázár, a mi barátunk elaludt; de elmegyek, hogy felköltsem."
John.11.12 | Szóltak azért a tanítványai: Uram, ha elaludt, meggyógyul.
John.11.13 | "Pedig Jézus annak a haláláról beszélt; de ők azt hitték, hogy pihentető álomról szól."
John.11.14 | Akkor azért nyíltan megmondta nekik Jézus: Lázár meghalt.
John.11.15 | És örülök, hogy nem voltam ott, tiérettetek, hogy higgyetek. De menjünk el hozzá!
John.11.16 | Tamás, akit Ikernek mondanak, azért így szólt a tanítványtársaihoz: Menjünk el mi is, hogy vele haljunk meg.
John.11.17 | Mikor azért Jézus odaért, úgy találta, hogy az már négy napja a sírban van.
John.11.18 | Betánia pedig közel volt Jeruzsálemhez, mint-egy tizenöt futamatnyira,
John.11.19 | És a zsidók közül sokan mentek Mártához és Máriádhoz, hogy vigasztalják őket a testvérük miatt.
John.11.20 | "Amint Márta hallotta, hogy Jézus jön, eléje ment; Mária pedig otthon ült."
John.11.21 | Márta ekkor így szólt Jézusnak: Uram, ha itt lettél volna, nem halt volna meg a testvérem.
John.11.22 | De most is tudom, hogy amit csak kérsz az Istentől, megadja neked az Isten.
John.11.23 | Szólt neki Jézus: Feltámad a te testvéred.
John.11.24 | Márta ezt mondta neki: Tudom, hogy feltámad a feltámadáskor, az utolsó napon.
John.11.25 | "Szólt neki Jézus: Én vagyok a feltámadás és az élet: aki hisz énbennem, ha meghal is él;"
John.11.26 | és mindenki aki él és hisz énbennem, soha meg nem hal. Hiszed-é ezt?
John.11.27 | "Szólott neki: Hiszem, Uram; én hiszem, hogy te vagy a Krisztus, az Isten Fia, akinek el kell jönnie e világra."
John.11.28 | És amint ezeket mondta, elment és titkon szólította a testvérét, Máriát: A Mester itt van és hív téged.
John.11.29 | Mihelyt ezt Mária meghallotta, hamar felkelt és odament hozzá.
John.11.30 | Jézus pedig még nem ért be a faluba, hanem azon a helyen volt, ahová Márta eléje ment.
John.11.31 | A zsidók azért, akik otthon vele voltak és vigasztalták, látva, hogy Mária hamar felkelt és kiment, utána mentek, mert azt gondolták: A sírhoz megy, hogy ott sírjon.
John.11.32 | Mária tehát, amint odaért, ahol Jézus volt, meglátva őt, leborult a lába elé és így szólt hozzá: Uram, ha itt lettél volna, nem halt volna meg a testvérem.
John.11.33 | Jézus azért, amint látta, hogy sír és sírnak a vele jött zsidók is, felindult lelkében és igen megrendült,
John.11.34 | és azt mondta: Hova helyeztétek őt? Szóltak neki: Uram, jer és lásd meg!
John.11.35 | Jézus könnyezett.
John.11.36 | Így szóltak azért a zsidók: Íme, mennyire szerette őt.
John.11.37 | Némelyek pedig ezt mondták közülük: Ez, aki a vak szemét megnyitotta, nem tehette volna-e meg, hogy ez meg ne haljon?
John.11.38 | Jézus pedig újra felindulva magában, odament a sírhoz. Az pedig egy üreg volt és kő feküdt rajta.
John.11.39 | Szólt Jézus: Vegyétek el a követ. A halott nőtestvére, Márta, azt mondta neki: Uram, már szaga van, hiszen negyednapos.
John.11.40 | Szólt neki Jézus: Nem megmondtam-e neked, hogy ha hiszel, meglátod majd az Isten dicsőségét?
John.11.41 | Elvették azért a követ onnan. Jézus pedig felemelte szemeit az égre és így szóit: Atyám, hálát adok neked, hogy meghallgattál. (A 41. vers első mondata egyes kéziratokban így hangzik: Elvették azért a követ onnan, ahol a megholt feküdt.)
John.11.42 | "Én jól tudtam, hogy te mindenkor meghallgatsz engem; csak a körülálló sokaságért mondtam, hogy elhiggyék, hogy te küldtél engem."
John.11.43 | És mikor ezeket mondta, hangosan kiáltott: Lázár, jöjj ki!
John.11.44 | És kijött a halott, kezén-lábán pólyákkal megkötözve és arca kendővel leborítva. Szólt nekik Jézus: Oldozzátok fel, hadd menjen el.
John.11.45 | Sokan ama zsidók közül, akik Máriához mentek és látták, amiket cselekedett, hittek benne.
John.11.46 | De némelyek közülük elmentek a farizeusokhoz és elbeszélték nekik, amiket Jézus cselekedett.
John.11.47 | Összegyűjtötték azért a papi fejedelmek és a farizeusok a tanácsot és szóltak: Mit tegyünk? mert ez az ember sok csodát művel.
John.11.48 | Ha így hagyjuk őt, mindenki hinni fog benne, és eljönnek majd a rómaiak és elveszik tőlünk mind e helyet, mind e népet.
John.11.49 | Ám egyikük, Kajafás, aki abban az esztendőben főpap volt, azt mondta nekik: Ti semmit sem tudtok,
John.11.50 | és azt sem veszitek fontolóra: jobb nektek, hogy egy ember haljon meg a népért, mintsem hogy az egész nép elvesszen.
John.11.51 | "Ezt pedig nem magától mondta, hanem mivel abban az esztendőben főpap volt, megjövendölte, hogy Jézus meg fog halni a népért;"
John.11.52 | de nemcsak a népért, hanem azért is, hogy összegyűjtse Isten elszéledt gyermekeit.
John.11.53 | Attól a naptól fogva azért azon tanakodtak, hogy őt megöljék.
John.11.54 | Ezért Jézus nem járt nyilvánosan a zsidók között, hanem elment onnan a vidékre, a pusztához közel, egy Efraim nevű városba, és ott tartózkodott tanítványaival.
John.11.55 | Közel volt pedig a zsidók húsvétja, és sokan mentek fel Jeruzsálembe a vidékről húsvét előtt, hogy megtisztuljanak.
John.11.56 | Keresték azért Jézust és így szóltak egymás között a templomban állva: Mit gondoltok: nem jön fel az ünnepre?
John.11.57 | A papi fejedelmek pedig és a farizeusok parancsot adtak, hogy ha valaki megtudja, hol van, jelentse, hogy elfoghassák őt.

John.12.1 | Jézus azért hat nappal a húsvét előtt Betániába ment, ahol Lázár lakott, akit feltámasztott a halottak közül.
John.12.2 | "Vacsorát készítettek tehát ott neki és Márta szolgált fel; Lázár pedig azok között volt, akik vele együtt telepedtek asztalhoz."
John.12.3 | Ekkor Mária elővett egy font igazi nárdusból való drága kenetet, megkente Jézus lábait és megtörölte hajával. És a ház megtelt a kenet illatával.
John.12.4 | Szólt azért egyik tanítványa, Iskáriótes Júdás, aki később elárulta őt:
John.12.5 | Miért nem adták el ezt a kenetet háromszáz dénárért, és miért nem adták a szegényeknek?
John.12.6 | Ezt pedig nem azért mondta, mintha a szegényekre lett volna gondja, hanem mivel tolvaj volt s az erszény nála állott és amit abba raktak, ellopkodta.
John.12.7 | "Jézus azért így szólt. Hagyd őt; az én temetésem idejére tartogatta ezt."
John.12.8 | Mert szegények mindenkor vannak veletek, én pedig nem mindenkor vagyok.
John.12.9 | A zsidók közül tehát nagy sokaság értesült arról, hogy ő ott van, és eljöttek nemcsak Jézusért, hanem azért is, hogy Lázárt is lássák, akit feltámasztott a halottak közül.
John.12.10 | A papi fejedelmek pedig arról tanácskoztak, hogy Lázárt is megöljék,
John.12.11 | mivel a zsidók közül sokan miatta mentek oda és hittek Jézusban.
John.12.12 | "Másnap a nagy sokaság, amely az ünnepre jött, hallva, hogy Jézus Jeruzsálembe jön,"""
John.12.13 | pálmaágakat vett, kiment eléje és így kiáltott: Hozsánna! Áldott, aki jön az Úrnak nevében, Izraelnek a Királya!
John.12.14 | Talált pedig Jézus egy szamarat, és arra ült fel, amint meg van írva:
John.12.15 | "Ne félj, Sionnak leánya; íme jön a te Királyod, szamárcsikón ülve."
John.12.16 | Ezeket a tanítványai eleinte nem értették, de mikor Jézus megdicsőült, akkor visszaemlékeztek, hogy ezek felőle írattak meg és hogy ezeket cselekedték vele.
John.12.17 | Bizonyságot tett pedig a sokaság, amely vele volt, mikor kihívta Lázárt a sírból és feltámasztotta a halottak közül.
John.12.18 | Azért is ment eléje a sokaság, mivel hallotta, hogy ezt a csodát tette.
John.12.19 | A farizeusok akkor így szóltak egymás között: Látjátok, hogy semmire sem mentek? Íme, a világ elindult utána.
John.12.20 | Néhány görög is volt azok között, akik felmentek, hogy imádkozzanak az ünnepen.
John.12.21 | Ezek tehát odamentek a galileai Betsaidából való Fülöphöz és kérték őt: Uram, Jézust akarjuk látni.
John.12.22 | Fülöp elment és szólt Andrásnak, András és Fülöp elment és szólt Jézusnak.
John.12.23 | Jézus pedig így felelt nekik: Eljött az óra, hogy megdicsőíttessék az Ember Fia.
John.12.24 | "Bizony, bizony mondom nektek: ha a búzaszem a földbe nem esik és el nem hal, csak egymaga marad; de ha elhal, sok gyümölcsöt terem."
John.12.25 | "Aki szereti a maga életét, elveszíti azt; és aki gyűlöli a maga életét ezen a világon, örök életre őrzi meg azt."
John.12.26 | "Ha valaki nekem szolgál, engem kövessen; és ahol én vagyok, ott lesz az én szolgám is; és ha valaki nekem szolgál, megbecsüli őt az Atya,"
John.12.27 | "Most az én lelkem nyugtalan; és mit mondjak? Atyám, ments meg engem ettől az órától! De hiszen ezért jutottam erre az órára."
John.12.28 | Atyám, dicsőítsd meg a te nevedet! Ekkor hang hallatszott az égből: Meg is dicsőítettem és újra megdicsőítem.
John.12.29 | "A sokaság azért, amely ott állott és hallotta, azt mondta, hogy mennydörgött; mások azt állították, hogy angyal szólt neki."
John.12.30 | Felelt Jézus és azt mondta: Nem énérettem lett ez az égi hang, hanem tiérettetek.
John.12.31 | "Most van e világ megítéltetése; most vettetik ki e világ fejedelme."
John.12.32 | És én, ha felemeltetem a földről, magamhoz vonzok mindeneket.
John.12.33 | Ezt pedig azért mondta, hogy jelentse, milyen halállal kell meghalnia.
John.12.34 | A sokaság pedig így felelt neki: Mi azt hallottuk a törvényből, hogy a Krisztus örökké megmarad. Hogyan mondod te, hogy az Ember Fiának fel kell emeltetnie? Kicsoda ez az Ember Fia?
John.12.35 | "Szólt azért nekik Jézus: Még egy kevés ideig veletek van a világosság. Járjatok, amíg a világosság veletek van, hogy a sötétség meg ne lepjen titeket; mert aki a sötétségben jár, nem tudja, hová megy."
John.12.36 | Amíg a világosság veletek van, higgyetek a világosságban, hogy a világosság fiai legyetek. Ezeket mondta Jézus és elmenve, elrejtőzött előlük.
John.12.37 | És noha annyi jelt cselekedett előttük, mégsem hittek benne,
John.12.38 | hogy beteljesedjék Ésaiás próféta beszéde, amelyet mondott: Uram, ki hitt a mi tanításunknak, és az Úrnak karja kinek jelentetett meg?
John.12.39 | Azért nem tudtak hinni, mert Ésaiás ismét megmondta:
John.12.40 | Megvakította szemüket és megkeményítette szívüket, hogy szemükkel ne lássanak és szívükkel ne értsenek és meg ne térjenek és meg ne gyógyítsam őket.
John.12.41 | Ezeket mondta Ésaiás, mert látta az ő dicsőségét és szólt ő felőle.
John.12.42 | Mindazáltal a főemberek közül is sokan hittek benne, de a farizeusok miatt nem vallották meg, hogy ki ne zárják őket a zsinagógából.
John.12.43 | Mert jobban szerették az emberektől nyert dicsőséget, mint az Istentől nyert dicsőséget.
John.12.44 | Jézus pedig kiáltott és ezt mondta: Aki hisz énbennem, nem énbennem hisz, hanem abban, aki elküldött engem.
John.12.45 | És aki engem lát, azt látja, aki elküldött engem.
John.12.46 | Én világosságul jöttem e világra, hogy senki se maradjon a sötétségben, aki énbennem hisz.
John.12.47 | És ha valaki hallja az én beszédeimet, de nem tartja meg, nem én ítélem el azt, mert nem azért jöttem, hogy elítéljem a világot, hanem hogy megtartsam a világot.
John.12.48 | Aki elvet engem és nem fogadja el az én beszédeimet, van annak, aki elítélje: a beszéd, amelyet szóltam, az ítéli el őt az utolsó napon.
John.12.49 | Mert én nem magamtól szóltam, hanem az Atya, aki elküldött engem, ő parancsolta nekem, hogy mit mondjak és mit beszéljek.
John.12.50 | És tudom, hogy az ő parancsolata örök élet. Amiket tehát én beszélek, úgy beszélem, amint az Atya mondta nekem.

John.13.1 | "A húsvét ünnepe előtt pedig Jézus tudta, hogy eljött az ő órája, hogy átmenjen e világból az Atyához; ezért ő, aki szerette övéit e világban, mindvégig szerette őket."
John.13.2 | És vacsora közben, mikor az ördög már belesugallta Iskáriótes Júdásnak, Simon fiának szívébe, hogy árulja el őt,
John.13.3 | tudva, hogy az Atya mindent az ő kezébe adott, és hogy ő az Istentől jött és az Istenhez megy,
John.13.4 | felkelt a vacsorától, levetette a felső ruháját és kendővel körülkötötte magát.
John.13.5 | Azután vizet töltött a mosdótálba és elkezdte mosni a tanítványok lábát és megtörölni a kendővel, amellyel magát körülkötötte.
John.13.6 | Mikor azért Simon Péterhez ért, az így szólt neki: Uram, te mosod meg az én lábamat?
John.13.7 | Jézus azt felelte neki: Amit én cselekszem, azt te most nem érted, de később majd megérted.
John.13.8 | "Szólt neki Péter: Az én lábamat ugyan nem mosod meg soha! Jézus így felelt neki; Ha meg nem moslak téged, semmi közöd sincs hozzám."
John.13.9 | Szólt neki Simon Péter: Uram, ne-csak a lábamat, hanem a kezemet és fejemet is!
John.13.10 | Jézus azt mondta neki: Aki megfürdött, annak nincs szüksége másra, csak hogy a lábát mossa meg, különben egészen tiszta. Ti is tiszták vagytok, de nem mindnyájan.
John.13.11 | "Tudta ugyanis, hogy ki árulja el őt; azért mondta: Nem vagy tok mindnyájan tiszták."
John.13.12 | Mikor azért lábukat megmosta és felső ruháját felvette, újra letelepedett és így szólt hozzájuk: Értitek, hogy mit cselekedtem veletek?
John.13.13 | Ti engem így hívtok: Mester! és: Uram! és jól mondjátok, mert az vagyok.
John.13.14 | Azért, ha én, az Úr és a Mester megmostam a ti lábatokat, nektek is meg kell mosnotok egymás lábát.
John.13.15 | Mert. példát adtam nektek, hogy amint én cselekedtem veletek, ti is úgy cselekedjetek.
John.13.16 | Bizony, bizony mondom nektek: a szolga nem nagyobb az ő uránál, sem a követ nem nagyobb az ő küldőjénél.
John.13.17 | Ha tudjátok ezeket, boldogok lesztek, ha cselekszitek ezeket.
John.13.18 | "Nem mindnyájatokról szólok; én tudom, kiket választottam ki; de kell, hogy beteljesedjék az írás: Aki az én kenyeremet eszi, az emelte fel a sarkát ellenem."
John.13.19 | Már most megmondom nektek, mielőtt meglenne, hogy mikor meglesz, higgyétek majd, hogy én vagyok.
John.13.20 | "Bizony, bizony mondom nektek: aki befogadja azt, akit én küldök, engem fogad be; aki pedig engem befogad, azt fogadja be, aki engem küldött."
John.13.21 | Mikor ezeket mondta Jézus, igen megrendült lelkében és bizonyságot tett és ezt mondta: Bizony, bizony mondom nektek, hogy közületek egy elárul engem.
John.13.22 | A tanítványok ekkor egymásra néztek és tanácstalanok voltak, hogy kiről mondta.
John.13.23 | Egyik tanítványa pedig, akit Jézus szeretett, Jézus kebelén pihent.
John.13.24 | Ennek intett azért Simon Péter és így szólt hozzá: Mondd, ki az, akiről beszél?
John.13.25 | Az pedig Jézus kebelére hajolva, ezt mondta neki: Uram, ki az?
John.13.26 | Felelt Jézus: Az, akinek én a falatot bemártom és odaadom. És bemártva a falatot, vette és Iskáriótes Júdásnak, Simon fiának adta.
John.13.27 | És a falat után akkor bement abba a Sátán. Jézus azért ezt mondta neki: Amit akarsz cselekedni, hamar cselekedd.
John.13.28 | De az ott ülők közül senki sem értette, hogy ezt miért mondta neki.
John.13.29 | Némelyek ugyanis azt gondolták, hogy mivel az erszény Júdásnál volt, azt mondta neki Jézus: Vedd meg, amire szükségünk van az ünnepre, — vagy hogy a szegényeknek adjon valamit.
John.13.30 | Az pedig, mihelyt a falatot elvette, tüstént kiment És éjtszaka volt.
John.13.31 | "Mikor azért kiment, így szólt Jézus: Most dicsőíttetett meg az Ember Fia; Isten is megdicsőíttetett őbenne."
John.13.32 | Ha pedig az Isten megdicsőíttetett őbenne, az Isten is megdicsőíti majd őt magában, sőt mindjárt megdicsőíti őt.
John.13.33 | Gyermekeim, egy kevés ideig még veletek vagyok. Kerestek majd engem, de, amint a zsidóknak mondtam, most nektek is mondom: Ahová én megyek, oda ti nem jöhettek. —
John.13.34 | "Új parancsolatot adok nektek, hogy egymást szeressétek; amint én szerettelek titeket, ti is úgy szeressétek egymást."
John.13.35 | Arról ismeri meg mindenki, hogy az én tanítványaim vagytok, ha egymást szeretitek.
John.13.36 | "Szólt neki Simon Péter: Uram, hová mégy? Felelt neki Jézus: Ahová én megyek, oda te most nem követhetsz engem; később azonban követni fogsz."
John.13.37 | Péter azt mondta neki: Uram, miért nem követhetlek most? Az életemet adom érted!
John.13.38 | Felelt neki Jézus: Az életedet adod értem? Bizony, bizony mondom neked, nem szól addig a kakas, amíg háromszor meg nem tagadsz engem.

John.14.1 | "Ne nyugtalankodjék a ti szívetek; higgyetek Istenben és higgyetek énbennem."
John.14.2 | "Az én Atyám házában sok hajlék van; ha nem így volna, megmondtam volna nektek. Elmegyek, hogy helyet készítsek nektek."
John.14.3 | És ha majd elmegyek és helyet készítek nektek, ismét eljövök én magamhoz veszlek titeket, hogy ahol én vagyok, ti is ott legyetek.
John.14.4 | "És hogy hová megyek, tudjátok; az utat is tudjátok."
John.14.5 | Szólt neki Tamás: Uram, nem tudjuk, hová mégy. Hogyan tudhatjuk azért az utat?
John.14.6 | Jézus azt mondta neki: Én vagyok az út az igazság és az élet. Senki sem mehet az Atyához, hanem csak én általam.
John.14.7 | Ha megismertetek volna engem, megismertétek volna az én Atyámat is. És mostantól fogva ismeritek őt és láttátok őt.
John.14.8 | Szólt neki Fülöp: Uram, mutasd meg nekünk az Atyát és ez elég nekünk!
John.14.9 | Szólt neki Jézus: Annyi idő óta veletek vagyok és mégsem ismertél meg engem, Fülöp? Aki engem látott, látta az Atyát. Hogyan mondod azért: Mutasd meg nekünk az Atyát?
John.14.10 | "Nem hiszed, hogy én az Atyában vagyok és az Atya énbennem van? A beszédeket, amelyeket én mondok nektek, nem magamtól mondom; az Atya pedig, aki énbennem lakik, cselekszi az ő cselekedeteit."
John.14.11 | "Higgyetek nekem, hogy én az Atyában vagyok és az Atya énbennem van; ha pedig nem, magukért a cselekedetekért higgyetek nekem."
John.14.12 | "Bizony, bizony mondom nektek: aki hisz énbennem, az is cselekszi majd azokat a cselekedeteket, amelyeket én cselekszem; és nagyobbakat is cselekszik azoknál; mert én az Atyához megyek."
John.14.13 | És akármit kértek majd az én nevemben, megcselekszem azt, hogy dicsőíttessék az Atya a Fiúban.
John.14.14 | Ha valamit kértek az én nevemben, én megcselekszem azt.
John.14.15 | Ha szerettek engem, tartsátok meg a parancsolataimat.
John.14.16 | És én kérem az Atyát és más Vigasztalót ad majd nektek, hogy veletek maradjon mindörökké:
John.14.17 | "az igazságnak a Lelkét, akit a világ be nem fogadhat, mert nem látja és nem ismeri őt; de ti ismeritek, mert nálatok marad és bennetek lesz."
John.14.18 | "Nem hagylak titeket árvákul; eljövök hozzátok."
John.14.19 | "Még egy kevés idő és a világ nem lát engem többé; de ti megláttok engem: mert én élek és ti is élni fogtok,"
John.14.20 | Azon a napon megtudjátok majd, hogy én az én Atyámban vagyok és ti énbennem és én tibennetek.
John.14.21 | "Aki tudja az én parancsolataimat és megtartja azokat, az szeret engem; aki pedig engem szeret, azt szereti az én Atyám; én is szeretni fogom azt és kijelentem magamat neki."
John.14.22 | Szólt neki Júdás, — nem az Iskáriótes —: Uram, hogyan van az, hogy nekünk akarod kijelenteni magadat és nem a világnak?
John.14.23 | És Jézus így felelt neki: Ha valaki szeret engem, az én beszédemet megtartja és az én Atyám szeretni fogja őt, és hozzá megyünk és nála otthonunk lesz.
John.14.24 | Aki nem szeret engem, nem tartja meg az én beszédeimet. És az a beszéd, amelyet hallotok, nem az enyém, hanem az Atyáé, aki elküldött engem.
John.14.25 | Ezeket beszéltem nektek, amíg veletek voltam.
John.14.26 | "A Vigasztaló pedig, a Szentlélek, akit az én nevemben küld az Atya; ez mindenre megtanít majd titeket és eszetekbe juttatja mindazt, amit mondtam nektek."
John.14.27 | "Békességet hagyok nektek; az én békességemet adom nektek; nem úgy adom én nektek, amint a világ adja. Ne nyugtalankodjék a ti szívetek és ne féljen."
John.14.28 | Hallottátok, hogy én azt mondtam nektek: elmegyek és eljövök hozzátok. Ha szeretnétek engem, örvendeznétek, hogy elmegyek az Atyához, — mert az én Atyám nagyobb énnálam.
John.14.29 | És ezt most mondtam meg nektek, mi előtt meglenne, hogy amikor majd meglesz, higgyetek.
John.14.30 | "Nem sokat beszélek már veletek, mert jön a világ fejedelme; de én felettem nincsen semmi hatalma,"
John.14.31 | Hogy azonban megtudja a világ, hogy én szeretem az Atyát és úgy cselekszem, amint az én Atyám parancsolta nekem: keljetek fel, menjünk el innen

John.15.1 | Én vagyok az igazi szőlőtő és az én Atyám a szőlőműves.
John.15.2 | "Minden szőlővesszőt, amely bennem gyümölcsöt nem terem, lemetsz; mindazt pedig, amely gyümölcsöt terem, megtisztítja, hogy több gyümölcsöt teremjen."
John.15.3 | Ti már tiszták vagytok a beszéd által, amelyet hirdettem nektek.
John.15.4 | Maradjatok énbennem és én tibennetek. Amint a szőlővessző nem teremhet gyümölcsöt magától, csak ha a szőlőtőkén marad, úgy ti sem, csak ha énbennem maradtok.
John.15.5 | "Én vagyok a szőlőtő, ti a szőlővesszők: aki énbennem marad, én pedig őbenne, az terem sok gyümölcsöt; mert nálam nélkül semmit sem cselekedhettek."
John.15.6 | "Ha valaki nem marad bennem, kivettetik, mint a szőlővessző és megszárad; és ezeket összegyűjtik és tűzre vetik és megégnek."
John.15.7 | Ha bennem maradtok és az én beszédeim bennetek maradnak, kérjetek, amit csak akartok, és meglesz nektek.
John.15.8 | Abban dicsőíttetik meg az én Atyám, hogy ti sok gyümölcsöt teremtek és az én tanítványaim lesztek.
John.15.9 | Amint az Atya szeretett engem, én is úgy szerettelek titeket: maradjatok meg ebben az én szeretetemben.
John.15.10 | "Ha az én parancsolataimat megtartjátok, megmaradtok az én szeretetemben; amint én megtartottam az én Atyám parancsolatait és megmaradok az ő szeretetében."
John.15.11 | Ezeket mondtam nektek, hogy megmaradjon bennetek az én örömem és a ti örömetek teljes legyen.
John.15.12 | Ez az én parancsolatom, hogy úgy szeressétek egymást, amint én szerettelek titeket.
John.15.13 | Nincs senkiben nagyobb szeretet annál, mint ha valaki életét adja az ő barátaiért
John.15.14 | Ti az én barátaim vagytok, ha azokat cselekszitek, amiket én parancsolok nektek.
John.15.15 | Nem mondottalak többé titeket szolgáknak, mert a szolga nem tuja, mit cselekszik az ő ura, hanem barátaimnak mondalak, mert mindazt, amit az Atyámtól halottam, tudtul adtam nektek.
John.15.16 | Nem ti választottatok engem, hanem én választottalak és rendeltelek titeket, hogy elmenjetek és gyümölcsöt teremjetek, és a ti gyümölcsötök megmaradjon: hogy akármit kértek az Atyától az én nevemben, megadja nektek.
John.15.17 | Ezeket parancsolom nektek, hogy egymást szeressétek.
John.15.18 | Ha gyűlöl titeket a világ, tudjátok meg, hogy engem előbb gyűlölt, mint titeket.
John.15.19 | "Ha e világból valók volnátok, a világ szeretné azt, ami az övé; de mivel nem vagytok e világból, hanem én választottalak ki magamnak e világból, azért gyűlöl titeket a világ."
John.15.20 | Emlékezzetek meg arról a beszédről, amelyet én mondtam nektek: Nem nagyobb a szolga az uránál. Ha engem üldöztek, titeket is üldöznek majd: ha az én beszédemet megtartották, a tiéteket is megtartják majd.
John.15.21 | De mindezt az én nevemért cselekszik veletek, mivel nem ismerik azt, aki küldött engem.
John.15.22 | Ha nem jöttem volna és nem beszéltem volna nekik, nem volna bűnük, de most nincsen mivel menteniük a bűnüket.
John.15.23 | Aki engem gyűlöl, gyűlöli az én Atyámat is.
John.15.24 | "Ha nem cselekedtem volna közöttük ama cselekedeteket, amelyeket senki más nem cselekedett, nem volna bűnük; de most láttak is, gyűlöltek is, mind engem, mind az én Atyámat."
John.15.25 | De szükséges, hogy beteljesedjék a mondás, amely megíratott az ő törvényükben: Ok nélkül gyűlöltek engem.
John.15.26 | Mikor majd eljön a Vigasztaló, akit én küldök nektek az Atyától, az igazság Lelke, aki az Atyától származik, az tesz majd rólam bizonyságot.
John.15.27 | De ti is bizonyságot tesztek, mert kezdettől fogva velem vagytok.

John.16.1 | Ezeket beszéltem nektek, hogy megóvjalak titeket az eleséstől.
John.16.2 | "A gyülekezetekből majd kizárnak titeket; sőt jön idő, hogy aki megöl titeket, mind azt hiszi, hogy ezzel Istennek szolgál."
John.16.3 | És ezeket azért cselekszik veletek, mert nem ismerték meg az Atyát, sem engem.
John.16.4 | Ezeket pedig azért beszéltem nektek, hogy mikor eljön mindezeknek az ideje, emlékezzetek meg róluk, hogy én megmondtam nektek. De kezdettől fogva nem mondtam ezeket nektek, mert veletek voltam.
John.16.5 | "Most azonban elmegyek ahhoz, aki küldött engem; és senki sem kérdezi tőlem közületek: Hová mégy?"
John.16.6 | Hanem mivel ezeket beszéltem nektek, a szomorúság eltöltötte a szíveteket.
John.16.7 | "De én az igazságot mondom nektek:. Jobb nektek, hogy én elmenjek, mert ha én nem megyek el, nem jön el hozzátok a Vigasztaló; ha pedig elmegyek, elküldöm őt hozzátok."
John.16.8 | És ha eljön, meggyőzi a világot bűn, igazság és ítélet tekintetében:
John.16.9 | "bűn tekintetében, hogy nem hisznek énbennem;"
John.16.10 | "igazság tekintetében, hogy én az Atyához megyek és többé nem láttok engem;"
John.16.11 | ítélet tekintetében, hogy e világ fejedelme megítéltetett.
John.16.12 | Még sok mondanivalóm van hozzátok, de most nem hordozhatjátok el.
John.16.13 | Ám mikor eljön ő, az igazság Lelke, ő majd elvezet titeket minden igazságra. Mert nem magától szól, hanem azokat mondja, amiket hall és a bekövetkezendőket jelenti ki nektek.
John.16.14 | Ő majd dicsőít engem, mert az enyémből vesz és kijelenti nektek.
John.16.15 | Mindaz, ami az Atyáé, az enyém: azért mondtam, hogy az enyémből veszi és jelenti ki nektek.
John.16.16 | "Egy kevés idő és nem láttok engem; és ismét egy kevés idő és megláttok engem."
