Mark.1.1 | Jézus Krisztusról, az Isten Fiáról szóló evangéliom kezdete.
Mark.11.18 | És meghallották ezt a papi fejedelmek és írástudók, és tanakodtak, hogyan pusztítsák el őt, féltek ugyanis tőle, mivel az egész sokaságot fogva tartotta az ő tanítása.
Mark.11.19 | És mikor beesteledett, kimentek a városból.
Mark.11.20 | Korán reggel pedig, mikor a fügefa mellett elmentek, láttak, hogy az gyökerestül kiszáradt.
Mark.11.21 | És Péter visszaemlékezett, és így szólt neki: Mester, nézd: a fügefa, amelyet megátkoztál, kiszáradt.
Mark.11.22 | És Jézus így válaszolt nekik: Legyen hitetek Istenben.
Mark.11.23 | Mert bizony mondom nektek: ha valaki azt mondja ennek a hegynek: Emelkedjél fel és vesd magadat a tengerbe és szívében nem kételkedik, hanem hiszi, hogy amit mond, megtörténik, annak meglesz, amit mond.
Mark.11.24 | Azért azt mondom nektek: Higgyétek, hogy mindazt, amiért imádkoztok és amit kértek, megkapjátok, és meglesz néktek.
Mark.11.25 | És mikor imádkozva megállotok, bocsássátok meg, ha valaki ellen valami panaszotok van, hogy a ti mennyei Atyátok is megbocsássa nektek a ti vétkeiteket.
Mark.11.26 | Ha pedig ti meg nem bocsátotok, a ti mennyei Atyátok sem bocsátja meg nektek a ti vétkeiteket.
Mark.11.27 | És ismét Jeruzsálembe mentek. Mikor pedig a templomban körüljárt, odamentek hozzá a papi fejedelmek, az írástudók és a vének,
Mark.11.28 | és így szóltak neki: Milyen hatalommal cselekszed ezeket? Vagy ki adta neked ezt a hatalmat, hogy ezeket cselekedd?
Mark.11.29 | Jézus viszont így szólt hozzájok: Én csak egyet kérdezek tőletek, és ti feleljetek meg nekem. Akkor én is megmondom nektek, milyen hatalommal cselekszem ezeket.
Mark.11.30 | János keresztsége mennyből volt-e vagy emberektől? Feleljetek nekem.
Mark.11.31 | Azok pedig tanakodtak maguk között és ezt mondták: Ha azt mondjuk: Mennyből, — azt fogja mondani: Miért nem hittetek tehát neki?
Mark.11.32 | Vagy azt mondjuk: Emberektől? — féltek a néptől. Mert Jánosról mindenki azt tartotta, hogy valóban próféta volt.
Mark.11.33 | Ezért így feleltek Jézusnak: Nem tudjuk. Ekkor Jézus is ezt válaszolta nekik: Én sem mondom meg nektek, milyen hatalommal cselekszem ezeket.

Mark.12.1 | És kezdett nekik példázatokban beszélni: Egy ember szőlőt ültetett, körülötte kerítést húzott, borsajtót ásott benne és tornyot épített. Azután bérbeadta munkásoknak és elutazott.
Mark.12.2 | És a maga idejében szolgát küldött a munkásokhoz, hogy kapjon a munkásoktól a szőlő terméséből.
Mark.12.3 | De azok megragadták, megverték és üres kézzel küldték el.
Mark.12.4 | "És ismét küldött hozzájuk egy másik szolgát; ennek pedig betörték a fejét és gyalázatosan bántak vele."
Mark.12.5 | És ismét másikat küldött: ezt pedig megölték. És sok mást, akik közül némelyeket megvertek, némelyeket pedig megöltek.
Mark.12.6 | Végül csak egy maradt, a szeretett fia, utoljára őt küldte el hozzájuk, és ezt mondta: A fiamat meg fogják becsülni.
Mark.12.7 | Azok a munkások azonban ezt mondták maguk között: Ez az örökös! Jertek, öljük meg és mienk lesz az örökség!
Mark.12.8 | És megfogták, megölték és kivetették a szőlőn kívül.
Mark.12.9 | Mit cselekszik majd a szőlő ura? Eljön és elveszti a munkásokat és a szőlőt másoknak adja.
Mark.12.10 | Ezt az írást sem olvastátok: Amely követ az építők megvetettek, az lett a szegelet fejévé!?
Mark.12.11 | Az Úrtól lett ez és csodálatos a mi szemeink előtt.
Mark.12.12 | És igyekeztek őt elfogni, de féltek a sokaságtól. Tudták ugyanis, hogy a példázatot ellenük mondta. Azért ott hagyták őt és elmentek.
Mark.12.13 | Majd,néhány farizeust és Heródes-pártit küldtek hozzá, hogy beszédében fogják meg őt.
Mark.12.14 | Ezek pedig odamentek és így szóltak neki: Mester, tudjuk, hogy igaz vagy és nem vagy tekintettel senkire, mert nem nézel az emberek személyére, hanem helyesen tanítod az Isten útját. Szabad-e a császárnak adót fizetni vagy nem? Fizessünk vagy ne fizessünk?
Mark.12.15 | Ő pedig ismerte képmutatásukat, azért azt mondta nekik: Miért kísértetek engem? Hozzatok nekem egy dénárt, hadd lássam.
Mark.12.16 | Azok pedig vittek. És így szólt nekik: Kinek a képe ez és kié a felírás? Ők így feleltek: A császáré.
Mark.12.17 | És Jézus azt válaszolta nekik: Adjátok meg, ami a császáré, a császárnak és ami az Istené, az Istennek. És elcsodálkoztak rajta.
Mark.12.18 | Majd szadduceusok jöttek hozzá, akik azt állítják, hogy nincs feltámadás. És megkérdezték tőle:
Mark.12.19 | Mester, Mózes úgy írta meg nekünk, hogy ha valakinek fiútestvére meghal, és özvegyet hagy hátra, de gyermeket nem hagy, akkor az özvegyét vegye el a fiútestvére és támasszon utódot az ő testvérének.
Mark.12.20 | Volt hét fiútestvér. És az első feleséget vett, de mikor meghalt, nem hagyott utódot.
Mark.12.21 | És a második elvette az asszonyt de meghalt és ő sem hagyott utódot. Hasonlóképen a harmadik is,
Mark.12.22 | és a hét közül egy sem hagyott utódot. Legutoljára meghalt az asszony is.
Mark.12.23 | A feltámadáskor, mikor majd feltámadnak, közülök melyiké lesz az asszony? Mert mind a hétnek a felesége volt.
Mark.12.24 | Jézus pedig így felelt nekik: vajjon nem azért tévelyegtek-e, mert nem ismeritek az Írásokat, sem az Isten hatalmát?
Mark.12.25 | Mert mikor a halálból feltámadnak, sem nem házasodnak, sem férjhez nem mennek, hanem olyanok lesznek, mint az angyalok a mennyekben.
Mark.12.26 | Arról pedig, hogy a halottak feltámadnak, nem olvastátok-e Mózes könyvében, a csipkebokorról szóló történetben mit mondott neki az Isten: Én vagyok Ábrahám Istene, Izsák Istene és Jákob Istene!?
Mark.12.27 | Az Isten nem holtaknak, hanem élőknek Istene. Ti tehát igen tévelyegtek.
Mark.12.28 | Akkor odament hozzá az egyik írástudó, aki hallotta a vitájukat és tudta, hogy jól megfelelt nekik, megkérdezte tőle: melyik az első az összes parancsolatok közül?
Mark.12.29 | Jézus pedig azt felelte neki: Az első ez: Halljad, Izrael, az Úr, a mi Istenünk, egy Úr.
Mark.12.30 | És: Szeresd az Urat, a te Istenedet teljes szívedből, teljes lelkedből, teljes elmédből és teljes erődből
Mark.12.31 | A második ez: Szeresd felebarátodat, mint tenmagadat. Más, ezeknél nagyobb parancsolat nincs.
Mark.12.32 | "Akkor így szólt neki az írástudó: Jól van, Mester; igazán mondtad, hogy egy Isten van és rajta kívül nincs más."
Mark.12.33 | És szeretni őt teljes szívből, teljes elméből és teljes erőből, és szeretni felebarátunkat, mint magunkat, többet ér minden égő- és véresáldozatnál.
Mark.12.34 | Jézus pedig látta, hogy értelmesen felelt, és azt mondta neki: Nem vagy messze az Isten országától. És többé senki sem merte őt megkérdezni.
Mark.12.35 | Amikor Jézus a templomban tanított, előhozta ezt a kérdést: Hogy mondhatják az írástudók, hogy a Krisztus a Dávid fia?
Mark.12.36 | Maga Dávid mondta a Szent Lélek által: Szólott az Úr az én Uramnak: Ülj az én jobbom felől, míg ellenségeidet lábad alá vetem.
Mark.12.37 | Magra Dávid Úrnak nevezi őt, akkor hogyan fia neki? És a nagy sokaság örömest hallgatta őt.
Mark.12.38 | Ő pedig tanításában ezt mondta: őrizkedjetek az írástudóktól, akik örömest járnak hosszú köntösökben és szeretik a piacokon való köszöntéseket,
Mark.12.39 | az első üléseket a zsinagógákban és a főhelyeket a lakomákon,
Mark.12.40 | akik az özvegyek házát felemésztik és színből hosszasan imádkoznak: ezek súlyosabb ítélet alá esnek
Mark.12.41 | Akkor leült Jézus a templompersellyel szemben és nézte, hogyan dobja a sokaság a pénzt a perselybe. Sok gazdag pedig sokat dobott abba.
Mark.12.42 | Egy szegény özvegyasszony is odament és beledobott két fillért, azaz a legkisebb pénzt.
Mark.12.43 | Akkor előszólítva tanítványait, azt mondta nekik: Bizony mondom nektek, hogy ez a, szegény Özvegyasszony többet dobott mindazoknál, akik a perselybe pénzt dobtak.
Mark.12.44 | Mert azok mindnyájan a feleslegükből dobtak, ez pedig az ő szegénységéből mindazt beledobta, amije csak volt az egész vagyonát.

Mark.13.1 | Miután pedig a templomból eltávozott, egyik tanítványa így szólt hozzá: Mester, nézd, milyen nagy kövek és milyen nagy épületek!
Mark.13.2 | Jézus pedig azt mondta neki: Látod ezeket a nagy épületeket? Nem marad kő kövön, amelyet szét ne hánynának.
Mark.13.3 | Mikor pedig az Olajfák hegyén ült, a templommal szemben, külön megkérdezte tőle Péter, Jakab, János és András:
Mark.13.4 | Mondd meg nekünk, mikor történik mindez, és mi lesz a jel, amikor mindez beteljesedik?
Mark.13.5 | Jézus pedig így kezdett beszólni hozzájuk: Vigyázzatok, hogy valaki tévedésbe ne ejtsen titeket.
Mark.13.6 | Mert sokan jönnek majd az én nevemben, és azt mondják, hogy én vagyok! és sokakat tévedésbe ejtenek majd.
Mark.13.7 | Mikor pedig majd háborúkról és háborús hírekről hallotok, ne rémüljetek meg. Ennek így kell lennie, de ez még nem a vég,
Mark.13.8 | Mert nemzet támad nemzet ellen és ország ország ellen, és földrengés, éhínség— és háborúság — lesz mindenfelé, csak a kínok kezdete. (A 8. versben gondolatjel közé tett szavak a legrégibb kéziratokban nincsenek meg.)
Mark.13.9 | Ti pedig vigyázzatok magatokra! Mert törvényszékeknek adnak át titeket és zsinagógákban vernek meg majd titeket, és helytartók meg királyok elé állítanak énérettem bizonyságul ellenük.
Mark.13.10 | De kell, hogy előbb hirdettessék az evangéliom minden nép között.
Mark.13.11 | Mikor pedig fogva visznek, hogy a törvényszéknek átadjanak titeket, ne okozzon nektek előre gondot az, hogy mit szóljatok, hanem ami adatik nektek abban az órában, azt mondjátok. Mert nem ti vagytok, akik szóltok, hanem a Szentlélek.
Mark.13.12 | Halálra adja pedig majd testvér a testvérét, atya a gyermekét és fellázadnak a gyermekek szüleik ellen és megöletik őket.
Mark.13.13 | És mindenki gyűlölni fog titeket az én nevem miatt. De aki mindvégig állhatatos, az megtartatik.
Mark.13.14 | "Mikor pedig látjátok, hogy a pusztító utálatosság ott áll, ahol nem kell, — aki olvassa, értse meg! - akkor, akik Júdeában vannak, fussanak a hegyekbe;"
Mark.13.15 | "aki a háztetőn van, ne szálljon le, be se menjen, hogy a házából valamit kivigyen;"
Mark.13.16 | és aki a mezőn van, haza ne térjen, hogy ruháját elvigye.
Mark.13.17 | Jaj pedig a terhes és szoptatós asszonyoknak azokban a napokban!
Mark.13.18 | Imádkozhatok pedig, hogy mindez ne télen legyen.
Mark.13.19 | Mert azok a napok olyan nyomorúságosak lesznek, amilyenek az Isten teremtette világ kezdete óta mind máig nem voltak és nem is lesznek.
Mark.13.20 | És ha az Úr meg nem rövidítette volna azokat a napokat, egyetlen ember sem menekülne meg, De a választottakért, akiket magának kiválasztott, megrövidítette azokat a napokat
Mark.13.21 | Ha valaki akkor ezt mondja nektek: Íme, itt a Krisztus! vagy: Íme, ott van! na higgyétek,
Mark.13.22 | Mert hamis krisztusok és hamis próféták támadnak, akik jeleket és csodákat tesznek hogy ha lehet, tévedésbe ejtsék a választottakat.
Mark.13.23 | Ti pedig vigyázzatok, előre megmondtam nektek mindent!
Mark.13.24 | De azokban a napokban. ama nyomorúság után a nap majd elsötétedik és a hold nem fénylik,
Mark.13.25 | és a csillagok az égről lehullanak és az egekben levő erősségek megrendülnek.
Mark.13.26 | És akkor meglátják majd az Ember Fiát eljönni a fel hőkön, nagy hatalommal és dicsőséggel.
Mark.13.27 | És akkor el küldi angyalait és összegyűjti választottait a négy világtáj felől, a föld végső határától az ég végső határáig.
Mark.13.28 | A fügefáról vegyétek pedig a példát. Mikor ennek az ága már zsendül és levelei kihajtanak, tudjátok, hogy közel van a nyár.
Mark.13.29 | Így ti is, mikor látjátok, hogy ezek meglesznek, tudjátok meg, hogy már éppen az ajtó előtt van.
Mark.13.30 | Bizony mondom nektek, ez a nemzedék nem múlik el addig, amíg mindez meg nem lesz.
Mark.13.31 | Az ég és a föld elmúlnak, de az én beszédeim nem múlnak el.
Mark.13.32 | Arról a napról pedig vagy arról az óráról senki sem tud, sem az angyalok az égben, sem a Fiú, hanem csak az Atya.
Mark.13.33 | Vigyázzatok, éberek legyetek, mert nem tudjátok, mikor jön el az az idő. (A 33. versben egyes kéziratokban a: Vigyázzatok szó után az: és imádkozzatok szavak is olvashatók)
Mark.13.34 | Amint az útrakelő ember elhagyja házát és megbízást ad szolgáinak és kinek-kinek meghagyja a maga dolgát, az ajtónállónak is megparancsolja, hogy vigyázzon.
Mark.13.35 | Vigyázzatok azért, mert nem tudjátok, mikor érkezik meg a ház ura, este vagy éjfélkor vagy kakasszóra vagy reggel,
Mark.13.36 | hogy ha hirtelen megérkezik, aludva ne találjon titeket.
Mark.13.37 | Amiket pedig nektek mondok, mindenkinek mondom: Vigyázzatok!

Mark.14.1 | Két nap múlva volt pedig a húsvét és a kovásztalan kenyerek ünnepe. És a papi fejedelmek és az írástudók tanakodtak, hogyan fogják meg őt csellel és hogyan öljék meg,
Mark.14.2 | Mert ezt mondták: Ne az ünnepen, hogy a nép fel ne zendüljön.
Mark.14.3 | Mikor pedig Betániában, a poklos Simon házánál volt, miután asztalhoz telepedett, egy asszony ment oda, akinél alabástrom szelence volt, valódi és igen drága nárdus-olajjal. Ez az alabástromedényt eltörte és a kenetet az ő fejére öntötte.
Mark.14.4 | Némelyek pedig dohogtak maguk között és azt mondták: Mirevaló az olajnak ez a tékozlása?
Mark.14.5 | Mert eladhatták volna azt több mint háromszáz dénárért és a szegényeknek adhatták volna. És haragudtak rá.
Mark.14.6 | De Jézus így szólt: Hagyjátok őt! Miért bántjátok? Jó dolgot cselekedett velem.
Mark.14.7 | Mert a szegények mindenkor veletek lesznek, és amikor csak akarjátok, jót tehettek velük, de én nem leszek mindenkor veletek.
Mark.14.8 | Ő, ami tőle telt, megtette: előre megkente az én testemet a temetésre.
Mark.14.9 | Bizony mondom nektek, hogy ahol csak hirdetik az evangéliomot az egész világon, amit ez az asszony cselekedett, azt is hirdetni fogják az ő emlékezetére.
Mark.14.10 | Akkor Júdás, az Iskáriótes, egy a tizenkettő közül, elment a papi fejedelmekhez, hogy őt azoknak elárulja.
Mark.14.11 | Azok pedig, amint meghallották, megörültek és ígérték, hogy pénzt adnak neki. ő pedig kereste, mimódon árulhatná el őt alkalmas időben.
Mark.14.12 | És a kovásztalan kenyerek ünnepének első napján, mikor a húsvéti bárányt megáldozták, így szóltak neki tanítványai: Hol akarod megenni a húsvéti bárányt? Elmegyünk és elkészítjük.
Mark.14.13 | Akkor elküldött kettőt a tanítványai közül és ezt mondta nekik: Menjetek el a városba, ott majd egy ember jön veletek szembe egy korsó vízzel, őt kövessétek.
Mark.14.14 | És ahová bemegy, mondjátok a házigazdának: A Mester kérdi: Hol az én szállásom, ahol a húsvéti bárányt megeszem tanítványaimmal együtt?
Mark.14.15 | Ő majd mutat nektek egy berendezett és elkészített nagy termet, ott készítsétek el azt nekünk.
Mark.14.16 | Elmentek azért a tanítványai és mikor a városba értek, úgy találták, amint nekik megmondta, és elkészítették a húsvéti bárányt.
Mark.14.17 | És miután beesteledett, odament a tizenkettővel.
Mark.14.18 | És amikor az asztalhoz telepedtek és ettek, Jézus így szólt: Bizony mondom nektek, közületek egy, aki velem eszik, elárul engem.
Mark.14.19 | Ők pedig elszomorodtak és egyenként azt mondták neki: Talán csak nem én?
Mark.14.20 | Ő pedig azt mondta nekik: Egy a tizenkettő közül, aki velem együtt márt a tálba.
Mark.14.21 | Az Ember Fia ugyan el megy, amint meg van írva felőle, de jaj annak az embernek, aki az Ember Fiát elárulja. Jobb lenne annak az embernek, ha nem született volna.
Mark.14.22 | "És mikor ettek, vette a kenyeret, hálát adott, megtörte és adta nekik, és ezt mondta: Vegyétek, egyétek; ez az én testem."
Mark.14.23 | Majd vette a poharat, hálát adott és adta nekik. És ittak abból mindnyájan.
Mark.14.24 | És azt mondta nekik: Ez az én vérem, az új szövetség vére, amely sokakért kiontatik.
Mark.14.25 | Bizony mondom nektek: nem iszom többé a szőlőtő terméséből mindama napig, amikor majd újra iszom az Isten országában.
Mark.14.26 | És dicséretet énekelve, kimentek az Olajfák hegyére.
Mark.14.27 | És így szólt hozzájuk Jézus: Mindnyájan megbotránkoztok bennem. Mert meg van írva: Megverem a pásztort és elszélednek a juhok,
Mark.14.28 | De feltámadásom után előttetek megyek majd Galileába.
Mark.14.29 | Péter pedig azt mondta neki: Ha mindnyájan megbotránkoznak is, én nem.
Mark.14.30 | És szólt hozzá Jézus: Bizony mondom neked: te ma, ezen az éjtszakán, mielőtt a kakas kétszer szól, háromszor tagadsz meg engem.
Mark.14.31 | De ő annál inkább erősítgette: Ha veled együtt kell is meghalnom, semmiképpen sem tagadlak meg téged. Hasonlóképen beszéltek a többiek is.
Mark.14.32 | Mikor arra a helyre értek, amelynek Gecsemáné a neve, így szólt tanítványaihoz: Üljetek le itt, amíg imádkozom.
Mark.14.33 | Ekkor maga mellé vette Pétert, Jakabot és Jánost, és kezdett rettegni és gyötrődni.
Mark.14.34 | És így szólt nekik: Nagyon szomorú az én lelkem mindhalálig. Maradjatok itt és legyetek éberek.
Mark.14.35 | És egy kissé előre ment, a földre esett és imádkozott, hogy ha lehetséges, múljék el tőle ez az óra.
Mark.14.36 | "És szólt: Abba, Atyám! Minden lehetséges neked. Ments meg engem e pohártól; mindazáltal ne az én akaratom legyen meg, hanem a tied."
Mark.14.37 | Azután visszatért és alva találta őket, és így szólt Péternek: Simon, alszol? Nem bírtál egy óráig sem ébren maradni?
Mark.14.38 | "Vigyázzatok és imádkozzatok, hogy kísértésbe ne essetek; a lélek ugyan kész, de a test erőtelen."
Mark.14.39 | És ismét elment, imádkozott, miközben ugyanazokat a szavakat mondta.
Mark.14.40 | Mikor pedig visszatért, ismét alva találta őket, mert a szemük elnehezedett, úgyhogy nem tudták, mit feleljenek neki.
Mark.14.41 | "Harmadszor is eljött és azt mondta nekik: Aludjatok már és nyugodjatok. Elég! Eljött az óra; íme az Ember Fia a bűnösök kezébe adatik."
Mark.14.42 | Keljetek fel, menjünk: íme elközelgett, aki engem elárul.
Mark.14.43 | És amikor még szólott, hirtelen megérkezett Júdás, egy a tizenkettő közül és vele együtt nagy sokaság fegyverekkel és botokkal a papi fejedelmektől, írástudóktól és vénektől.
Mark.14.44 | "Az áruló pedig megadta nekik a megbeszélt jelt: Akit majd megcsókolok: ő az; azt fogjátok el és vigyétek el biztos őrizettel."
Mark.14.45 | És mikor odaért, azonnal odament hozzá és így szólt: Mester! és megcsókolta.
Mark.14.46 | Azok pedig rávetették a kezüket és elfogták őt.
Mark.14.47 | Egy valaki pedig az ott állók közül kirántotta a kardját, odasújtott a főpap szolgájához és levágta a fülét.
Mark.14.48 | És Jézus megszólalt és azt mondta nekik: Mint egy rablóra, úgy jöttetek rám, fegyverekkel és botokkal, hogy elfogjatok engem.
Mark.14.49 | Naponta nálatok voltam a templomban tanítva és nem fogtatok meg engem. De az Írásoknak teljesedniük kell.
Mark.14.50 | Akkor elhagyva őt, mindnyájan elfutottak.
Mark.14.51 | "Egy ifjú pedig követte őt, akinek testét csak egy gyolcsing takarta; és elfogták őt;"
Mark.14.52 | de ő otthagyva az, ingét, mezítelenül elmenekült.
Mark.14.53 | És elvitték Jézust a főpaphoz. És odagyűltek mindnyájan a papi fejedelmek, a vének és az írástudók.
Mark.14.54 | "Péter pedig távolról követte őt, be egészen a főpap udvarába; és ott leült a szolgákkal és melegedett a tűznél."
Mark.14.55 | A papi fejedelmek pedig és az egész tanács bizonyságot kerestek Jézus ellen, hogy megölhessék, de nem találtak.
Mark.14.56 | Mert sokan tettek ugyan ellene hamis vallomást, de vallomásaik nem egyeztek.
Mark.14.57 | Ekkor némelyek előállottak és ezt a hamis vallomást tették ellene:
Mark.14.58 | Mi hallottuk, mikor ezt mondta: Lerontom ezt a kézzel csinált templomot és három nap alatt másikat építek, nem kézzel készítettet.
Mark.14.59 | De még így sem egyezett a vallomásuk.
Mark.14.60 | Akkor a főpap odaállva a középre, megkérdezte Jézust: Semmit sem felelsz arra, amit ezek ellened vallanak?
Mark.14.61 | Ő pedig hallgatott és semmit sem felelt. Ismét megkérdezte őt a főpap és azt mondta neki: Te vagy a Krisztus, az áldott Isten Fia?
Mark.14.62 | Jézus pedig szólt: Én vagyok. És meglátjátok majd, hogy az Ember Fia a Hatalom jobbján ül és eljön az ég felhőivel.
Mark.14.63 | Ekkor a főpap megszaggatta ruháját és szólt: Mi szükségünk van még tanúkra?
Mark.14.64 | Hallottátok a káromlást. Mi a véleményetek? Azok pedig mindnyájan úgy ítéltek, hogy méltó a halálra.
Mark.14.65 | És elkezdték őt némelyek köpdösni, arcát betakarni és verni és mondani neki: Prófétálj! A szolgák pedig arcul verték őt.
Mark.14.66 | "És míg Péter lent volt az udvaron, arra ment a főpap egyik szolgálóleánya;"
Mark.14.67 | és meglátta Pétert, amint melegedett, rátekintett és ezt mondta: Te is azzal a názáretivel voltál, a Jézussal.
Mark.14.68 | Ő pedig tagadta: Nem ismerem, nem is értem, mit mondasz. És kiment az előcsarnokba. És a kakas megszólalt.
Mark.14.69 | A szolgálóleány pedig meglátva őt, kezdte ismét mondani az ott állóknak: Ez közülük való.
Mark.14.70 | Ő pedig ismét tagadta. De egy kis idő múlva az ott állók azt mondták Péternek: Bizony közülük való vagy, hiszen galileai vagy. (A 70. vers végén egyes kéziratokban még ez is olvasható: A beszéded is hasonló.)
Mark.14.71 | Ő pedig elkezdett átkozódni és esküdözni: Nem ismerem azt az embert, akiről beszéltek.
Mark.14.72 | És másodszor megszólalt a kakas. Ekkor Péternek eszébe jutott Jézusnak az a szava, amelyet neki mondott: Mielőtt a kakas kétszer szól, háromszor tagadsz meg engem. És sírva fakadt.

Mark.15.1 | És kora reggel azonnal határozatot hoztak a papi fejedelmek a vénekkel, az írástudókkal és az egész tanáccsal. És megkötöztetve Jézust, elvitték és átadták Pilátusnak.
Mark.15.2 | És Pilátus megkérdezte tőle: Te vagy a zsidók királya? Ő pedig így felelt neki: Te mondod.
Mark.15.3 | És a papi fejedelmek hevesen vádolták őt.
Mark.15.4 | Pilátus pedig ismét megkérdezte tőle: Semmit sem felelsz? íme mennyi vádat emelnek ellened?
Mark.15.5 | Jézus azonban többé semmit sem felelt, úgyhogy Pilátus csodálkozott.
Mark.15.6 | Ünnepenként pedig egy foglyot szokott szabadon bocsátani nekik, akit éppen óhajtottak.
Mark.15.7 | "Volt pedig egy Barabbás nevű ember; ezt azokkal a lázadókkal fogták el, akik a zendülés alkalmával gyilkoltak."
Mark.15.8 | És a sokaság felvonulva, kezdte Pilátust arra kérni, amit máskor is megtett nekik.
Mark.15.9 | Pilátus pedig felelt nekik: Akarjátok, hogy elbocsássam nektek a zsidók királyát?
Mark.15.10 | Tudta ugyanis, hogy a papi fejedelmek irigységből adták őt kézre.
Mark.15.11 | A papi fejedelmek azonban felbujtogatták a sokaságot, hogy inkább Barabbást bocsássa el nekik.
Mark.15.12 | Ekkor Pilátus ismét megszólalt és ezt mondta nekik: Mit tegyek tehát azzal, akit ti a zsidók királyának mondotok?
Mark.15.13 | És azok ismét kiáltottak: Feszítsd meg!
Mark.15.14 | Pilátus pedig így szólt nekik: De hát mi rosszat cselekedett? Ám azok csak annál jobban kiáltották: Feszítsd meg!
Mark.15.15 | Pilátus pedig eleget akart tenni a sokaságnak, és elbocsátotta nekik Barabbást, Jézust viszont megostoroztatta és kiszolgáltatta, hogy megfeszítsék.
Mark.15.16 | A katonák pedig elvitték őt a palota belsejébe — a várba — és összehívták az egész csapatot.
Mark.15.17 | "És bíborba öltöztették őt; fejére tövisből font koszorút tettek."
Mark.15.18 | Majd elkezdték őt köszönteni: Üdvözlégy, zsidók királya!
Mark.15.19 | És verték a fejét nádvesszővel és köpdöstök és térdhajtással tisztelegtek előtte.
Mark.15.20 | Mikor pedig kicsúfolták, lehúzták róla a bíbor ruhát és a maga ruháiba Öltöztették. Ezután kivezették, hogy megfeszítsék.
Mark.15.21 | És kényszerítettek egy mellettük elmenő embert, bizonyos cirénei Simont, aki a mezőről jött, Sándor és Rúfus atyját, hogy vigye az ő keresztjét.
Mark.15.22 | így vitték őt a Golgota nevű helyre, ami megmagyarázva annyi, mint: Koponyahely.
Mark.15.23 | És mirhás bort adtak neki inni, de nem fogadta el.
Mark.15.24 | És megfeszítették őt. Sorsvetéssel elosztották a ruháit, hogy ki melyiket kapja.
Mark.15.25 | Három óra volt pedig, mikor megfeszítették.
Mark.15.26 | Elítéltetésének oka pedig így volt felírva: A ZSIDÓK KIRÁLYA.
Mark.15.27 | Két rablót is megfeszítettek vele, egyiket jobb, a másikat bal keze felől.
Mark.15.28 | Így teljesedett be az Írás, amely ezt mondja: És bűnösök közé számláltatott.
Mark.15.29 | Az arra menők pedig káromolták őt, fejüket hajtogatva és ezt mondva: Ej, te, aki lerontod a templomot és három nap alatt felépíted,
Mark.15.30 | szabadítsd meg magadat és szállj le a keresztről!
Mark.15.31 | "Hasonlóképen csúfolták őt egymás közt a papi fejedelmek is, az írástudókkal együtt és azt mondták: Másokat megtartott; magát nem bírja megtartani."
Mark.15.32 | A Krisztus, Izrael királya, szálljon le most a keresztről, hogy lássuk és higgyünk. Akiket vele feszítettek meg, azok is szidalmazták őt.
Mark.15.33 | Mikor pedig hat óra lett, sötétség támadt az egész földön kilenc óráig.
Mark.15.34 | És kilenc órakor Jézus hangosan így kiáltott: Elói, Elói, lama sabaktáni? Ami lefordítva annyi, mint: Én Istenem, Én Istenein, miért hagytál el engem?
Mark.15.35 | Mikor ezt az ott állók közül némelyek meghallották, így szóltak: Imé, Illést hívja.
Mark.15.36 | Egy ember pedig odafutott, megtöltött egy szivacsot ecettel és azt nádszálra tűzve, inni adott neki és ezt mondta: Hagyjátok! lássuk, vajjon eljön-e Illés, hogy levegye őt?
Mark.15.37 | Jézus pedig hangos kiáltással kilehelte lelkét.
Mark.15.38 | És a templom kárpitja felülről az aljáig kettéhasadt.
Mark.15.39 | Mikor pedig a vele szemben álló százados látta, hogy ekként lehelte ki lelkét, így szólt: Bizony ez az ember Isten Fia volt!
Mark.15.40 | De voltak ott asszonyok is, akik távolról nézték: köztük a magdalai Mária, és Mária, a kis Jakab és József anyja és Salóme.
Mark.15.41 | Ezek, mikor Galileában volt, követték őt és szolgáltak neki és sok más asszony, akik vele mentek fel Jeruzsálembe
Mark.15.42 | És mikor már este lett — mivel az ünnepre való előkészülés napja volt vagyis szombat előtti nap —
Mark.15.43 | eljött arimatiai József, tekintélyes tanácstag, aki maga is várta az Isten országát. Ez bátor elhatározással bement Pilátushoz és elkérte Jézus testét.
Mark.15.44 | Pilátus pedig csodálkozott, hogy már meghalt, és miután magához hívatta a századost, megkérdezte tőle, hogy régen halt-e meg?
Mark.15.45 | Mikor ezt a századostól megtudta, odaajándékozta a testet Józsefnek.
Mark.15.46 | Ő pedig gyolcsot vásárolt, levette őt, begöngyölte a gyolcsba és elhelyezte egy kősziklába vágott sírboltba és követ hengerített a sírbolt szájához.
Mark.15.47 | A magdalai Mária és Mária, a József anyja, nézték, hogy hová helyezték őt.

Mark.16.1 | Mikor pedig elmúlt a szombat, a magdalai Mária, és Mária, Jakab anyja és Salóme drága keneteket vásároltak, hogy elmenjenek és megkenjék őt.
Mark.16.2 | És korán reggel, a hét első napján a sírbolthoz mentek napkeltekor.
Mark.16.3 | És azt mondták egymás között: Ki hengeríti el nekünk a követ a sírbolt szájáról?
Mark.16.4 | És amikor odatekintettek, látták, hogy a kő el van hengerítve. Pedig igen nagy volt.
Mark.16.5 | És bemenve a sírboltba, láttak egy fehér ruhába öltözött ifjút ülni jobb felől, és megrémültek.
