1Cor.1.1 | Pál, Krisztus Jézusnak Isten akaratából elhívott apostola, és Szósztenes atyafi,
1Cor.16.9 | mert nagy és ígéretes munkára nyílt kapu előttem és az ellenség is sok.
1Cor.16.10 | Ha pedig Timótheus odaérkezik, legyen gondotok rá, hogy félelem nélkül tartózkodhassak nálatok, mert ő az Úr ügyében munkálkodik, mint én is.
1Cor.16.11 | Senki tehát meg ne vesse őt, hanem segítsétek az útjára békességgel, hogy hozzám jöjjön, mert várom az atyafiakkal együtt.
1Cor.16.12 | Ami pedig Apollós atyánkfiát illeti, igen kértem őt, hogy menjen el hozzátok az atyafiakkal együtt, de semmiképen sem volt Isten akarata, hogy most elmenjen. De majd elmegy, mihelyt jó alkalma lesz.
1Cor.16.13 | Vigyázzatok, álljatok meg a hitben, legyetek férfiak, legyetek erősek!
1Cor.16.14 | Minden dolgotok szeretetben történjék!
1Cor.16.15 | Kérlek pedig titeket, atyámfiai, — hiszen ismeritek Sztefanás házanépét, hogy ők Ahája zsengéje és hogy magukat a szentek szolgálatára szánták: —
1Cor.16.16 | engedelmeskedjetek ti is az ilyeneknek és mindazoknak, akik velük szolgálnak és fáradnak.
1Cor.16.17 | örülök pedig Sztefanás, Fortunátus és Áhaikus eljöttének, mivel ők kárpótolnak engem a ti távollétetekért.
1Cor.16.18 | Mert felüdítették az én lelkemet is és a tiéteket is. Az ilyeneket tehát becsüljétek meg.
1Cor.16.19 | Köszöntenek titeket az ázsiai gyülekezetek. Sokszorosan köszönt titeket az Úrban Akvila és Priszka, a házuknál levő gyülekezettel együtt.
1Cor.16.20 | Köszöntenek titeket az atyafiak mindnyájan. Köszöntsétek egymást szent csókkal.
1Cor.16.21 | A köszöntés a magam kezeírása, Pálé.
1Cor.16.22 | Ha valaki nem szereti az Urat, legyen átkozott. Maranat ha. (A 22. versben Marana tha = Uram, jöjj!)
1Cor.16.23 | Az Úr Jézus Krisztus kegyelme legyen veletek!
1Cor.16.24 | Az én szeretetem mindnyájatokkal a Krisztus Jézusban! Ámen. A 22. versben Marana tha = Uram, jöjj!
