Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.11.25 | Ekkor Barnabás elment Tárzusba, hogy felkeresse Sault és mikor rátalált, elvitte őt Antiókhiába.
Acts.11.26 | Így történt, hogy ők egy egész esztendeig forgolódtak a gyülekezetben és nagy sokaságot tanítottak. És a tanítványokat először Antiókhiában nevezték keresztyéneknek.
Acts.11.27 | Ezidőtájban pedig próféták jöttek le Jeruzsálemből Antiókhiába.
Acts.11.28 | Közülök az egyik, névszerint Agabus, előállott és a Lélek által megjövendölte, hogy az egész földkerekségen éhínség lesz, amely meg is lett Klaudius császár idejében.
Acts.11.29 | A tanítványok pedig elhatározták, hogy a szerint, amint kinek-kinek közöttük módjában áll, küldenek valamit segítségül a Júdeában lakó atyafiaknak.
Acts.11.30 | Ezt meg is tették, és elküldték a vénekhez Barnabás és Saul keze által.

Acts.12.1 | Abban az időben pedig Heródes király kegyetlenkedni kezdett némelyekkel a gyülekezetből valók közül.
Acts.12.2 | Így megölette fegyverrel Jakabot, János testvérét.
Acts.12.3 | És. mivel látta, hogy ez tetszik a zsidóknak, még tovább ment és elfogatta Pétert is (akkor éppen a kovásztalan kenyerek napjai voltak).
Acts.12.4 | Mikor elfogatta, tömlöcbe vetette őt és átadta négy-négy katonából álló négyes őrségnek, hogy őrizzék. Húsvét után akarta őt a nép elé vezettetni.
Acts.12.5 | "Pétert tehát a fogságban őrizték; a gyülekezet pedig buzgón imádkozott érte az Istenhez."
Acts.12.6 | Mikor pedig Heródes elő akarta őt vezettetni, azon az éjtszakán Péter két katona között aludt, megkötözve két lánccal. És őrök őrizték az ajtó előtt a tömlöcöt.
Acts.12.7 | És, íme az Úr angyala odalépett hozzá és fény ragyogott fel a börtönben és meglökve Péter oldalát, felkeltette őt, és azt mondta: Kelj fel hamar. És leestek a láncok a kezéről.
Acts.12.8 | És szólt neki az angyal: övezd fel magadat és kösd fel saruidat, — és úgy cselekedett. Azután így szólt neki: Vedd fel a felsőruhádat és kövess engem!
Acts.12.9 | Ekkor kiment és követte őt. És nem tudta, hogy valóság az, ami az angyal által történik, hanem azt hitte, hogy látomást lát.
Acts.12.10 | És mikor átmentek az első őrsön, majd a másodikon, eljutottak a vaskapuhoz, amely a városba visz. Ez magától megnyílt előttük, és amikor kimentek, végighaladtak egy utcán és az angyal hirtelen eltávozott tőle.
Acts.12.11 | És Péter magához térve, ezt mondta: Most tudom igazán, hogy az Úr küldte el angyalát és szabadított meg engem Heródes kezéből és mindattól, amit várt az egész zsidó nép.
Acts.12.12 | És amikor ezt megértette, elment a Márknak is nevezett János anyjának, Máriának házához. Itt sokan voltak együtt és imádkoztak.
Acts.12.13 | "És mikor zörgetett a kapun, egy Rodé nevű szolgálóleány ment oda, hogy hallgatódzzék;"
Acts.12.14 | és megismerte Péter hangját, de örömében nem nyitotta ki a kaput, hanem befutva, hírül adta, hogy Péter áll a kapu előtt.
Acts.12.15 | Azok pedig így szóltak neki: Elment az eszed, ő azonban erősítette, hogy úgy van. Ekkor azok így szóltak: Az ő angyala az.
Acts.12.16 | "Péter közben egyre zörgetett; mikor kinyitották a kaput, meglátták őt és megdöbbentek."
Acts.12.17 | Miután pedig kezével hallgatást intett nekik, elbeszélte előttük, hogyan hozta ki őt az Úr a tömlöcből. És szólt: Adjátok tudtára ezeket Jakabnak és az atyafiaknak. Majd eltávozva, más helyre ment.
Acts.12.18 | Mikor pedig megvirradt, nem kis riadalom támadt a katonák között, hogy mi történt Péterrel.
Acts.12.19 | Heródes pedig mikor kerestette őt és nem találta, vallatóra fogta az őröket és megparancsolta, hogy végezzék ki azokat. Akkor Júdeából lement Cézáreába, és ott időzött
Acts.12.20 | Heródes pedig ellenséges indulattal volt a tírusiak és szidoniak iránt, de azok egy akarattal elmentek hozzá és minthogy megnyerték Blásztust, a király kamarását, békét kértek, mivel tartományukat a királyéból élelmezték.
Acts.12.21 | Egy kitűzött napon pedig Heródes királyi ruhába öltözött és trónján ülve, nyilvánosan szólt hozzájuk,
Acts.12.22 | és a nép felkiáltott: Isten szava ez és nem emberé!
Acts.12.23 | Az Úr angyala pedig azonnal megverte őt azért, hogy nem Istennek adta a dicsőséget, úgyhogy férgektől emésztve halt meg.
Acts.12.24 | Az Úr igéje pedig növekedett és terjedt.
Acts.12.25 | Barnabás és Saul pedig visszatért Jeruzsálemből, miután betöltötték szolgálatukat, és maguk mellé vették Jánost is, akinek mellékneve Márk volt

Acts.13.1 | Volt pedig Antiókhiában, az ottani gyülekezetben néhány próféta és tanító: Barnabás és Simeon, akit Nigernek hívtak és a cirénei Lucius és Manaen, aki Heródes negyedesfejedelemmel együtt nevelkedett és Saul.
Acts.13.2 | Mikor ezek szolgáltak az Úrnak és böjtöltek, így szólt a Szentlélek: Válasszátok ki nekem Barnabást és Sault arra a munkára, amelyre én őket elhívtam.
Acts.13.3 | Akkor, miután böjtöltek és imádkoztak és kezüket rájuk tették, elbocsátották őket.
Acts.13.4 | Ők tehát, miután a Szentlélek kibocsátotta őket, lementek Szeleuciába és onnan elhajóztak Ciprusba.
Acts.13.5 | És mikor Szalamisba jutottak, hirdették az Isten beszédét a zsidók zsinagógáiban. János is ott volt velük, mint segítőtárs.
Acts.13.6 | És mintán a szigetet egész Páfusig bejárták, találtak egy varázsló álpróféta zsidót, akinek Barjézus volt a neve.
Acts.13.7 | Ez Szergius Paulus helytartóval, ezzel az értelmes emberrel volt. Ő magához hívatta Barnabást és Sault, és hallani kívánta az Isten beszédét.
Acts.13.8 | Elimás, a varázsló azonban, — mert ez a neve lefordítva — ellenkezett velük és igyekezett a helytartót elfordítani a hittől.
Acts.13.9 | De Saul, aki Pál is, megtelve Szentlélekkel, erősen ránézett és
Acts.13.10 | így szólt: Te minden álnoksággal és gonoszsággal teljes ördögfajzat, minden igazságnak ellensége, nem szűnsz meg az Úr igaz útait elfordítani?
Acts.13.11 | Most azért íme, az Úr keze rajtad van, úgyhogy vak leszel és nem látod a napot egy ideig. És azonnal homály és sötétség szállott rá, úgyhogy tapogatódzva keresett vezetőket.
Acts.13.12 | Mikor a helytartó látta a történteket, hitt, csodálkozva az Úr tanításán.
Acts.13.13 | Elhajózva pedig Páfusból, Pál és kísérői Pergába, Pamfilia városába értek. János azonban elvált tőlük és hazament Jeruzsálembe.
Acts.13.14 | Ők pedig Pergából tovább haladva, eljutottak Antiókhiába, Pizidia városába, szombatnapon bementek a zsinagógába és leültek.
Acts.13.15 | És a törvény és próféták felolvasása után odaküldtek hozzájuk a zsinagóga elöljárói és azt mondták nekik: Atyánkfiai, férfiak, ha van valami intő beszédetek a néphez, szóljatok.
Acts.13.16 | Ekkor Pál felállt, kezével intett és ezt mondta: Izraelita férfiak és ti, akik félitek az Istent, halljátok meg.
Acts.13.17 | Ennek a népnek, Izraelnek Istene, kiválasztotta a mi atyáinkat és e népet felemelte, mikor Egyiptom földjén jövevények voltak és kihozta onnan őket hatalmas karja által.
Acts.13.18 | Azután közel negyven esztendeig elszenvedte őket a pusztában.
Acts.13.19 | És miután eltörölt hét népet Kánaán földjén, azoknak földjét örökségül adta nekik.
Acts.13.20 | És azután mintegy négyszázötven esztendeig adott bírákat egészen Sámuel prófétáig.
Acts.13.21 | De ők ezek után királyt kértek maguknak, és az Isten Sault adta nekik, Kisnek fiát, a Benjámin törzséből való férfiút, negyven esztendeig.
Acts.13.22 | És mikor őt elvetette, Dávidot támasztotta nekik királyul, akiről bizonyságot is tett és ezt mondta: Megtaláltam Dávidot, Isai fiát, ezt a szívem szerint való férfiút, aki minden akaratomat véghez viszi.
Acts.13.23 | "Ennek magvából támasztott Isten, az ő ígérete szerint; Izraelnek Megváltót, Jézust,"
Acts.13.24 | miután János az ő eljövetele előtt a megtérés keresztségét hirdette Izrael egész népének.
Acts.13.25 | És mikor János már-már bevégezte futását, azt mondta: Nem vagyok az, akinek ti gondoltok engem, hanem íme utánam jön, akinek a saruját nem vagyok méltó, hogy megoldjam.
Acts.13.26 | Atyámfiai, férfiak, Ábrahám nemzetségének fiai, és akik köztetek félik az Istent, ennek az üdvösségnek beszéde nekünk küldetett.
Acts.13.27 | Mert akik Jeruzsálemben laknak és vezetőik, nem ismerték őt fel, és azáltal, hogy elítélték, betöltötték a próféták jövendöléseit is, amelyeket minden szombaton felolvasnak.
Acts.13.28 | És bár semmi halálra való okot nem találtak, azt kérték Pilátustól, hogy ölesse meg.
Acts.13.29 | És mikor mindazt elvégezték, ami felőle megíratott, a fáról levéve, sírba helyezték
Acts.13.30 | De az Isten feltámasztotta őt a halottak közül,
Acts.13.31 | úgyhogy megjelent több napon át azoknak, akik vele együtt mentek fel Galileból Jeruzsálembe, s akik neki tanúi a nép előtt.
Acts.13.32 | És mi hirdetjük nektek az atyáknak tett ígéretet, hogy ezt az Isten betöltötte a mi fiainknak, támasztotta nekik Jézust,
Acts.13.33 | "amint a második zsoltárban is meg van írva: Fiam vagy te; ma szültelek téged."
Acts.13.34 | Hogy pedig feltámasztotta őt a halottak közül, úgyhogy többé nem is kell visszatérnie az enyészetbe, azt így mondta: Nektek adom az üdvösség szent és bizonyos javait, amelyeket Dávidnak ígértem.
Acts.13.35 | Azért mondja másutt is: Nem engeded, hogy a te Szented rothadást lásson.
Acts.13.36 | Mert Dávid, miután a maga idejében szolgált az Isten akaratának, elaludt és az ő atyáihoz helyeztetett és rothadást látott.
Acts.13.37 | De akit az Isten feltámasztott, az nem látott rothadást.
Acts.13.38 | Vegyétek tehát tudomásul, atyámfiai, férfiak, hogy ő általa hirdettetik nektek a bűnök bocsánata,
Acts.13.39 | és mindabból, amiből Mózes törvénye által meg nem igazulhattok, ő általa mindenki megigazul, aki hisz.
Acts.13.40 | Vigyázzatok azért, hogy rajtatok ne essék, amit a próféták megmondták:
Acts.13.41 | Lássátok meg, ti gúnyolódok és csodálkozzatok, és semmisüljetek meg, mert én olyant cselekszem a ti időtökben, olyant, amit majd nem hisztek el, ha valaki elmondja nektek.
Acts.13.42 | Mikor pedig kimentek a zsinagógából, kérték őket, hogy a következő szombaton prédikálják nekik ezeket a beszédeket.
Acts.13.43 | És miután szétoszlott a zsinagóga, a zsidók és az istenfélő prozeliták közül sokan követték Pált és Barnabást, akik szóltak hozzájuk és biztatták őket, hogy maradjanak meg az Isten kegyelmében.
Acts.13.44 | A következő szombaton azután majdnem az egész város összegyűlt az Isten igéjének hallgatására.
Acts.13.45 | Mikor pedig látták a zsidók a sokaságot, megteltek irigységgel és annak, amit Pál állított, ellene mondtak és becsmérelték őt.
Acts.13.46 | Akkor Pál és Barnabás nagy bátorsággal ezt mondták: Szükséges volt, hogy először nektek hirdettessék az Isten igéje, de mivel ti megvetitek azt és nem ítélitek magatokat méltóknak az örök életre, íme a pogányokhoz fordulunk.
Acts.13.47 | Mert így parancsolta nekünk az Úr: Pogányok világosságául rendeltelek téged, hogy légy üdvösségül a föld határáig.
Acts.13.48 | "A pogányok pedig ennek hallatára örvendeztek és magasztalták az Úr igéjét; és mindazok, akik az örök életre elválasztattak, hittek."
Acts.13.49 | így terjedt el az Úr igéje az egész vidéken.
Acts.13.50 | A zsidók azonban ellenök ingerelték az előkelő istenfélő asszonyokat és a város első embereit és üldözést támasztottak Pál és Barnabás ellen, úgyhogy kiűzték őket határukból.
Acts.13.51 | Ők pedig lábuk porát lerázták ellenük, elmentek Ikóniumba.
Acts.13.52 | A tanítványok pedig megteltek örömmel és Szentlélekkel.

Acts.14.1 | Ikóniumban pedig együtt mentek be a zsidók zsinagógájába és úgy prédikáltak, hogy mind a zsidók, mind a pogányok közül nagy sokaság lett hívővé.
Acts.14.2 | Akik azonban a zsidók közül nem hittek, felingerelték és megkeserítették a pogányok lelkét az atyafiak ellen.
Acts.14.3 | Mindazáltal sok időt töltöttek ott, bátran prédikálva az Úrban, aki bizonyságot tett az ő kegyelmének beszéde mellett és megadta, hogy jelek és csodák történjenek az ő kezük által.
Acts.14.4 | De a városnak sok népe meghasonlott, úgyhogy némelyek a zsidók mellett, mások meg az apostolok mellett voltak.
Acts.14.5 | És mikor a pogányok és zsidók az ő főembereikkel együtt támadást indítottak, hogy bántalmazzák és megkövezzék őket,
Acts.14.6 | ők ezt megtudták és elmenekültek Likaónia városaiba, Lisztrába és Derbébe és a környező tartományba
Acts.14.7 | és ott hirdették az evangéliumot.
Acts.14.8 | És Lisztrában ott ült egy béna lábú ember, aki születésétől fogva sánta volt és sohasem járt.
Acts.14.9 | Ez hallgatta a prédikáló Pált, aki reá tekintett és látta, hogy van hite, hogy meggyógyul.
Acts.14.10 | Ezért hangosan így szólt hozzá: Állj a lábadra egyenesen. És felszökött és járt.
Acts.14.11 | Mikor pedig a sokaság látta, amit Pál cselekedett, így kiáltott likaóniai nyelven: Az istenek jöttek le hozzánk emberi alakban.
Acts.14.12 | És Barnabást Jupiternek mondták, Pált pedig Merkuriusnak, mivel ő volt a szóvivő.
Acts.14.13 | Jupiter papja pedig, akinek temploma az ő városuk előtt volt, felkoszorúzott bikákat hajtott a kapukhoz és a sokasággal együtt áldozni akart.
Acts.14.14 | Mikor azonban meghallották ezt az apostolok, Barnabás és Pál, ruhájukat megszaggatva, a sokaság közé futottak,
Acts.14.15 | és ezt kiáltották: Férfiak, miért teszitek ezt? Mi is hozzátok hasonló természetű emberek vagyunk és azt az evangéliomot hirdetjük nektek, hogy e hiábavaló dolgoktól térjetek meg az élő Istenhez, aki teremtette az eget, a földet, a tengert és mindent, ami azokban van.
Acts.14.16 | Engedte, hogy az elmúlt nemzedékekben a pogányok mind a maguk útján járjanak,
Acts.14.17 | bár nem hagyta magát tanúbizonyság nélkül, mert jóltevőtök volt: adott nektek a mennyből esőt és termő időket, megtöltötte szíveteket eledellel és örömmel.
Acts.14.18 | Amikor ezeket mondták, nagy-nehezen lecsendesítették a sokaságot, hogy ne áldozzék nekik.
Acts.14.19 | Antiókhiából és Ikóniumból azonban zsidók jöttek oda, rábeszélték a sokaságot, Páit megkövezték és kivonszolták a városból, abban a hiedelemben, hogy meghalt.
Acts.14.20 | De mikor körülvették a tanítványok, felkelt és bement a városba. És másnap Barnabással elment Derbébe.
Acts.14.21 | Majd miután hirdették az evangéliomot annak a városnak és sokakat tanítványokká tettek, visszatértek Lisztrába, Ikóniumba és Antiókhiába,
Acts.14.22 | erősítették a tanítványok lelkét és intették őket, hogy maradjanak meg a hitben és hogy — sok háborúságon át kell nekünk bejutnunk az Isten országába.
Acts.14.23 | Miután pedig választottak számukra gyülekezetenkint véneket, imádkozással és böjtöléssel az Úrnak ajánlották őket, akiben hittek.
Acts.14.24 | És Pizidián átmenve, eljutottak Pamfiliába.
Acts.14.25 | Majd miután Pergában hirdették az igét, lementek Attáliába.
Acts.14.26 | És onnan elhajóztak Antiókhiába, ahol az Isten kegyelmébe ajánlották volt őket, arra a munkára, amelyet immár elvégeztek.
Acts.14.27 | Mikor pedig megérkeztek és a gyülekezetet összehívták, elbeszélték, hogy milyen nagy dolgokat cselekedett velük az Isten és hogy kaput nyitott a pogányoknak a hitre.
Acts.14.28 | Ott aztán nem kevés időt töltöttek a tanítványokkal.

Acts.15.1 | Némelyek pedig, akik Júdeából jöttek le, így tanították az atyafiakat: Ha Mózes rendtartása szerint körül nem metélkedtek nem üdvözülhettek.
Acts.15.2 | Mikor azért meghasonlás támadt, Pál és Barnabás pedig nem csekély vitába került velük, úgy határoztak, hogy Pál, Barnabás és közülük némelyek ebben a vitás kérdésben menjenek fel az apostolokhoz és vénekhez Jeruzsálembe.
Acts.15.3 | Ők tehát, miután a gyülekezet kikísérte őket, átmentek Fenícián és Samárián, ahol elbeszélték a pogányok megtérését, amivel nagy örömet szereztek az összes atyafiaknak.
Acts.15.4 | Jeruzsálembe érkezve, a gyülekezet, az apostolok és a vének fogadták őket, ők pedig elbeszélték, hogy milyen, nagy dolgokat cselekedett velük az Isten.
Acts.15.5 | Előálltak azonban némelyek, akik a farizeusok pártjából lettek hívőkké, és azt mondták, hogy körül kell metélni őket és meg kell nekik parancsolni, hogy Mózes törvényét tartsák meg.
Acts.15.6 | összegyűltek tehát az apostolok és a vének, hogy efelől döntsenek.
Acts.15.7 | És mikor nagy vita támadt, Péter felkelt és ezt mondta nekik: Atyámfiai, férfiak, ti tudjátok, hogy Isten már régebben engem választott ki közületek, hogy a pogányok az én számból hallják az evangéliom beszédét és higgyenek.
Acts.15.8 | "És a szíveket ismerő Isten bizonyságot tett mellettük, mert a Szentlelket nekik éppúgy megadta, mint nekünk is;"
Acts.15.9 | és semmi megkülönböztetést sem tett köztünk és köztük, mert hit által megtisztította az ő szívüket.
Acts.15.10 | Miért kísértitek tehát most az Istent, hogy a tanítványok nyakába olyan igát tegyetek, amelyet sem atyáink, sem mi el nem hordozhattunk?
Acts.15.11 | Sőt inkább hisszük, hogy mi is az Úr Jézus Krisztus kegyelme által üdvözülünk, mint azok is.
Acts.15.12 | "Akkor elhallgatott az egész sokaság; és hallgatták Pált és Barnabást, amint elbeszélték, mennyi jelt és csodát tett az Isten általuk a pogányok között."
Acts.15.13 | Miután pedig ők elhallgattak, Jakab szólalt meg: Atyámfiai, férfiak, hallgassatok meg engem!
Acts.15.14 | Simon elbeszélte, hogyan gondoskodott már kezdetben az Isten, hogy a pogányok közül népet szerezzen az ő nevének.
Acts.15.15 | És ezzel egyeznek a próféták mondásai, amint meg van írva:
Acts.15.16 | Ezek után visszatérek és felépítem Dávid leomlott sátorát és annak omladékait helyreállítom és ismét felállítom azt,
Acts.15.17 | hogy a többi ember is keresse az Urat és a pogányok mindnyájan, akikért könyörögnek az én nevemben
Acts.15.18 | — ezt mondja az Úr, aki mindezeket öröktől fogva tudtul adta.
Acts.15.19 | Ennélfogva én úgy vélekedem, hogy azok elé, akik a pogányok közül térnek meg, nem szabad nehézséget gördíteni,
Acts.15.20 | hanem írjuk meg nekik, hogy tartózkodjanak a bálványimádás fertőzésétől, a paráznaságtól, a fulladt állattól és a vértől.
Acts.15.21 | Mert Mózesnek régi nemzedékek óta városonként megvannak a maga hirdetői, mivel a zsinagógákban minden szombaton olvassák őt.
Acts.15.22 | Akkor jónak látták az apostolok és a vének az egész gyülekezettel együtt, hogy férfiakat válasszanak maguk közül és elküldjék őket Antiókhiába Pállal és Barnabással: Júdást, akinek mellékneve Barsabás, és Szilást, akik vezetők voltak az atyafiak között.
Acts.15.23 | És elküldték általuk ezt a levelet: Mi, az apostolok és a vének, a ti atyátokfiai az Antiókhiában, Szíriában és Ciliciában levő, pogányok közül való atyafiaknak, üdvözletünket küldjük!
Acts.15.24 | Mivel meghallottuk, hogy közülünk egyesek megháborítottak titeket beszédeikkel és feldúlták lelketeket — pedig nekik mi parancsot nem adtunk, —
Acts.15.25 | jónak láttuk, miután egy értelemre jutottunk, hogy férfiakat válasszunk ki és küldjünk hozzátok szeretteinkkel, Barnabással és Pállal,
Acts.15.26 | olyan emberekkel, akik az életüket kockáztatták a mi Urunk Jézus Krisztus nevéért.
Acts.15.27 | Elküldtük azért Júdást és Szilást, akik élőszóval szintén tudtotokra adják ugyanezeket.
Acts.15.28 | Mert tetszett a Szentléleknek és nekünk, hogy egyéb terhet ne vessünk rátok, csak azt, amik szükségesek, tudniillik:
Acts.15.29 | hogy tartózkodjatok a bálványoknak áldozott dolgoktól, a vértől, a fulladt állattól és a paráznaságtól, Ha ezektől megóvjátok magatokat, jól teszitek. Éljetek jó egészségben!
Acts.15.30 | Azok tehát, miután útnak bocsátották őket, elmentek Antiókhiába, összegyűjtötték a hívek seregét és átadták a levelet.
Acts.15.31 | És mikor elolvasták, örvendeztek az intésen.
Acts.15.32 | Júdás és Szilás pedig, akik maguk is próféták voltak, sok beszéddel intették és erősítették az atyafiakat.
Acts.15.33 | Miután pedig bizonyos időt eltöltöttek, elbocsátották őket az atyafiak békességgel azokhoz, akik küldték őket.
Acts.15.34 | De Szilás jónak látta, hogy ott maradjon.
Acts.15.35 | Pál és Barnabás ugyancsak Antiókhiában időztek, ahol tanították és prédikálták többedmagukkal az Úr igéjét.
Acts.15.36 | Néhány nap múlva pedig így szólt Pál Barnabásnak: Menjünk vissza, látogassuk meg atyánkfiait minden városban, amelyben hirdettük az Úr igéjét, és lássuk, hogyan vannak.
Acts.15.37 | És Barnabás azt akarta, hogy vegyék maguk mellé Jánost, akit Márknak hívnak.
Acts.15.38 | Pál azonban azt tartotta jónak, hogy ne vegyék maguk mellé azt, aki elszakadt tőlük Pamfiliától fogva és nem ment velük a munkára.
Acts.15.39 | E miatt meghasonlás támadt közöttük, úgyhogy elszakadtak egymástól, és Barnabás, maga mellé véve Márkot, elhajózott Ciprusba.
Acts.15.40 | Pál pedig Szilást választotta maga mellé s miután az atyafiak az Úr kegyelmére bízták őt, útnak indult.
Acts.15.41 | És bejárta Szíriát és Ciliciát, erősítve a gyülekezeteket.

Acts.16.1 | Így jutott el Derbébe és Lisztrába. És íme volt ott egy Timótheus nevű tanítvány, hivő zsidó asszonynak és görög atyának fia,
Acts.16.2 | akiről jó bizonyságot tettek a Lisztrában és Ikóniumban levő atyafiak.
Acts.16.3 | Ezt Pál magával akarta vinni. Ezért körülmetélte őt a zsidókért, akik azokon a helyeken voltak. Mert mindnyájan tudták, hogy atyja görög volt.
Acts.16.4 | És amint átmentek a városokon, meghagyták nekik, hogy tartsák meg a rendeléseket, amelyeket a jeruzsálemi apostolok és vének határoztak.
Acts.16.5 | A gyülekezetek tehát erősödtek a hitben és gyarapodtak számban naponként.
Acts.16.6 | Áthaladtak pedig Frígia és Galácia tartományán és mivel a Szentlélek eltiltotta nekik, hogy az igét Ázsiában hirdessék,
Acts.16.7 | Mízia felé haladva, igyekeztek Bitiniába jutni, de nem eresztette őket Jézus Lelke.
Acts.16.8 | Áthaladtak tehát Mízián, lementek Tróásba.
Acts.16.9 | És éjjel látomás jelent meg Pálnak: egy macedón férfi állott előtte, aki kérte őt és ezt mondta: Jöjj át Macedóniába, légy segítségül nekünk!
Acts.16.10 | Mihelyt pedig a látomást látta, azonnal igyekeztünk elmenni Macedóniába, mert megértettük, hogy odahívott minket az Úr, hogy azoknak prédikáljuk az evangéliomot.
Acts.16.11 | Elhajóztunk tehát Tróásból, egyenesen Szamotrákéba mentünk és másnap
Acts.16.12 | onnét pedig Filippibe, amely Macedónia ama részének első városa és római település. És ebben a városban töltöttünk néhány napot.
Acts.16.13 | És szombatnapon ki mentünk a városon kívül egy folyó mellé, ahol tudomásunk szerint imádkozni szoktak a zsidók és leülve, prédikáltunk az egybegyűlt asszonyoknak.
Acts.16.14 | És egy Lidia nevű, Tiatira városából való istenfélő bíborárus asszony hallgatott ránk. Ennek az Úr megnyitotta a szívét, hogy figyeljen azokra, amiket Pál mondott.
Acts.16.15 | Mikor pedig megkeresztelkedett egész házanépével együtt, kért minket: Ha az Úr hű tanítványának ítéltetek engem, jertek az én házamba és maradjatok ott. És unszolt minket.
Acts.16.16 | Történt pedig, hogy mikor az imádkozás helyére mentünk, egy rabszolgaleány jött velünk szembe, akiben jövendőmondó lélek volt és jövendőmondásával nagy hasznot hajtott gazdáinak.
Acts.16.17 | Ez követte Pált és minket, és így kiáltott: Ezek az emberek a Magasságos Istennek szolgái, akik nektek az üdvösség útját hirdetik.
Acts.16.18 | Ezt pedig több napon át művelte. Pált azonban bosszantotta ez és hátrafordulva, így szólt a léleknek: Jézus Krisztus nevében parancsolom neked, hogy menj ki belőle. És kiment abban az órában.
Acts.16.19 | Mikor pedig gazdái látták, hogy keresetüknek reménye elveszett, megragadták Pált és Szilást, a piacra, a hatóság elé hurcolták,
Acts.16.20 | azután odavezették a bírákhoz és azt mondták: Ezek az emberek zsidó létükre zavart okoznak városunkban,
Acts.16.21 | és olyan szokásokat hirdetnek, amelyeket nekünk nem szabad elfogadnunk, sem cselekednünk, mivel rómaiak vagyunk.
Acts.16.22 | És velük együtt a sokaság is ellenük támadt. A bírák pedig letépették ruhájukat és megbotoztatták őket.
Acts.16.23 | Miután pedig sok ütést mértek rájuk, tömlöcbe vetették és megparancsolták az őrnek, hogy gondosan őrizze őket.
Acts.16.24 | Ez, mivel ilyen parancsot kapott, a belső tömlöcbe vetette őket és lábukat kalodába szorította.
Acts.16.25 | Éjféltájban pedig Pál és Szilás imádkozással és énekkel dicsőítette az Istent. A foglyok pedig hallgatták,
Acts.16.26 | És hirtelen nagy földrengés támadt, úgyhogy megrendültek a tömlöc alapjai és azonnal megnyílt minden ajtó és mindnyájuknak bilincsei lehullottak.
Acts.16.27 | És miután az őr felriadt és látta, hogy nyitva vannak a börtönajtók, kivonta kardját, meg akarta magát ölni, mert azt gondolta, hogy a foglyok megszöktek.
Acts.16.28 | Pál azonban hangosan így kiáltott: Semmi kárt ne tégy magadban, mert mindnyájan itt vagyunk.
Acts.16.29 | Az pedig világosságot kérve, berohant és remegve borult Pál és Szilás elé
Acts.16.30 | és miután kihozta őket, így szólt: Uraim, mit kell cselekednem, hogy üdvözüljek?
Acts.16.31 | Azok pedig szóltak: Higgy az Úr Jézusban és üdvözülsz mind te, mind a te házadnépe.
Acts.16.32 | És hirdették neki az Isten igéjét és mindazoknak, akik az ő házánál voltak.
Acts.16.33 | És ő magához vette őket az éjtszakának abban az órájában, megmosta sebeiket és megkeresztelkedett azonnal Ő és az övéi mindnyájan.
Acts.16.34 | Azután bevezette őket házába, asztalt terített nekik és egész házanépével együtt örvendezett, hogy Istenben hívővé lett.
Acts.16.35 | Mikor pedig megvirradt, a bírák elküldték a törvényszolgákat ezzel az üzenettel: Bocsásd el azokat az embereket.
Acts.16.36 | Az őr pedig tudtára adta e szavakat Pálnak: A bírák ideküldtek, hogy bocsássalak el titeket. Most tehát távozzatok és menjetek el békességgel.
Acts.16.37 | Pál azonban azt mondta nekik: Megbotoztak minket nyilvánosan, ítélet nélkül, holott mi római polgárok vagyunk, és börtönbe vetettek. Most aztán titokban akarnak minket eltávolítani? Nem úgy, hanem jöjjenek ők maguk és vezessenek ki minket.
Acts.16.38 | A törvényszolgák pedig megmondták a bíráknak ezeket a beszédeket és azok megijedtek, mikor meghallották, hogy ők rómaiak.
Acts.16.39 | "Azért odamentek, megkövették őket; majd kivezették és kérték, hogy távozzanak a, városból."
Acts.16.40 | Ahogy a tömlöcöt elhagyták, elmentek Lídiához és mikor látták az atyafiakat, vigasztalták őket és útra keltek.

Acts.17.1 | Miután pedig átmentek Amfipolison és Apollónián, Thessalonikába értek, ahol a zsidóknak zsinagógájuk volt.
Acts.17.2 | Pál pedig, amint szokása volt, bement hozzájuk és három szombaton át vitatkozott velük az írásokból,
Acts.17.3 | megmagyarázva és kimutatva, hogy Krisztusnak szenvednie kellett és a halottak közül feltámadnia és hogy ez a Jézus a Krisztus, akit én hirdetek nektek.
Acts.17.4 | "És némelyek hittek közülük és csatlakoztak Pálhoz és Sziláshoz; úgyszintén az istenfélő görögök közül nagy sokaság és az előkelő asszonyok közül nem kevesen."
Acts.17.5 | "De a zsidók irigységtől indíttatva, maguk mellé vettek a piaci népségből néhány züllött embert, csődületet támasztottak és felindították a várost; azután felvonulva Jázon háza elé, igyekeztek őket kihozni a nép közé."
Acts.17.6 | De mikor nem találták őket, Jázont néhány atyafival együtt a város elöljárói elé vonszolták és azt kiáltozták: Ezek a világfelforgatók itt is megjelentek.
Acts.17.7 | "Ezeket Jázon házába fogadta, pedig mindnyájan a császár parancsai ellen cselekesznek, mivel mást mondanak királynak; Jézust."
Acts.17.8 | Fel is indították a sokaságot és a város elöljáróit, akik hallották ezeket.
Acts.17.9 | De mikor kezességet kaptak Jázontól és a többiektől, elbocsátották őket.
Acts.17.10 | Az atyafiak pedig azonnal, azon az éjtszakán elküldték Pált Szilással együtt Béreába. Mikor odaértek, elmentek a zsidók zsinagógájába.
