Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségkönyve.
Matt.13.32 | Ez valamennyi magnál kisebb ugyan, de mikor felnő, minden kerti veteménynél nagyobb és fává lesz, úgyhogy eljönnek az égi madarak és fészket raknak ágain.
Matt.13.33 | Más példázatot is mondott nekik: Hasonló a mennyek országa a kovászhoz, amelyet az asszony vesz, belekeveri három mérce lisztbe, mire az egész megkel.
Matt.13.34 | Mindezeket példázatokban mondta Jézus a sokaságnak és példázat nélkül semmit sem mondott nekik,
Matt.13.35 | "hogy beteljesedjék, amit a próféta mondott e szavakkal: Példázatokban nyitom meg számat; feltárom mindazt, ami a világ teremtése óta rejtve volt."
Matt.13.36 | Ekkor elbocsátotta a sokaságot és bement a házba. Ekkor odamentek hozzá a tanítványai és ezt mondták: Magyarázd meg nekünk a szántóföldben nőtt konkolyról szóló példázatot.
Matt.13.37 | És ő így felelt nekik: Aki a jó magot veti, az az Ember Fia.
Matt.13.38 | "A szántóföld pedig a világ; a jó mag az Isten országa fiai; a konkoly pedig, a gonosznak a fiai;"
Matt.13.39 | "az ellenség pedig, aki a konkolyt veti, az ördög; az aratás a világ vége; az aratók pedig az angyalok."
Matt.13.40 | Amint azért összegyűjtik a konkolyt és megégetik, úgy lesz a világ végén.
Matt.13.41 | Az Ember Fia elküldi majd az angyalait és az ő országából összegyűjtik a botránkozásokat mind és azokat is, akik gonoszságot cselekesznek,
Matt.13.42 | és bevetik őket a tüzes kemencébe: ott lesz sírás és fogcsikorgatás.
Matt.13.43 | Akkor az igazak majd fénylenek, mint a nap, az ő Atyjuk országában. Akinek van füle a hallásra, hallja!
Matt.13.44 | Hasonló a mennyek országa a szántóföldben elrejtett kincshez, amelyet &i ember mikor megtalál, elrejt és örömében elmegy, eladja mindenét, amije van és megveszi azt a szántóföldet.
Matt.13.45 | Ismét hasonló a mennyek országa a kereskedőhöz, aki igazgyöngyöket keres.
Matt.13.46 | Mikor egy nagy értékű gyöngyre talál, elmegy, mindenét eladja és megvásárolja azt. Példázat a tengerbe vetett hálóról
Matt.13.47 | Ismét hasonló a mennyek országa a tengerbe vetett hálóhoz, amely mindenféle halat összefog.
Matt.13.48 | Mikor megtelik, a halászok kivonják a partra és leülve, a jó halakat edényekbe gyűjtik, a silányakat ellenben kidobálják.
Matt.13.49 | Így lesz a világ végén is: eljönnek majd az angyalok és kiválasztják az igazak közül a gonoszokat
Matt.13.50 | és tüzes kemencébe vetik őket: ott lesz sírás és fogcsikorgatás. A példázatos tanítás befejezése
Matt.13.51 | Megértettétek mindezt! Azok azt mondták neki: Meg.
Matt.13.52 | Ő pedig azt felelte nekik: Ennélfogva minden írástudó, aki a mennyek országa felől tanításban részesült, hasonló ahhoz a gazdához, aki ót és újat hoz elő kamrájából.
Matt.13.53 | Mikor Jézus elmondta ezeket a példázatokat, elment onnan.
Matt.13.54 | És hazájába érve, úgy tanította őket zsinagógájukban, hogy megdöbbentek és ezt mondták: Honnét van ebben ez a bölcsesség és ezek az erők?
Matt.13.55 | Hát nem ez az ácsmester fia? Nem az ő anyját hívják Máriának és testvéreit Jakabnak, Józsefnek, Simonnak és Júdásnak?
Matt.13.56 | S nem itt laknak-e az ő nőtestvérei is mindnyájan nálunk? Honnan tudja hát mindezeket?
Matt.13.57 | És megbotránkoztak őbenne. Jézus pedig azt mondta nekik: Sehol sincs a prófétának kevesebb becsülete, mint a tulajdon hazájában és házában.
Matt.13.58 | Nem is tett ott sok csodát az ő hitetlenségük miatt.

Matt.14.1 | Abban az időben hallotta Heródes, a negyedesfejedelem, Jézus hírét,
Matt.14.2 | és azt mondta szolgáinak: Keresztelő János ez: ő támadt fel a halálból, és azért működnek benne a csodatevő erők.
Matt.14.3 | Mert Heródes elfogatta Jánost, megkötöztette és tömlöcbe vettette Heródiás miatt, Fülöpnek, az ő testvérének felesége miatt.
Matt.14.4 | Mert azt mondta neki János: Nem szabad neked ővele élned.
Matt.14.5 | És meg akarta őt öletni, de félt a sokaságtól, mert prófétának tartották őt.
Matt.14.6 | Mikor azonban Heródes születésnapja volt, Heródiás leánya táncolt előttük s úgy megtetszett Heródesnek,
Matt.14.7 | hogy esküvel fogadta, bármit kér, megadja neki.
Matt.14.8 | Az pedig anyja rábeszélésére így szólt: Add ide nekem egy tálban Keresztelő János fejét.
Matt.14.9 | Ekkor a király elszomorodott, de esküjéért és a vendégek miatt megparancsolta, hogy adják oda.
Matt.14.10 | És elküldve, lefejeztette Jánost a tömlöcben.
Matt.14.11 | És elhozták az ő fejét egy tálban, odaadták a leánynak, az pedig az ő anyjának vitte.
Matt.14.12 | Az ő tanítványai pedig odamentek, elvitték a testet és eltemették. Azután elmentek és hírül adták ezeket Jézusnak.
Matt.14.13 | Mikor ezt Jézus meghallotta, elhajózott onnan egy puszta helyre egyedül. A sokaság pedig ennek hallatára gyalog követte őt a városokból.
Matt.14.14 | És mikor kiszállt, nagy sokaságot látott, megszánta őket és betegeiket meggyógyította.
Matt.14.15 | Mikor pedig esteledett, odamentek hozzá tanítványai és azt mondták: Puszta ez a hely és az idő már eljárt. Engedd el a sokaságot, hadd menjenek el a falvakba és vegyenek maguknak élelmet.
Matt.14.16 | "Jézus azonban ezt mondta nekik: Nem szükséges elmenniük; adjatok nekik ti enni."
Matt.14.17 | De azok így szóltak neki: Nincs itt egyebünk, csak öt kenyerünk és két halunk.
Matt.14.18 | Ő pedig szólt: Hozzátok ide hozzám.
Matt.14.19 | "És miután megparancsolta a sokaságnak, hogy üljenek le a fűre, vette az öt kenyeret meg a két halat és feltekintett az égre, hálát adott; megtörte a kenyereket, és odaadta a tanítványoknak, a tanítványok pedig a sokaságnak,"
Matt.14.20 | Mikor aztán mindnyájan ettek és jóllaktak, felszedték a maradék darabokat tizenkét tele kosárral.
Matt.14.21 | Akik pedig ettek, mintegy ötezerén voltak férfiak az asszonyokon és gyermekeken kívül.
Matt.14.22 | És mindjárt meghagyta tanítványainak, hogy szálljanak a hajóba és keljenek át előtte a túlsó partra, míg ő elbocsátja a sokaságot.
Matt.14.23 | És miután elbocsátotta a sokaságot, fel ment a hegyre magánosan, hogy imádkozzék. Mikor pedig beesteledett, egyedül volt ott.
Matt.14.24 | A hajó pedig már a tenger közepén volt, a haboktól hányatva, mivel szembefújt a szél.
Matt.14.25 | Az éjtszaka negyedik őrváltása idején odament hozzájuk Jézus, a tengeren járva.
Matt.14.26 | És mikor a tanítványok meglátták, hogy a tengeren jár, megrémültek, és ezt mondták: Kísértet ez! És félelmükben kiáltoztak.
Matt.14.27 | De Jézus azonnal szólott hozzájuk: Bízzatok! Én vagyok! Ne féljetek!
Matt.14.28 | Ekkor Péter megszólalt és azt mondta neki: Uram, ha te vagy, parancsolj, hogy odamehessek hozzád a vizén.
Matt.14.29 | ő pedig szólt: Jöjj! Erre Péter kiszállt a hajóból, járt a vizén és Jézushoz ment.
Matt.14.30 | De látva az erős szelet, megrémült, és amint süllyedni kezdett, felkiáltott: Uram, ments meg engem!
Matt.14.31 | Jézus pedig azonnal kinyújtotta kezét, megragadta őt és ezt mondta neki: Kicsinyhitű, miért kételkedtél?
Matt.14.32 | És mikor beléptek a hajóba, elállt a szél.
Matt.14.33 | A hajóban levők pedig leborultak előtte és így szóltak: Bizony, Isten Fia vagy!
Matt.14.34 | És mikor átkeltek, eljutottak Genezáret földjére.
Matt.14.35 | És mikor annak a helységnek lakói felismerték őt, szétküldtek az egész környékre, és minden beteget odavittek őhozzá,
Matt.14.36 | és kérték őt, hogy csak a ruhája szegélyét érinthessék. És akik érintették, mindnyájan meggyógyultak.

Matt.15.1 | Akkor Jeruzsálemből való farizeusok és írástudók mentek Jézushoz és ezt mondták:
Matt.15.2 | Miért szegik meg a te tanítványaid a vének hagyományát? Mert nem mossák meg a kezüket evés előtt.
Matt.15.3 | ő pedig azt felelte nekik: Hát ti miért szegitek meg az Isten parancsolatát a ti hagyományotokért?
Matt.15.4 | Mert Isten parancsolta: Tiszteld atyádat és anyádat és: Aki atyját vagy anyját szidalmazza, halállal lakoljon.
Matt.15.5 | Ti pedig ezt mondjátok: Aki atyjának vagy anyjának ezt mondja: áldozati ajándék az, amivel téged segíthetnélek, az ilyen akár ne is tisztelje az ő atyját vagy anyját.
Matt.15.6 | Így teszitek érvénytelenné Isten törvényét a ti hagyományotokért.
Matt.15.7 | Képmutatók, helyesen prófétált felőletek Ésaiás, mikor ezt mondta:
Matt.15.8 | Ez a nép szájával tisztel engem, de a szíve távol van tőlem.
Matt.15.9 | Pedig hiába tisztelnek engem, ha emberi parancsolatokat tanítanak isteni tanítás gyanánt.
Matt.15.10 | És magához hívta a sokaságot, és így szólt hoz zajuk: Halljátok és értsétek meg!
Matt.15.11 | Nem az teszi tisztátalanná az embert, ami a szájon bemegy, hanem ami a szájból kijön, az teszi tisztátalanná az embert.
Matt.15.12 | Akkor odamentek hozzá a tanítványai, és ezt mondták neki: Tudod, hogy a farizeusok e beszéd hallatára megbotránkoztak?
Matt.15.13 | Ő pedig ezt felelte: Minden palánta, amelyet nem az én mennyei Atyám ültetett, kiszaggattatik.
Matt.15.14 | "Hagyjátok őket; vakok világtalan vezetői ők. Ha pedig vak vezeti a világtalant, mind a ketten a verembe esnek."
Matt.15.15 | Péter pedig ezt felelte neki: Magyarázd meg nekünk ezt a példázatot.
Matt.15.16 | Ő pedig így szólt: Még ti is értelem nélkül valók vagytok?
Matt.15.17 | Nem értitek, hogy mindaz, ami a szájon bemegy, a gyomorba jut s onnan természetes úton távozik?
Matt.15.18 | Ami ellenben a szájból kijön, az a szívből származik, és az teszi tisztátalanná az embert.
Matt.15.19 | Mert a szívből származnak a gonosz gondolatok, gyilkosságok, házasságtörések, paráznaságok, lopások, hamis tanúzások, káromlások.
Matt.15.20 | Ezek teszik tisztátalanná az embert, de a mosdatlan kézzel való evés nem teszi tisztátalanná az embert.
Matt.15.21 | És eltávozott onnét Jézus és Tírus és Szidon vidékeire vonult.
Matt.15.22 | És íme egy kánaáni asszony, aki arról a vidékről jött, így kiáltott hozzá: Uram, Dávid fia, könyörülj rajtam! Az én leányomat gonoszul gyötri az ördög.
Matt.15.23 | Ő pedig egy szót sem felelt neki. És az ő tanítványai odamentek hozzá és kérték őt: Bocsásd el őt, mert utánunk kiáltoz.
Matt.15.24 | De ő így felelt nekik: Én csak Izrael házának elveszett juhaihoz küldettem.
Matt.15.25 | Az asszony pedig odaérve, leborult előtte és azt mondta: Uram, légy segítségül nekem!
Matt.15.26 | Ő pedig! így felelt: Nem helyes a gyermekek kenyerét elvenni és az ebeknek vetni.
Matt.15.27 | "Az pedig szólt: Úgy van, Uram; de hiszen az ebek is esznek a morzsalékokból, amik az ő uraik asztaláról lehullanak,"
Matt.15.28 | Ekkor Jézus így felelt neki: Asszony! Nagy a te hited. Legyen neked a te akaratod szerint. És meggyógyult az ő leánya attól az órától fogva.
Matt.15.29 | És onnan eltávozott Jézus a galileai tenger mellé és felment a hegyre és ott leült.
Matt.15.30 | És nagy sokaság ment hozzá, amellyel sánták, csonkák, vakok, némák voltak és sokan mások. Ezeket odahelyezték Jézus lába elé, és ő meggyógyította őket,
Matt.15.31 | úgyhogy a sokaság álmélkodott, mikor látta, hogy a némák beszélnek, a csonkák megépülnek, a sánták járnak, a vakok látnak. És dicsőítették Izrael Istenét.
Matt.15.32 | Jézus pedig előszólította tanítványait, és azt mondta: Szánakozom e sokaságon, mert három napja már, hogy velem vannak és nincs mit enniük. Éhen pedig nem akarom őket elbocsátani, hogy valamiképpen ki ne dőljenek az úton.
Matt.15.33 | És szóltak neki a tanítványai: Honnét volna a pusztában annyi kenyerünk, hogy ilyen nagy sokaságot megelégítsünk?
Matt.15.34 | És Jézus azt mondta nekik: Hány kenyeretek van? ők pedig szóltak: Hét, és néhány apró halunk.
Matt.15.35 | Megparancsolta hát a sokaságnak, hogy telepedjenek le a földre.
Matt.15.36 | És vette a hét kenyeret és a halakat és hálát adott, megtörte és odaadta tanítványainak, a tanítványok pedig a sokaságnak.
Matt.15.37 | És mindnyájan ettek és jóllaktak. Majd összeszedték a maradék darabokat hét tele kosárral.
Matt.15.38 | Akik pedig ettek, négyezerén voltak férfiak, asszonyokon és gyermekeken kívül.
Matt.15.39 | És amikor elbocsátotta a sokaságot, beszállt a hajóba és elment Magdala vidékére.

Matt.16.1 | És odamentek hozzá a farizeusok meg a szadduceusok és kísértve, kérték őt, hogy mutasson nekik mennyei jelt.
Matt.16.2 | ő pedig ezt felelte nekik: Mikor esteledik, azt mondjátok: Szép idő lesz, mert vörös az ég.
Matt.16.3 | Reggel pedig: Ma zivatar lesz, mert az ég borús és vörös. Képmutatók! Az ég ábrázatját meg tudjátok ítélni, az idők jeleit pedig nem tudjátok?
Matt.16.4 | "E gonosz és parázna nemzedék jelt kíván; és nem adatik neki jel, csak Jónás próféta jele. És otthagyta őket, és eltávozott."
Matt.16.5 | Mikor a tanítványok a túlsó partra mentek, elfelejtettek kenyeret vinni magukkal.
Matt.16.6 | Jézus pedig így szólt nekik: Vigyázzatok és őrizkedjetek a farizeusok és szadduceusok kovászától.
Matt.16.7 | Ők pedig tanakodtak maguk között: Nem hoztunk kenyeret magunkkal.
Matt.16.8 | Mikor ezt Jézus észrevette, ezt mondta nekik: Mit tanakodtok magatok között, ti kicsinyhitűek, hogy nincs kenyeretek?
Matt.16.9 | Még most sem értitek és nem emlékeztek az ötezer embernek kiosztott öt kenyérre és hogy hány kosár maradékot szedtetek össze?
Matt.16.10 | Sem a négyezer embernek kiosztott hét kenyérre és hogy hány kosár maradékot szedtetek össze?
Matt.16.11 | Hát hogyan nem értitek, hogy én nem a kenyérről szóltam nektek? őrizkedjetek a farizeusok és szadduceusok kovászától!
Matt.16.12 | Ekkor értették meg, hogy nem azt mondta, hogy a kenyérbe való kovásztól, hanem a farizeusok és szadduceusok tanításától őrizkedjenek.
Matt.16.13 | Mikor pedig Jézus Cézárea Filippi környékére ment, megkérdezte tanítványait: Az Ember Fiát kinek mondják az emberek?
Matt.16.14 | ők pedig azt mondták: Némelyek Keresztelő Jánosnak, mások Illésnek, megint mások Jeremiásnak vagy valamelyik prófétának.
Matt.16.15 | Szólott nekik: Ti pedig kinek mondotok engem?
Matt.16.16 | Simon Péter pedig így felelt: Te vagy a Krisztus, az élő Isten Fia.
Matt.16.17 | És Jézus ezt mondta neki: Boldog vagy, Simon, Jóna fia, mert nem test és vér jelentette ki ezt neked, hanem az én mennyei Atyám.
Matt.16.18 | De én is mondom neked: te Péter vagy, és ezen a kősziklán építem fel az én egyházamat és a pokol kapui sem diadalmaskodnak rajta.
Matt.16.19 | "És neked adom a mennyek országának kulcsait; és amit megkötsz a földön, kötve lesz a mennyekben, és amit feloldozol a földön, oldozva lesz a mennyekben."
Matt.16.20 | Akkor megparancsolta tanítványainak, hogy senkinek se mondják, hogy ő a Krisztus.
Matt.16.21 | Ettől fogva kezdte Jézus Krisztus jelenteni tanítványainak, hogy neki Jeruzsálembe kell mennie és sokat kell szenvednie a vénektől és a papi fejedelmektől és az írástudóktól, és megöletnie és harmadnap feltámadnia.
Matt.16.22 | És Péter félrevonva őt, feddeni kezdette: Mentsen Isten, Uram, nem eshetik ez meg veled.
Matt.16.23 | "Ő pedig megfordulva, így szólt Péternek: Távozz tőlem, sátán; botránkozásomra vagy nekem, mert nem gondolsz az Isten dolgaira, hanem az emberekére."
Matt.16.24 | Ekkor így szólt Jézus az ő tanítványainak: Ha valaki jönni akar én utánam, tagadja meg magát és vegye fel az ő keresztjét és kövessen engem.
Matt.16.25 | "Mert aki meg akarja tartani az ő életét, elveszíti azt; aki pedig elveszíti az ő éleiét énérettem, megtalálja azt."
Matt.16.26 | Mert mit használ az embernek, ha az egész világot megszerzi is, de az életét elveszíti. vajjon mivel válthatja vissza az ember az ő életét?
Matt.16.27 | Mert az Ember Fia eljön majd az ő Atyjának dicsőségében az ő angyalaival és akkor megfizet mindenkinek az ő cselekedete szerint.
Matt.16.28 | Bizony mondom nektek, hogy az itt állók között vannak némelyek, akik nem ízlelik meg a halált, míg meg nem látják az Ember Fiát eljönni az ő országával.

Matt.17.1 | És hat nap múlva magához vette Jézus Pétert, Jakabot és ennek test vérét, Jánost, és felvitte őket külön egy magas hegy re.
Matt.17.2 | És elváltozott előttük, és arca ragyogott, mint a nap, ruhája pedig olyan fehér lett, mint a napfény.
Matt.17.3 | És íme megjelent nekik Mózes és Illés, akik beszélgettek vele.
Matt.17.4 | Péter pedig megszólalt és ezt mondta Jézusnak: Uram, jó nekünk itt lennünk. Ha akarod, építek itt három sátrat: neked egyet, Mózesnek is egyet, Illésnek is egyet.
Matt.17.5 | Mikor ő még beszélt, íme fényes felhő borította be őket és szózat hangzott a felhőből: Ez az én szeretett Fiain, akiben gyönyörködöm: őt hallgassatok.
Matt.17.6 | És amint a tanítványok ezt hallották, arcra borultak és igen megijedtek.
Matt.17.7 | Jézus pedig odament hozzájuk, megérintette őket és így szólt: Keljetek fel és ne féljetek!
Matt.17.8 | Mikor pedig szemüket felemelték, senkit sem láttak, csak Jézust egyedül.
Matt.17.9 | És amikor a hegyről lejöttek, megparancsolta nekik Jézus: Senkinek se szóljatok arról, amit láttatok, míg az Ember Fia fel nem támad a. halálból.
Matt.17.10 | És megkérdezték tőle tanítványai: Miért mondják tehát az írástudók, hogy előbb Illésnek kell eljönnie?
Matt.17.11 | Ő pedig ezt felelte nekik: Illés csakugyan eljön előbb és mindent helyreállít majd.
Matt.17.12 | De én azt mondom nektek, Illés már eljött, de nem ismerték fel őt, hanem azt tették vele, amit akartak, így kell az Ember Fiának is szenvednie tőlük.
Matt.17.13 | Ekkor megértették a tanítványok, hogy Keresztelő Jánosról szólt nekik.
Matt.17.14 | És mikor a sokasághoz értek, egy ember odament hozzá, térdre borult előtte
Matt.17.15 | "és így szólt: Uram, könyörülj az én fiamon, mert holdkóros és kegyetlenül szenved; mivel gyakorta esik a tűzbe és gyakorta a vízbe."
Matt.17.16 | És elhoztam őt tanítványaidhoz, de nem tudták meggyógyítani.
Matt.17.17 | Jézus pedig ezt mondta: Ó hitetlen és elvetemült nemzedék! vajjon meddig leszek veletek? vajjon meddig szenvedlek titeket? Hozzátok őt ide nekem!
Matt.17.18 | És megdorgálta őt Jézus, és kiment belőle az ördög. És meggyógyult a gyermek attól az órától fogva.
Matt.17.19 | Ekkor a tanítványok külön maguk odamentek Jézushoz, és így szóltak hozzá: Miért nem tudtuk azt kiűzni mi?
Matt.17.20 | Jézus pedig azt mondta nekik: A ti hitetlenségetek miatt. Mert bizony mondom nektek: ha akkora hitetek volna, mint a mustármag és azt mondanátok ennek a hegynek: Menj innen amoda! odamenne, és semmi sem volna lehetetlen nektek.
Matt.17.21 | Ez a fajta pedig nem megy ki, csak könyörgés és böjtölés által.
Matt.17.22 | Amikor pedig Galileában együtt jártak, így szólt hozzájuk Jézus: Az Ember Fia emberek kezére adatik,
Matt.17.23 | és megölik őt, de harmadnap feltámad. És nagyon elszomorodtak.
Matt.17.24 | Mikor pedig Kapernaumba értek, azok, akik a két drahmát szedik, odamentek Péterhez és azt mondták neki: A ti Mesteretek nem fizeti a két drahmát?
Matt.17.25 | Ő szólt: Fizeti. És mikor bement a házba, megelőzte őt a beszédben Jézus: Mit gondolsz, Simon, a föld királyai kiktől szednek vámot vagy adót: fiaiktól-e vagy az idegenektől?
Matt.17.26 | Azt válaszolta neki: Az idegenektől. Szólott neki Jézus: Tehát a fiak szabadok.
Matt.17.27 | De hogy meg ne botránkoztassuk őket, menj a tengerhez, vesd be a horgot és húzd ki az első halat, amely ráakad. Ha annak száját felnyitod, egy státert találsz benne: vedd ki azt és add oda nekik értem és érted.

Matt.18.1 | Abban az órában odamentek a tanítványok Jézushoz és ezt mondták: Vájjon ki a legnagyobb a mennyek országában?
Matt.18.2 | Erre Jézus odahívott egy kis gyermeket, közéjük állította
Matt.18.3 | és így szólt: Bizony mondom nektek, ha meg nem tértek és olyanok nem lesztek, mint a kis gyermekek, semmiképpen sem mentek be a mennyek országába.
Matt.18.4 | Aki azért meg alázza magát, mint ez a kis gyermek, az a legnagyobb a mennyek országában.
Matt.18.5 | És aki egy ilyen kis gyermeket befogad az én nevemért, engem fogad be.
Matt.18.6 | Aki pedig megbotránkoztat egyet is e kicsinyek közül, akik énbennem hisznek, jobb annak, hogy nagy malomkövet kössenek a nyakára és a tenger mélységébe vessék.
Matt.18.7 | Jaj a világnak a botránkozások miatti Mert botránkozások mindenképen lesznek ugyan, de jaj annak az embernek, aki által a botránkozás esik!
Matt.18.8 | Ha pedig kezed vagy lábad megbotránkoztat téged, vágd le és vesd el magadtól. Jobb neked ha csonkán vagy sántán mégy az életre, mint ha két kezeddel és két lábaddal vettetel az örök tűzre.
Matt.18.9 | "És ha szemed botránkoztat meg, vájd ki és vesd el magadtól; jobb neked, ha félszemmel mégy az életre, mint ha két szemeddel vettetel a gyehenna tüzére."
Matt.18.10 | "Vigyázzatok, hogy e kicsinyek közül egyet se vessetek meg; mert mondom nektek, hogy az ő angyalaik a mennyekben mindenkor látják az én mennyei Atyám arcát."
Matt.18.11 | Mert az Ember Fia azért jött, hogy megtartsa, ami elveszett?
Matt.18.12 | Mit gondoltok: ha egy embernek száz juha - van és azok közül egy eltéved, nem hagy ja-e ott a kilencvenkilencet a hegyeken és nem megy-é el és nem keresi-e meg az eltévedted
Matt.18.13 | És ha történetesen megtalálja, bizony mondom nektek, jobban örvend azon, mint a kilencvenkilencen, amely nem tévedt el.
Matt.18.14 | Így a ti mennyei Atyátok sem akarja, hogy egy is elvesszen e ki csínyek közül.
Matt.18.15 | "Ha pedig a te atyádfia vétkezik ellened - menj el és intsd meg őt négyszemközt; ha hallgat rád, megnyerted a te atyádfiát; (A 15. versben gondolatjel közé tett szó a legrégibb kéziratokban nincs meg.)"
Matt.18.16 | ha pedig nem hallgat rád, végy magad mellé még egyet vagy kettőt, hogy minden vitás ügyet két vagy három tanú vallomása bizonyítson.
Matt.18.17 | Ha azokra sem hallgat, jelentsd a gyülekezetnek. Ha pedig még a gyülekezetre sem hallgat, legyen előtted olyan, mint a pogány és a vámszedő.
Matt.18.18 | Bizony mondom nektek: amit megköttök a földön, kötve lesz a mennyekben, és amit feloldoztok a földön, oldozva lesz a mennyekben.
Matt.18.19 | Ismét mondom nektek: ha ketten közületek egy akaraton lesznek a földön minden dolog felől, amit csak kérnek, megadja nekik az én mennyei Atyám.
Matt.18.20 | Mert ahol ketten vagy hárman összegyűlnek az én nevemben, ott vagyok közöttük.
Matt.18.21 | Ekkor Péter odament hozzá és azt mondta: Uram, hányszor vétkezhetik az én atyámfia ellenem és hányszor bocsássak meg neki? Még hétszer is?
Matt.18.22 | Jézus azt mondta neki: Nem mondom neked, hogy hétszer is, hanem hetvenhétszer is. (A 22. versben egyes kéziratokban ez olvasható: hetvenszer hétszer. )
Matt.18.23 | Ezért hasonló a mennyek országa a királyhoz, aki számadást akart tartani szolgáival.
Matt.18.24 | Mikor azután a számonkérést megkezdte, olyan szolgát hoztak eléje, aki tízezer talentommal volt adós.
Matt.18.25 | Mivel nem tudott fizetni, ura megparancsolta, hogy adják el őt is, feleségét is, gyermekeit is és mindenét, amije van, és úgy fizessen.
Matt.18.26 | Ekkor a szolga térdre esett és könyörgött: Uram, légy türelemmel hozzám és mindent megfizetek neked.
Matt.18.27 | Az úr pedig megszánta azt a szolgát, és elbocsátotta őt és az adósságot is elengedte neki.
Matt.18.28 | Ahogy kiment a szolga, találkozott egyik szolgatársával, aki száz dénárral tartozott neki. És megragadta őt, fojtogatta és ezt mondta: Fizesd meg nekem amivel tartozol.
Matt.18.29 | Ekkor az ő szolgatársa térdre esve kérte őt: Légy türelemmel hozzám és mindent megfizetek neked.
Matt.18.30 | De az megtagadta és elmenvén, tömlöcbe vetette őt, amíg ki nem fizeti tartozását.
Matt.18.31 | Mikor pedig az ő szolgatársai látták a történtekét, igen elszomorodtak és elmentek és mindent megjelentettek az ő uruknak, ami történt.
Matt.18.32 | Akkor előhívatta őt az ő ura és azt mondta neki: Gonosz szolga, én a te egész tartozásodat elengedtem neked, mivel könyörögtél nekem.
Matt.18.33 | Nem kellett volna-e neked is könyörülnöd a te szolgatársadon, amint én is könyörültem rajtad?
Matt.18.34 | És haragra gerjedt az ő ura, és a hóhérok kezére adta őt, míg minden tartozását meg nem fizeti.
Matt.18.35 | Így cselekszik az én mennyei Atyám is veletek, ha szívetekből meg nem bocsátotok, kiki az ő atyjafiának az ő vétkeiket. (A 35. vers három utolsó szava a legrégibb kéziratokban nincs meg.)

Matt.19.1 | "Amikor Jézus elvégezte e beszédeket, eltávozott Galileából és elment Júdeának jordánontúli vidékére;"
Matt.19.2 | És követte őt nagy sokaság és ott meggyógyította őket.
Matt.19.3 | Ekkor odamentek hozzá a farizeusok és kísértve őt ezt mondták: Szabad-e az embernek az ő feleségét bármi okért elbocsátani?
Matt.19.4 | ő pedig így felelt: Nem olvastátok, hogy a Teremtő kezdettől fogva férfiúvá és asszonnyá teremtette őket,
Matt.19.5 | és ezt mondta: Ezért a férfi elhagyja atyját és anyját, és ragaszkodik az ő feleségéhez, és lesznek ketten egy testté.
Matt.19.6 | Azért többé nem két test ők, hanem egy. Amit tehát az latén egybeszerkesztett, ember el ne válassza.
Matt.19.7 | Szóltak neki: Miért rendelte hát Mózes, hogy válólevelet kell adni és úgy bocsátani el az asszonyt?
Matt.19.8 | "Ő így szólt nekik: Mózes a ti szívetek keménysége miatt engedte meg nektek, hogy feleségeteket elbocsássátok; de kezdettől fogva nem így volt."
Matt.19.9 | Mondom pedig nektek: aki az ő feleségét paráznaság okán kívül elbocsátja és mást vesz el, házasságtörő.(A 9. vers után egyes kéziratokban ez olvasható: És aki elbocsátottat vesz el, az is házasságtörő. Mt.5:32, Lk.l6:18.)
Matt.19.10 | Szóltak neki tanítványai: Ha így van a férfi dolga az asszonnyal, nem jó megházasodni.
Matt.19.11 | ő pedig azt mondta nekik: Nem mindenki fogadja be ezt a beszédet, csak akiknek megadatott.
Matt.19.12 | "Mert vannak születésüktől fogva házasságra képtelenek; és vannak, akiket az emberek tettek azzá és vannak, akik önmagukat tették házasságra képtelenné a mennyek országáért. Aki meg tudja érteni, értse meg!"
Matt.19.13 | Ekkor kis gyermekeket vittek hozzá, hogy tegye rájuk a kezét és imádkozzék értük, a tanítványok azonban dorgálták őket.
Matt.19.14 | Jézus pedig így szolt: Engedjétek, hogy hozzám jöjjenek a kis gyermekek és ne tiltsátok el őket, mert ilyeneké a mennyek országa.
Matt.19.15 | És kezét rájuk tette és eltávozott onnét.
Matt.19.16 | Íme ekkor egy ember odament hozzá és ezt mondta neki: Mester, mi jót cselekedjem, hogy örök életem legyen?
Matt.19.17 | Ő pedig azt mondta neki: Miért kérdezed tőlem, mi a jól Csak egy a jó. Ha pedig be akarsz menni az életre, tartsd meg a parancsolatokat.
Matt.19.18 | "Ő pedig így szólt neki: Melyeket? Jézus azt mondta: Ne ölj; Ne paráználkodjál; Ne lopj; Hamis tanúbizonyságot ne mondj;"
Matt.19.19 | "Tiszteld atyádat és anyádat; és: Szeresd felebarátodat, mint tenmagadat."
Matt.19.20 | Szólt neki az ifjú: Én mindezt megtartottam. Milyen fogyatkozás van még bennem1? (A 20. versben a megtartottam szó után egyes kéziratokban még ez olvasható: ifjúságomtól fogva.)
Matt.19.21 | "Jézus azt mondta neki: Ha tökéletes akarsz lenni, menj el, add el a vagyonodat és oszd ki a szegényeknek: és kincsed lesz a mennyben; azután jöjj és kövess engem."
Matt.19.22 | Mikor az ifjú ezt a beszédet meghallotta, megszomorodva távozott, mert nagy vagyona volt.
Matt.19.23 | Jézus pedig azt mondta tanítványainak: Bizony mondom nektek: Gazdag ember nehezen megy be a mennyek országába.
