Rom.1.1 | Pál, Jézus Krisztus szolgája, elhívott apostol, kiválasztva az Isten evangéliumának hirdetésére,
Rom.16.12 | Köszöntsétek Trifénát és Trifószát, akik munkálkodnak az Úrban. Köszöntsétek a szeretett Perzist, aki sokat munkál kodott az Úrban.
Rom.16.13 | Köszöntsétek Rúfust, aki ki választatott az Úrban és az ő anyját, aki nekem is anyám.
Rom.16.14 | Köszöntsétek Aszinkritust, Flegont, Hermest, Pátrobást, Hermást és a velük levő atyafiakat.
Rom.16.15 | Köszöntsétek Filológust és Júliát, Néreust és az ő nőtestvérét, Olimpást, valamint a velük levő összes szenteket.
Rom.16.16 | Köszöntsétek egymást szent csókkal. Köszöntenek titeket Krisztus összes gyülekezetei.
Rom.16.17 | Intelek pedig titeket, atyámfiai, vigyázzatok azokra, akik szakadásokat és botránkozásokat okoznak azzal a tanítással szemben, amelyet tanultatok.
Rom.16.18 | Ezektől forduljatok el. Mert az ilyenek nem a mi Urunknak a Krisztusnak szolgálnak, hanem csak a hasuknak, és nyájas beszéddel meg hízelgéssel meg csalják a romlatlanok szívét.
Rom.16.19 | Mert a ti engedelmességtek híre mindenkihez eljutott, örülök tehát nektek. De azt akarom, hogy bölcsek legyetek a jóban, a rosszban pedig ártatlanok.
Rom.16.20 | A békességnek Istene pedig hamarosan összetöri a Sátánt lábatok alatt. A mi Urunk Jézus Krisztus kegyelnie legyen veletek!
Rom.16.21 | Köszönt titeket Timótheus, az én munkatársam és Lucius, Jázon és Szózipater, az én rokonaim.
Rom.16.22 | Köszöntelek titeket én, Tercius, aki ezt a levelet le írtam.
Rom.16.23 | Köszönt titeket Gájus, aki nekem és az egész gyülekezetnek házi gazdája. Köszönt Erásztus, a város pénztárosa,és Kvártus atyánkfia.
Rom.16.24 | A mi Urunk Jézus Krisztus kegyelme legyen mindnyájatokkal! Ámen.
Rom.16.25 | Annak pedig, aki megerősíthet titeket az én evangéliumom és a Jézus Krisztusról szóló igehirdetés alapján, annak a titoknak kijelentése alapján, amelyet Isten öröktől fogva hallgatással titokban tartott,
Rom.16.26 | most azonban az örökké való Isten rendelése szerint a prófétai írások által nyilvánvalóvá lett és hitbeli engedelmesség végett minden népnek tudomására adatott:
Rom.16.27 | neki, az egyedül bölcs Istennek, legyen dicsőség a Jézus Krisztus által örökkön-örökké. Ámen.
