2Kgs.1.1 | Elszakada pedig Moáb, Akhábnak halála után, az Izráeltől.
2Kgs.11.2 | Jóseba pedig Jórám Királynak leánya, Akháziának huga fogá Joást, Akháziának fiját, és ellopván őtet a Király fijai közzűl, kik megölettetnek vala, elrejté az ő dajkájával egybe az ágyasházban; és elrejték őtet Athália előtt és meg nem öletteték.
2Kgs.11.3 | És elrejtve vala Joás az ő dajkájával egybe az Úr házában hat esztendeig, Athália uralkodik vala pedig a földön.
2Kgs.11.4 | A hetedik esztendőben pedig elkülde Jójada, és maga mellé vevé a Századosokat, Hadnagyokat és vitézeket, kiket bévivé az Úr házába, és kötést tőn velek, és megesküdteté őket az Úr házában, és megmutatá nékik a Király fiját.
2Kgs.11.5 | És parancsola néki, mondván: Ezt kell cselekednetek: Ti közzűletek harmadrésze azoknak, kiknek fel kell Szombatra jőni, a Király házát őrizzék szorgalmatosan;
2Kgs.11.6 | A harmadrésze legyen a Súr kapuban, és harmadrésze a vitézek hátok megett való kapuban: és nagy szorgalmatossággal őrizzétek e házat, hogy senki reánk ne üssön.
2Kgs.11.7 | A kik pedig közzűletek Szombaton mind kimennek, két részben legyenek; és vigyázzanak az Úr házának megőrizésére a Király körűl.
2Kgs.11.8 | És vegyétek körűl a Királyt, kiki mind kezében tartván fegyverét: A ki pedig e rendre reá ütne azt megöljétek; és legyetek szüntelen a Király körűl, mind mikor kijő, mind mikor bémegyen.
2Kgs.11.9 | Úgy cselekedének azért a Századosok, a mint meghagyta vala nékik Jójada Pap: és kiki magamellé vevé az ő férjfiait, azokat, kik bémennek vala Szombaton azokkal egybe, kik kijőnek vala Szombaton: és menének Jójada Paphoz.
2Kgs.11.10 | És ada a Pap a Századosoknak kopjákat és paizsokat, mellyek Dávid Királyéi valának az Úr házában.
2Kgs.11.11 | És rendet állának a vitézek, kiki fegyverét kezében tartván, a háznak jobb oldalától fogva bal oldaláig, az oltár felé és a ház felé, a Király mellett mind köröskörűl.
2Kgs.11.12 | És hozá Jójada a Király fiját, és fejébe tevé a koronát, és kezébe adá a bizonyságtételt, és Királlyá tevék őtet, és megkenék; és kezekkel tapsolván, mondának: Éljen a Király.
2Kgs.11.13 | Mikor pedig meghallotta volna Athália a vitézeknek és a községnek zendülését, béméne a néphez az Úr házába.
2Kgs.11.14 | Ki mikor kétfelé tekintett volna: Ímé a Király áll vala a kőláb mellett a szokás szerint, és a Fejedelmek és a tormbitások a Király előtt állnak vala, és az egész föld népe víg vala, és trombitálnak vala: akkor megszaggatá Athália az ő ruháit, és kiáltván, mona: Pártot ütöttek ellenem!
2Kgs.11.15 | Parancsola azért Jójada Pap a Századosoknak, a sereg Hadnagyainak, és monda nékik: Engedjétek meg, hogy menjen ki a rendek között, és valaki őtet követi, azt is megöljétek fegyverrel. Mert azt mondja vala a Pap: Ne ölettessék meg az Úr házában.
2Kgs.11.16 | És helyt adának néki, és arra az útra méne, mellyen a lovakat béviszik vala a Király házába, és ott ölék meg őtet.
2Kgs.11.17 | Kötést tőn pedig Jójada az Úr között, a Király között és a nép között, hogy ők lennének az Úrnak népe: ismét a Király között és a nép között.
2Kgs.11.18 | És elméne az egész föld népe a Baál templomába, és azt elronták, és mind oltárait, mind képeit teljességgel letörék; és Matthánt a Baál papját is megölék az oltárok előtt. És a Pap helyére állatá a tiszteket az Úrnak házában.
2Kgs.11.19 | Annakfelette maga mellé vévén a Századosokat és a Hadnagyokat, és a vitézeket és az egész föld népét, elvivék a Királyt az Úrnak házából, és menének a vitézek kapujának útán a Király házához. És Joás üle a Királyok székibe.
2Kgs.11.20 | És örvendeze mind az egész föld népe, és megnyugovék a város, minekutánna megölék Atháliát fegyverrel a Király háza mellett.
2Kgs.11.21 | Hét esztendős vala Jóás mikor uralkodni kezde.

2Kgs.12.1 | Jéhunak hetedik esztendejében tevék Joást Királlyá, és negyven esztendeig uralkodék Jérusálemben; az ő annyának pedig Sibja vala neve, ki Beersebából való vala.
2Kgs.12.2 | És cselekedék Joás kedves dolgot az Úrnak szemei előtt mind addig míg Jójada Pap oktatá őtet:
2Kgs.12.3 | De mindazáltal magasságbeli oltárok el nem rontattak vala, a nép mégis áldozik vala, és jóillatot tészen vala a magasságban való oltárokon.
2Kgs.12.4 | Megparancsolá pedig Joás Papoknak, hogy minden pénzt, melly Istennek szenteltetik, és az Úrnak házába bévitetik, mind a megszámlálásnak pénzét, a személyeknek megváltó pénzét, mind pedig a mellyet kiki szabad akaratja szerint az Úr házához béviszen:
2Kgs.12.5 | Vegyenek magokhoz a Papok kiki mind az ő esmérőjétől; és ők építsék meg az Úr házának romlásait mindenütt, a hol romlást látnak rajta.
2Kgs.12.6 | Lőn pedig Joás Királynak huszonharmadik esztendejében, mégis nem építették vala meg a Papok az Úr házának romlásait:
2Kgs.12.7 | Annakokáért előhívatá Joás Király Jójada Papot a több Papokkal egybe, és monda nékik: Miért nem építitek meg az Úr házának romlásait? Ezután azért ne vegyétek a pénzt hozzátok a ti esmérőitektől, hanem az Úr háza romlásainak épitésére adjátok azt.
2Kgs.12.8 | És engedének néki a Papok; és el nem vevék többé a pénzt a néptől, hogy ők ne építenék meg az Úr házának romlásait.
2Kgs.12.9 | Vévén azért Jójada Pap egy ládát, annak a fedelén csinála egy lyukat, és helyhezteté azt az oltár mellé jobbfelől, melly felől az Úr házába bémennek vala, és abban tölték a Papok a templom küszöbinek őrizői mind a pénzt, mellyet az Úr házába bévisznek vala.
2Kgs.12.10 | És mikor látják vala, hogy sok pénz volna a ládában, felmegyen vala a Király Íródeákja a Főpappal együtt, és megszámlálván a pénzt, mellyet az Úr házában találnak vala, csomóba kötik vala.
2Kgs.12.11 | És a készpénzt a mívesek körűl való pallérok kezébe adják vala az Úrnak házában, és azt az ácsokra és az építőkre költik vala, a kik az Úrnak házát építik vala.
2Kgs.12.12 | A mészégetőkre tudniillik és a kővágókra, és hogy mind fákat vennének, mind faragott köveket készítenének az Úr háza romlásainak építésére, és mindenekre, mellyek a háznak építésére szükségesek valának.
2Kgs.12.13 | De mindazáltal abból a pénzből, mellyet bévisznek vala az Úr házába, nem csináltatnak vala az Úr házához, sem ezüst poharakat, sem vígasságtevő szerszámokat, sem medenczéket, sem trombitákat, sem valami egyéb arany vagy ezüst edényeket.
2Kgs.12.14 | Mert a míveseknek adják vala azt, és az Úr házát építik vala abból.
2Kgs.12.15 | Számot sem veszenk vala az emberektől, a kiknek kezek által kiadják vala a pénzt a míveseknek; mert híven cselekesznek vala.
2Kgs.12.16 | A vétekért és a bűnért való pénzt peig nem viszik vala az Úrnak házába: mert az a Papoké vala.
2Kgs.12.17 | Akkor feljövé Hazáel a Siriabeli Királyl és vitatá Gáthot, mellyet meg is vőn; azután megfordula Hazáel, hogy felmenne Jérusálem ellen.
2Kgs.12.18 | De Joás, Júdának Királya vevé mind a megszentelt ajándékokat, mellyeket szenteltek vala Istennek az ő attyai Jósafát, Jórám és Akházia Júdának Királyai, és a mellyeket ő maga szentelt vala, és minden aranyat, melly találtaték mind az Úr házának, mind pedig a Király házának kincsei között; és küldé Hazáelnek a Siriabeli Királynak, és elméne Jérusálem alól.
2Kgs.12.19 | Joásnak pedig több dolgai és minden cselekedetei, nemde nincsenek é megírva a Júda Királyairól való Krónika könyvben?
2Kgs.12.20 | Feltámadván pedig az ő szolgái, pártot ütének ellene, és levágá Joást Beht-Millóban, mellyen alámennek Sillába.
2Kgs.12.21 | Józakhár, mondom, a Simeáth fija, és Józabád, a Sómer fija, az ő maga szolgái levágák őtet, és meghala; és eltemeték őtet az ő attyaival Dávidnak városába. És Amásia az ő fija uralkodék helyébe.

2Kgs.13.1 | A Júdabeli Akházia Király fijának Jóásnak huszonharmadik esztendejében, uralkodék Joákház, Jéhunak fija Izráelen Samariában, tizenhét esztendeig.
2Kgs.13.2 | És gonoszúl cselekedék az Úrnak szemei előtt; és követé Jéroboámnak a Nébát fijának bűneit, ki bűnbe ejté az Izráelt, és el nem szakada azoktól.
2Kgs.13.3 | És felgerjede az Úrnak haragja Izráel ellen; és adá őket Hazáelnek a Siriabeli Királynak kezébe, és Benhadádnak a Hazáel fijának kezébe, az ő életének minden idejében.
2Kgs.13.4 | Könyörge azért Joákház az Úrnak, és meghallgatá őtet az Úr: mert látja vala az Izráelnek nyomorúságát, mert nyomorgatja vala őket a Siriabeli Király.
2Kgs.13.5 | És az Isten ada Izráelnek szabadítót, és kimenekedének a Siriabelieknek hatalmokból; és lakának vala az Izráel fijai az ő sátoraikban, mint szinte az előtt.
2Kgs.13.6 | De minazáltal el nem távozának a Jéroboám házának bűneitől, ki bűnbe ejté az Izráelt, hanem azokban jrának; sőt a berek is helyén marada Samariában.
2Kgs.13.7 | Jóllehet nem hagyott vala a Siriabeli Király Joákháznak több népet ötven lovagnál, tíz szekérnél, és tízezer gyalognál; mert megölte vala őket a Siriabeli Király, és ollyanná tette őket, mint a port a cséplő szérűn.
2Kgs.13.8 | Joákháznak pedig több dolgai és minden cselekedetei, és az ő ereje, nemde nincsenek é megírva az Izráel Királyainak Krónika könyvökben?
2Kgs.13.9 | És elaluvék Joákház az ő attyaival, és eltemeték őtet Samariában: és az ő fija Joás uralkodék helyette.
2Kgs.13.10 | Joásnak a Júda Királyának harminczhetedik esztendejében kezde uralkodni Joás a Joákház fija, Izráelen Samariában tizenhat esztendeig uralkodék.
2Kgs.13.11 | És gonoszúl cselekedék az Úrnak szemei előtt, el nem távozék Jéroboámnak, Nébát fijának semmi bűneitől, ki az Izráelt bűnbe ejté, hanem azokban jára.
2Kgs.13.12 | Joásnak pedig több dolgai és valamit cselekedett, és az ő erőssége mellyel hadakozott Amásia ellen a Júda Királya ellen, avagy nincsenek é megírva az Izráel Királyainak Krónika könyvökben?
2Kgs.13.13 | És elaluvék Joás az ő attyaival: Jéroboám üle pedig az ő királyiszékibe; és eltemetteték Joás Samariában, az Izráel Királyaival egybe.
2Kgs.13.14 | Elizeus pedig megbetegedék, melly betegségben meg is hala; és aláméne ő hozzá Joás az Izráel Királya, és orczájára borúlván síra, és monda: Édes atyám, édes atyám! Izráelnek szekerei és lovagjai!
2Kgs.13.15 | Akkor azt monda néki Elizeus: Végy valami kézívet és nyilakat kezedbe. És kezébe vevé mind a kézívet, mind a nyilakat.
2Kgs.13.16 | És monda az Izráel Királyának: Fogd meg a te kezeddel a kézívet. És megfogá kezével: és annakutánna veté Elizeus az ő kezeit a Király kezeire.
2Kgs.13.17 | És monda: Nyisd meg az ablakot napkelet felől. És mikor megnyitotta vonla, monda Elizeus: Lőjj. És löve. Akkor monda: Az Úrnak győzedelmes nyila ez, győzedelmes nyila mondom, a Siriabeliek ellen; mert megvered a Siriabelieket Afekben, míg mind megemészted őket.
2Kgs.13.18 | Monda azután: Vedd fel a több nyilakat: És felvevé. És monda az Izráel Királyának: Lődd a földet és löve a földet háromszor; azután elhagyá.
2Kgs.13.19 | Akkor megharaguvék reá az Isten embere, és monda: Ötször vagy hatszor is kel vala lőnöd, és így megverted volna a Siriabelieket, míg mind megemésztetted volna őket; de immár csak háromszor vered meg.
2Kgs.13.20 | Annakutánna meghala Elizeus, és eltemeték őtet. A Moáb seregei pedig jövének a földre, a következő esztendőkben.
2Kgs.13.21 | Lőn pedig, mikor egy embert el akarnának temetni, ímé megláták azokat a seregeket, és béveték az embert az Elizeus koporsójába, a ki béesvén megéré Elizeusnak tetemeit, és megelevenedék és lábaira álla.
2Kgs.13.22 | Hazáel pedig a Siriabeli Király nyomorgatá az Izráelt, Joákháznak minden napjaiban.
2Kgs.13.23 | De könyörűle az Úr rajtok; könyörűle, mondom, ő rajtok, és hozzájok tére, az ő kötéséért mellyet tett vala Ábrahámmal, Izsákkal és Jákóbbal; és nem akará őket elveszteni, sem el nem veté őket az ő orczája elől mind ez ideig.
2Kgs.13.24 | Meghala pedig Hazáel a Siriabeli Király, és az ő fija Benhadád uralkodék helyette.
2Kgs.13.25 | És visszavevé Joás Joákháznak fija, Benhadádnak a Hazáel fijának kezéből a városokat, mellyeket erővel elvett vala Joákháznak az ő attyának kezéből. Háromszor veré meg őtet Joás, és megadá Izráelnek városait.

2Kgs.14.1 | Joásnak az Izráelbeli Joákház Király fijának második esztendejében, kezde uralkondi Amásia, Joásnak a Júda Királyának fija.
2Kgs.14.2 | Huszonöt esztendős vala mikor uralkodni kezde és huszonkilencz esztendeig uralkodék Jérusálemben. Az ő annyának pedig Joaddán vala neve, Jérusálemből való.
2Kgs.14.3 | És kedves dolgot cselekedék az Úr szemei előtt, de mindazáltal nem annyira, mint Dávid az ő attya; a képen cselekedék mindent, mint az ő attya Joás.
2Kgs.14.4 | Csakhogy a magasságbeli oltárokat nem törték vala el; hanem még a nép áldozik vala és jóillatot tészen vala a magasságbeli oltárokon.
2Kgs.14.5 | Lőn pedig mikor a birodalom kezében megerősödött volna, megölé az ő szolgáit, kik a Királyt az ő attyát megölték vala.
2Kgs.14.6 | A gyilkosoknak pedig fijait meg nem őlé, miképen meg vagyon írva a Mózes törvénye könyvében, mellyben az Isten megparancsolta illyen szókkal: Az atyák a fiakért, se pedig a fiak az atyákért meg ne ölettessenek, hanem kiki a maga vétkéért ölettessék meg.
2Kgs.14.7 | Ugyan ő megvere az Edomiták közzűl tízezeret a sós völgyben; és megvevé Sélát ostrommal, és ezt nevezé Joktéelnek mind e mai napig.
2Kgs.14.8 | Akkor külde Amásia követeket Joáshoz Joákháznak fijához, ki Jéhunak az Izráelbeli Királynak fija vala, ezt izenvén: Szálljunk szembe egymással!
2Kgs.14.9 | Akkor külde Joás Izráelnek Királya Amásiához a Júdabeli Királyhoz illyen válasszal: A bogácskóró, melly a Libánuson vagyon, küldött a Libánuson való czédrusfához, ezt izenvén: Adjad a te leányodat az én fiamnak feleségűl. Általméne pedig a mezei vad, melly a Libánuson vagyon, és eltapodá a bogácskórót.
2Kgs.14.10 | Megveréd az Edombelieket, azért fuvalkodtál fel szívedben. Ámbátor dicsekedjél, csak légy veszteséggel házadban, miért elegyíted magadat veszedelembe, hogy mind te elessél, mind a Júda veled egybe.
2Kgs.14.11 | És nem fogadá azt Amásia. Felméne azért Joás az Izráel Királya, és szembe szállának egymással ő és Amásia a Júdabeli Király Júdában való Bethsémesnél.
2Kgs.14.12 | És megvereték Júda az Izráeltől, és elfutának kiki az ő hajlékiba.
2Kgs.14.13 | Amásiát pedig a Júda Királyát, Joásnak az Akházia fijának fiját megfogá Joás az Izráelbeli Király Bethsémesnél; és méne Jérusálembe, és lerontá Jérusálemnek kerítését, az Eraim kapujától fogva mind a szegletkapuig, négyszáz singre.
2Kgs.14.14 | És elvive minden aranyat, minden ezüstöt és minden edényeket, mellyek találtatának az Úr házában, és a Király házának kincsei között; még a zálogba vetett fiakat is; és megtére Samariába.
2Kgs.14.15 | Joásnak pedig több dolgai, mellyeket cselekedett, és az ő győzedelme, és miképen hadakohzott Amásia ellen, a Júda Királya ellen, avagy nincsenek é megírva az Izráelbeli Királyoknak Krónika könyvökben?
2Kgs.14.16 | És elaluvék Joás az ő attyaival és eltemetteté Samariában az Izráel Királyaival együtt; és az ő fija Jéroboám uralkodék helyette.
2Kgs.14.17 | Éle pedig Amásia Joásnak a Júda Királyának fija, minekutánna meghala Joás, Joákháznak az Izráelbeli Királynak fija, tizenöt esztendeig.
2Kgs.14.18 | A másiának pedig több dolgai, avagy nincsenek é megírva a Júda Királyairól való Krónika könyvben?
2Kgs.14.19 | Pártot ütének pedig ő ellene Jérusálemben, és elszalada Lákisba; de utánna küldének Lákisba és megölék ott őtet.
2Kgs.14.20 | És visszahozák őtet lovakon, és eltemetteték Jérusálemben Dávidnak városában, az ő attyaival.
2Kgs.14.21 | Fogá azért az egész Júdabeli nép Azáriát ki tizenhat esztendős vala, és Királlyá tevék őtet az ő attya Amásia helyette.
2Kgs.14.22 | Ez építé meg Elátot, mellyet visszavett vala Júdának minekutánna elaludt volna a Király az ő attyaival.
2Kgs.14.23 | Amásiának, Joásnak, a Júda Királya fijának tizenötödik esztendejétől fogva uralkodék Jéroboám, Joásnak az Izráel Királyának fija Samariában, negyvenegy esztendeig.
2Kgs.14.24 | És gonoszúl cselekedék az Úrnak szemei előtt, Jéroboámnak a Nábát fijának semmi bűneitől el nem távozék, ki bűnbe ejté az Izráelt.
2Kgs.14.25 | E nyeré vissza az Izráelnek határát attól fogva, a hol Emáthba bémennek, mind a pusztasági tengerig, az Izráel Urának Istenének beszéde szerint mellyet szólott vala az ő szolgájának Jónás Prófétának, Ammittai fijának általa, ki Gáth Kéferbő való vala.
2Kgs.14.26 | Mert látá az Úr az Izráelnek nagy nyomorúságát, és hogy semmi volna mind a bérekesztetett, mind pedig az elhagyattatott, és senki nem volna, ki az Izráelt megszabadítaná.
2Kgs.14.27 | Az Úr sem végezte vala még azt, hogy az Izráelnek nevét úgy eltörlené, hogy az ég alatt ne volna: annakokáért megszabadítá őket Jéroboám a Joás fija által.
2Kgs.14.28 | Jéroboámnak pedig több dolgai és minden cselekedetei, és az ő győzedelme, és miképen hadakozott, miképen nyert vissza a Júdához tartozó Damaskust és Hémátot az Izráelnek; nemde nincsenek é megírva az Izráel Királyairól való Krónika könyvben?
2Kgs.14.29 | És elaluvék Jéroboám az ő attyaival, az Izráelbeli Királyokkal; és uralkodék az ő fija Zakariás helyette.

2Kgs.15.1 | Jéroboámnak az Izráel Királyának huszonhetedik esztendejében kezde uralkodni Azária, Amásiának a Júda Királyának fija.
2Kgs.15.2 | Tizenhat esztendős vala mikor uralkodni kezde, és ötvenkét esztendeig uralkodék Jérusálemben, és az ő annyának neve Jekélia vala, Jérusálemből való.
2Kgs.15.3 | És kedves dolgot cselekedék az Úrnak szemei előtt mind a szerint, a mint az ő attya Amásia cselekedett vala;
2Kgs.15.4 | De mindazáltal a magasságbeli oltárok el nem rontatának: még a nép áldozik vala, és jóillatot tészen vala a magasságbeli oltárokon.
2Kgs.15.5 | Megveté az Úr a Királyt, és bélpoklos lőn mind halála napjáig, és magának való házban lakék; Jótám pedig a Király fija viseli vala gondját a Király házának, törvényt szolgáltatván a föld népének.
2Kgs.15.6 | Azáriának pedig több dolgai és minden cselekedetei, avagy nincsenek é megírva a Júdabeli Királyokról való Krónika könyvben?
2Kgs.15.7 | És elaluvék Azária az ő attyaival, és eltemeték őtet az ő attyaival Dávidnak városában; és az ő fija Jótám uralkodék helyette.
2Kgs.15.8 | Azáriának a Júdabeli Királynak harmincznyolczadik esztendejében kezde uralkodni Zakariás a Jéroboám fija Izráelen Samariában, hat hónapig.
2Kgs.15.9 | És gonoszúl cselekedék az Úrnak szemei előtt, miképen az ő attyai cselekedtek vala: Nem szünék meg Jéroboámnak a Nébát fijának bűneitől, ki vétekbe ejté az Izráelt.
2Kgs.15.10 | Pártot üte ő ellen Sallum, Jábesnek fija és megölé őtet a népnek láttára, és megölvén őtet, ő uralkodék helyette.
2Kgs.15.11 | Zakariásnak pedig több dolgai ímé meg vagynak írva az Izráelbeli Királyokról való Krónika könyvben.
2Kgs.15.12 | Ez az Úrnak beszéde, mellyet szólott vala Jéhunak mondván: A te fijaid negyedízig ülnek az Izráel Királyainak székekben: És úgy lőn.
2Kgs.15.13 | Sallum, a Jábes fija uralkodék Uzziának a Júdabeli Királynak harminczkilenczedik esztendejében; és csak egy egész hónapig uralkodék Samariában:
2Kgs.15.14 | Mert feljöve Menáhem a Thirsabeli Gádinak fija, és méne Samairában, és megölé Sallumot Jábesnek fiját Samariában, és megölvén őtet, uralkodék helyette.
2Kgs.15.15 | Sallumnak pedig több dolgai és az ő pártolása mellyet cselekedék, ímé azok meg vagynak írva az Izráelbeli Királyokról való Krónika könyvben.
2Kgs.15.16 | Akkor megvevé Menáhem Thirsa városát, és mivelhogy bé nem bocsáták, levága minden benne valókat, és Thirsától fogva mind a határbelieket; és még a terhes asszonyokat is mind fegyverre hányá.
2Kgs.15.17 | Azáriának a Júdabeli Királynak harminczkilenczedik esztendejétől fogva uralkodék Menáhem Gidának fija Izráelen, tíz esztendeig Samairában;
2Kgs.15.18 | És gonoszúl cselekedék az Úrnak szemei előtt: nem szűnék meg Jéroboámnak a Nébát fijának bűneitől teljes életében, ki vétekbe ejét az Izráelt.
2Kgs.15.19 | Eljöve pedig Púl az Assiriabeli Király az országra, és Menáhem ada Púlnak ezer tálentom ezüstöt, hogy néki segítséggel lenne az ő birodalmának megerősítésében.
2Kgs.15.20 | Veté pegig Menáhem az ezüstöt Izráelben mind a gazdagokra, hogy mindenik adna az Assiriabeli Királynak ötven-ötven ezüst siklust; és megtére az Assiriabeli Király, de nem késék ott abban az országban.
2Kgs.15.21 | Menáhemnek pedig több dolgai és minden cselekedetei, avagy nincsenek é megírva az Izráelbeli Királyokról vaó Krónika könyvben?
2Kgs.15.22 | És elaluvék Menáhem az ő attyaival, és uralkodék az ő fija Pékája helyette.
2Kgs.15.23 | Azáriának a Júdabeli Királynak ötvenedik esztendejében kezde uralkodni Pekája, a Menáhem fija Izráelen Samariában két esztendeig uralkodék.
2Kgs.15.24 | És gonoszúl cselekdék az Úrnak szemei előtt, nem távozék el Jéroboámnak a Nébát fijának fűneitől, ki vétekbe ejté az Izráelt.
2Kgs.15.25 | Pártot üte pedig ő ellene Péka, Remáliának fija az ő Hadnagya, és megölé őtet Samariában, a Király házának palotájában, Argóbbal és Arjéval, és ő vele valának ötven férjfiak is a Gileádbeliek fijai közzűl; kit mikor meegölt volna, ő uralkodék helyette.
2Kgs.15.26 | Pékájának pedig több dolgai és minden cselekedetei, ímé meg vagynak írva az Izráelbeli Királyokról való Krónika könyvben.
2Kgs.15.27 | Azáriának a Júdabeli Királynak ötvenkettődik esztendejében kezde uralkodni Péka, Remáliának fija, Izráelen Samariában húsz esztendeig.
2Kgs.15.28 | És gonoszúl cselekedék az Úrnak szemei előtt; nem távozék el Jéroboámnak a Nébát fijának bűneitől, ki vétekbe ejté az Izráelt.
2Kgs.15.29 | Pékának az Izráel Királyának idejében jöve el Tiglát-Piléser az Assiriabeli Király; és megvevé Hijont, Abelát vagy Béth-Maakát, Jánoát, Kédest, Hásort, Gileádot, Galileát, és Nafthalinak egész földét; és elvivé őket fogva Assiriába.
2Kgs.15.30 | Pártot üte pedig Hósea, Elának fija Péka ellen Remáliának fija ellen, és megsebesítvén megölé őtet, és uralkodék helyette Jótámnak az Uzzia fijának huszadik esztendejében.
2Kgs.15.31 | Pékának pedig több dolgai és minden cselekedetei, ímé meg vagynak írva az Izráelbeli Királyokról való Krónika könyvben.
2Kgs.15.32 | Pékának a Remália fijának az Izráelbeli Királynak második esztendejében, uralkodni kezde Jótám, Uzziának a Júda Királyának fija.
2Kgs.15.33 | Huszonöt esztendős vala, mikor uralkodni kezde, és tizenhat esztendeig uralkodék Jérusálemben: az ő annyának pedig Jérusa vala neve, a Sádok leánya.
2Kgs.15.34 | És kedves dolgot cselekedék az Úr szemei előtt, mind a képen cselekedék mint az ő attya Uzzia.
2Kgs.15.35 | De mindazáltal a magasságbeli oltárokat el nem ronták: hanem még a nép áldozik és jóillatot tészen vala a magasságbeli oltárokon. Ő építé meg az Úr házának felső kapuját.
2Kgs.15.36 | Jótámnek pedig több dolgai és minden cselekedetei avagy nincsenek é megírva a Júdabeli Királyokról való Krónika könyvben.
2Kgs.15.37 | (Ez időben kezdé küldeni az Úr Júdára Réczint a Siriabeli Királyt, és Pékát, Remáliának fiját.)
2Kgs.15.38 | És elaluvék Jótám az ő attyaival, és eltemetteték az ő attyaival, Dávidnak az ő attyának városában; és Akház az ő fija uralkodék helyette.

2Kgs.16.1 | Pékának a Remália fijának tizenhetedik esztendejében kezde uralkodni Akház Jótámnak a Júda Királyának fija.
2Kgs.16.2 | Húsz esztendős vala Akház mikor uralkodni kezde, és tizenhat esztendeig uralkodék Jérusálemben; de nem cselekedé azt, a mi az ő urának Istenének tetszett volna, a mint Dávid az ő attya:
2Kgs.16.3 | Hanem jára az Királyaiank útjokon; és az ő fiját is általvivé a tűzön a pogányok utálatosságai szerint, kiket az Úr az Izráel fijai előtt kiüzött vala.
2Kgs.16.4 | Áldozé annakfelette és jóillatot tőn a magasságbeli oltárokon, és a halmokon, és minden zöldellő fa alatt.
2Kgs.16.5 | Akkor feljöve Réczin a Siriabeli Király, és Péka, Remáliának fija az Izráel Királya Jérusálemet vitatni, és reá szállának Akházra, de meg nem veheték.
2Kgs.16.6 | (Akkor nyeré vissza Réczin a Siriabeli Király Elátot a Siriabelieknek, és kiveszté a Zsidókat Elátból: az Edomiták pedig megjövének Elátba, és ott lakának mind e mai napig.)
2Kgs.16.7 | Külde pedig Akház követeket Tiglát-Piléserhez az Assiriabeli Királyhoz, ezt mondván: Te szolgád és te fijad vagyok; jöjj fel, és szabadíts meg engemet a Siriabeli Királyának kezéből, és az Izráel Királyának kezéből, kik reám támadtak.
2Kgs.16.8 | És vevé Akház az ezüstöt és aranyat, melly találtaték az Úrnak házában és a Király házának kincsei özött és ajándékon küldé az Assiriabeli Királynak.
2Kgs.16.9 | Engede pedig néki az Assiriabeli Király, és feljövén az Assiriabeli Király Damaskus ellen, megvevé azt, és a benne vaókat Kirbe vivé: Réczint pedig megölé.
2Kgs.16.10 | És eleibe méne Akház Tiglát-Pilésernek az Assiriai Királynak Damaskusba; és mikor látta volna Akház Király az oltárt melly Damaskusban vala, küldé annak az oltárnak hasonlatosságát, és képét minden módjával Uriás Paphoz.
2Kgs.16.11 | És megépíté Uriás Pap az oltárt a formára, mellyet Akház Király küldött vala Damaskusból: Így cselekedék Uriás Pap, míg visszajöve Akház Király Damaskusból.
2Kgs.16.12 | Mikor pedig megjött volna Damaskusból a Király, és látta volna az oltárt; az oltárhoz méne, és áldozék azon.
2Kgs.16.13 | És meggyujtá az ő égőáldozatját és Minháját, és áldozék italiáldozattal is; és az ő engesztelőáldozatinak vérét elhinté az otár körűl.
2Kgs.16.14 | És a rézoltárt, melly az Úr előtt vala, távol vivé a háznak első részétől, hogy ne lenne az ő oltára között, és az Úrnak háza között, és helyhezteté azt az ő oltárának oldala mellé észak felől.
2Kgs.16.15 | És megparancsolá Akház Király Uriás Papnak mondván: E nagy oltáron gyujtsd meg a reggeli égőáldozatot és az estveli Minhát, a Király áldozatját is az ő Minhájával egytembe; az egész föld népének is mind égőáldozatját, mind Minháját, minden vérét és egyéb áldozatnak minden vérét a körűl hintsed el: A rézoltárról pedig én gondot viselek.
2Kgs.16.16 | Uriás Pap azért mind a szerint cselekedék, a mint Akház Király megparancsolta vala.
2Kgs.16.17 | Elrontá annakfelette Akház Király a rézüstöknek pártázatjait, és azoknak talpait, é lehányá azokról az üstöket: a réztengert is leveté a rézökrökről, mellyeken ll vala és tevé azt a kőpádimentomra.
2Kgs.16.18 | És a szombatnak hajlékát is, mellyet a házban építettek vala, elhányá, és a Királynak külső béjáró helyét elfordítá az Úr házában az Assiriabeli Királyért.
2Kgs.16.19 | Akháznak pedig több dolgai, mellyeket cselekedett, avagy nincsenek é megírva a Júdabeli Királyokról való Krónika könyvben?
2Kgs.16.20 | És elaluvék Akház az ő attyaival, és eltemetteték az ő attyaival Dávidnak városában; és uralkodék helyette az ő fija Ezékiás.

2Kgs.17.1 | Akháznak a Júda Királyának tizenkettődik esztendejében kezde uralkodni Hóseás, Elának fija Samariában Izráelen, kilencz estendeig uralkodék.
2Kgs.17.2 | És gonoszúl cselekedék az Úrnak szemei előtt; mindazáltal nem annyira, mint az ő előtte való Izráelbeli Királyok.
2Kgs.17.3 | Ez ellen jött vala fel Salmanasár az Assiriabeli Király és Hóseás szolgájává lőn néki, és adót ád vala néki.
