Acts.1.1 | Az első könyvemet irtam Theófile, mind azokról a mellyeket Jézus kezdett cselekedni és tanitani,
Acts.10.42 | Megparancsolta pedig nékünk, hogy hirdetnék és bizonyságot tennék a népnek, hogy ő az, a kit Isten elrendelt, hogy élőknek és holtaknak Birájok lenne.
Acts.10.43 | Erről minden Próféták is bizonyságot tesznek, hogy bűneinek bocsánatját vészi az ő neve által minden, a ki hiszen ő benne.
Acts.10.44 | Mikor még ez igéket szólaná Péter, szálla a Szent Lélek mind azokra, a kik hallgatják vala e beszédet.
Acts.10.45 | A hivek pedig, kik a Zsidók közzűl valának, és Péterrel oda mentek vala, elálmélkodának azon, hogy a Pogányokra is kitöltetett volna a Szent Lélek ajándéka.
Acts.10.46 | Mert hallják vala, hogy különböző nyelveken szólnának és magasztalnák az Istent. Akkor felele Péter:
Acts.10.47 | Valjon megtilthatja-é valaki a vizet, hogy ezek meg ne keresztelkedjenek, kik a Szent Lelket vették miképen mi is?
Acts.10.48 | És parancsolá, hogy megkeresztelkednének az Úrnak nevében. Kérék pedig őtet, hogy egynéhány napokon nálok maradna.

Acts.11.1 | Meghallák pedig az Apostolok és az Atyafiak, kik valának Júdeában, hogy a Pogányok is bévették volna az Istennek beszédét.
Acts.11.2 | Mikor azért felment volna Péter Jérusálembe, vetekedének ő vele, kik a Zsidók közzűl valának.
Acts.11.3 | Ezt mondván: A körűlmetéletlen Pogányokhoz mentél, és velek együtt ettél.
Acts.11.4 | Elkezdvén pegig Péter, mindeneket megbeszéle nékik rendszerint, mondván:
Acts.11.5 | Én Joppé városában imádkozom vala, és én láték látást, mikor elmémben elragadtattam volna, hogy egy edény szálla le, mintegy nagy lepedő négy szegeletinél fogva felköttetvén, mellyet az égből bocsátnak vala le, és szinte én hozzám szálla.
Acts.11.6 | Mellyre mikor szemeimet függesztettem volna megnézém, és láték abban földi négylábú állatokat, vadakat, mászó állatokat, égi madarakat.
Acts.11.7 | Hallék pedig szót is, melly ezt mondja vala nékem: Kelj fel Péter, öljed és egyél!
Acts.11.8 | Én pedig mondék: Nem eszem Uram; mert soha semmi közönséges vagy tisztátalan nem ment az én számba.
Acts.11.9 | Felele pdig nékem másodszor a szózat az égből: a mit Isten tisztává tett, te ne mondjad tisztátalannak.
Acts.11.10 | És ez háromszor lett, és ismét mind azok vissza felvonattatának az égbe.
Acts.11.11 | Akkor imé azonnal három férjfiak érkezének a házba, mellyben valék, kik Czézáreából küldöttek volt én hozzám.
Acts.11.12 | Monda pedig nékem a Szent Lélek, hogy elmennék velek minden kételkedés nélkűl. És hat Atyafiak is pedig eljövének én velem, és bémenénk annak az embernek házába.
Acts.11.13 | Ki megbeszélé nékünk, mimódon látott volna Angyalt az ő házában, ki eleibe állott volna, és ezt mondá valaki néki: Küldj valakiket Joppéba, és hivassad Simont, kinek vezeték neve Péter.
Acts.11.14 | Ki megmondja néked azokat, a mellyek által megtartassál mind te magad, mind a te egész házadnépe.
Acts.11.15 | És mikor elkezdettem volna a szólást, a Szent Lélek szálla ő reájok, miképen mi renák is először.
Acts.11.16 | Megemlékezém pedig az Úrnak ama mondásáról mikor ezt mondaná: János keresztelt vizzel, de ti kereszteltettek Szent Lélekkel.
Acts.11.17 | Mivelhogy azért hasonló ajándékát adta az Isten nékik, mint nékünk, minekutánna hittek volna az Úr Jézus Krisztusba: én micsoda voltam, hogy az Istent tilthatnám?
Acts.11.18 | Ezeket minekutánna hallották vola, megcsendesedének és dicsőiték az Istent, mondván: Bizony tehát az Isten a pogányoknak is adott mgtérést az életre.
Acts.11.19 | Azok pedig, a kik eloszlottak vala a háborúság miatt, melly Istvánért támadott vala, jutának Fenitziába, Cziprusba és Antiókhiába, senkinek nem prédikálván az igét, hanem csak a Zsidóknak.
Acts.11.20 | Némellyek pedig ő közzűlök, kik Cziprusból és Czirénéből valók valának, mikor Antiókhiába mentek volna, szólának a Görögöknek, az Úr Jézust hirdetvén.
Acts.11.21 | Az Úrnak keze volt pedig velek; és a hivőknek nagy sokaságok tére meg az Úrhoz.
Acts.11.22 | Elméne pedig e hir a Jérusálembeli Gyülekezetbe: elküldék azért Barnabást, hogy menne szinte Antiókhiába.
Acts.11.23 | Ki mikor oda jutott volna, és látta volna az Istennek kegyelmességét, örvendeze, és inte mindeneket, hogy állhatatos szivvel megmaradnának az Úrban.
Acts.11.24 | Mert Jámbor férjfiú vala Barnabás, és teljes vala Szent Lélekkel és hittel: és nagy sokaság adá magát az Úr mellé.
Acts.11.25 | Elméne pedig Barnabás Tárzusba, hogy megkeresné Saulust; és mikor megtalálta vona őtet, vivé Antiókhiába.
Acts.11.26 | És egész esztendeig forgolódtak ott a Gyülekezetben, és tanitották a nagy sokaságot; és a tanitványok legelőször Antiókhiában neveztetének Keresztyéneknek.
Acts.11.27 | A tájban menének Jérusálemből Antiókhiába Próféták.
Acts.11.28 | És eg azok közzűl felkelvén kinek Agabus vala neve, megjelenté Szent Lélek által, hogy az egész föld kerekségében nagy éhség lenne, melly meg is lőn a Klaudius Császár idejében.
Acts.11.29 | A tanitványok pedig egyenként a mit kinek-kinek értéke vala, elvégezék, hogy valami segitséget küldenének a Júdeához lakozó Atyafiaknak.
Acts.11.30 | Mellyet meg is cselekedének, küldvén alamizsnát a Vénekhez Barnabás és Saulus által.

Acts.12.1 | Akkor az időben Héródes Király kezde kegyetlenkedni némellyek ellen, kik a Keresztyéni Gyülekezetből valának.
Acts.12.2 | Megölé pedig Jakabot, Jánosnak attyafiát fegyverrel.
Acts.12.3 | És mikor látná, hogy kedves dolgot cselekednék a Zsidóknak, Pétert is megfogá: (vala pedig akkor Pogácsás innep.)
Acts.12.4 | Kit megfogván, a tömlöczbe veté, adván őtet tizenhat vitézek kezébe, hogy őtet megőriznék; akarván őtet a népnek kihozni Husvét után.
Acts.12.5 | Pétert azért őrizik vala a fogságban: a Gyülekezet pedig szüntelen könyörög vala az Istennek ő érette.
Acts.12.6 | Mikor pedig Héródes őtet ki akarná hozni, azon éjszakán aluszik vala Péter két vitéz között, két vas láncczal megkötöztetvén, és az őrizők az ajtó előtt őrizik vala a tömlöczöt.
Acts.12.7 | És imé az Úrnak Angyala eljöve, és a tömlöczben lőn világosság, és a Péter oldalát taszigálván, felkölté őtet, mondván: Kelj fel hamar. És leesének a lánczok az ő kezeiről.
Acts.12.8 | És monda néki az Angyal: Övedezd bé magadat, és vond fel sarudat. És úgy cselekedék. És monda néki: Vedd reád felsőruhádat, és kövess engemet.
Acts.12.9 | Azért kimenvén Péter, követi vala őtet, és nem tudja vala hogy valóságos dolog volna, a mit az Angyal cselekeszik vala, hanem azt állitja vala, hogy valami látást látna.
Acts.12.10 | Mikor pedig általmentek volna az első és második strázsán, jutának a Vaskapuhoz, melly a városba viszen, melly maga megnyilék nékik és kimenvén egy útczán elmenének; és azonnal elméne az Angyal ő tőle.
Acts.12.11 | És Péter magát megeszmélvén, monda: Most valóban látom, hogy az Úr bocsátotta el az ő Angalát, és megszabaditott engem a Héródes kezéből, és mind attól, a mit a Zsidók felőlem várnak vala.
Acts.12.12 | És e dologról gondolkodván: méne Máriának, a János annyának házához, ki Márkusnak neveztetik vala; hol sokan valának egybegyülve, és könyörögnek vala.
Acts.12.13 | És mikor Péter zörgetett volna a tornácznak ajtaján, kifutamodék egy Rhódé nevű leányzó, hogy hallgatódzna.
Acts.12.14 | Ki megesmérvén a Péter szavát, örömében nem nyitá meg a tornácz ajtaját, hanem béfutván megmondá, hogy Péter állana az ajtó előtt.
Acts.12.15 | Azok pedig mondának néki: Elveszett néked eszed. Az pedig erősen állitja vala, hogy úgy volna. Azok pedig ezt mondják vala, hogy a Péter Angyala volna.
Acts.12.16 | Péter pedig szüntelen zörget vala. Mikor azért megnyitották volna, látták őtet, és elálmélkodának.
Acts.12.17 | És mikor kézzel intett volna hogy hallgatnának: megbeszélé nékik mimódon hozta volna ki az Úr őtet a tömlöczből, és monda: Adjátok tudtára ezeket Jakabnak és az Atyafiaknak. És kimenvén, másuvá méne onnét.
Acts.12.18 | És minekutánna megviradt volna, nagy háborúság támada a vitézek között azon, micsoda esett volna Péteren.
Acts.12.19 | Héródes peig mikor Pétert előkérte volna és nem találták volna, az őrizőkre törvényt láttatván, parancsolá, hogy a kínra vinnék őket: és mikor Júdeából Czézáreába ment volna, ott lakozék.
Acts.12.20 | Héródes pedig gonosz szándékkal vala a Tírus és Sidon városbeliekhez; de azok egyenlő akaratból jövének ő hozzá, és Blástust eláltatván, ki a Királynak titkosa vala, kérnek vala békességet, mivelhogy az ő tartományok a Király tartományából tápláltatik vala.
Acts.12.21 | Egy bizonyos napon pedig, Héródes az ő királyi ruhájába felöltözvén és az ő székibe ülvén, szól vala a községnek.
Acts.12.22 | A község pedig kiált vala: Isten szava ez, és nem emberé!
Acts.12.23 | Azonnal pedig megcsapdosá őtet az Úrnak Angyala, mivelhogy nem adott volna dicsőséget az Istennek; és minekutánna a férgektől megemésztetett volna, meghala.
Acts.12.24 | Az Istennek beszéde pedig nevekedik vala és szaporodik vala.
Acts.12.25 | Barnabás peig és Saulus Jérusálemből megtérének Antiókhiába, az ő szolgálatjokat bétöltvén, és magok mellé vevék Jánost, kinek vezeték neve Márkus vala.

Acts.13.1 | Valának pedig az Antiókhiabeli Gyülekezetben valami Próféták és Doktorok, Barnabás és Simeon, ki hivattatik vala Nigernek, és Czirénébeli Lúczius, és Manaen; ki Héródessel a Negyedes Fejedelemmel együtt neveltetett vala, és Saulus.
Acts.13.2 | Mikor azért azok szolgálnának az Úrnak, és szenvedtetnék magokat, monda a Szent Lélek: Válasszátok el nékem Barnabást és Saulust a munkára, a mellyre én őket hivtam.
Acts.13.3 | Akkor azért, mikor böjtöltek és imádkoztak volna, és az ő kezeiket reájok vetették volna, elbocsáták őket.
Acts.13.4 | Ők annakokáért mikor kibocsáttattak volna a Szent Lélektől, menének Szeleutziába, és onnét evezének Cziprusba.
Acts.13.5 | És mikor Salamin városba jutottak volna, hirdeték az Isten beszédét a Zsidóknak zsinagógáikban; János is pedig velek vala, és szolgál vala nékik.
Acts.13.6 | És eljárván a szigetet mind Páfusig, találkozának egy ördöngös hamis Prófétára, ki Zsidó vala, kinek Bárjézus vala neve.
Acts.13.7 | Ki Sergius Pál mellett, a szigetnek Tiszttartója mellett vala, ki eszes ember vala. Ez magához hivatván Barnabást és Saulust, kiváná hallani az Isten beszédét.
Acts.13.8 | Az ördöngös Elimás peig (mert annyit tészen az ő neve) ellenkezik vala velek, akarván elhajtani a Tiszttartót az igaz tudomány mellől.
Acts.13.9 | Saulus pedig (ki Pálnak is mondatik) megtelvén Szent Lélekkel, szemeit reá vetvén.
Acts.13.10 | Monda: Óh te minden álnoksággal és gonosz cselekedettel teljes, ördögnek fija, minden igazságnak ellensége, nem szünöl-é meg az Úrnak igaz útait elforditani?
Acts.13.11 | Most azért imé az Úrnak keze ellened lészen, és vak lészesz; nem látod a napot ideig. És azonnal esék ő reá hályog és setétség, és kerengvén keres vala vezetőket.
Acts.13.12 | Akkor a Tiszttartó, mikor látta volna a dolgot, hűn, elálmélkodván az Úrnak tudományán.
Acts.13.13 | Elmenvén pedig Páfusból Pál és a kik vele valának, Pámfiliának Perga nevü városába menének: János pedig felmenvén tőlök, megtére Jérusálembe.
Acts.13.14 | Ők pedig mikor Pergából kimentek volna, menének Antiókhiába, Pisidiának városába, és bémenvén Szombatnapon a zsinagógába, leülének.
Acts.13.15 | A törvénynek pedig és Próféták Irásoknak olvasása után, küldének a zsinagógának Előljárói ő hozzájok, ezt mondván: Atyámfiai férjfiak, ha vagyon valami intő beszédetek a községhez, szóljatok.
Acts.13.16 | Mikor felkölt volna azért Pál, kezével intvén hogy hallgatnának, monda: Izráelnek férjfiai, és kik félitek az Istent, halljátok meg!
Acts.13.17 | ez Izráel nemzetségének Istene választotta a mi Atyáinkat, és e nemzetséget méltóságossá tevé, mikor Égyiptomnak földében jövevények volnának, és onnét kihozá őket hatalmas karja által.
Acts.13.18 | És közel negyven esztendőnek idejéig türte az ő erkölcsöket a pusztában.
Acts.13.19 | És minekutánna hét nemzetséget törlött volna el a Kanaán földén, azoknak földöket sors vetés által elosztá nékik.
Acts.13.20 | És azután mintegy négyszáz ötven esztendeig, adott nékik Birákat, mind sámuel Prófétáig.
Acts.13.21 | Annakutánna Királyt kérének, és adá nékik Sault, a Kis fiát, a Benjámin nemzetéből való férjfiat negyven esztendeig.
Acts.13.22 | És azt megvetvén, támasztá nékik Dávid Királyt; kiről bizonyságot tévén, ezt is mondotta: Találtam szivem szerint való férjfiat, Dávidot a Jesse fiját, ki minden akaratomat véghez viszi.
Acts.13.23 | Ennek magvából támasztotta Isten Izráelnek az ő igérete szerint, a szabaditó Jézust.
Acts.13.24 | Minekutánna prédikálta volna Keresztelő János ő előtte a megtérésnek Keresztségét az Izráel egész népének.
Acts.13.25 | Mikor pedig el akará végezni János az ő tisztit, ezt mondotta: Kinek állitotok engemet? nem én vagyok a Krisztus; hanem imé én utánnam jő, kinek nem volnék méltó megoldani lábainak saruját.
Acts.13.26 | Atyámfiai férjfiak, Ábrahám nemzetének fijai, és kik ti köztetek félik az Istent, ez idvességnek beszéde néktek küldetett;
Acts.13.27 | Mert a kik lakoznak vala Jérusálemben, és azoknak Fejei, mikor ezt nem esmérnék, őtet kárhoztatván, a Prófétáknak szavikat, mellyeket minden Szombaton olvasnak, bétöltötték.
Acts.13.28 | És semmi halálra való okot nem találván ő benne, kérék Pilátust, hogy megölettetnék.
Acts.13.29 | Mikor pedig mindeneket elvégeztek volna, a mellyek ő felőle megirattak vala, a fáról levévén, helyheztették a koporsóba.
Acts.13.30 | Az Isten pedig feltámasztá őtet a halálból.
Acts.13.31 | Ki sok napokon megláttaték azoktól, kik együtt jöttek vala fel ő vele Galileából Jérusálembe, és néki bizonyságai a község között.
Acts.13.32 | Mi is hirdetjük néktek, hogy azt az igéretet, mellyet tett az Atyáknak az Isten, bétöltötte azoknak fijaiknak, azaz nékünk, mivelhogy Jézust feltámasztotta.
Acts.13.33 | Mint a második Zsoltárban is meg vagyon irva: Én Fiam vagy te, e mai napon szültelek én tégedet.
Acts.13.34 | Hogy pedig feltámasztotta őtet a halálból, és hogy többé meg nem hal, arról ezt mondotta: Dávidnak tett igéretimet erősekké tészem ti néktek.
Acts.13.35 | Azért mondja másutt is: Nem engeded hogy a te Szented megrothadjon;
Acts.13.36 | Mert Dávid minekutánna az ő idejében szolgált volna az Isten akaratjának, elaludt, és ment az ő attyáihoz, és megrothadott:
Acts.13.37 | De a kit Isten feltámasztott, meg nem rothadott.
Acts.13.38 | Azért legyen néktek tudtotokra, Atyámfia! hogy ez által hirdettetik néktek a bünöknek bocsánatjok.
Acts.13.39 | És mindenekből, mellyekből a Mózes törvénye által meg nem igazittathattatok, ez által minden, a ki hiszen, megigazul.
Acts.13.40 | Meglássátok azért, hogy rajtatok ne essék, a mit a Próféták megmondottak:
Acts.13.41 | Lássátok meg ti Isten utálók, és csudálkozzatok, s álmélkodjatok: mert én dolgot cselekeszem a ti időtökben, olly dolgot, mellyet nem hisztek ha más mondánd néktek.
Acts.13.42 | És minekutánna kimentek volna a Zsidók zsinagógájokból, kérék a Pogányok, hogy a következendő Szombaton prédikálnák nékik ezen beszédeket.
Acts.13.43 | És mikor eloszlott volna a gyülés, sokan a Zsidók közzűl és istenfélő Prozelitusok közzűl követék Pált és Barnabást; kik szólván azoknak, kérik vala őket, hogy megmaradnának az Isten kegyelmében.
Acts.13.44 | A másik Szombaton pedig, majd mind az egész város, egybegyüle az Isten igéjének hallgatására.
Acts.13.45 | És mikor a asokaságot látták volna a Zsidók, bételének irigységgel, és ellene mondának vala azoknak, a mellyeket Pál mond vala, ellenkezvén és káromlást szólván.
Acts.13.46 | Akkor nagy bátorsággal Pál és Barnabás mondának: Néktek kellett először az Istennek igéjét hirdetnünk; de mivelhogy megvetitek azt, és magatokat méltatlanoknak itélitek az örök életre, ímé a Pogányok közzé megyünk.
Acts.13.47 | Mert igy parancsolta nékünk az Úr: Azért választottalak, úgymond, tégedet, hogy légy a Pogányoknak világosságok, hogy légy idvességekre az embereknek, mind a földnek végéig.
Acts.13.48 | A Pogányok pedig ezeket hallván, örvendezének, és magasztalják vala az Úrnak beszédét; és valakik az örök életre választattak valának, hivének.
Acts.13.49 | Prédikáltatik vala pedig az Úrnak beszéde abban az egész tartományban.
Acts.13.50 | A Zsidók pedig felinditák az istenfélő és tisztességbeli asszonyokat és a városnak eleit, és támasztának háborúságot Pál ellen és Barnabás ellen, és kiüzék őket ez ő határokból.
Acts.13.51 | Azok pedig lábaiknak porát lerázván azokra, elmenének Ikóniumba.
Acts.13.52 | A tanitványok pedig örömmel és Szent Lélekkel bételnek vala.

Acts.14.1 | Történék pedig Ikóniumban, hogy mind együtt mennének bé a Zsidók zsinagógájokba, és prédikálnának úgyannyira, hogy mind Zsidók, mind Görögök nagy sokan hinnének.
Acts.14.2 | A kik pedig a Zsidók közzűl nem hivének, felinditák és megharagíták a Pogányoknak elméjeket az atyafiak ellen.
Acts.14.3 | Azért sok ideig lakának ott, szabadon prédikálván, bizván az Úrban, ki bizonyságot tészen vala az ő kegyelmességének beszédéről; és adja vala, hogy jelek és csudák lennének az ő kezeik által.
Acts.14.4 | Meghasonlék azért a városnak sokasága: és némellyek a Zsidók mellett, némellyek az Apostolok mellett valának.
Acts.14.5 | Mikor pedig a Pogányok és Zsidók egybezendültek volna mind a főemberekkel egybe, hogy bosszúsággal illetnék és megköveznék őket.
Acts.14.6 | E dolgot megértvén, elfutának Likaóniának városaiba Listrába és Derbébe, és a körűl való tartományba.
Acts.14.7 | És ott prédikálják vala az Evangyéliomot.
Acts.14.8 | Listrában pedig ül vala egy ember, kinek lábai erőtlenek valának, ki az ő annyának méhétől fogva sánta volt, és soha nem járt.
Acts.14.9 | Ez hallá a Pál tanitását, ki mikor szemeit reá függesztette volna, és látta vona, hogy hinné meggyógyulását.
Acts.14.10 | Monda nagy felszóval: Állj fel a te lábaidra egyenesen. Akkor az, midőn felszökött volna, jár vala.
Acts.14.11 | A sokaság pedig, mikor látta volna a mit Pál cselekedett vala, felkiálta Likaóniai nyelven, mondván: Az Istenek jöttek mi hozzánk emberi ábrázatban.
Acts.14.12 | És hivják vala Barnabást Jupiternek, Pált pedig Merkúriusnak: mert ő vala a beszédben előljáró.
Acts.14.13 | Jupiternek pedig Papja, melly Jupiternek temploma az ő városok előtt helyheztetett vala, mikor koszorúkkal megékesittetett bikákat hajtott volna a templom tornáczába, akar vala a községgel áldozni nékik.
Acts.14.14 | Mellyet mikor hallottak volna az Apostolok Barnabás és Pál, az ő köntösöket megszaggatván, a község közzé futamodának, kiáltván.
Acts.14.15 | És ezt mondván: Férjfiak miért mivelitek ezt? mi is emberek vagyunk és ollyan indulatok vagynak bennünk, minémüek ti bennetek, kik azt hirdetjük, hogy ez illyen hitvány dolgokat elhagyván megtérjetek amaz élő igaz Istenhez, ki teremtette a mennyet, földet, tengert, és minden azokban való állatokat.
Acts.14.16 | Ki az elmult időkben, engedett minden Pogányokat élni az ő akaratjok szerint.
Acts.14.17 | Jóllehet nem hagyta ő magát tanúbizonyság nélkűl lenni, mikor tudniillik mi velünk jól tett; adván mennyből esőt és termő időket, és bétöltvén eledellel, és örömmel a mi sziveinket.
Acts.14.18 | És ezeket mondván, nehezen csendesiték meg a sokaságot, hogy nékik ne áldoznék.
Acts.14.19 | Jövének pedig valami Zsidók Antiókhiából és Ikóniumból, kik a községet eláltatván, Pált megkövezvén a városból kivánák: állitván hogy megholt volna.
Acts.14.20 | De mikor körűlvették volna őtet a tanitványok, felkele, és béméne a városba és másodnapon elméne Derbébe Barnabásssal.
Acts.14.21 | És mikor annak a városnak hirdették volna az Evangyéliomot, és sokakat tanitottak volna, megtérének Listrába, Ikóniumba és Antiókhiába.
Acts.14.22 | A tanitványoknak elméjeket erősitvén és intvén hogy megmaradnának a hitben, és azt mondván: hogy sok háborúságok által kellene nékünk az Isten országába mennünk.
Acts.14.23 | És mikor minden Gyülekezetben választottak volna Séniorokat, és imádkoztak volna böjtölésekkel egybe, ajánlák őket az Úrnak a kiben hittek vala.
Acts.14.24 | És Pisidia tartományát eljárván, menének Pámfiliába.
Acts.14.25 | És Pergában minekutánna hirdették volna az igét, menének Attália városába.
Acts.14.26 | És onnét elevezének Antiókhiába, a honnét őket az Istennek kegyelmességére biztak vala, a dologra, mellyet elvégeztek vala.
Acts.14.27 | És mikor oda jutottak volna, és a Gyülekezetet egybehivták volna, megbeszélék, melly nagy dolgokat cselekedett volna az Isten ő általok, és hogy a Pogányoknak kaput nyitott volna a hitre.
Acts.14.28 | És lakának ott sok ideig a tanitványokkal.

Acts.15.1 | Némellyek pedig kik Júdeában jöttek vala alá, illyen módon tanitják vala az Atyafiakat: Ha körűl nem metélkedtek Mózesnek rendtartása szerint, nem idvezülhettek.
Acts.15.2 | Mikor azért Pálnak és Barnabásnak nagy háborúságok és vetekedések lett volna azok ellen, azt végezék, hogy felmennének Pál és Barnabás, és némellyek azok közzűl az Apostolokhoz és Séniorokhoz Jérusálembe, e kérdés felől.
Acts.15.3 | És mikor a Gyülekezet elkisérte volna őket, eljárák Fenitziát és Samariát, beszélvén a Pogányoknak megtéréseket; és minden Atyafiaknak nagy örömet mondának vala.
Acts.15.4 | És mikor Jérusálembe jutottak volna, a Gyülekezet, az Apostolok és a Séniorok örömmel fogadák őket, és beszélik vala, melly nagy dolgokat cselekedett volna az Isten ő általok.
Acts.15.5 | De némellyek, úgymond, kik a Farizeusoknak szerzetek közzűl hittek, támadtak ollyanok, kik azt mondják, hogy a Pogányokat körűl kellene metélni, és nékik meg kellene parancsolni, hogy a Mózes törvényét megtartsák.
Acts.15.6 | Egybegyülének azért az Apostolok, és a Séniorok, hogy e dolog felől végeznének.
Acts.15.7 | És mikor sok vetekedés leett volna, felkelvén Péter, monda nékik: Atyámfiai férjfiak: Jól tudjátok ti, hogy az Isten mi közzűlünk engemet ez előtt elválasztott, hogy a Pogányok az én számból hallanák az Evangyéliomnak beszédét, és hinnének.
Acts.15.8 | És az Isten, ki a sziveket tudja, bizonyságot tett néki e dologról: mert nékik Szent Lelket adott, mint nékünk.
Acts.15.9 | És semmi külömbséget nem tett mi köztünk és azok között, megtisztitván azoknak sziveket hit által.
Acts.15.10 | Most annakokáért miért kisértitek az Istent, a tanitványok nyakokba olly igát vetvén, mellyet sem a mi Atyáink, sem mi el nem hordozhattunk?
Acts.15.11 | Sőt inkább az Úr Jézus Krisztusnak kegyelme által hisszük, hogy megtartatunk, miképen azok is.
Acts.15.12 | Veszteglés lőn azért az egész sokaság között, és hallgatják vala Barnabást és Pált, kik azt beszélik vala, melly nagy jeleket és csudákat tett volna Isten ő általok a Pogányok között.
Acts.15.13 | És minekutánna vesztegségben lettek volna ők, felele Jakab, mondván: Férjfiak atyámfiai, hallgassátok meg az én szómat:
Acts.15.14 | Simon megbeszélé, mimódon először az Isten megtekintette volna a Pogányokat, hogy azok közzűl népet választana ő magának.
Acts.15.15 | És ezzel egyeznek a Prófétáknak mondásaik, mint meg vagyon irva:
Acts.15.16 | Azután ugymond megtérek, és a Dávidnak leomlott sátorát megépitem és annak romlásit megujitom, és ismét felállatom azt.
Acts.15.17 | Hogy az embereknek maradékai megkeressék az Urat, és minden Pogányok is, mellyek az én nevemről neveztetnek, ezt mondja az Úr, a ki mind ezeket cselekeszi.
Acts.15.18 | Tudja az Isten öröktől fogva minden ő cselekedetit.
Acts.15.19 | Azokáért én azt mondom, hogy nem kell azokat megháboritani, kik a Pogányok közzűl megtérnek az Istenhez.
Acts.15.20 | Hanem hogy irjunk azoknak, hogy a bálványoknak fertelmességektől, a paráznaságtól, a fulva holt állattól, és a vértől megoltalmazzák magokat;
Acts.15.21 | Mert vagynak Mózesnek szolgái, régi időtől fogva minden városokban, kik az ő tudományát hirdessék, mivelhogy a zsinagógákban minden Szombaton olvassák az ő irását.
Acts.15.22 | Akkor tetszék az Apostoloknak és a Sénioroknak, az egész Gyülekezettel egybe, hogy magok közzűl választott embereket küldjenek Antiókhiába Pállal és Barnabással, tudniillik Júdást, ki vezeték nevéről Barnabásnak neveztetik; és Silást, kik az Atyafiak között fők valának.
Acts.15.23 | És hogy azok által ezeket irnák: Az Apostolok, a Séniorok és az Atyafiak azoknak, kik vagynak Antiókhiában, Siriában, és Cziliában, a Pogányok közzűl való Atyánkfiainak köszönetünket irjuk.
Acts.15.24 | Mivelhogy hallottuk, hogy némellyek mi közzűlünk valók kimenvén, titeket megháboritottak beszédekkel, a ti lelketeket megtántoritván, kik azt parancsolták, hogy körülmetélkedjetek, és a Mózes czeremóniáit megtartsátok, kiknek mi azt nem hagytuk volt.
Acts.15.25 | Tetszék azért nékünk, kik egyenlő akaratból egybegyültünk, hogy választott férjfiakat küldjünk ti hozzátok, a mi szerelmes Atyánkfiaival Barnabással és Pállal.
Acts.15.26 | Olly emberekkel, kik az ő életeket a mi Urunk Jézus Krisztusnak nevéért halálra vetették.
Acts.15.27 | Küldöttük azért Júdást és Silást, kik beszéddel is ugyanazt fogják mondani.
Acts.15.28 | Mert tetszék a Szent Léleknek és nékünk, hogy egyéb terhet ne vetnénk ti reátok, hanem e szükséges dolgokat:
Acts.15.29 | Tudniillik, hogy megtartóztassátok magatokat azoktól, a mellyek bálványoknak áldoztattak, és a vérnek életétől, a fulva holt állattól és a paráznaságtól: mellyektől ha megoltalmazzátok magatokat, jól tészitek. Legyetek egésségben.
Acts.15.30 | Azok annakokáért, mikor őtet elbocsátották volna, menének Antiókhiába, és a sokaságot egybegyüjtvén, megadák a levelet.
Acts.15.31 | Kik mikor elolvasták volna azt, örvendezének az intésben.
Acts.15.32 | Júdás is pedig és Silás, mivelhogy ők is Próféták valának, sok beszéddel inték az Atyafiakat és erősiték.
Acts.15.33 | És mikor ott maradtak volna, egy kevés ideig, elbocsáták őket az Atyafiak békességgel az Apostolokhoz.
Acts.15.34 | De Silásnak tetszék ott maradni.
Acts.15.35 | Pál is pedig és Barnabás lakozának Antiókhiában, tanitván és prédikálván, egyebekkel sokakkal az Úrnak beszédét.
Acts.15.36 | Egynehány nap mulva pedig monda Pál Barnabásnak: Megtérvén jer látogassuk meg a mi Atyánkfiait minden városokban, mellyekben hirdettük az Úrnak beszédét, hogy lássuk mint vagynak.
Acts.15.37 | Barnabás pedig adja vala tanácsul, hogy melléjek vennék Jánost, ki vezeték nevéről Márkusnak hivattatik vala.
Acts.15.38 | Pál pedig igaznak és máltónak mondja vala lenni, hogy őtet melléjek ne vennék, mivelhogy tőlök Pámfiliában elszakadott volna, és néki nem akart volna e dologban útitársok lenni.
Acts.15.39 | Annyir amegháborodának azért hogy egymástól elszakadnának, és Barnabás Márkust melléje vévén, evezne Cziprusba:
Acts.15.40 | Pál pedig Silást melléje vévén elméne, Isten kegyelmére bizattatván az Atyafiaktól.
Acts.15.41 | És eljárá Siriát és Czilicziát, a Gyülekezeteket erősitvén.

Acts.16.1 | Juta pedig Pál Derbe városba és Listrába; és ímé vala ott egy tanitvány, kinek neve Timótheus vala, egy hiv Zsidó asszonynak fija, kinek attya Görög vala.
Acts.16.2 | Erről jó bizonyságot tésznek vala az Atyafiak, kik Listrában és Ikóniumban valának.
Acts.16.3 | Akará azért Pál, hogy az elmenne ő vele, és ezt minekutánna melléje vette volna, körűlmetélé a Zsidókért, kik az helyekben valának: mert mindnyájan tudják vala, hogy Görög volt annak attya.
Acts.16.4 | A városokon azért általmenvén, tanitják vala őket, hogy megtartanák a rendeléseket, mellyeket végeztek vala az Apostolok é Séniorok Jérusálemben.
Acts.16.5 | Azért a Gyülekezetek gyarapodnak vala a hitben, és szám szerint nevekednek vala naponként.
