Gen.1.1 | Kezdetben teremté Isten a mennyet és a földet.
Gen.29.30 | És bémenvén Jákób Rákhelhez is, inkább szereté Rákhelt, hogy sem Leát és szolgála ő nála még más hét esztendeig.
Gen.29.31 | És minekutánnal látta volna az Úr, hogy Lea utálatos volna, megnyitá annak méhét, de Rákhel magtalan vala.
Gen.29.32 | Fogada azért Lea az ő méhében és szüle fiat, kit neveze Rúbennek, mert azt mondja vala: Meglátta Isten az én nyomorúságomat; azért immár szeretni fog az én férjem engemet.
Gen.29.33 | Azután ismét teherbe esék és szüle fiat, annakokáért monda: Mivelhogy az Isten meghallotta hogy én utálatos vagyok, azért adta nékem ezt is: azért nevezé azt Simeonnak.
Gen.29.34 | Annakutánna ismét az ő méhében fogadván, szüle fiat, és monda: Immár az én férjem ragaszkodik én hozzám, mert szültem néki három fiakat; azért nevezé azt Lévinek.
Gen.29.35 | Ismét azután teherbe esék, és fiat szülvén, monda: Immár az Úrnak hálákat adok, azért nevezé azt Júdának, és megszünék a szüléstől.

Gen.30.1 | És mikor látná Rákhel hogy ő nem szülne magzatokat Jákóbnak, irigykedni kezde Rákhel az ő nénnyére, és monda Jákóbnak: Adj nékem magzatokat, mert ha nem adándasz, meghalok.
Gen.30.2 | Felgerjede azért a Jákób haragja Rákhel ellen, és monda: Avagy Isten vagyok-é én, ki megtartóztatta a te méhednek gyümölcsét.
Gen.30.3 | És monda Rákhel: Ímhol az én szolgálóleányom Bilha, mej bé hozzá, hogy szüljön kit én feltartsak az én térdeimen, és én is ő általa megépüljek.
Gen.30.4 | Adá azért néki az ő szolgálóleányát Bilhát feleségül; és béméne ahoz Jákób.
Gen.30.5 | És fogada az ő az ő méhében Bilha, és szüle Jákóbnak fiat.
Gen.30.6 | És monda Rákhel: Megitélte az én ügyemet az Isten, és meghallgatta az én könyörgésemnek beszédét, és adott énnékem fiat: azért nevezé azt Dánnak.
Gen.30.7 | Ismét fogada az ő méhében, és szüle Bilha a Rákhel szolgálóleánya második fiat Jákóbnak.
Gen.30.8 | És monda Rákhel: Nagy tusakodással tusakodtam az én nénémmel, de meggyőztem őtet: azért nevezé azt Nafthalinak.
Gen.30.9 | Látván pedig Lea hogy ő megszünt volna a szüléstől, hasonlóképen véveaz ő szolgálóleányát Zilpát, és adá azt Jákobnak feleségül.
Gen.30.10 | És szüle Zilpa, Leának szolgálóleánya fiat Jákobnak.
Gen.30.11 | És monda Lea, sereg (had) jő: és nevezé azt Gádnak.
Gen.30.12 | Szüle Zilpa, Leának szolgálóleánya más fiat is Jákobnak.
Gen.30.13 | És monda Lea: Jól vagyon dolgom: mert az asszonyok engemet boldognak mondanak: és nevezé azt Ásernak.
Gen.30.14 | Elméne pedig Rúben gabonaaratáskor, és talála a mezőn Dudaimokat, és vivé azokat az ő annyának, Leának. És monda Rákhel Leának: Adj énnékem a te fiadtól hozott Dudaimban.
Gen.30.15 | Kinek felele LeaÉ Avagy kicsiny dolognak tetszik-é tenéked, hogy elvetted én tőlem az én férjemet, hanem annakfelette az én fiamtól hozott Dudaimokat is el akarod venni? És monda Rákhel: Háljon veled tehát az éjjel a te fiadtól hozott Dudaimokért.
Gen.30.16 | Mikor ezért Jákob estve a mezőről jőne haza, eleibe méne Lea, és monda: Velem hálsz: mert megbérlettelek tégedet sz én fiamtól hozott Dudaimokon: és vele hála Jákob az éjszaka.
Gen.30.17 | És meghallgatá Isten Leát, ki fogadta az ő méhében. és szüle Jákobnask ötödik fiat.
Gen.30.18 | És monda Lea: Megadta az Isten az én jutalmamat, minekutánna adftam az én szolgálóleányomat az én férjemnek: azért nevezé azt Issakhárnak.
Gen.30.19 | És ismét teherbe esék Lea, és szüle hatodik fiat Jákobnak.
Gen.30.20 | És monda Lea:Megajándékozott az Isten engemet jó ajándékkal ez uttal. Immár velem lakik az én férjem, mert szültem neki hat fiakat, azért nevezé azt Zebulonnak.
Gen.30.21 | Annakutánna szüle leányzót, és nevezé azt Dinának.
Gen.30.22 | Megemlékezék pedig az Isten Rákhelről; és meghallgatá őtet az Isten, és szülővé tevé őtet.
Gen.30.23 | Teherbe esék azért, és szüle fiat, s monda: Elvette az Isten az én gyalázatomat.
Gen.30.24 | És nevezé azt Józsefnek, mondván: Adjon z Úr nekem más fiat is.
Gen.30.25 | És lett, hogy minekutánna szülte volna Józsefet. mondéá Jákob Lábánnak: Bocsáss el engemet, hadd menjek el az én helyembe, és az én földembe.
Gen.30.26 | Add meg nékem az én feleségeimet és magzatimat, kikért szolgáltam nálad, hadd menjek el, mert te tudod az én szolgálatomat a mellyel szolgáltalak tégedet.
Gen.30.27 | És monda néki Lábán: Ha engemet kedvelsz, hadj békét annak, én megtapasztaltam, hogy megáldott engem az Úr te éretted.
Gen.30.28 | És ismét monda: Mond megt a te szolgálatodnak jutalmát énnékem, és megadom néked.
Gen.30.29 | Monda pedig Jákob őnéki: Te tudod mi módon szolgáltalak tégedet, és mennyi volt a te barmod az én pásztorságom alatt mikor először hozzád jöttem.
Gen.30.30 | Mert a mi kevés volt néked én előttem, sokaságra terjedett, és megáldott a Jehova tégedet az én lábam mellett: és immár mikor viselek gondot én is az én házamról?
Gen.30.31 | És monda Lábán: Mit adjak tenéked? Felele Jákób: Ne adj nékem semmit; ha ezt miveled én velem, ismét legeltetem és őrizem a te juhaidat:
Gen.30.32 | Minden jahaidat megjárom ma, és elszakasztom a szeplős és tarka juhokat, és mind a feketéket a juhok között, azonképen a szeplős és tarka kecskéket, és az ollyan legyen ezután az én jutalmam.
Gen.30.33 | És bizonyságot tészen én rólam az én igazságom ezután te előtted, mikor eljövéndesz hogy meglássad az én jutalmamat. Valamelly szeplős vagy tarka, vagy fekete nem lejénd az én juhaim és kecskéim között, bátor lopónak mondj engemet.
Gen.30.34 | És monda Lábán: Bátor úgy legyen: Vajha a te beszéded szerint lenne.
Gen.30.35 | Elválasztá azért azon napon a szeplős és tarka kosokat, és mind a szeplős és tarka kecskéket, tudniillik a mellyekben valami fejérség vala, és minden feketét a juhok közzűl, és adá azokat az ő fijainak kezekhez.
Gen.30.36 | És Lábán három nap járó földnyi közt vete ő maga között és Jákób között: és Jákób legelteti vala Lábánnak több juhait.
Gen.30.37 | És Jákób vett zöld nyár-, mogyoró- és gesztenye-vesszőket, és megtarkálá azokat fejéresen, hogy a vesszőknek megtetszenék a fejére.
Gen.30.38 | És helyhezteté a megtarkált vesszőket a juhok eleibe az itató válúkba, mellyekből a juhok szoktak vala inni, hogy a juhok azokra nézve fogadnának.
Gen.30.39 | És a juhok fogadnak vala a vesszők felett, és ellének vala a juhok csepegetett lábúakat, szeplősöket és tarkákat.
Gen.30.40 | Annakutánna külön seregbe szakasztá ezeket a bárányokat Jákób, és a Lábán juhainak seregét arczczal fordítja vala a tartka és fekete bárányokra; és az ő maga juhainak seregét külön szakasztva tartja vala, és azokat nem fordítja vala arczczal a Lábán juhaira.
Gen.30.41 | És mikor Jákób a juhoknak javait idejekorán egybebocsátja vala a kosokkal, akkor a tarka vesszőket azoknak a juhoknak eleikbe helyhezteté az itató helyen való válúkba, hogy a vesszők felett fogadnának.
Gen.30.42 | De mikor későn bocsátja vala egybe azokat, nem helyhezteti vala a válúkba a vesszőket, és illyen módon az idején való ellések Jákóbé valának, a késő ellések pedig Lábáné.
Gen.30.43 | Annakokáért megnevekedék az a férjfiú igen igen; és valának néki sok juhai, szolgálóleányai, szolgái, tevéji és szamarai.

Gen.31.1 | Mikor azért hallotta volna Jákób a Lábán fijainak beszédeket, kik ezt mondják vala: Valamije volt a mi atyánknak, mind elvette Jákób; és a mi atyánk jószágából szerzette mind e gazdagságot.
Gen.31.2 | És látta volna Jákób a Lábán orczáját, hogy nem ollyan indulattal volna hozzája mint annakelőtte.
Gen.31.3 | És mivelhogy illyen módon szólott volna az Úr Jákóbnak: Térj meg a te atyáidnak földére, és a te rokonságid közzé, és lészek te veled.
Gen.31.4 | Elküldvén annakokáért Jákób, kihivatá magához Rákhelt és Leát a mezőre az ő juhaihoz.
Gen.31.5 | És monda nékik: Látom a ti atyátoknak orczáját hogy nincsen ollyan indulattal hozzám, mint ennekelőtte: és az én atyámnak Istene megjelent nékem.
Gen.31.6 | Ti pedig tudjátok, hogy a ti atyátoknak az én teljes erőm szerint szolgáltam.
Gen.31.7 | És hogy a ti atyátok álnokúl cselekedett én velem, és az én szolgálatomnak jutalmát tizszer változtatta el; mindazáltal az Isten nem engedte hogy nékem kárt tehessen.
Gen.31.8 | Mikor azt mondotta: A szeplős bárányok legyenek a te szolgálatodnak jutalma, mind a juhok szeplősöket ellének vala. Ha azt mondotta: A tarkák legyenek a te jutalmad, a juhok mind tarkákat ellének vala.
Gen.31.9 | Annakokáért Isten vette el a ti atyátoknak juhati, és ő adta nékem.
Gen.31.10 | Mert mikor a juhoknak egybebocsátásoknak ideje eljő vala, szemeimet felemelvén látom vala álomban, hogy a juhokat hágják vala tarka lábú, szeplős és csepegetett szinű kosok.
Gen.31.11 | Akkor monda nékem az Istennek Angyala álomban: Jákób. És feleék: Ímhol vagyok.
Gen.31.12 | És ő monda: Emeld fel a te szemeidet és lássad, hogy a melly kosok a juhokat hágják, azok mind tarka lábúak, szeplősök és csepegetett színűek. Mert láttam valamit veled cselekedett Lábán.
Gen.31.13 | Én vagyok amaz erős Isten, a Béthelnek Istene, a holott olajt töltél a kőoszlopra, és a holott fogadást tettél nékem. Most azért kelj fel, menj ki e földről, és térj meg a to rokonságid tartományában.
Gen.31.14 | És felele Rákhel és Lea, és mondának néki: Valyon vagyon-é nékünk valami részünk és örökségünk a mi atyánk házában.
Gen.31.15 | Avagy nem úgy tartott é minket mint idegenekeet? mert minket eladott tenéked, és megemésztette a mi pénzünket.
Gen.31.16 | Mert mind ez a gazdagság, mellyet Isten vett el a mi atyánktól, miénk és a mi fiainké. Most azért valamit tenéked az Isten mondott, azt cselekedjed.
Gen.31.17 | Felkelvén azért Jákób, és az ő fijait és feleségeit felvévén, tevék hátára helyezteté őket.
Gen.31.18 | És elvivé minden nyáját, és minden keresményét, valamellyet keresett vala, és minden juhait mellyeket szerzett vala Mésopotámiában, hogy megtérne az ő attyához Izsákhoz a Kanaánnak földébe.
Gen.31.19 | Lábán pedig elment vala a juhokat nyírni; azonközben ellopá Rákhel az ő attyának bálványait.
Gen.31.20 | Jákób is orozva méne el a Siriabeli Lábánnak híre nélkül, mivelhogy senki nem jelentette volna meg néki hogy ő szaladna.
Gen.31.21 | És illyen módon elszalada ő minden jószágával, és felkelvén, általméne az Eufrátes folyóvizén, és Gileád hegye felé tarta.
Gen.31.22 | És mikor harmad napra megmondották volna Lábánnak, hogy Jákób elfutott volna.
Gen.31.23 | Maga mellé vévén az ő rokonait, hét napi járó földig űzé őtet; és eléré a Gileád hegyén.
Gen.31.24 | És minekutánna az Isten a Siriabeli Lábánnak megjelent volna éjszakai álomban, ezt mondotta vala néki: Meglásd hogy Jákóbnak ne szólj se jót, se gonoszt.
Gen.31.25 | Mikor azért elérte volna Lábán Jákóbot, és a mint Jákób az ő sátorát azon a hegyen felvonta vala, Lábán is azon Gileád hegyén az ő rokonaival egybe felvoná sátorait.
Gen.31.26 | És monda Lábán Jákóbnak: Mit cselekedtél, hogy orozva jöttél el hírem nélkül, és elhoztad leányaimat, mintha fegyvereddel nyerted volna azokat.
Gen.31.27 | Miért futottál el titkon, és miért jöttél el tőlem orozva? és nem mondottad meg nékem, hogy bocsátottalak volna tégedet örömmel, énekszóval, dob és hegedűszóval.
Gen.31.28 | És nem engedted meg nékem hogy az én fiaimat és leányaimat megcsókolgattam volna, mostan bizony igen bolondúl cselekedtél hogy ezt mívelted.
Gen.31.29 | Volna erőm hozzá hogy titeket megbüntetnélek; de a ti atyátoknak Istene tegnap éjszaka megszólíta engemet, ezt mondván: Meglásd hogy ne szólj Jákób ellen vagy jót vagy gonoszt.
Gen.31.30 | Hogyha pedig immár ugyan elakartál jőni, mivelhogy nagy kivánsággal kivánkoztál a te atyádnak házához? miért loptad el az én isteneimet?
Gen.31.31 | Felelvén pedig Jákób, monda Lábánnak: azért jöttem titkon, mert féltem, mert gondolom vala hogy talán elveszed a te leányaidat én tőlem erővel.
Gen.31.32 | A kinél pedig megtalálándod a te isteneidet, ne éljen az. A mi rokonságink előtt lásd meg ha valami marhád van én nálam, és ha vagyon, vidd el. (Mert nem tudja vala Jákób, hogy Rákhel lopta volna el a bálványokat.)
Gen.31.33 | Bémenvén azért Lábán Jákóbnak sátorába, és Leának sátorába, és a két szolgálóleánynak sátorokba, nem találá meg az ő isteneit; és kimenvén Leának sátorából, méne a Rákhel sátorába.
Gen.31.34 | (Rákhel pedig vette vala a bálványokat, és rejtette vala el egy tevének nyergébe, és azokon felül üle,) és meghányá Lábán mind az egész sátort, és nem találta vala meg azokat.
Gen.31.35 | Mert azt mondotta vala Rákhel az ő attyának: Ne haragudjék az én uram, hogy fel nem kelhetek e előtted: mert asszonyoknak szokások szerint van most nékem dolgom, és mikor mindeneket meghányt volna, nem találá a bálványokat.
Gen.31.36 | Akkor felgerjede Jákóbnak haragja annyira, hogy feddődvén Lábánnal, azt mondaná néki: Micsoda vétkem vagyon, és micsoda bűnöm, hogy utánnam jöttél?
Gen.31.37 | Mivelhogy minden házieszköz marhámat felhánytad, a mit találtál a te házi marhád közzűl valót, hozd elő az én rokonaim, és a te rokonaid eleibe, hogy mi köztünk ketten tégyenek itéletet.
Gen.31.38 | Immár húsz esztendeje hogy nálad vagyok, a te juhaid és a te kecskéid meg nem vetettek, és a te nyájadnak kosait én nem ettem.
Gen.31.39 | A mellyeet a vadak megszaggattak, azt haza nem vittem, hanem én fizettem meg, mert az én kezemből kivántad azt meg, azonképen a mit vagy nappal vagy éjjel elloptak.
Gen.31.40 | Néha nappal a nagy hévség emésztett meg, éjszaka a hideg; és az álom az én szemeimtől távol volt.
Gen.31.41 | Ez huszadik esztendeje hogy a te házadnál vagyok; szolgáltam tenéked tizennégy esztendeig a te két leányaidért, és hat esztendeig a te juhaidért; az én szolgálatomnak pedig jutalmát tízszer is változtattad el.
Gen.31.42 | És ha az én atyámnak Istene, Ábrahámnak Istene, és az Izsáknak félelme velem nem volt volna, bizony most is üresen bocsátanál el engemet, de az Isten az én nyomorúságomat és kezeimnek munkáját tekintette meg, mikor megfeddett tégedet tegnap éjjel.
Gen.31.43 | Felelvén pedig Lábán, monda Jákóbnak: E leányok én leányaim és e fiak én fiaim, és e sereg juhok is enyimek: annak felette valamit látsz mind enyim, mit véthetnék pedig az én leányaimnak, vagy az ő magzatjaiknak a kiket szültek.
Gen.31.44 | No azért vessünk szövetséget ketten, melly legyen bizonyságúl én közöttem és te közötted.
Gen.31.45 | És vett Jákób egy követ, és felemelé azt jegyűl.
Gen.31.46 | És monda Jákób az ő attyafiainak: Szedjetek köveket; és gyüjtének köveket, és csinálának nagy rakást; és evének azon a rakáson.
Gen.31.47 | És nevezé Lábán azt illy névvel: Jégár Sahadutha Jákób pedig nevezé illy névvel: Gálhéd.
Gen.31.48 | Mert mivelhogy ezt mondotta vala Lábán: E rakás legyen bizonyság ma én közöttem és te közötted, azért nevezé Jákób is Gálhédnek.
Gen.31.49 | Annak felette Mitzpának is nevezé, mivelhogy ezt mondotta vala Lábán: Az Isten legyen itélőbiró én közöttem és te közötted minekutánna egymástól elválunk.
Gen.31.50 | Ha az én leányaimat nyomorgatándod, és ha az én leányim kivül több feleségeket vejéndesz, senki nincsen mi közöttünk; hanem meglásd, mert az Isten bizonyság én közöttem és te közötted.
Gen.31.51 | Ezek felett monda Lábán Jákóbnak: Ímé e rakás kő, és ímé ez oszlop, mellyet raktam én közöttem és te közötted.
Gen.31.52 | Bizonyság e rakás, és bizonyság az oszlop, hogy én nem megyek e rakás kő mellől te hozzád, te is nem jössz én hozzám e rakás mellől, és ez oszlop mellől, gonosz szándékkal.
Gen.31.53 | Az Ábrahám Istene, és a Nákhor Istene tegyenek ítéletet közöttünk, és azoknak attyoknak Istene: És megesküvék Jákób az ő attyának Izsáknak félelmére.
Gen.31.54 | Akkor Jákób barmokat ölete meg ott a hegyen, és az ő rokonságait lakodalomba hivá, kik mikor ettek volna ugyan ott a hegyen hálának.
Gen.31.55 | Annakutánna felkele Lábán reggel, és megcsókolgatván az ő fijait és leányait, megáldá őket, és elmenvén, haza méne Lábán az ő helyére.

Gen.32.1 | Jákób pedig elindula az ő útján, és az Isten Angyalai eleibe menének őnéki.
Gen.32.2 | És monda Jákób mikor azokat látta volna: Isten serege ez; annakokáért nevezé azt a helyet Makhanainnak.
Gen.32.3 | Azután külde Jákób követeket ő maga előtt Ézsaúhoz az ő báttyához, az Edomiták tartományokba, Seirnek földébe.
Gen.32.4 | És parancsola a követeknek ezt mondván: így szóljatok az én uramnak Ézsaúnak: Ezt mondja a te szolgád Jákób: Lábánnál voltam mint jövevény, és ott laktam mind ez ideig.
Gen.32.5 | Vagynak peeig nékem ökreim és szamaraim, juhaim, szolgáim és szolgálóleányaim, melly dolognak hirré adására küldöttem te hozzád én uramhoz, hogy előtted kedvet találnék.
Gen.32.6 | És megtérének Jákóbhoz a követek, mondván: Elmentünk vala a te atyádfiához Ézsaúhoz, ki is néked elődbe jő, és vele vagynak négyszáz férjfiak.
Gen.32.7 | Megfélemlék pedig Jákób, és felette igen megháborodék; annakokáért a népet, melly ő vele vala, a juhokat, barmokat és a tevéket két seregbe szakasztá.
Gen.32.8 | Mert ezt mondja vala: Ha Ézsaú eljövénd az egyik seregre, és azt levángándja, a másik sereg megszabadúl.
Gen.32.9 | Annakfelette monda Jákób: Oh én attyámnak Ábrahámnak Istene, és az én attyámnak Izsáknak Istene, Uram! ki nékem ezt mondád: Eredj haza a te földedbe, a te rokonságid közzé, és jól tészek veled.
Gen.32.10 | Kissebb vagyok minden te jótéteményeidnél és igazságodnál, mellyeet cselekedtél a te szolgáddal: mert egy pálczával mentem vala által a Jordán vizén, most pedig két seregem van.
Gen.32.11 | Szabadíts meg, kérlek, engemet az én bátyámnak kezéből, Ézsaúnak kezéből; mert félek ő tőle, hogy el ne jöjjön, és elveszessen engemet, és az anyát az ő fijaival egybe.
Gen.32.12 | Te pedig azt mondottad: Jól tészek te veled, és a te magodat ollyanná tészem mint a tenger fövénye, melly meg nem számláltathatik sokasága miatt.
Gen.32.13 | És ott hála az éjszaka: és választa abból a mi kezénél vala ajándékot Ézsaúnak az ő báttyának.
Gen.32.14 | Kétszáz kecskéket, és húsz bakokat; kétszáz juhokat, és húsz kosokat.
Gen.32.15 | Harmincz szoptatós tevéket fijaival egybe; negyven teheneket, tíz tulkokat: húsz nőstény szamarakat, tíz vemhékkel egyetembe.
Gen.32.16 | És adá az ő szolgáinak kezekbe minden nyájat külön-külön, és monda az ő szolgáinak: Menjetek el én előttem, és minden sereg között közt hagyjatok.
Gen.32.17 | És parancsola az elsőnek, mondván: Ha az én bátyám Ézsaú előtalálánd téged, és megkérdend téged, ezt mondván: Ki szolgája vagy? Hová mégy? És kié ez előtted való marha?
Gen.32.18 | Akkor azt mondjad: Jákóbnak a te szolgádnak szolgája vagyok: ez az ajándék, mellyet elől küldött az én uramnak Ézsaúnak, és ímé ő maga is mi utánnunk vagyon.
Gen.32.19 | Ugyanazont parancsolá a másiknak, a harmadiknak, és mindeneknek kik a sereg nyájak után mennek vala, ezt mondván: Illyen módon szóljatok Ézsaúnak mikor reá találándotok.
Gen.32.20 | Annakfelette ezt is mondjátok: Ímé Jákób is a te szolgád mi utánnunk vagyon. Mert illyen módon gondolkodik vala Jákób: Megengesztelem őtet ez ajándékkal, melly előttem megyen, és azután lészek szembe vele, talán kedves lészen személyem előtte.
Gen.32.21 | Eképen elbocsátá az ajándékot elől; ő pedig hála az éjjel a seregnél.
Gen.32.22 | Felkelvén pedig azon éjszaka, vevé az ő két feleségeit, két szolgálóleányait, tizenegy magzatival egybe, és általméne a Jabbók révén.
Gen.32.23 | És minekutánna azokat vévén általköltöztette volna a vizen, azután általköltöztetté mindenét valamije vala.
Gen.32.24 | Marada annakokáért Jákób csak egyedül, és tusadkodik vala ő vele egy férjfiú, mind addig mig nem meghajnallanék.
Gen.32.25 | Ki mikor látná, hogy Jákóbon semmi erőt nem vehet, illeté az ő csipőjének forgócsontját, és a Jákób csipőjének forgócsontja helyéből kiiszamodék, mikor a férjfiú tusakodnék vele.
Gen.32.26 | És monda: Bocsáss el engem, mert a hajnal feljött. És monda Jákób: Nem bocsátlak el téged míg meg nem áldasz engemet.
Gen.32.27 | Annakokáért monda néki: Kicsoda a te neved? Felele: Jákób.
Gen.32.28 | És monda az Angyal: Nem csak Jákób lészen ezután a te neved hanem Izráel. Mert ha Isten ellen diadalmas voltál, az emberek ellen is diadalmas lészesz.
Gen.32.29 | És megkérdé Jákób, és monda: Mond meg, kérlek, a te nevedet. Felele az: Miért kérded az én nevemet? És megáldá őtet ugyan ott.
Gen.32.30 | Annakokáért nevezéa zt a helyet Jákób Peniélnek: mert látám, úgymopnd, az Istent színről-színre, és nem halék meg.
Gen.32.31 | És azonközben a nap feljöve, míg általméne a Peniélen, és az ő csipőjére sántál vala.
Gen.32.32 | Annakokáért nem eszik az Izráel fijai mind e mai napig a csipőnek forgócsontja mellett való inat, mivelhogy illette vala az Angyal Jákóbnak csipőcsontját, és a forgócsontnak inát.

Gen.33.1 | Jákób pedig felemelvén szemeit, látá, és ímé Ézsaú jő vala, és négyszáz férjfiak ő vele, és megosztá az ő gyermekeit Lea mellé, Rákhel mellé, és az ő két szolgálóleányai mellé.
Gen.33.2 | És az ő szolgálóleányait azoknak fiaival egybe első helyen helyhezteté, azután Leát és az ő gyermekeit, utolsó helyen Rákhelt és Józsefet.
Gen.33.3 | Maga pedig Jákób előttök megyen vala, és hétszer hajla meg a földig, mig a báttyához jutna.
Gen.33.4 | Ézsaú pedig eleibe futamodék néki, és megölelé őtet, és a képen sírának.
Gen.33.5 | Azután Ézsaú felemelvén az ő szemeit, látá az asszonyokat és a gyeermekeket, és monda: Kicsodák ezek? Tiéid-é? Ki felele: Ezek én gyermekeim, kiket Isten adott a te szolgádnak.
Gen.33.6 | Elközelgetének annakokáért a szolgálóleányok és azoknak gyermekei, és meghajták magokat Ézsau előtt.
Gen.33.7 | Elérkezék Lea is az ő fijaival, és meghajták magokat; annakutána eljöve József és Rákhel, és ők is meghajták magokat.
Gen.33.8 | És mondá Ézsau: Tiéd-é mind az egész sereg, mellyet elől találék? És felele: Hogy az én uram előtt kedvet találjak azért küldöttem azokat.
Gen.33.9 | És mondá Ézsau: Nékem elég marhám vagyon jó öcsém, legyen tiéd a te marhád.
Gen.33.10 | Monda pedig Jákob: Ne vesd meg kérlek, ha találtam kedvet most előtted;hanem vedd el ajándékomat az én kezemből: mert a te orczádat nem különben látom, mintha az Isten orczáját látnám, mivel hogy kegyelmesen fogadtál engemet.
Gen.33.11 | Vedd el kérlek az én ahjándékomat, mellyet hoztam néked, mivelhogy az Isten kegyelmesen cselekedett én velem, és mindenféle jószággal bővölködöm: Kénszeríté azért őtet, és elvevé az ajándékot.
Gen.33.12 | Azután mondá Ézsau: Induljunk el, menjünk el, és én te előtted megyek.
Gen.33.13 | Felele néki Jákob: Az én uram jól tudja hogy e gyermekek gyengék, és hogy nékem szoptatós juhaim és ünőim vagynak, mellyeket ha csak egy nap felettébb hajtanak, mind meghalnak a barmok.
Gen.33.14 | Menj el kérlek, az én uram az ő szolgája előtt, és is lassan elmegyek a mint az én előttem való sereg mehet, és mint az én gyermekeim mehetnek, mígnem az én uramhoz jutok Seirbe.
Gen.33.15 | Akkor monda Ézsau: Kérlek engedd meg, hogy hagyjak te veled egynéhányat e nép közzül melly velem vagyon. Ki monda: Miért hagynál? Elég nékem hogy kedvet találtam az én uram előtt.
Gen.33.16 | Megtére azért ugyanazon napon Ézsau az ő útján Seir felé.
Gen.33.17 | Jákob pedig méne Sukhótba, holott építe magának házat, és az ő barmainak hajlékokat, annakokáért nevezé azt a helyet Sukhótnak.
Gen.33.18 | Annakutána méne Jákob minden bántás nélkül Sékhembe, melly vala a Kanaán földében, mikor jőne Mésopotámiából, és tábort jára a város ellenébe.
Gen.33.19 | És megvevé azt a mezőnek részét, ahol sátorát felvonta valaKhámornak fijaitól, melly Khámor Sékhem attya vala, száz garason.
Gen.33.20 | És építe ott oltárt, és nevezé azt illy névvel: Izráelnek erős Istene.

Gen.34.1 | Kiméne pedig Dina, Leának leánya, mellyet szült vala Jákobnak, hogy látná annak a tartománynak leányait.
Gen.34.2 | És mikor látta volna őtet Sékhem, a Khiovvi Khámornak, annak a tartománynak Fejedelmének fija, elragadá őtet, és vele hálván, megszeplősíté őtet.
Gen.34.3 | És ragaszkodék az ő lelke Dinához a Jákob leányához, és megszereté a leányzót, és szól vala a leányzónak édes beszédekkel.
Gen.34.4 | Szóla pedig Sékhem Khámornak az ő attyának mondván: Vegyed nékem feleségül ezt a leányzót.
Gen.34.5 | Jákob pedig meghallá hogy megszeplősítette volna Sékhem Dinát az ő leányát (az ő fijai pedig a mezőn valának a barommal:) és vesztegségben vala Jákob míg azok megjőnének.
Gen.34.6 | Kiméne azért Khámor Sékhemnek attya Jákobhoz, hogy szólana ő vele.
Gen.34.7 | De mikor a Jákob fijai megjöttek volna a mezőről, meghallván e dolgot, felette igen bánkódának azok az emberek, és igen megharaguvának, hogy illy nagy gonoszságot csele kedett voléna Sékhem az Izráel ellen, hogy a Jákob leányát megszeplősítette volna, melly dolognak nem kellett vlna lenni.
Gen.34.8 | Szóla azért Khámor ő velek mondván: Az én fiamnak Sékhemnek lelke ragszkodott a ti leányotoknak lelkéhez, kérlek annakokáért titeket, adjátok azt néki feleségül.
Gen.34.9 | És szerezzetek velünk sógórságot: a ti leányitokat adjátok nékünk, és a mi leányainkat vegyétek magatoknak.
Gen.34.10 | És maradjatok köztünk; e föld lészen a ti birodalmotokban, lakjátok ezt, és munkálkodjatok azon és bírjátok azt.
Gen.34.11 | Sékhem is a Dina attyának és az ő báttyainak: Hadd találjak kdevet előttetek, és valamit mondándotok nékem, megadom.
Gen.34.12 | Akármely nagy jegyruhát és ajándékot kívánjatok tőlem, megadom, valamint mondjátok nékem, csak adjátok nékem a leányzót feleségül.
Gen.34.13 | Felelének pedig Jákob fijai ékhemnek és Khámornak a Sékhem attyának, és szólának álnokul, mivelhogy megszeplősítette volna Dinát az ő hugokat.
Gen.34.14 | És mondának néki: Nem mivelhetjük e dolgot hogy a mi hugunkat adjuk körülmetélkedetlenférjfiúnak: mert ez nékünk gyalázat volna.
Gen.34.15 | Mindazáltal engedünk néktek illy okkal: ha mi hozzánk hasonlatosak lésztek, és körülmetéltetitek t köztetek minden férjfiú.
Gen.34.16 | Így a mi leányinket néktek adjuk, és a ti leányitokat magunknak vesszük, t köztetek lakozunk, és veletek egy néppé lészünk.
Gen.34.17 | Hogyha nem engedéndetek minékünk, hogy körülmetélkednétek, felvesszük a mi leányunkat és elmegyünk.
Gen.34.18 | És tetszék azoknak beszédek Khámornak, és Sékhemnek a Khámos fijának.
Gen.34.19 | És nem halasztá az ifjú ezt véghezvinni, mivelhogy felette igen szereti vala a Jákob leányát. (Vala pedig Sékhem az ő attyának háznépe között mindeneknél becsületesb.)
Gen.34.20 | Elméne annakokáért Khámor és Sékhem az ő fija az ő városoknak kapujába; és szólának az ő városoknak férjfiaival mondván:
Gen.34.21 | Ez emberek ez ideig békeséggel lakoztak velünk, akarnak lakozni a mi földünkön, és azon munkálódni; e föld mivelhogy elég széles, ám lakjanak rajta, az ő lányikat vegyük magunknak feleségül, és a mi leányinkat adjuk nékik.
Gen.34.22 | De illy okkal akarnak velünk ez emberek együtt lakni, hogy egy néppé legyünk, hogyha minden féjfiú körülmetélkedik mi közöttünk, miképen hogy ők is körülmetéltettek.
