John.1.1 | Kezdetben vala amaz Íge, és az az Íge vala Istennél, és az az Íge Isten vala.
John.10.7 | Jézus azért ismét monda nékik: Bizony bizony mondom néktek: Én vagyok a juhoknak amaz ajtajok.
John.10.8 | Valakik én előttem jöttek, lopók és tolvajok ; de nem hallgatták, azokat a juhok.
John.10.9 | Én vagyok amaz ajtó, én általam valaki bémenénd, megtartatik; és bémegyen s kimegyen, és jó füre találkozik.
John.10.10 | A lopó nem egyébért jő, hanem hogy ellpoja, megölje, és elveszesse a juhokat; én azért jöttem hogy életek legyen, és bővölködjenek.
John.10.11 | Én vagyok ama jó pásztor: a jó pásztor az ő életét adja a juhokért.
John.10.12 | A béres pedig, és a ki nem pásztor, kinek nem tulajdonai a juhok, látván eljőni a farkast, elhagyja a juhokat és elfut; a farkas pedig elragadozza és eloszlatja a juhokat.
John.10.13 | A béres pedig elfut: mert béres, és nincsen néki gondja a juhokra.
John.10.14 | Én vagyok ama jó pásztor; és esmérem az én juhaimat, és esmértetem én is azoktól.
John.10.15 | A mint esmér engem az Atya, én is esmérem az Atyát, és az én életemet adom a juhokért.
John.10.16 | Más juhaim is vagynak nékem, mellyek nem ez akolból valók: azokat is elő kell hoznom, és az én szómat hallgatják. És lészen egy akol, és egy pásztor.
John.10.17 | Annakokáért szeret engem az Atya; mert én az én életemet letészem, hogy ismét felvegyem azt.
John.10.18 | Senki nem veszi el én tőlem azt, hanem én magam tészem le azt szabad akaratom szerint: vagyon hatalmam letenni azt, és vagyon hatalmam viszontag felvenni azt. E parancsolatot vettem az én Atyámtól.
John.10.19 | Hasonlás támada azért ismét a Zsidók között e beszédekért.
John.10.20 | Sokan pedig ő közzűlök ezt mondják vala: Ördög vagyon benne és bolondoskodik. Miért hallgatjátok őtet?
John.10.21 | Némellyek ezt mondják vala: E beszédek nem ördöngös beszédei: Valjon az ördög megnyithatja é a vakok szemeit.
John.10.22 | Lőn peig Jérusálemben egyházi szenteletnek Innepe, és tél vala.
John.10.23 | És jár vala Jézus a templomban, a Salamon tornáczában.
John.10.24 | Körülvevék azért őtet a Zsidók és mondának néki: Mig tartod kétségben a mi lelkünket? ha te vagy ama Krisztus, mond meg nékünk nyilván.
John.10.25 | Felele nékik Jézus: Megmondottam néktek, és nem hiszitek; a cselekedetek, mellyeket én cselekeszem az én Atyámnak nevében, azok bizonyságot tésznek én rólam.
John.10.26 | De ti nem hiszitek; mert nem vagytok az én juhaim közzűl valók, a mint megmondottam néktek.
John.10.27 | Az én juhaim az én szómat hallgatják, én is esmérem azokat, és engemet követnek.
John.10.28 | És én örök életet adok nékik, és soha el nem veszenk, és senki ki nem ragaja azokat az én kezemből.
John.10.29 | Az én Atyám, a ki azokat adta nékem, mindeneknél nagyobb; és senki azokat ki nem ragadhatja az én Atyám kezéből.
John.10.30 | Én és az Atya egy vagyunk.
John.10.31 | Ragadozának azért ismét köveket a Zsidók, hogy megköveznék őtet.
John.10.32 | Felele nékik Jézus: Sok drága dolgokat mutattam nékte az én Atyámnak nevében; azok a dolgok közzűl mellyikért köveztek meg engem?
John.10.33 | Felelének néki a Zsidók, mondván: A jó cselekedetért nem kövezünk meg téged, hanem a káromlásért; tudniillik: mert te ember lévén, Istenné tészed magadat.
John.10.34 | Felele nékik Jézus: Nemde nem meg vagyon é irva a ti törvénytekben: Én mondám, Istenek vagytok?
John.10.35 | Hogyha azért azokat mondotta Isteneknek, a kiknek Isten szólott, és az Irás meg nem hamisittathatik;
John.10.36 | Én rólam kit az Atya megszentelt, és e világra elbocsátott, azt mondjátok é ti: Káromlást szólasz, mivelhogy ezt mondám: Istennek Fija vagyok.
John.10.37 | Ha az én Atyám cselekedetit nem cselekeszem, ne hidjetek nékem.
John.10.38 | Ha pedig azokat cselekeszem, ha nékem nem akartok is hinni, hidjetek a cselekedeteknek, hogy megtudjátok és hidjétek, hogy az Atya én bennem vagyon: és én ő benne.
John.10.39 | Ismét azért akarják vala őtet megfogni; de kiméne az ő kezekből.
John.10.40 | És elméne viszontag a Jordánon túl, a helyre, a hol János keresztel vala először, és ott marada.
John.10.41 | Sokan mennek vala pedig ő hozzá, és ezt mondják vala: Jóllehet János semmi csudát nem tett; de valamellyeket e felől mondott, igazak voltak.
John.10.42 | És sokan hivének ott ő benne.

John.11.1 | Beteg vala pedig egy Lázár nevü ember, Behániából, Máriának és Márthának, annak nénnyének falujokból való.
John.11.2 | (Mária pedig az vala, ki megkente vala az Urat kenettel, és megtörlötte vala az ő lábait hajával; kinek attyafia Lázár, beteg vala.)
John.11.3 | Küldének azért Lázárnak nénnyei Jézushoz, mondván: Uram, ímé a kit szeretsz, beteg!
John.11.4 | Jézus pedig mikor ezt hallotta volna, monda: E betegség nem halálos, hanem Isten dicsőségére vagyon, hogy az által dicsőitessék az Istennek Fija:
John.11.5 | Szereti vala pedig Jézus Márthát, és annak nénnyét, és Lázárt.
John.11.6 | Mikor meghallotta volna azért, hogy Lázár beteg, akkor noha két nap marada ott a helyen, a hol vala.
John.11.7 | De azután ezt mondá a tanitványoknak: Menjünk el Júdeába ismét.
John.11.8 | Mondának néki a tanitványok: Mester! most is meg akarnak vala téged kövezni a Zsidók, és ismét oda mégy é?
John.11.9 | Felele Jézus: Nemde nem tizenkét órája vagyon é a napnak? A ki nappal jár, nem ütközik meg: mert e világnak világosságát látja.
John.11.10 | A ki pedig éjjel jár, megütközik: mert nincsen annak világossága.
John.11.11 | Ezeket mondá; és azután monda nékik: Lázár a mi barátunk aluszik; de elmegyek hogy felköltsem őtet.
John.11.12 | Mondának azért az ő tanitványai: uram! ha aluszik, meggyógyul.
John.11.13 | Ezt mondotta vala pedig Jézus annak haláláról: de a tanitványok azt álliták, hogy ő álomnak aluvásáról szólna.
John.11.14 | Akkor azért monda nékik Jézus nyilván: Lázár megholt.
John.11.15 | És örülök azon ti érettetek (hogy hidjetek) hogyén ott nem voltam. De menjünk el ő hozzá.
John.11.16 | Monda azért Tamás, ki Kettősnek mondatik, az ő tanitványtársainak: Menjünk el mi is, hogy vele együtt haljunk meg.
John.11.17 | Elméne azért Jézus, és úgy találá Lázárt, hogy immár négy nap feküdt volna a koporsóban.
John.11.18 | (Vala pedig Bethánia Jérusálem mellett úgymint tizenöt futamatnyi föld.)
John.11.19 | És soka a Zsidók közzűl kimentek vala Márthához és Máriához, hogy őket vigazstalnák az ő attaokfia felől.
John.11.20 | Mártha azért mikor hallotta volna, hogy Jézus jőne, eleibe méne: Mária pedig otthon ül vala.
John.11.21 | Monda azért Mártha Jézusnak: Uram! ha itt voltál volna, az én atyámfia nem holt volna meg.
John.11.22 | De most is tudom, hogy valamit kérsz az Istentől, megadja néked.
John.11.23 | Monda néki Jézus: Feltámad a te atyádfia.
John.11.24 | Monda néki Mártha: Tudom hogy feltámad a feltámadáskor az utolsó napon
John.11.25 | Monda néki Jézus: Én vagyok a feltámadás és az élet, a ki én bennem hiszen, ha meghal is él.
John.11.26 | És valaki él és hiszen én bennem, soha meg nem hal. Hiszed é ezt?
John.11.27 | Monda néki: Igen is Uram! én hiszem, hogy te vagy ama Krisztus az Istennek Fija, ki e világra jövendő vala.
John.11.28 | És mikor ezeket mondotta volna, elméne, és titkon szólitá az ő nénnyét Máriát, mondván: A Mester jelen vagyon, és téged hiv.
John.11.29 | Mihelyt ezt hallá, felkele hamar, és ő hozzá méne.
John.11.30 | (Még pedig bé nem ment vala Jézus a faluba; hanem a helyen vala, a hol Mártha ő eleibe ment vala.)
John.11.31 | A Zsidók azért, a kik ő vele otthon valának, és őtet vigazstalják vala, mikor látták volna, hogy Mária hamar felkölt volna, és kiment volna, kimenének ő utánna, ezt mondván: A koporsóhoz megyen, hogy ott sirjon.
John.11.32 | Mária mikor azért oda jutott volna, a hol Jézus vala, látván őtet, leborula az ő lábainál, mondván nékei: Uram, ha itt voltál volna, nem holt volna meg az én atyámfia!
John.11.33 | Jézus azért mikor látta volna, hogy Mária sirna, és a Zsidók is, kik ő vele együtt jöttek vala, sirnának, megbuzdula lelkében, és magában megháborodék.
John.11.34 | És monda: Hol helyheztetéttek őtet? És mondának néki Uram, jere és lásd meg!
John.11.35 | És Jézus könnyez vala.
John.11.36 | , Mondának azért a Zsidók: Ímé melly igen szereti vala őtet.
John.11.37 | Némellyek pedig ő közzűllök mondának: Nem mivelhette volna é ez, ki a vaknak szemeit megnyitotta, hogy ez is meg ne halna?
John.11.38 | Jézus azért ismét megháborodván magában, méne a koporsóhoz. Vala pedig az kőböl vágott koporsó, és követ tettek vala felül reá.
John.11.39 | Monda Jézus: Vegyétek fel a követ. Monda néki Mártha, annak nénnye, a ki megholt vala: Uram! immár szagos: mert negyednapi.
John.11.40 | Monda néki Jézus: Nem megmondám-é néked, hogy ha hisz, meglátod az Istennek dicsőségét?
John.11.41 | Felvevék azért a követ a helyről a hol a megholt helyheztetett vala: Jézus pedig felemelvén az ő szemeit, monda: Atyám, hálákat adok néked, hogy engem meghallgattál.
John.11.42 | Én pedig tudtam, hogy te mindenkor meghallgatsz engemet, de a körűlálló népért mondám ezt, hogy hidjék, hogy én te tőled bocsáttattam.
John.11.43 | És mikor ezeket mondotta volna, kiáltá nagy felszóval: Lázár jöjj ki!
John.11.44 | Akkor a ki megholt vala, feltámada, kezei és lábai kötőkkel kötözve lévén, az orczája pedig keszkenővel bétakartatott vala. És monda nékik Jézus: oldozzátok meg őtet, és bocsássátok el.
John.11.45 | Sokan azért a Zsidók közzűl, kik Máriához mentek vala, és látták vala a mellyeket Jézus cselekedett vala, hivének ő benne.
John.11.46 | Némellyek pedig közzűlök elmenének a Farizeusokhoz, és megbeszélék nékik, a mellyeket Jézus cselekedett vala.
John.11.47 | A Papifejedelmek azért és a Farizeusok egybegyülének, és mondának: Mit tegyünk: mert ez ember sok jeleket tészen.
John.11.48 | Ha e képen hagyjuk őtet, mindnyájan hisznek néki; és eljőnek a Rómaiak, és eltörlik mind e mi helyünket, mind a népet.
John.11.49 | Egy pedig ő közzűlök Kajafás, ki abban az esztendőben Főpap vala, monda nékik: Ti semmit nem tudtok.
John.11.50 | Meg nem gondoljátok, hogy jobb nékünk, hogy egy ember meghaljon a népért, és az egész nép el ne vesszen.
John.11.51 | Ezt pedig megától nem mondá: hanem mivelhogy abban az esztendőben Főpap vala, jövendőt monda, hogy Jézus a népért meghalna.
John.11.52 | Nem csak azért a népért, hanem hogy az Istennek elszéledett fijait is egybegyüjtené.
John.11.53 | Az naptól fogva azért egyenlőképen tanácskoznak vala, hogy megölnék őtet.
John.11.54 | Jézus azért többé nem jár vala nyilván a Zsidók között; hanem elméne onnét a puszta mellett való tartománba, a városba, melly mondatik Efraimnak, és ott lakék az ő tanitványival.
John.11.55 | Közel vala pedig a Zsidóknak Husvétjok, és sokan felmenének Jérusálembe abból a tartományból Husvét előtt, hogy megtisztulnánka.
John.11.56 | Keresik vala azért Jézust, és egymással beszélnek vala a templomban állván: Mi tetszik ugymond néktek? hogy nem jöne-é fel az innepre?
John.11.57 | A Papifejedelmek pedig és a Farizeusok megparancsolák vala, hogy ha valaki tudná hol volna, megmondaná, hogy őtet megfognák.

John.12.1 | Jézus azért Husvét előtt hat nappal méne Behániába a hol lakik vala az a Lázár, a ki megholt vala, kit feltámasztott vala a halálból.
John.12.2 | Szerzének azért ott néki vacsorát, és Mártha szolgál vala: Lázár pedig egy vala zok közzűl, kik ő vele együtt leültek vala.
John.12.3 | Mária azért vévén egy font igaz nárdusból csinált drága kenetet, megkené Jézusnak lábait és megtörlé lábait az ő hajával: a ház pedig megtelék a kenetnek illetjával.
John.12.4 | Monda azért egy az ő tanitványai közzűl, Iskáriótes Júdás, Simonnak fija, a ki őtet el akarja vala árulni:
John.12.5 | Miért nem adták el e kenetet háromszáz pénzen, és miért nem adták a szegényeknek?
John.12.6 | Ezt pedig mondá, nem hogy néki a szegényekre gondja volna; hanem mivelhogy lopó vala, és az erszény nála vala, és a mit abba adnak vala, azt hordozza vala.
John.12.7 | Monda azért Jézus: Hagyj békét néki: az én temetésemnek idejére tartotta ő ezt.
John.12.8 | Mert szegények mindenkor vagynak veletek; én pedig nem mindenkor vagyok.
John.12.9 | A Zsidók közzűl azért sokan megtudták, hogy Jézus ott volna; és oda menének nem csak Jézusért, hanem hogy Lázárt is látnák, kit feltámasztott vala a halálból.
John.12.10 | Reá tanácskoztak vala pedig a Papifejedelmek, hogy Lázárt is megölnék;
John.12.11 | Mert sokan a Zsidók közzűl ő érette elmennek vala, és hisznek vala Jézusba.
John.12.12 | Másodnapon a nagy sokaság, melly az Innepre jött vala, mikor hallották volna, hogy Jézus Jérusálembe jőne:
John.12.13 | Vőnek pálmaágakat, és eleibe menének, és kiáltnak vala: Hosánna! Áldott az Izráelnek ama Királya, ki jött az Úrnak nevében!
John.12.14 | Találván pedig Jézus egy szamárt, arra felüle, a mint meg vagyon irva:
John.12.15 | Ne félj Simonnak leánya: imé ama te Királyod jő, ülvén a szamár vemhéjének hátán.
John.12.16 | Ezeket pedig az ő tanitványai nem érték először; hanem mikor megdicsőittetett volna Jézus, akkor emlékezének meg, hogy ezek megirattattak ő felőle, és hogy ezeket mivelték ő vele.
John.12.17 | Bizonyságot tészen vala pedig a sokaság, melly ő vele vala, arról, hogy Lázárt a koporsóbol hivta volna ki, és azt feltámasztotta volna a halálból.
John.12.18 | Azért is méne a sokaság ő eleibe; mert hallja vala, hogy ezt a csudát tette volna.
John.12.19 | A Farizeusok azért mondának magokban: Látjátok-é, hogy ti semmit nem használtok? Imé, mind e világ követi őtet.
John.12.20 | Valának pedig némellyek Görögök azok között, a kik szoktak vala felmenni, hogy imádkoznának az Innepen.
John.12.21 | Ezek azért menének Filephez, ki Bethsaidából, Galileának városából való vala, és kérék őtet, mondván: Uram, Jézust akarnánk látni!
John.12.22 | Elméne Filep és megmondá Andrásnak, András és Filep együtt megmondák Jézusnak.
John.12.23 | Jézus pedig felele nékik, mondván: Eljött amaz óra, hogy megdicsőittessék az embernek Fija.
John.12.24 | Bizony bizony mondom néktek: Ha a földbe esett gabonamag meg nem rothadánd, csak maga marad; ha pedig megrothadánd, sok gyümölcsöt terem.
John.12.25 | A ki az ő lelkét szereti, elveszti azt; és a ki az ő lelkét gyülöli e világon, az örök életre megtartja azt.
John.12.26 | A ki nékem szolgál, engem kövessen: és a hol én lejéndek, ott lészen az én szolgám is; és a ki nékem szolgál, megtiszteli azt az Atya.
John.12.27 | Most az én lelkem megháborodott; és mit mondjak? Atyám, tarts meg engem ez órától! de azért jöttem ez órára.
John.12.28 | Atyámá dicsőitsd meg a te nevedet. Szózat jöve azért az égből, ezt mondván: Megdicsőitettelek, és ismét megdicsőitlek.
John.12.29 | A sokaság azért, melly ott áll vala, és hallotta vala, ezt mondja vala, hogy mennydörgés lőn: némellyek ezt mondják vala: Angyal szóla néki:
John.12.30 | Felele Jézus és monda: Nem én érettem lőn e szó, hanem ti érettetek.
John.12.31 | Most jelen vagyon a világnak kárhoztatása: most rekesztetik ki e világnak ama Fejedelme.
John.12.32 | És én mikor felemeltetem e földről, mindeneket én hozzám vonszok.
John.12.33 | (Ezt pedig mondja vala, jelentvén azt, micsoda halállal halna meg jövendőben.)
John.12.34 | Felele néki a sokaság: Mi h allottuk a törvényből, hogy a Krisztus mind örökké megmarad, mimódon mondod tehát te, hogy az ember Fijának fel kell emeltetni? kicsoda ez az embernek fija?
John.12.35 | Monda azért Jézus: Még egy kevés ideig világosság vagyon veletek; járjatok mig világosságtok vagyon, hogy a setétség titeket el nem foglaljon: mert a ki setétben jár, nem tudja hova megyen.
John.12.36 | Mig világosságtok vagyon, hidjetek a világosságban, hogy a világosságnak fijai legyetek. ezeket szólá Jézus; és mikor elment volna, elrejté magát tőlök.
John.12.37 | Mikor pedig ennyi jeleket tett volna ő előttök, nem hisznek vala ő benne.
John.12.38 | Hogy az Ésaiás Prófétának beszéde bételnék, a mellyet mondott: Uram! kicsoda hitt a mi beszédünknek, és az Úrnak karja kinek jelent meg?
John.12.39 | Annakokáért nem hihetnek vala: mert ismét ezt mondotta Ésaiás:
John.12.40 | Megvakitá az ő szemeiket, és megkeményité az ő sziveket, hogy ne lássanak szemeikkel, ne értsenek szivekkel, és megtérjenek, és meggyógyitsam őket.
John.12.41 | Ezeket mondá Ésaiás mikor látá az ő dicsőségét, és szóla ő felőle.
John.12.42 | Mindazáltal a Főemberek közzűl is sokan hivének ő benne, de a Farizeusoktól való féltekben nem vallják vala, hogy a Gyülekezetből ki ne vettetnének.
John.12.43 | Mert inkább szerették az emberek dicsőségét, hogy nem az Isten dicsőségét.
John.12.44 | Jézus pedig kiálta és monda: A ki hiszen én bennem, nem én bennem hiszen, hanem abban, a ki engemet elbocsátott.
John.12.45 | És a ki engemet lát, azt látja, a ki engemet elbocsátott.
John.12.46 | Én világosságul jöttem e világra, hogy senki ne maradjon a setétségben, a ki én bennem hiszen.
John.12.47 | És a ki hallándja az én beszédimet, és nem hiszen, én nem kárhoztatom azt: mert nem jöttem hogy kárhoztassam e világot, hanem hogy megtartsam e világot.
John.12.48 | A ki megvet engemet, és nem vészi az én beszédimet, vagyon ki kárhoztassa azt: a beszéd, mellyet én szóltam: az itéli meg azt amaz utolsó napon;
John.12.49 | Mert én magamtól nem szóltam, hanem a ki elbocsátott engem, az Atya, ő megparancsolta nékem mit szóljak, és mit mondjak.
John.12.50 | És tudom, hogy az ő parancsolatja örök élet. A mellyeket azért én szólok, a mint az Atya mondta nékem, ugy szólom.

John.13.1 | A Husvétnak pedig innepe előtt tudván Jézus, hogy amaz ő órája eljött volna hogy e világból az Atyához menne, mivelhogy szerette volna az övéit, a kik e világon valának, mind végig szerette azokat.
John.13.2 | És a vacsora után, (mikor immár az ördög Júdás Iskáriótesnek, Simon fijának szivébe béötlött volna, hogy elárulná őtet.)
John.13.3 | Tudván azt Jézus, hogy az Atya mindeneket néki hatalmába adott volna, és hogy ő az Istentől jött volna, és az Istenhez menne.
John.13.4 | Felkele a vacsora után, és letevé az ő felsőruháját; és egy kendőt vévén, körülköté magát.
John.13.5 | Azután vizet tölte a medenczébe, és kezdé mosni a tanitványoknak lábaikat, és megtörleni a kendővel, mellyel magát körülkötötte vala.
John.13.6 | Méne azért Simon Péterhez, ki monda néki: Uram! te mosod-é meg az én lábaimat?
John.13.7 | Felele Jézus és monda néki: a mit én cselekesze, most te azt nem tudod, ezután pedig megtudod.
John.13.8 | Monda néki Péter: az én lábaimat soha meg nem mosod! Felele néki Jézus: Ha meg nem moslak téged, nem lészen néked hozzám semmi közöd.
John.13.9 | Monda néki Simon Péter: Uram, nem csak lábaimat, hanem még kezeimet és fejemet is!
John.13.10 | Monda néki Jézus: A ki megferedett, nem szükség, hanem csak hogy lábait mossa meg; mert mindenestől tiszta; ti is tiszták vagytok, de nem mindnyájan.
John.13.11 | Mert tudja vala azt, a ki őtet elárulná; azért monda: Nem vagytok mindnyájan tiszták.
John.13.12 | Minekutánna azért megmosta volna azoknak lábaikat, és az ő felsőruháját magára vette volna, ismét leüle és monda nékik: Értitek-é mit mivelék veletek?
John.13.13 | Ti engemet igy hivtok: Mester és Uram! és igazán mondjátok; mert az vagyok:
John.13.14 | Annakokáért ha én megmostam a ti lábaitokat, Úr és Mester lévén, néktek is meg kell mosnotok egymás lábait;
John.13.15 | Mert példát adtam néktek, hogy a mint én cselekedtem veletek, azonképen cselekedjetek ti is.
John.13.16 | Bizony bizony mondom néktek: A szolga nem nagyobb az ő Uránál, sem a követ nem nagyobb annál, a ki azt elküldötte.
John.13.17 | Ha ezeket tudjátok, boldogok lésztek, ha cselekeszitek azokat.
John.13.18 | Nem mindenitekről szólok; én tudom kiket választottam; de szükség hogy bételjék az Irás: A ki én velem kenyeret ett, az ő sarkát felemelte ellenem.
John.13.19 | Immár most megmondom néktek, minekelőtte meglenne, hogy mikor meglészen, hidjétek, hogy én vagyok a Messiás.
John.13.20 | Bizony bizony mondom néktek: Mikor valakit elküldök, valaki azt béfogadja, engem fogad bé: a ki pedig engem béfogad, azt fogadja bé, a ki engem elküldött.
John.13.21 | Mikor ezeket mondotta volna Jézus, megháborodék lelkében és bizonyságot tőn, és monda: Bizony bizony mondom néktek, hogy egy ti közzűletek engem elárul.
John.13.22 | A tanitványok azért néznek vala egymásra, kételkedvén kiről szólna.
John.13.23 | Vala pedig egy az ő tanitványai közzűl, ki a Jézus kebelében nyugoszik vala, az a kit Jézus szeret vala.
John.13.24 | Inte azért ennek Simon Péter, hogy megkérdené, ki volna az, a kiről szólna?
John.13.25 | Az pedig a Jézus mejjére hajolván, monda néki: Uram? kicsoda az?
John.13.26 | Felele Jézus: Az, a kinek én a mártott falatot adom. És mikor bémártotta volna a falatot, adá Iskáriótes Júdásnak a Simon fijának.
John.13.27 | És a falat bévétele után akkor béméne a Sátán Júdásba. Monda zért Jézus néki: A mit akarsz cselekedni, hamar cselekedjed.
John.13.28 | ezt pedig a leültek közzűl senki nem érté, miért mondotta volna néki;
John.13.29 | Mert némellyek az állitják vala, mivelhogy az erszény Jádásnál vala, hogy Jézus ezt mondotta volna néki; Vedd meg azokat, a mellyek nékünk szükségesek az Innepre; vagy, hogy a szegényeknek valamit adna.
John.13.30 | Az annakokáért a falatot minekutánna elvette volna, azonnal kiméne: vala pedig éjszaka.
John.13.31 | Mikor azért kiment volna, monda Jézos: Most dicsőittetett meg az embernek Fija, az Isten is megdicsőittetett ő benne.
John.13.32 | Hogyha az Isten megdicsőittetett ő benne, az Isten is megdicsőiti őtet ő magában; és ezennel megdicsőiti őtet.
John.13.33 | Fiaim, még egy kevés ideig veletek vagyok. Kerestek engemet, de a miképen a Zsidóknak mondám: A hová én megyek, ti oda nem jöhettek; azonképen mondom most néktek is.
John.13.34 | Új parancsolatot adok néktek, hogy egymást szeressétek: a mint én szerettelek titeket, ugy szeressétek ti is egymást.
John.13.35 | Erről esmérik meg mindenek, hogy én tanitványim vagytok, ha egymást szereténditek.
John.13.36 | Monda néki Simon Péter: Uram! hová mégy? Felele néki Jézus: A hová én megyek, most én utánnam nem jöhetsz, azután pedig utánnam jössz.
John.13.37 | Monda néki Péter: Uram! miért nem mehetek most utánnad? az én leleketm éretted adom.
John.13.38 | Felele néki Jézus: A te lelkedet adod én érettem? Bizony bizony mondom néked, nem szól addig a kakas, mignem háromszor engemet megtagadsz.

John.14.1 | Ne háborodjék meg a ti szivetek, hisztek ez Istenben, hidjetek én bennem is.
John.14.2 | Az én Atyámnak házában sok hajlékok vagynak: mert ha külömben volna, megmondottam volna néktek. Elmegyek, hogy megkészitsem néktek a helyet.
John.14.3 | És mikor elmenéndek, és elkészitendem néktek a helyet: ismét eljövök és felveszlek titeket én magamhoz, hogy a hol én vagyok, ti is ott legyetek.
John.14.4 | A hová pedig én megyek tudjátok; az útat is tudjátok.
John.14.5 | Monda néki Tamás: Uram! nem tudjuk hová mégy! mimódon tudhatjuk azért az útat?
John.14.6 | Monda néki Jézus: Én vagyok az út, az igazság, és az élet; senki nem mehet az Atyához, hanem én általam.
John.14.7 | Ha engemet esmérnétek, az én Atyámat is esmérnétek, és immár most esméritek őtet, és láttátok őtet.
John.14.8 | Monda néki Filep: Uram, mutasd meg nékünk az Atyát, és elég nékünk!
John.14.9 | Monda néki Jézus: Ennyi időtől fogva vagyok veletek, még is nem esmértek-é engemet? Filep, a ki engemet lát, látja az Atyát; mimódon mondod azért te: Mutasd meg nékünk az Atyát.
John.14.10 | Nem hiszed-é hogy én az Atyában, és az Atya én bennem vagyon? E beszédeket, a mellyeket én szólok néktek, nem magamtól szólom; hanem az Atya, a ki én bennem marad, ő cselekeszi e cselekedeteket.
John.14.11 | Hidjetek nékem, hogy én az Atyában, és az Atya én bennem vagyon, ha nem hisztek, a cselekedetekért hidjetek nékem.
John.14.12 | Bizony bizony mondom néktek: A ki én bennem hiszen, a minémü cselekedeteket én cselekeszem, az is ollyanokat cselekeszik; és nagyobbakat is cselekeszik azoknál: mert én az én Atyámhoz megyek.
John.14.13 | És valamit kéréndetek az én nevemben, azt megcselekeszem, hogy dicsőittessék az Atya a Fiuban.
John.14.14 | Valamit kéréndetek az én nevemben, én megszerzem.
John.14.15 | Ha engemet szerettek, az én parancsolatimat megtartsátok.
John.14.16 | Én pedig kérem az Atyát, és más vigasztalót ád néktek, hogy veletek maradjon mind örökké.
John.14.17 | Tudniillik az igazságnak Lelkét, mellyet e világ bé nem vehet: mert nem látja őtet, és nem esméri őtet: ti pedig esméritek őtet: mert bennetek lakik és bennetek marad.
John.14.18 | Nem hagylak titeket árváúl: megtérek hozzátok.
John.14.19 | Még egy kevés idő vagyon, és e világ nem lát engemet többé; ti pedig meláttok engem: mert én élek, ti is éltek.
John.14.20 | Azon a napon megtudjátok ti, hogy én az én Atyámban vagyok, és ti én bennem, én is ti bennetek.
John.14.21 | A ki az én parancsolatimat tudja és megtartja azokat, az a ki szeret engemet, az én Atyám is szereti azt, én is szeretem azt, és magamat megjelentem annak.
John.14.22 | Monda néki Júdás, nem amaz Iskáriótes: Uram! mi dolog hogy magadat nékünk jelented meg, és nem e világnak?
John.14.23 | Felele Jézus, és monda néki: A ki engemet szeret, az én beszédemet megtartja, az én Atyám is szereti azt, és ahoz megyünk, és annál maradunk.
John.14.24 | A ki nem szeret engemet, az én beszédemet nem tartja meg; és a beszéd, a melyet hallotok, nem enyim, hanem azé a ki engemet elbocsátott, az Atyáé.
John.14.25 | Ezeket mondomttam néktek veletek létemben.
John.14.26 | Ama vigasztaló Szent Lélek pedig, kit az Atya az én nevemben elbocsát, az megtanit titeket mindenekre, és eszetekbe juttatja mind azokat, a mellyeket mondottam néktek.
John.14.27 | Békességet hagyok néktek, amaz én békességemet adom néktek: nem ugy adom én néktek mint e világ adja. Ne háborodjék meg a ti szivetek és ne féljen.
John.14.28 | Hallátok hogy én megmondám néktek: Elmegyek és megtérek hozzátok. Ha engemet szeretnétek, örülnétek mikor azt mondám: Elmegyek az Atyához: mert az Atya nagyobb én nálamnál.
John.14.29 | Most is megmondám néktek minekelőtte meglenne, hogy mikor meglészen, hidjetek.
John.14.30 | Nem szólok ezután sokat veletek: mert eljött e világ Fejedelme: de én ellenem semmi hatalma nincsen.
John.14.31 | De hogy megtudja e világ, hogy én az Atyát szeretem, és hogy a mint nékem az Atya parancsolta, a képen cselekeszem; keljetek fel, menjünk el innét.

John.15.1 | Én vagyok amaz igaz szőlőtő, és az én Atyám szőlőben való munkás.
John.15.2 | Minden szőlővesszőt, valamely én bennem gyümölcsöt nem terem, kimetsz, és mindent valamely gyümölcsöt terem, megtisztit, hogy több gyümölcsöt teremjen.
John.15.3 | Immár ti tiszták vagytok a beszédért, melyet szóltam néktek.
John.15.4 | Maradjatok én bennem, és én is ti bennetek; miképen a szőlővessző nem teremhet gyümölcsöt magától, hanemha a szőlőtőképen maradánd; a képen ti is nem teremhettek, hanem ha én bennem maradtok.
John.15.5 | Én vagyok a szőlőtő, ti szőlővesszők; az a ki én bennem marad, és a kiben én maradok, ez terem sok gyümölcsöt: mert nálam nélkül semmit nem cselekedhettek.
John.15.6 | Ha valaki én bennem nem marad, a szőlőn kivül vettetik, és megszárad mint a szőlővessző, és egybegyüjtetvén azoka szőlő vesszők, a tüzre vettetnek és megégnek.
John.15.7 | Ha én bennem maradtok, és az én beszédim is ti bennetek maradnak; valamit akartok, kérjétek, és megadatik néktek.
John.15.8 | Ebben dicsőittetik az én Agtyám, ha sok gyümölcsöt teremtek; és úgy lésztek én tanitványim.
John.15.9 | A mint szeretett engemet az Atya, én is úgy szerettelek titeket, maradjatok meg abban az én szeretetemben.
John.15.10 | Ha az én parancsolatimat megtartándjátok, az én szeretetemben maradtok meg, miképen én is az én Atyámnak parancsolatit megtartottam, és maradok az ő szerelmében.
