Mark.1.1 | Jézus Krisztusnak, az Isten Fijának Evangyéliomának kezdete.
Mark.10.41 | És mikor ezt hallották volna a többi tiz tanitványok, kezdének haragudni Jakab és János felől.
Mark.10.42 | Jézus pedig előszólitván őket, monda nékik: Tudjátok, hogy a kiknek tetszik a pogánynépeken való uralkodás, uralkodnak azokon; és a kik ő köztök hatalmasok, szabadságok vagyon azokon.
Mark.10.43 | De nem úgy lészen ti köztetek; hanem a ki akar ti köztetek nagy lenni, ti szolgátok legyen.
Mark.10.44 | És a ki akar ti közzűletek első lenni, legyen mindeneknek szolgája.
Mark.10.45 | Mert az ember Fija is nem jött, hogy néki szolgálnának, hanem hogy ő szolgálna és adná az ő lelkét váltságnak árául sokakért.
Mark.10.46 | És menének Jérikóba, és mikor kimenne Jérikóból ő és az ő tanitványai, és nagy sokaság, a Timeus fija Bartimeus, ki vak vala, ül vala az úton koldulván.
Mark.10.47 | És mikor hallotta volna, hogy ő volna ama Názáretbeli Jézus, kezde kiáltani, és ezt mondani: Jézus, Dávidnak Fija, könyörülj rajtam!
Mark.10.48 | És sokan dorgálják vala őtet hogy hallgatna; ő pedig annál inkább kiált vala: Dávidnak Fija, könyörülj rajtam!
Mark.10.49 | Akkor Jézus mikor megállott vona, parancsolá hogy előhivnák őtet; hivák azért a vakot, mondván néki: Légy jó hitben, kelj fel; téged hívat.
Mark.10.50 | A vak pedig elvetvén felsőruháját, mikor felkölt volna, Jézushoz méne.
Mark.10.51 | És felelvén Jézus, monda néki: Mit kivánsz, hogy cselekedjem veled? A vak pedig monda néki: Mester, hogy lássak!
Mark.10.52 | Jézus pedig monda néki: Eredj el, a te hited téged megtartott. Azonnal megjöve azért az ő szeme világa, és követi vala Jézust azon az úton.

Mark.11.1 | Mikor pedig közelgetnének Jérusálemhez, Bethfagéhez és Bethániához, az Olajfáknak hegyéhez, elkülde kettőt az ő tanitványai közzül.
Mark.11.2 | És monda nékik: Menjetek el im e faluba, melly előttetek vagyon; és mindjárt, hogy oda bémentek, találtok egy megkötött vemhet, mellyen senki az emberek közzűl nem ült, oldjátok el és hozzátok nékem.
Mark.11.3 | Hogyha valaki néktek ezt mondandja: Miért mivelitek ezt? azt mondjátok: Mert az Úr szűkölködik e nélkűl; és azt anonnal ide bocsátja.
Mark.11.4 | Elmenének azért, és találának egy megkötött vemhet az ajtónál, kivül a kettős útnál, és eloldák azt.
Mark.11.5 | És némelly emberek, kik ott állanak vala, mondának nékik: Mit miveltek hogy eloldjátok a vemhet?
Mark.11.6 | Azok pedig felelének azoknak a mint Jézus megparancsolta vala; és elbocsáták őket.
Mark.11.7 | Elhozák azért a vemhet Jézushoz, és az ő felsőruháikat arra hányák, és reá üle.
Mark.11.8 | Sokan pedig felsőruháikat az útra teriték, némellyek pedig ágakat szegdelnek vala a fákról és az útra hányják vala.
Mark.11.9 | És a kik elől mennek vala, és hátul követik vala, kiáltnak, mondván: Hosánna! Áldott a ki jött az Úrnak nevében!
Mark.11.10 | Áldott a mi atyánknak Dávidnak országa! melly jött az Úrnak nevében, Hosánna, ki a magasságos egekben vagy!
Mark.11.11 | És béméne Jérusálembe az Úr, és a temploba; és mikor mindeneket elnézett volna, és már estvéli óra volna, méne Bethániába a tizenkét tanitványokkal.
Mark.11.12 | És másodnapon mikor Bethániából kimentek volna, megéhezék.
Mark.11.13 | És mikor távol látott volna egy leveles figefát, oda méne, hogy meglátná ha találna valamit rajta; és mikor oda ment volna, semmit nem talála a leveleknél egyebet; mert nem vala még a fige érésnek ideje.
Mark.11.14 | Akkor Jézus felelvén, monda a figefának: Soha ezután senki ne egyék te rólad gyümölcsöt. És azt hallák az ő tanitványai.
Mark.11.15 | Menének azért Jérusálembe: és bémenvén Jézus a templomba, kezdé azokat kiverni a kik árulnak és vásárlanak vala a templomban, és a pénzváltóknak asztalaikat, és a galambárusoknak székeiket felforgatá.
Mark.11.16 | És nem engedi vala, hogy senki valami edényt a templomon általvinne.
Mark.11.17 | És tanit vala, mondván nékik: Avagy nincsen-é megirva, hogy az én házam imádság házának hivattatik miden népektől? ti pedig azt tettétek latroknak barlangjokká!
Mark.11.18 | És ezt meghallák az Irástudók és a Papifejedelmek, és keresnek vala módot, mimódon elvesztenék őtet: mert félik vala őtet, mivelhogy az egész sokaság csudálkozik az ő tudományán.
Mark.11.19 | Mikor pedig estve vona, kiméne Jézus a városból.
Mark.11.20 | És reggel a figefa mellől elmenvén, látták hogy gyökerestől megszáradott volna.
Mark.11.21 | Akkor megemlékezvén Péter, monda néki: Mester ímé ama figefa, mellyet megátkozál, megszáradott!
Mark.11.22 | És felelvén Jézus, monda nékik: Legyen bizodalmatok Istenben;
Mark.11.23 | Mert bizony mondom néktek, valaki ezt mondandja im ez hegynek: Kelj fel, vettessél a tengerbe, és nem kételkedik az ő szivében, hanem hiszi hogy meglésznek azok, a miket mondott; megadatik annak, valamit mondott.
Mark.11.24 | Azért mondom néktek: Valamit imádkozástokban kéréndetek, hidjétek hogy elvészitek; és meglészen néktek.
Mark.11.25 | És mikor felállotok imádkozni, megbocsássatok annak, a ki ellen valami dolgotok vagyon; hogy a ti mennyei Atyátok is megbocsássa néktek a ti vétkeiteket;
Mark.11.26 | Mert ha ti meg nem bocsátandotok, a ti mennyei Atyátok is nem bocsátja meg a ti vétkeiteket.
Mark.11.27 | És ismét menének Jérusálembe, és mikor ő a templomban járna, menének ő hozzá a papifejedelmek és az Irástudók, és a Vének.
Mark.11.28 | És mondának néki: Micsoda méltósággal cselekeszed ezeket? és kicsoda adta néked e méltóságot, hogy ezeket cselekednéd?
Mark.11.29 | Jézus pedig felelvén, monda nékik: Én is valami dolgot kérdek tőletek; feleljetek meg azért nékem, és megmondom én is néktek micsoda méltósággal cselekeszem ezeket.
Mark.11.30 | A János keresztsége mennyből vala é vagy emberektől? feleljetek meg nékem!
Mark.11.31 | Azok pedig magokban illyen módon okoskodnak vala: Ha azt mondjuk, hogy mennyországból volt; ezt fogja mondani: Miért nem hittetek tehát néki?
Mark.11.32 | Ha pedig azt mondjuk, hogy az emberektől volt, félünk a községtől: mert mindenek illy értelemben valának János felől, hogy ő igaz Próféta volt.
Mark.11.33 | Akkor felelvén, mondának Jézusnak: Nem tudjuk. És Jézus felelvén monda nékik: Én is nem mondom meg micsoda méltósággal cselekeszem ezeket.

Mark.12.1 | És kezde nékik példabeszédek által szólni: Egy ember szőlőt plántála és gyepűvel körűlvevé és vermet ása, és tornyot épite, és a szőlőt bizá munkásokra, és maga messze elméne.
Mark.12.2 | És mikor alkalmas ideje volna, elküldé szolgáját a munkásokhoz, hogy a munkásoktól bévenne a szőlőnek gyümölcsében.
Mark.12.3 | Azok pedig megfogván a szolgát, megverék, és üresen bocsáták haza.
Mark.12.4 | És ismét más szolgáját küldé hozzájok: azok pedig ezt is mikor kövekkel meghajigálták volna, a fejét megsebesiték és visszaküldék, minekutánna gyalázattal illették volna.
Mark.12.5 | És viszontag mást külde, és azt megölék, és sokakat többeket, némellyeket vervén, némellyeket pedig megölvén.
Mark.12.6 | Mikor pedig volna még egy szerelmes fija, elküldé azt is utolszor hozzájok, ezt mondván: Az én fiamat megbecsülik.
Mark.12.7 | A munkások pedig mondának magok kzött: Ez az örökös, jertek el, öljük meg őtet, és miénk lészen az örökség.
Mark.12.8 | És megfogván azt megölék, és kiveték a szőlőn kivűl.
Mark.12.9 | Mit cselekeszik azért a szőlőnek Ura? Eljő és elveszti a szőlőmunkásokat, és a szőlőt egyebeknek adja.
Mark.12.10 | Avagy nem olvastátok- é ez irást is? A melly követ az épitők megvetettek, az lett a szegeletnek fejévé.
Mark.12.11 | Az Úrtól lett ez, és csudálatos a mi szemeink előtt.
Mark.12.12 | Igyekeznek vala azért őtet megfogni, de félnek vala a községtől: mert tudják, hogy ő ellenek mondotta volna e példabeszédet. Azért elhagyván őtet, elmenének.
Mark.12.13 | És küldének ő hozzá némelyeket a Farizeusok közzűl, és a Héródes szolgái közzűl hogy őtet megfognák a beszédben.
Mark.12.14 | Azok pedig mikor eljöttek volna, mondának néki: Mester! tudjuk, hogy te igaz vagy, és senkivel nem gondolsz: mert embereknek személyekre nem nézsz, hanem az Isstennek útát igazán tanitod: Kell é a Császárnak adót fizetnünk vagy nem? adjunk é adót vagy ne adjunk?
Mark.12.15 | Ő pedig, mivelhogy tudja vala azoknak képmutatásokat, monda nékik: Mit kisértetek engemet? hozzatok elő nékem egy pénzt, hogy lássam.
Mark.12.16 | Azok pedig hozának elő egy pénzt, és monda nékik: Kié ez ábrázat és az irás e pénzen? Azok pedig mondának néki: A Császáré.
Mark.12.17 | És felelvén Jézus, monda nékik: Adjátok meg, a mi a Császáré, a Császárnak; a mi az Istené az Istennek. És elálmélkodának ő rajta.
Mark.12.18 | Akkor jövének ő hozzá Sadduczeusok, kik azt mondják, hogy nincsen feltámadás: és megkérdék őtet, mondván:
Mark.12.19 | Mester! Mózes azt irta nékünk, hogy ha valakinek attyafia megholt, és feleségét meghagyándja, és magzatokat nem hagyánd, annak attyafia vegye el a megholt attyafiának feleségét, és támasszon magot az ő attyafiának.
Mark.12.20 | Valának azért hét attyafiak, és az első feleséget vőn, és meghalván magot nem hagya.
Mark.12.21 | A második elvevé annak feleségét és meghala, az is pedig nem hagya magot; a harmadik hasonlatosképen.
Mark.12.22 | És mind a hét elvett az asszonyt és nem hagytak magot; legutolszor megholt az asszony is.
Mark.12.23 | A feltámadáskor azért, mikor feltámadnak, ezek közzűl ki felesége lészen az? mert hétnek volt felesége.
Mark.12.24 | Akkor felelvén Jézus, monda nékik: Avagy nem azért tévelyegtek é hogy nem tudjátok az Irásokat, sem az Istennek hatalmát?
Mark.12.25 | Mert mikor a halálból feltámadnak, feleséget nem veszenk, házasságra sem adatnak, hanem ollyanok lésznek mint az Angyalok, kik mennyben vagynak.
Mark.12.26 | A halottakról pedig, hogy azok feltámasztatnak, nem olvastátok é a Mózes könyvében, mimódon szólott az isten néki a csipkebokorban: ezt mondván: Én vagyok az Ábrahámnak Istene, és Izsáknak Istene, és Jákóbnak Istene.
Mark.12.27 | Az Isten nem holtaknak, hanem élőknek Istenek; ti azért igen tévelygetek.
Mark.12.28 | És mikor előállott volna egy az Irástudók közzűl, ki hallotta vala az ő vetekedéseket, és tudja vala, hogy ő azoknak jól felelt volna, megkérdé őtet, mondván: Mellyik minden parancsolatok között az első?
Mark.12.29 | Jézus pedig felele néki: Minden parancsolatok között az első ez; Halljad Izráel: A mi Urunk Istenünk egy Úr.
Mark.12.30 | Szeressed azért a te Uradat Istenedet teljes szivedből, teljes lelkedből, teljes elmédből és teljes erődből. Ez az első parancsolat:
Mark.12.31 | És a második hasonló ehez: Szeressed a te felebarátodat mint magadat: Nincsen más ezeknél nagyobb parancsolat.
Mark.12.32 | Akkor monda néki az Irástudó: Jól vagyon Mester! igazán mondánd; mert egy az Isten, és nincsen más ő kivüle.
Mark.12.33 | És szeretni őtet teljes szivből, teljes elméből, teljes lélekből, és teljes erőből, és szeretni embernek felebarátját mint magát, sokkal nagyobb minden áldozatoknál.
Mark.12.34 | Akkor látván Jézus, hogy bölcsen felelt volna, monda néki: Nem messze vagy az Isten országától. És senki többé nem meri vala őtet megkérdeni.
Mark.12.35 | És felelvén Jézus, ezt mondja vala, tanitván a templomban: Mimódon mondják az Irástudók, hogy a Krisztus Dávidnak Fija?
Mark.12.36 | Mert Dávid maga mondotta Szent Lélek által: Monda az Úr az én uramnak: Ülj az én jobbkezem felől, miglen vetem a te ellenségidet a te lábaid alá zsámolyúl.
Mark.12.37 | Ő maga Dávid azért mondja őtet Urának: mimódon azért ő fija; És nagy sokaság örömest hallgatja vala őtet.
Mark.12.38 | Ő pedig mondja vala nékik az ő tanitásában: Őrizzétek meg magatokat az Irástudóktól, kik örömest járnak hosszú köntösökben, és szeretik a piaczokon való köszöntetéseket.
Mark.12.39 | És a fő helyeket a gyülekezetben, és az elől való üléseket a lakodalmakban.
Mark.12.40 | Kik az özvegyeknek házaikat felfalják, és külsőképen hosszú imádsággal élnek: ezeknek keményebb itéletek lészen.
Mark.12.41 | És mikor ült volna Jézus a szegények pénzeknek ládája ellenébe, nézi vala mimódon a sokaság hányná a pénzt a ládába: a gazdagok azért sokan sok pénzt hánynak vala.
Mark.12.42 | És mikor előjött volna egy szegény özvegy asszony, vete a ládába két fillért, melly egy pénznek negyedrésze.
Mark.12.43 | Ő pedig előszólitván az ő tanitványit, monda nékik: Bizony mondom néktek, hogy e szegény özvegy többet vete a ládába, hogynem mint a többi; kik pénzt hányának a ládába;
Mark.12.44 | Mert mindenek abból vetének pénzt, a mivel bővölködne, ez pedig az ő szegénységéből, valamije volt mind oda veté, tudniillik minden ő élését.

Mark.13.1 | És mikor kimenne a templomból, monda néki egy az ő tanitványai közzűl: Mester! nézhetsz-é minémü kövek ezek, és minémü alkotmányok?
Mark.13.2 | Akkor felelvén Jézus, monda néki: Látod-é e nagy alkotmányokat? nem marad egy kő más kövön, melly el nem rontatnék.
Mark.13.3 | És mikor az Olajfák hegyén ülne a templom ellenébe, megkérdék őtet külön Péter, és Jakab, és János és András.
Mark.13.4 | Mond megnékünk, mikor lésznek ezek, és micsoda jele lészen, mikor mind ezek meglésznek?
Mark.13.5 | Jézus pedig felelvén nékik, kezde mondani: Meglássátok, hogy valaki titeket meg ne csaljon;
Mark.13.6 | Mert sokan fognak eljőni az én nevemben, kik ezt mondják: Én vagyok a Krisztus; és sokakat elhitetnek.
Mark.13.7 | Mikor pedig hallotok hadakat és hadaknak hireit, meg ne háborodjatok; mert szükség ezeknek meglenni, de még nem lészen akkor vége;
Mark.13.8 | Mert támad egy nemzetség más nemzetség ellen, egy ország más ország ellen; és minden helyeken lésznek földindulások, és lésznek éhelhalások és háboruságok.
Mark.13.9 | A nyomoruságoknak kezdetei ezek: De ti oltalmazzátok meg magatokat; mert titeket fogva visznek a Birák, tanácsok és gyülekezetek eleikbe: megverettettek, és a Tiszttartók és Királyok eleikbe vitettek én érettem, hogy ez legyen ő ellenek tanubizonyságul.
Mark.13.10 | És minden Pogányok között kell először az Évangyéliomnak prédikáltatni.
Mark.13.11 | Mikor pedig titeket fogva vijéndenek, ne legyetek szorgalmatosok jó idején arról, mit kellessék szólnotok, és negondolkodjatok: hanem valami adattatik néktek azon órában, azt szóljátok: mert nem ti vagytok kik szóltok, hanem a Szent Lélek.
Mark.13.12 | Az atyafi az ő attyafiát, és az atya az ő fiát halálra adja; és a magzatok támadnak az ő szüléik ellen, és azokat megöletik.
Mark.13.13 | És mindenek előtt gyülölségesek lésztek az én nevemért; de a ki megmarad mind végig, az megtartatik.
Mark.13.14 | Mikor pedig látándjátok ama pusztitó utálatosságot, melly megmondatott Dániel Prófétától, melly ott helyheztetik a hol nem kellett volna helyheztettnie, (a ki olvassa, jól eszébe vegye) akkor a kik Júdeában lésznek, a hegyekre fussanak;
Mark.13.15 | A ki pedig az ő házának padlásán lejénd, alá ne szálljon házába, és bé nem menjen hogy valamit házából kivigyen.
Mark.13.16 | És a ki a mezőn lejénd, haza ne térjen, hogy az ő köntösét felvegye.
Mark.13.17 | Jaj pedig a nehézkes asszonyoknak és a szoptatóknak az napokban.
Mark.13.18 | Imákozzatok pedig, hogy a ti futástok ne legyen télben:
Mark.13.19 | Mert olly nyomoruságosok lésznek azok a napok, mellyekhez hasonlók nem voltak, minden teremtett állatoknak, mellyeket Isten teremtett, teremtésektől fogva, mind ez ideig, ez után is nem lésznek.
Mark.13.20 | És ha az Úr meg nem röviditette volna azokat a napokat, minden test elveszne: de a választottakért, a kiket választott, megröviditette azokat a napokat.
Mark.13.21 | Akkor pedig, ha valaki ezt mondándja néktek: Imhol vagyon a Krisztus, vagy ámhol vagyon, ne hidjétek:
Mark.13.22 | Mert támadnak hamis Krisztusok, és hamis Próféták, és tésznek jeleket és csudákat, a választottaknak is elhitettetésekre, ha lehetséges dolog volna.
Mark.13.23 | Ti pedig oltalmazzátok meg magatokat; imé mindeneket eleve megmondottam néktek.
Mark.13.24 | De azokban a napokban annak a nyomoruságnak utánna, a nap meghomályosodik és a hold nem fénylik.
Mark.13.25 | És az égnek csillagai lehullanak, és a mennyei hatalmasságok megrendülnek.
Mark.13.26 | És akkor meglátják az embernek Fiját eljőni a felhőkben nagy hatalommal és dicsőséggel.
Mark.13.27 | És akkor elbocsátja az ő Angyalit, és az ő választottit egyybegyüjti a négy szelek felől, a földnek utolsó határától fogva, az égnek utolsó határáig.
Mark.13.28 | A figefáról végyetek pedig példát: Mikor az ő ága immár gyenge, és az ő leveleit kibocsátja, tudjátok hogy a nyár közel vagyon.
Mark.13.29 | Azonképen ti is, mikor látjátok hogy ezek meglésznek, tudjátok meg, hogy közel vagyon és csak az ajtó előtt az Isten országa.
Mark.13.30 | Bizony mondom néktek, hogy nem mulik el e nemzetség addig, mignem mind ezek meglésznek.
Mark.13.31 | Az ég és a föld elmulnak, az én beszédim pedig semmiképen el nem mulnak.
Mark.13.32 | De arról a napról és óráról senki semmit nem tud, sem a mennyei Angyalok, sem a Fiú, hanem csak egyedül az Atya.
Mark.13.33 | Ojjátok meg magatokat, vigyázzatok és imádkozzatok; mert nem tudjátok mikor jő el az az idő.
Mark.13.34 | Mint mikor valamelly ember messze földre indulván elhagyta az ő házát, és minden hatalmát a szolgákra bizván, és mindennek dolgáról parancsolván, az ajtónállónak megparancsolta hogy vigyázna.
Mark.13.35 | Vigyázzatok azért, (mert nem tudjátok mikor jő haza a háznak Ura, estvén-é vagy éjfélkor, vagy kakasszóra, vagy reggel?)
Mark.13.36 | Hogy, ha hirtelen megjövénd, ne találjon titeket aludva.
Mark.13.37 | A miket pedig néktek mondok, mindeneknek mondom: Vigyázzatok.

Mark.14.1 | Vala pedig Husvét, és két napok mulva a Pogácsás Innep, és a Papifejedelmek és Irástudók keresnek vala alkalmatosságot arra, mimódon őtet álnoksággal megfogván megölnék.
Mark.14.2 | Ezt mondják vala pedig: Nem miveljük ez Innepen, hogy a község fel ne zendüljön.
Mark.14.3 | Mikor pedig Jézus Bethániában volna, a poklos Simonnak házában, és letelepedett volna az asztalhoz, eljöve egy asszony, kinél vala drágalátos és igaz nárdusból csinált kenetnek alabástromból csinált edénye, és felszegvén az alabástromedényt, kitölté a drága kenetet az ő fejére.
Mark.14.4 | Némellyek pedig háborganak vala ő magok között, mondván: Mit használ e drága kenetnek tékozlása?
Mark.14.5 | Mert ezt eladhatták volna többen háromszáz pénznél, és adhatták volna a szegényeknek. És haragusznak vala az asszonyra.
Mark.14.6 | Jézus pedig monda: Hagyjatok békét néki; miért háborgatjátok őtet? jó dolgot cselekedett én velem;
Mark.14.7 | Mert a szegények mindenkor lésznek veletek, és valamikor akarjátok jól tehettek ő velek: de én nem mindenkor lészek veletek.
Mark.14.8 | Ez a mit tehetett az mivelte: mert az én testemet eleve megkente az én temetésemre.
Mark.14.9 | Bizony mondom néktek: Valahol ez Evangyéliom prédikáltatik az egész világon, a mit ő most én velem cselekdett, az is hirdettetik az ő emlkezetire.
Mark.14.10 | Akkor Iskáriótes Júdás, egy a tizenkettő közzűl, elméne a Papifejedelmekhez, hogy őtet azoknak elárulná.
Mark.14.11 | Azok pedig azt hallván, örülének rajta, és fogadák, hogy néki pénzt adának. Keres vala azért alkalmatossságot arra, hogy őtet elárulhatná.
Mark.14.12 | És a Pogácsás innepnek első napján, mikor a Husvétibáránnyal áldoznak vala, mondának néki az ő tanitványai: Hol akarod, hogy elmenvén megkészitsük a te ételedre a Husvétibárányt?
Mark.14.13 | És elbocsátván kettőt az ő tanitványai közzűl, monda nékik: Menjetek el a városba, és egy ember jő előtökbe, ki egy korsó vizet viszen, kövessétek azt.
Mark.14.14 | És a hová bémenénd, mondjátok ezt a Gazdának: A Mester kérdi: Hol vagyon a ház, mellyben megegyem a Husvétibárányt az én tanitványimmal.
Mark.14.15 | És ő mutat néktek egy nagy megékesittetett és elkészittetett vacsoráló házat; ott készitsétek el nékünk a Husvétibárányt.
Mark.14.16 | Elmenének azért aző tanitványai, és eljutának a városba, és a képen találák, a mint nékik mondotta vala: és elkésziték a Husvétibárányt.
Mark.14.17 | És mikor estve volna, elméne a tizenkét tanitványokkal.
Mark.14.18 | És mikor letelepedtek volna, és ennének, monda Jézus: Bizony mondom néktek, egy ti közzűletek elárul engemet, a ki én velem eszik.
Mark.14.19 | És azok kezdének szomorkodni; és néki egyenként mondani: Én vagyok-é? más is: Én vagyok-é?
Mark.14.20 | Ő pedig felelvén, monda nékik: Egy a tizenkettő közzűl, a ki én velem a tálba nyul.
Mark.14.21 | Az embernek Fija jóllehet elmegyen, a mint meg vagyon ő felőle irva: de jaj annak az embernek, a ki által elárultatik az embernek Fija; jobb volt volna annak az embernek ha nem született volna.
Mark.14.22 | És mikor ők ennének, mikor vette volna Jézus a kenyeret, és megáldotta volna, megtöré és adá nékik, mondván: Vegyétek, egyétek; ez az én testem.
Mark.14.23 | És a pohárt vévén, minekutánna hálákat adott volna, adá nékik: és ivának abból mindnyájan.
Mark.14.24 | És monda nékik: Ez az én vérem, amaz uj Testamentomnak vére, melly sokakért kiontatik.
Mark.14.25 | Bizony mondom néktek: Nem iszom többé e szőlőtőnek gyümölcséből, mind ama napig, mellyen ujat iszom veletek az Istennek országában.
Mark.14.26 | És mikor dicséretet éneklettek volna, kimenének az Olajfáknak hegyére.
Mark.14.27 | És monda nékik Jézus: Mindnyájan megbotránkoztok én bennem ez éjszakán: mert meg vagyon irva: Megverem a pásztort, és elszélednek a juhok.
Mark.14.28 | De minekutánna feltámadándok, előttetek megyek Galileába.
Mark.14.29 | Péter pedig monda néki: Ha mindnyájan megbotránkoznak is, de én nem.
Mark.14.30 | És monda néki Jézus: Bizony mondom néked, ma ez éjszakán, minekelőtte a kakas kétszer szólna, háromszor megtagadsz engemet.
Mark.14.31 | Ő pedig annál inkább mondja vala: Ha nékem veled együtt meg kell is halnom, téged semmiképen meg nem tagadlak. A többi is hasonlóképen azont mondják vala.
Mark.14.32 | Mennének azért a helyre, mellynek neve Gethsemáné; és monda az ő tanitványinak: Üljetek le itt, mig én imádkozom.
Mark.14.33 | És maga mellé vevé Pétert, Jakabot és Jánost, és kezde felette igen rettegni és gyötrődni.
Mark.14.34 | És monda nékik: mindenfelől szomoru az én lelkem halálig; maradjatok itt, és vigyázzatok.
Mark.14.35 | És egy kevéssé előmenvén, a földre esék, imádkozék, hogy ha lehetséges volna, mulnék el ő tőle ez az óra.
Mark.14.36 | És monda: Abba, azaz Atyám, mindenek lehetségesek néked? ments meg engem e pohártól; mindazáltal nem az én akaratom, hanem a tiéd legyen.
Mark.14.37 | És hozzájok térvén, találá őket aludva; és monda Péternek: Simon aluszol-é? Nem vigyázhatál-é egy óráig?
Mark.14.38 | Vigyázzatok és imádkozzatok, hogy kisértetre ne jussatok; a lélek jóllehet kész, de a test erőtlen.
Mark.14.39 | És mikor ismét elment volna, könyörge és azon beszédekkel szóla.
Mark.14.40 | És megtérvén találá őket ismét aludva, (mert az ő szemeik igen megnehezedtek vala) és ingyen nem tudják vala, mit kellene néki felelniek.
Mark.14.41 | És eljöve harmadszor is, és monda nékik: Aludjatok immár és nyugodjatok, elég, eljött az óra: imé adattatik az embernek Fija a bünös embereknek kezekbe.
Mark.14.42 | Keljetek fel, menjünk el, ímé elközelget, a ki engemet elárul.
Mark.14.43 | És mindjárt hogy még szólna, eljöve Júdás, ki a tizenkettő közzűl egy vala, és ő vele nagy sokaság, fegyverekkel és fustélyokkal, kik a Papifejedelmektől, Irástudóktól és a Vénektől bocsáttattak vala.
Mark.14.44 | Adott vala pedig az, a ki őtet elárulá közönséges jelt ő közöttök, mondván: Valakit én megcsókolandok, ő az, fogjátok meg azt, és vigyétek el bátorsággal.
Mark.14.45 | Mikor azért oda jutott volna Júdás, azonnal járula ő hozzá és monda néki: Mester! Mester! és megcsókolá őtet.
Mark.14.46 | Azok pedig reá veték kezeiket, és megfogák őtet.
Mark.14.47 | És egy az ott állók közzűl, az ő szablyáját kivonván, a Főpapnak szolgájához csapa, elvágá annak fülét.
Mark.14.48 | És felelvén Jézus, monda nékik: Mint egy gonosz ember ellen, ugy jöttetek-é ki fegyverekkel és fustélyokkal, hogy engemet megfogjatok?
Mark.14.49 | Minden napon nálatok valék, a templomban tanitván, és nem fogtatok meg engemet: de szükség hogy az Irások bételjesedjenek.
Mark.14.50 | És elhagyván őtet, mindnyájan elfutának.
Mark.14.51 | És egy ifju követi vala őtet, ki csak gyolcs ingbe öltözött vala, és megfogák azt az ifjat.
Mark.14.52 | Az pedig a gyolcs inget kezekben hagyván, mezitelenen elszalada kezekből.
Mark.14.53 | És vivék Jézust a Főpaphoz: és hozzá gyülének mind a Papifejedelmek, a Vének és Irástudók.
Mark.14.54 | Péter pedig beköveté őtet távol ind a Főpapnak házáig: és ül vala a szolgákkal, és melegiti vala magát a tűznél.
Mark.14.55 | A Papifejedelmek pedig és az egész Tanács keresnek vala bizonyságot Jézus ellen, hogy őtet megölnék; és nem találnak vala:
Mark.14.56 | Mert sokan hamis tanuságot mondának vala ő ellene: de azoknak bizonyságaik nem valának egyenlők.
Mark.14.57 | És felkelének némellyek, és ő ellene hamis vallásokat tőnek ezt mondván:
Mark.14.58 | Mi hallottuk, hogy ő ezt mondotta: Én elrontom e kézzel csinált templomot, és harmadnapra mást épitek, melly kéz nélkűl csináltatott.
Mark.14.59 | De igy is nem vala azoknak bizonyságok illendő.
Mark.14.60 | És a Főpap mikor közikbe felállott volna, megkérdé Jézust, mondván: Nem felelsz-é semmit? micsoda ez, a mit ezek te ellened mondanak?
Mark.14.61 | És ő hallgat vala, és semmit nem felele. Ismét megkérdé őtet a Főpap és monda néki: Te vagy-é ama Krisztus, az áldott Istennek Fija?
Mark.14.62 | Jézus pedig monda: Én vagyok: és meglátjátok az embernek Fiját ülni az Isten hatalmasságának jobbján, és eljőni az égnek felhőivel.
Mark.14.63 | A Főpap pedig a maga ruháit megszaksztván, monda: Mi teszünk mégis tanukkal.
Mark.14.64 | Hallátok a káromlást: mi tetszik néktek? Azok pedig mindnyájan ő ellene szentencziát mondának, hogy ő méltó halálra.
Mark.14.65 | És kezdék némellyek őtet pökdösni, és az ő orczáját békötni, és öklökkel verni őtet, és ezt mondani néki: Mond meg ki ütött. A szolgák pedig arczul csapdossák vala őtet.
Mark.14.66 | És mikor Péter alatt volna a palotában, eljöve egy a Főpapnak szolgálóleányai közzűl.
Mark.14.67 | És látván Pétert, ki ott fűtözik vala, reá tekintvén monda: Te is a Názáretbeli Jézussal valál!
Mark.14.68 | Ő pedig megtagadá, mondván: Nem esmértem őtet, s nem is tudom mit mondasz te. És kiméne a tornáczba, és a kakas megszólala.
Mark.14.69 | És mikor a leányzó ismét látta volna őtet, monda az ott állóknak: Ez egy azok közzűl!
Mark.14.70 | Ő pedig ismét megtagadá. És viszontag egy kevés idő mulva, a kik ott állanak vala mondának Péternek: Bizony ő közzűlök való vagy: mert Galileabeli vagy, és a te szólásod hasonló.
Mark.14.71 | Ő pedig kezde átkozóni és esküdni, mondván: Nem esmértem ez embert, a kiről szóltok.
Mark.14.72 | És másodszor szóla a kakas, és megemlékezék Péter a beszédekről, mellyeket Jézus mondott vala néki: Minekelőtte a kakas szólana kétszer, háromszor megtagadsz engem. És mikor kiment volna, sira.

Mark.15.1 | Mindjárt pedig reggel, tanácsot tartván a Papifejedelmek a Vénekkel és Irástudókkal, és mint az egész Tanácsbeliekkel egybe, Jézust megkötözve elvivék és adák Pilátusnak kezébe.
Mark.15.2 | És megkérdé őtet Pilátus: Te vagy és a Zsidóknak ama Királyok? És ő felelvén, monda néki: Te mondod.
Mark.15.3 | És igen vádolják vala őtet a Papifejedelmek.
