1Chr.1.1 | Adám Seth, Énós.
1Chr.11.44 | Asterátbeli Uzzija; Sáma és Jéhiel, Aroerbeli Hótám fija.
1Chr.11.45 | Jidiháel, Simri fija, és az ő attyafia Joha Tisibeli.
1Chr.11.46 | Mihávimbeli Eliel, Jéribai és Jósávia, Elnaám fija, és Jitma, Moáb nemzetéből való.
1Chr.11.47 | Eliel és Obed, és Jaásiel, Mésóbájából valók.

1Chr.12.1 | Ezek pedig azok, a kik mentek volt Dávidhoz Siklágba, mikor Saultóla Kis fijától való félelem miatt még számkivetésben volna, kik amaz erősekkel az ő hadakozásában segítői voltak.
1Chr.12.2 | Ívesek, kik mind jobb, mind balkézre kővel hajítanak vala, és nyillal lőnek vala, kik a Saul attyafiai k valók valának, Benjámin nemzetéből.
1Chr.12.3 | Hadnagy vala Ahiézer és Joás, a Gibeabeli Semáa fijai: és Jézel és Pélet, Azmávet fijai; Beráka és Jéhu Anatótbeli.
1Chr.12.4 | És a Gibeonbeli Ismája a harmincz közzűl való eerős, kiknek előljárójok is vala; Irméja, Jaháziel, Johjanán és Gederátbeli Józabád.
1Chr.12.5 | Elúzai, Jérimót, Behália, Semária és Hárufbeli Sefátja.
1Chr.12.6 | Elkána, Isija, Azaréel, Jóézer, és a Kóré nemzetéből való Jásobéám.
1Chr.12.7 | Joéla és Zebádja, a Gédobról való Jérohám fijai.
1Chr.12.8 | A Gáditák közzűl is hajlának Dávidhoz, mikor volna a pusztában az erősségben, erős és hadakozó férjfiak, paizsosok, dárdások: kiknek orczájok mint az oroszlánnak orczája, és hasonlók a hegen lakozó vadkecskékehez a gyorsaságra.
1Chr.12.9 | Ézer az első, Obádia második, Eliáb harmadik.
1Chr.12.10 | Mismanna negyedik, Jirméja ötödik.
1Chr.12.11 | Aftai hatodik, Eliel hetedik.
1Chr.12.12 | Nyolczadik Johanán, kilenczedik Elzabúd.
1Chr.12.13 | Tizedik Jirméja, tizenegyedik Makbánnai.
1Chr.12.14 | Ezek voltak főembereka seregben a Gád fijai közzűl: egy, a ki kissebb vala, százért vala, a nagyobbik ezerért.
1Chr.12.15 | Ezek voltak, kik a Jordánon általmentek volt az első hónapban, noha az árvíz a partot felűlmulta volna, és elüzték vala mind azokat, kik a völgyet napkelet felől és napnyugot felől lakják vala.
1Chr.12.16 | Jövének Dávidhoz a Benjámin és a Júda fijai közzűl is, szintén az erősségig, mellyben Dávid akkor vala.
1Chr.12.17 | És kiméne Dávid elejekbe, és mond nékik: Hogyha békességnek okáért jöttök hozzám, hogy segítségemre lennétek; az én szívem egy lészen ti veletek; ha pedig meg akartok csalni, hogy eláruljatok az én ellenségeimnek, holott semmi hasmisságomat nem esmérem: lássa meg a mi atyáinknak Istene, és titeket büntessen meg.
1Chr.12.18 | A lélek pedig felindítá Amásait a harmincznak Fejedelmét, s monda: Óh Dávid, tiéid vagyunk, és te veled lészünk Isai fija! békesség, békesség néked, békesség a te segítőidnek is, mert megsegít téged a te Istened! Magához fogaá azért őket Dávid, és főemberekké tevé a seregben.
1Chr.12.19 | ennekfelette a Manasséból is hajlának Dávidhoz, mikor ment volna a filiszteusokkal együtt Saulra; de nem seegéllék őket; mert tanácsot tartván felőlök, haza küldék Dávidot a Filiszteusok Fejedelmei, mondván: A mi fejünk veszésével fog visszamenni az ő urához Saulhoz.
1Chr.12.20 | Mikor, mondom, visszatérne Siklágba, hajlának ő hozzá a Manasse fijai közzűl Adna, Józabád, Jediháel, Mikáel, Józabád, Elihu és Sillétai, kik a Manasse nemzetségéből való vitézeknek Hadnagyai voltak.
1Chr.12.21 | És ezek voltak Dávidnak segítséggel az ellenségnek seregei ellen: mert fejenként mind válogatott erős vitézek valának, és főhadnagyok voltak a seregben.
1Chr.12.22 | Annakfelette minden napon mennek vala Dávidhoz, hogy segítségére lennének néki, míg az ő népe megsokasulna, mint az Istennek tábora.
1Chr.12.23 | Ezek pedig számok a viadalhoz készült Hadnagyoknak, kik Dávidhoz mentek vala Hebronba, hogy őtet Saul helyett az országban Királlyá választanák, az Istennek igéreti szerint.
1Chr.12.24 | A Júda fijai közzűl, kik viselnek vala paizst és kopját, hatezer és nyolczszáz vala, kik a viadalhoz készültek vala.
1Chr.12.25 | A Simeon fijai közzűl erős férjfiak a viadalra, hétezer és száz.
1Chr.12.26 | A Lévi fijai közzűl, négyezer és hatszáz vala.
1Chr.12.27 | Jójada is, ki az Áron fijai között Fejedelem vala, és ő vele háromezer és hétszáz.
1Chr.12.28 | És az ifjú Sádók, ki igen erős vala, és az ő attya házából huszonkét Főemberek.
1Chr.12.29 | A Benjámin fijai közzűl, kik Saul attyafiai valának, háromezer: mert még azok közzűl sokan erősen őrizik vala a Saul házát.
1Chr.12.30 | Az Efraim fijai közzűl húszezer vala és nyolczszáz, igen erősek, kik az ő nemzetségekben igen nevezetesek valának.
1Chr.12.31 | Manassénak pedig félnemzetségéből tizennyolczezer, kik egyenként válogattattak voltak, hogy elmenének, és Dávidot Királlyá választanák.
1Chr.12.32 | Az Issakhár fijai közzűl, kik az időknek alkalmatosságát tudják vala, annyira hogy jól tudnák, az Izráel népének mihez kellene magát tartani, főemberek kétszázan; és mind azoknak attyokfiai az ő beszédekhez hallgatnak vala.
1Chr.12.33 | A Zebulon fijai közzűl a harczra kimehetők, minden hadiszerszámokkal felkészültek, valának ötvenezeren: készek a viadalra állhatatos szívvel.
1Chr.12.34 | A Nafthali nemzetségéből ezer Főember vala; és ő velek paizzsal, s kopjával harminczhétezer vala.
1Chr.12.35 | A Dániták közzűl, kik a viadalhoz készek valának, huszonnyolcz ezeren voltak és hatszázan.
1Chr.12.36 | És az Áser fijai közzűl, a hadakozók, és az ütközethez készek, negyvenezeren valának.
1Chr.12.37 | A Jordánon túl lakozók közzűl, azaz, a Rúbeniták, gáditák, és a Manasse nemzetségének fele közzűl, minden viadalhoz való szerszámokkal egyetemben jöttek százhúszezeren.
1Chr.12.38 | Fejenként ezek hadakozó férjfiak, harczrendelésnek tudói, tiszta szívvel mentek vala Hebronba, hogy Dávidot az egész Izráel népén Királlyá választanák, sőt ezeken kivűl is, az egész Izráel fijai, egy szívvel valának, hogy Dávidot Királyságra választanák.
1Chr.12.39 | És lőnek ott Dáviddal harmadnapig, és ezsnek s isznak vala; mert az ő attyokfiai készitettek vala nékik élést;
1Chr.12.40 | Sőt azok is, a kik ott szomszédságban laknak vala. Issakhárig, Zebulonig, és Nafthaliig, hoznak vala kenyereket szamarakon, tevéken, öszvéreken és ökrökön, eleséget, lisztet, figét, asszúszőlőt, bort, olajt, vágóbarmokat, juhokat, számtalan sokat: mert az Izráel nagy örömben vala.

1Chr.13.1 | Tanácsot tarta pedig Dávid az Ezeredesekkel, Századosokkal és mind a Hadnagyokkal.
1Chr.13.2 | És monda Dávid az egész Izráel népének: Ha néktek tetszik, és ha a mi Urunktól Istenünktől vagyon: küldjünk el széllyel a mi több atyánkfiaihoz is, az Izráelnek minden tartományaira; és azokkal egybe a Papokhoz s a Lévitákhoz az ő városaik és hostátjaik szerint, hogy ők is gyűljenek hozzánk.
1Chr.13.3 | Hogy hozzák meg a mi Istenünknek ládáját mi hozzánk; mert a Saul idejében mi azt meg nem kerestük.
1Chr.13.4 | És monda az egész sokaság, hogy bátor úgy cselekednék:mert igaznak láttaték e dolog mind a sokaság előtt.
1Chr.13.5 | Öszvegyüjté azért Dávid mind az Izráel népét Égyiptomnak Nílus folyóvizétől fogva szintén Hámátig, hogy az Urnak ládáját elhoznák Kirját-Jeárimból.
1Chr.13.6 | Felméne azért Dávid és vele az Izráel sokasága Baalába vagy Kirját-Jeárimba, melly Júdában vagyon, hogy onnan elhoznák az Úr Istennek ládáját, ki a két Kérubimok között ül, melly az ő nevéről neveztetik.
1Chr.13.7 | És helyhezteték az Isten ládáját az Abinádáb házából egy új szekérre: Uzza pedig és Ahió vezetik vala a szekeret.
1Chr.13.8 | Dávid pedig és az Izráelnek minden népe az Isten előtt teljes erejekből éneklésekben, hegedűlésekben, dícséretekben, dobolásokban, czimbalomverésben és kürtölésekben valának foglalatosok.
1Chr.13.9 | Mikor pedig jutottak volna a Kidon mezejére, Uzza veté kezét reá, hogy megtartaná a ládát; mert az ökrök félre tértek vala.
1Chr.13.10 | És az Istennek haragja felgerjede Uzza ellen, és őtet megveré, hogy kezét vetette volna a ládára, s meghala ugyan ott az Isten előtt.
1Chr.13.11 | Azért magában igen megbúsula Dávid, hogy az Úr Uzzát megölte volna: annakokáért azt a helyet mind e mai napig nevezik Péres Uzzának.
1Chr.13.12 | És Dávid az napon megrettene az Istentől, mondván: Miképen merjem hozzám bévinni az Isten ládáját.
1Chr.13.13 | És nem vivé bé Dávid magához a ládát a Dávid városába, hanem téríté azt a Gitteus Obed-Edom házához:
1Chr.13.14 | És volt az Isten ládája Obed-Edom házában három hónapig; és megáldá az Úr Obed-Edom házát, és mindenét valamije vala.

1Chr.14.1 | Külde pedig Hírám, Tírusnak Királya Dávidhoz követeket: és czédrusfákat, kőmíveseket, ácsmestereket, hogy néki házat csinálnának:
1Chr.14.2 | Megesméré azért Dávid, hogy az Úr őtet megerősítette volna a Királyságban az Izráel népén, mivel hogy igen felmagasztaltatott vala az ő országa az ő népéért az Izráelért.
1Chr.14.3 | Vőn pedig Dávid mégis több feleségeket Jérusálemben, és nemze mégis több fiakat és leányokat.
1Chr.14.4 | És ezek neveik azoknak, kik születtek néki Jérusálemben: Sammua, Sobáb, Nátán és Salamon.
1Chr.14.5 | Ihhár, Elisua és Elpélet.
1Chr.14.6 | Nógah, Néfeg és Jáfia.
1Chr.14.7 | Elisáma, Beheljada és Elifélet.
1Chr.14.8 | Megtérvén pedig a Filiszteusok, hogy Dávid megkenettetett vona a Királyságra az egész Izráel népén, fejenként felindulának a Filiszteusok, hogy Dávidot megkeresség. Melly dolgot mikor Dávid meghallott volna, azonnal kiszálla elekikbe.
1Chr.14.9 | A Filiszteusok pedig eljutánakés a Réfaim völgyében mind elszéledének.
1Chr.14.10 | Dávid azért tanácsod kérede az Istentől, mondván: Reájok induljak é a Filiszteusokra, és őket kezembe adod é? És monda néki az Úr: Menj fel reájok, és őket kezedbe adom.
1Chr.14.11 | Felmenének azért Baál-perásimba, és ott Dávid őket igen megveré, és monda: Az Isten eloszlatá az én ellenségeimet az én kezem miatt, mint a vizet; azért nevezék azt a helyet Baál-perásimnak.
1Chr.14.12 | És ott hagyák az ő bálvány isteneiket, és Dávid megparancsolá, és mind megégeték azokat.
1Chr.14.13 | Ismét feltámadának a Filiszteusok, és azon völgyön elszéledének.
1Chr.14.14 | Azért Dávid ismét tanácsot kérde Istentől, és monda az Isten néki: Utánnok ne menj fel; hanem őket vedd körűl, és menj reájok a szederjfák ellenéről.
1Chr.14.15 | És mikor hallándod valami indulásnak dobogását a szederjfák tetéjén: akkor indulj reájok a vidalra: mert az Isten akkor megyen ki te előtted, hogy megverje a Filiszteusok táborát.
1Chr.14.16 | Dávid azért szintén úgy cselekedék, a mint néki Isten meghagyta vala, és vágák a Filiszteusok táborát Gibeontól fogva szintén Gézerig.
1Chr.14.17 | És Dávidnak kiméne híre neve minden földnek szegeletire, és az Úr a Dávid hírével megrettente minden Pogányokat.

1Chr.15.1 | Csináltata pedig Dávid magának házakat az ő városában: és píttete helyet az Isten ládájának, és annak sátort vonata.
1Chr.15.2 | Akkor monda Dávid: Nem szabad senkinek hordozni az Isten ládáját, hanem csak a Lévitáknak: mert az Úr őket választotta, hogy hordozzák az Isten ládáját, és néki szolgáljanak mind örökké.
1Chr.15.3 | Gyüjteté azért Dávid Jérusálembe mind az egész Izráel népét, hogy az Úr ládáját az ő helyére vitetné, mellyet néki csináltatott vala.
1Chr.15.4 | Öszvegyüjteté Dávid az Áron fijait is és a Lévitákat.
1Chr.15.5 | A Kéhát fijai között vala fő Uriel, és az ő attyafiai százhuszan valának.
1Chr.15.6 | A Mérári fijai között Asája fő, és az ő attyafiai kétszázan s húszan valának.
1Chr.15.7 | A Gerson fijai között Jóel fő, és az ő attyafiai százan s harminczan valának.
1Chr.15.8 | Az Elisáfán fijai között Sámája fő, és az ő attyafiai kétszázan valának.
1Chr.15.9 | A Hebron fijai között fő Eliel és az ő attyafiai nyolczvanan valának.
1Chr.15.10 | Az Uzziel fijai között fő Amminádáb, és az ő attyafiai száz tizenketten avalának.
1Chr.15.11 | Hivatá azért Dávid Sádok és Abjatár Papokat, a Léviták közzűl pedig Urielt, Asáját, Jóelt, Sémáját, Elielt és Amminádábot.
1Chr.15.12 | És monda nékik: Ti vagytok a Léviták attyainak előljárói: Szenteljétek meg magatokat s a ti atyátokfiait, és vigyétek az Izráel Urának Istenének ládáját e helyre, mellyet készitettem néki:
1Chr.15.13 | Mert mivelhogy eleitől fogva nem miveltétek ezt, a mi Urunk Istenünk eloszlatott minket, mert nem kerestük őtet a tőle szabott rendtartás szerint.
1Chr.15.14 | Megszentelék azért magokat először a Papok és a Léviták, hogy vinnék az Izráel Urának Istenének ládáját.
1Chr.15.15 | És felvevék a Lévitáknak fijai az Isten ládáját, a szerint, a mint Mózes meghagyta volt az Úrnak beszéde szerint, vállokra a rudakkal egybe, mellyek abban valának.
1Chr.15.16 | Parancsola ennekfelette Dávid a fő Lévitáknak, hogy válogatnának az ő attyokfiai közzűl éneklőket éneklő szerszámokkal egyetemben, tudniillik náblumokkal, hegedűkkel és czimbalmokkal, hogy énekelnének felszóval nagy örömmel.
1Chr.15.17 | Választák azért a Léviták Hémánt a Jóel fiját: és az ő attyafia közzűl Asáfot a Berekiéás fiját, és a Mérári fijai közzűl, kik azoknak attyokfiai valának Etánt a Kusája fiját.
1Chr.15.18 | És ő velek egybe az ő attyokfiai másod renden, Zakariásm Bén, Jeáziel, Semmirámot, Jéhiel, Unni, Eliáb, Benája, Maaséja, Mattithja, Eliféle, Miknéja, Obed-Edom és Jehiel, ajtónállók valának.
1Chr.15.19 | Éneklők pedig: Hémán, Asáf és Etán, réz czimbalmokkal zengedeznek vala.
1Chr.15.20 | Zakariás, Aziel, Semirámot, Jéhiel, Unni, Eliáb, Maaséja és Benája, vékony szavú náblumokkal énekelnek vala.
1Chr.15.21 | Mattithja, Eliféle, Miknéja, Obed-Edom, Jéhiel és Azaziás, hegedűlnek vala öreg szavú hegedűkkel.
1Chr.15.22 | Kéniás pedig a Léviták Fejedelme, a prófétálásban fő vala, mivelhogy tudós volna.
1Chr.15.23 | Berekiás és Elkána a Láda előtt való ajtónállók valának.
1Chr.15.24 | Sébániás pedig és Jósafát, Nétánéel, Amásia, Zakariás Benája és Eliézer Papok kürtölnek vala az Isten ládája előtt: Obed-Edom és Jéhija, kik kapunállók valának, a láda után mennek vala.
1Chr.15.25 | A kik pedig viszik vala és költöztetik vala az Úr szövetségének ládájátaz Obed-Edom házából nagy örömmel, ezek valának: Dávid, az Izráelnek Vénei és Fejedelmei.
1Chr.15.26 | Lőn pedig, mikor az Isten felsegéllette volna a Lévitákat, kik az Úr szövetségének ládáját viszik vala, ezokáért áldozának hét tulokkal, és hét kossal.
1Chr.15.27 | Dávid pedig bíborból csinált ruhába öltözvén: és mind a Léviták, kik a ládát viszik vala, az éneklők is, és Kénániás, ki fő vala az éneklésben, énekelnek vala, (Dávidon pedig vala gyolcsból csinált Efód.)
1Chr.15.28 | És mind az Izráel népe viszik vala az Úr szövetségének ládáját nagy örömmel, kürtöknek, trombitáknak, czimbalmoknak, hegedűknek és náblumoknak felható zengésében.
1Chr.15.29 | Mikor pedig immár az Úr szövetségének ládája jutott volna szintén a Dávid városához, és Mikál a Saul leánya kitekintvén az ablakon, látt volna hogy Dávid Király tánczolna és vígadna szívében megútálá őtet.

1Chr.16.1 | Mikor azért bévitték volna az Isten ládáját, és helyheztették volna azt a sátor közepén, mellyet Dávid annak felvonatott vala: áldozának egészen égő és engesztelőáldozatokkal az Isten előtt.
1Chr.16.2 | És mikor Dávid elvégezte volna az egészen égőáldozatot, és az engesztelőáldozatot, az Úrnak nevében megáldá a népet.
1Chr.16.3 | És osztogata minden Izráelitának, mind férjfiúnak s mind asszonynak, egy-egy lepényt és egy-egy darab húst és egy-egy palaczk bort.
1Chr.16.4 | Rendele ennekfelette az Úr ládája eleikbe a Léviták közzűl szolgákat, kik hirdetnék, tisztelnék és dícsérnék az Izráelnek Urát Istenét.
1Chr.16.5 | Asáf fő vala, ő utánna másod renden Zakariás. Jéhiel, Semirámót, Jékhiel, Mattithja, Eliáb, Benája és Obed-Edom: Jéhiel pedig a náblumokkal és hegedűkkel, Asáf czimbalmokkal énekel vala.
1Chr.16.6 | Továbbá Berája és Jaháziel Papok kürtölnek vala szűntelen az Isten szövetségének ládája előtt.
1Chr.16.7 | Akkor azon napon legelőször Dávid ez Éneket adáa az Úrnak dícséretére, Asáfnak és az ő attyafiainak kezekbe.
1Chr.16.8 | Tiszteljétek az Urat, hívjátok segítségűl az ő nevét, hirdessétek minden népek között az ő nagy dolgait.
1Chr.16.9 | Énekeljetek néki, örvendezzetek néki, szóljatok minden csudálatos dolgairól.
1Chr.16.10 | Dicsekedjetek az ő szent nevében, örvendezzen szívek azoknak, kik az Urat keresik.
1Chr.16.11 | Keressétek az Urat és az ő hatalmasságát; keressétek az ő orczáját szüntelen.
1Chr.16.12 | Emlékezzetek meeg örökké az ő csudálatos dolgairól, mellyeket cselekedett, az ő csudáiról, és az ő szájának ítéletiről.
1Chr.16.13 | Óh Izráelnek, ő szolgájának magva! Jákóbnak ő választottjának fijai!
1Chr.16.14 | Ez a mi Urunk Istenünk, az ő ítéletei mind e széles földön vagynak.
1Chr.16.15 | Emlékezzetek meg örökké az ő szövetségéről és az ő beszédéről, mellyet parancsolt, ezer nemzetségig.
1Chr.16.16 | Mellyet szerzett Ábrahámmal; és esküvéséről emlékezzetek, mellyet szóla Izsáknak.
1Chr.16.17 | Mellyet megerősített Jákóbnak örök végzéssel, Izráelnek örökké való szövetséggel.
1Chr.16.18 | Mondván: A Kanaán földét néked adom, hogy legyen néktek örökségtek.
1Chr.16.19 | Jóllehet kevesen volnátok, mindenestől igen kevesen, és zsellérek azon a földön;
1Chr.16.20 | Mert járnak vala egyik nemzetségtől a másikhoz, és egyik országból más országba:
1Chr.16.21 | Nem engedé mindazáltal senkinek őket bántani, sőt még a Királyokat is megbünteté érettek.
1Chr.16.22 | Ezt mondván: Az én megkeneetteimeet ne bántsátok, Prófétáimnak se ártsatok.
1Chr.16.23 | Mind ez egész föld énekeljen az Úrnak, napról napra hirdessétek az ő szabadítását.
1Chr.16.24 | Beszéljétek a Pogányok között az ő dicsőségét, minden népek között az ő csudálatos dolgait;
1Chr.16.25 | Mert nagy az Úr és igen dícsérendő, és rettenetes minden istenek felett:
1Chr.16.26 | Mert a pogányoknak minden isteneik csak bálványok: de az Úr termettte az egeket.
1Chr.16.27 | Dicsőség és tisztesség vagyon ő előtte, erősség és vígasság az ő helyén.
1Chr.16.28 | Adjatok az Úrnak népeknek nemzetségei, adjatok, mondom, az Úrnak dicsőséget és erősséget!
1Chr.16.29 | Adjatok az Úr nevének dicsőséget: hozzatok ajándékokat és jöjjetek eleibe, hajtsátok meg magatokat az Úrnak az ő szentségének ékes helyén.
1Chr.16.30 | Rettegjen mind az egész föld az ő orczájától; a föld is megerősíttetik, hogy meg ne induljon.
1Chr.16.31 | Örüljenek az egek és örvendezzen a föld, és mondják a Pogányok között: Uralkodik az Úr!
1Chr.16.32 | Zengjen a tenger, minden benne valóval egybe; örvendezzen a mező, minden benne valólva egybe.
1Chr.16.33 | Akkor örvendezi kezdnek az erdőnek fái az Úr előtt, mikor eljövénd megítélni a földet.
1Chr.16.34 | Tiszteljétek az Urat: mert igen jó, mert örökkévaló az ő irgalmassága.
1Chr.16.35 | És mondjátok: Tarts meg mindket, mi szabadító Istenünk, gyüjts öszve minket, és szabadíts meg a Pogányok közzűl, hogy a te szent nevedet tisztelhessük, dicsekedhessünk a te dícséretedben!
1Chr.16.36 | Áldott legyen az Izráelnek Ura Istene öröktől fogva mind örökké: És mondja a sokaság, Ámen! Dícséret az Úrnak!
1Chr.16.37 | Hagyá pedig ott Dávid az Úr szövetségének ládájánál Asáfot és az ő attyafiait, hogy a láda előtt szüntelen minden napon szolgálnának.
1Chr.16.38 | Obed-Edomot és Hósát, ezeknek hatvannyolcz attyokfiaival egybe, Obed-Edomot, mondom, a Jéduton fiját, és Hósát hagyá ajtónállóknak.
1Chr.16.39 | Sádók Papot pedig és az ő Pap attyafiait, az Úr sátora előtt hagyá a magasságban, melly vala Gibeon hegyén;
1Chr.16.40 | Hogy áldoznának az Úrnak szüntelen tüzes áldozattal a tüzes áldozatnak oltárán minden reggel és estve, és hogy mind a szerint cselekednének a mint meg volna írattatva az Úr törvényében, mellyet parancsolt vala az Izráelnek.
1Chr.16.41 | Hémánt is és Jédutunt velek hagyá, és többeket is választva, kik nevek szerint megneveztettek, hogy az Urat dícsérnék: mert az ő irgalmassága örökkévaló.
1Chr.16.42 | Ezekkel, mondom, hagyá Hémánt és Jédutunt kürtökkel, czimbalmokkal és egyéb zengő szerszámokkal: A Jédutun fijait pedig kapunállókká tevé.
1Chr.16.43 | Azért az egész sokaság eloszla, kiki mind házához: Dávid pedig megtére, hogy az ő háznépét is megáldaná.

1Chr.17.1 | Lőn pedig, mikor Dávid az ő házában laknék, monda Nátán Prófétának: Ímé én czédrusfából csinált házban lakom, az Úr szövetségének ládája pedig vagyon sátor alatt.
1Chr.17.2 | Akkor monda Nátán Dávidnak: Valami vagyon a te szívedben, cselekedd meg: mert az Isten veled vagyon.
1Chr.17.3 | Azon éjjel pedig lőn az Istennek szava Nátánhoz, mondván:
1Chr.17.4 | Menj el és mond meg az én szolgámnak Dávidnak: Ezt mondja az Úr: Te nem csinálsz nékem lakni való házat;
1Chr.17.5 | Mert nem laktam én attól fogva házban, miolta az Izráel fijait kihoztam, mind e mai napig: hanem egy hajlékból más hajlékba mentem; sátorból sátorba.
1Chr.17.6 | A melly helyeken jártam az Izráel népével, szólottam é vagy egyszer valakinek az Izráel Bírái közzűl, (kiknek parancsoltam vala, hogy az én népemet legeltetnék,) mondván: Miért nem csináltatok nékem czédrusfából házat?
1Chr.17.7 | Most azért ezt mondjad az én szolgámnak Dávidnak: Ezt mondja a seregeknek Ura: Én választálak téged a juhok mellől a pásztori házacskából, hogy lennél Vezére az én népemnek az Izráelnek;
1Chr.17.8 | És veled voltam mindenütt valahová mentél, minden ellenségeidet is a te orczád elől elvesztettem, ennekfelette olly hírt nevet szerzettem néked, a minémű hírek vagyo a hatalmasoknak, a kik vagynak a földön.
1Chr.17.9 | Lakóhelyet is adtam az én népemnek az Izráelnek, és elplántálám őtet; és lakja az ő helyét és többé helyéből ki nem mozdíttatik s nem sanyargattatik a hamisságnak fijaitól mint ez előtt.
1Chr.17.10 | És az időtől fogva, miolta megparancsoltam vala, hogy Bírák lennének az én népemen az Izráelen; minden te ellenségeidet megalázám, és ezt is jelentém néked, hogy az Úr házat épít néked.
1Chr.17.11 | És lészen, mikor bételjesedéndenek a te életednak napjai, hogy a te atyáidhoz elmenj; a te magodat feltámasztom te utánnad, melly lészen a te fijaid közzűl való, és az ő országát megerősítem.
1Chr.17.12 | Ő csinál nékem háza; és megerősítem az ő kiszélyiszékit mind örökké.
1Chr.17.13 | Én lészek néki attya, ő nékem fiam lészen; és az én irgalmasságomat ő tőle el nem vészem, mint a te előtted valótól elvettem.
1Chr.17.14 | Hanem megerősítem őtet az én házamban, és az én országomban mind örökké, és az ő királyiszéke erős lészen mind örökké.
1Chr.17.15 | Mind e beszédek szerint, és mind e látás szerint szóla Nátán Dávidnak.
1Chr.17.16 | Béméne azért Dávid és leüle az Úr előtt, és monda: Ki vagyok én, óh Uram Isten, s micsoda az én házam is, hogy engemet erre méltóztattál?
1Chr.17.17 | Még ezt is kevésled, óh Isten, hanem ennekfelette szólál jövendőt is a te szolgád háza felől, és minden emberek között tekintetessé tettél engemet, óh én Uram Istenem!
1Chr.17.18 | És mit kérhetne Dávid többet te tőled, a te szolgádnak tisztességére, holott te jól esméred a te szolgádat?
1Chr.17.19 | Óh Uram, a te szolgádért, és a te szíved szerint cselekedéd mind e nagy dolgokat, hogy minden te csudálatos dolgaida kijelentenéd.
1Chr.17.20 | (Óh Uram, nincsen senki hasonló hozzád, és nincsen Isten náladnál több,) mind a szerint, a mint füleinkkel hallottuk.
1Chr.17.21 | És kicsoda ollyan nép a földön, mint a te néped az Izráel, kinek Istene elment volna, hogy magának népet szabadítana: hogy magadnak nagy és rettenetes nevet szerzenél, kiüzvén a Pogányokat a te néped elől, mellyet Égyiptomból megszabadítál!
1Chr.17.22 | És választád az Izráel népét te magadnak kiváltképen való népeddé mind örökké, és te Uram, votál nékik Istenek.
1Chr.17.23 | Most azért Uram, a szó, mellyet szólál a te szolgád felől és az ő háza felől, erősíttessék meg mind örökké, és úgy cselekedjél, a mint szóltál.
1Chr.17.24 | Maradjon meg és magasztaltassék fel a te neved mindörökké, hogy mondhassák: A seregeknek Ura az Izráel Isene, Isten az Izráelen; és Dávidnak a te szolgádnak háza legyen erős előtted.
1Chr.17.25 | Mert te, én Istenem, a te szolgádnak füle hallására megjelentetted, hogy néki házat csinálnál: ezokáért indula meg a te szolgád, hogy könyörgene előtted.
1Chr.17.26 | Most azért én Uram, te vagy az Isten, és te szólád e jó dolgot a te szolgád felől.
1Chr.17.27 | Most, mondom, mivelhogy akarád megáldani a te szolgádnak házát, hogy legyen állandó mind örökké előtted; mivelhogy te, Uram, megáldottad, legyen azért áldott mind örökké.

1Chr.18.1 | Ezekután pedig meveré Dávid a Filiszteusokat és megalázá őket; és Gáth városát faluival egybe elnyeré a Filiszteus kezekből.
1Chr.18.2 | A Moábitákat is megveré; és a Moábiták voltak Dávidnak adófizető szolgái.
1Chr.18.3 | Továbbá megveré Dávid Hámátban Hadarézert is Sóbának Királyát, mikor elindult volna, hogy az Eufrátes folyóvízig vetné birodalmának határát.
1Chr.18.4 | Dávid pedig nyere ő tőle ezer szekeret és hétezer lovagokat, és húszezer gyalogokat; és minden szekeres lovaknak inaikat elvagdaltatá Dávid: és megtarta azokban csak száz szekérbe valókat.
1Chr.18.5 | Eljövének pedig Damaskusból a Siriabeliek, hogy megsegéllenék Hadarézert a Sóba Királyát; és levága Dávid a Siriabeliekben huszonkét ezer férjfiakat.
1Chr.18.6 | És rendele Dávid Tiszttartóka Siriában, mellyben vagyon Damaskus; és lőnnek a Siriabeliek Dávidnak adófizető szolgái: és megtartja vala az Úr Dávidot mindenütt, valahová megyen vala.
1Chr.18.7 | És elnyeré Dávid az arany paizsokat, mellyeket a Hadarézer szolgái viselnek vala, és vivé Jérusálembe.
1Chr.18.8 | És hoza Dávid Tibhátból és Kúnból a Hadarézer városaiból igen sok rezet, mellyből Salamon a résztengert csinálá, az oszlopokat és a rézedényeket.
1Chr.18.9 | Mikor meghallotta volna pedig Tóhu a Hámáthbeli Király, hogy Dávid megverte volna Hadarézernek, a Sóba Királyának egész hadát;
1Chr.18.10 | Küldé Dávid Királyhoz az ő fiját Hadarámot, hogy köszöntené őtet nagy tisztességgel, és hogy néki minden jót is kívánna, mivelhogy megharczolt volna Hadarézerrel, és megverte vala őtet; mert Tóhu is hadakozik vala Hadarézer ellen. És külde Dávidnak sok aranya, ezüst és rézedényeket.
1Chr.18.11 | Mellyeket Dávid Király szentele az Úrnak az ezüsttel és az arannyal, mellyet nyert vala a pogányoktól, az Edomitáktól, a Moábitáktól, az Ammon fijaitól, a Filiszteusoktól és Amálekitáktól.
1Chr.18.12 | Abisai pedig a Séruja fija, az Edomiták közzűl, a Sónak völgyében megvere tizennyolczezeret.
1Chr.18.13 | És rendelet Edomban Dávid Tiszttartókat, és lőnnek az Edombeliek Dávidnak szolgái. És megtartá az Úr Dávidot mindenütt, valahová megyen vala.
