1Cor.1.1 | Pál, hivatala szerint Jézus Krisztusnak Apostola, Istennek akaratjából, és a Sosthénes atyafiú.
1Cor.15.32 | Ha csak emberi mód szerint harczoltam meg a fene bestiákkal Efézusban, micsoda hasznom vagyon abban, ha a halottak fel nem támadnak? Együnk és igyunk: mert holnap meghalunk.
1Cor.15.33 | Ne tévelyegjetek. A jó erkölcsöt megfertéztetik a gonosz társaságok.
1Cor.15.34 | Serkenjetek fel az igazságra, és ne vétkezzetek: mert némellyek az Istent nem esmérik; néktek szégyenléstekre szólok.
1Cor.15.35 | De mondhatná valaki: Mimódon támasztatnak fel a halottak? minémű testtel jőnek pedig ki?
1Cor.15.36 | Balgatag ember, a mit te a földbe vetsz, nem elevenedik meg, hanemha megrothadánd.
1Cor.15.37 | És a mit elvetsz, nem azt veted el a mi azután kikél, hanem puszta magot, tudniillik gabonának vagy egyébnek magvát.
1Cor.15.38 | De az Isten ád annak testet a mint akarta, és mindenféle magnak kiváltképen való testet.
1Cor.15.39 | Nem minden test azon egy test, hanem más az embereknek testek, más a barmoknak testek, más a halaknak, más a madaraknak.
1Cor.15.40 | És vagynak mennyei testek: vgynak földi testek; de külömb dicsőségek vagyon a mennyeieknek, külömb a földieknek.
1Cor.15.41 | Külömb a napnak dicsősége, és külömb a holdnak dicsősége, és külömb a csillagoknak dicsősége: mert a csillag külömböz a csillagtól fényességgel.
1Cor.15.42 | Igy lészen a halottaknak feltámadások is: Elvettetik rothadandó test, feltámasztatik rothadatlan.
1Cor.15.43 | Elvettetik gyalázatos test, feltámasztatik dicsőséges: elvettetik erőtelen test, feltámasztatik hatalmas.
1Cor.15.44 | Elvettetik lelkes test, feltámasztatik lelki test: vagyon lelkes test, vagyon lelki test is.
1Cor.15.45 | Mert úgy irattatott meg: Teremtetett az első ember Ádám élő állattá: az utolsó Ádám pedig elevenitő lélekké.
1Cor.15.46 | De a lelki test nem első, hanem a lelkes test az első, második a lelki test.
1Cor.15.47 | Az első ember a földből való és földi, a második ember mennyei Úr.
1Cor.15.48 | A minémű volt ama földi, ollyanok a kik földiek is: és minémű ama mennyei, ollyanok lésznek a kik mennyeiek is.
1Cor.15.49 | És miképen hordoztuk a földinek ábrázatját, a mennyeinek is hordozzuk ábrázatját.
1Cor.15.50 | Ezt mondom pedig, Atyámfiai, hogy a test és a vér nem veheti az Isten országának örökségét, és rothadandóság a rothadatlan természetnek örökségét nem veszi.
1Cor.15.51 | Imé titkos dolgot mondok néktek; Jóllehet nem mindnyájan aluszunk el; de mindnyájan elváltoztatunk.
1Cor.15.52 | Nagy hirtelen és egy szempillantásban az utolsó trombitaszóra: (mert szól a trombita akkor) és a halottak feltámadnak rothadatlanságban, és mi is elváltozunk.
1Cor.15.53 | Mert szükség, hogy e rothadandó test rothadatlan természetet öltözzön magára, és e halandó test halhatatlanságot öltözzön magára.
1Cor.15.54 | Mindekuttána pedig e rothadandó test öltözéndik rothadatlanságba, és e halandó test öltözéndik halhatatlanságba, akkor lészen a mi megiratott: Elnyelettetett a halál szintén a diadalomig.
1Cor.15.55 | Hol vagyon halál a te diadalmad? hol vagyon koporsó a te fulánkod?
1Cor.15.56 | A halálnak pedig fulánkja a bűn: a bűnnek pedig ereje a törvény.
1Cor.15.57 | De az Istennek legyen hála, ki adott nékünk diadalmat, a mi Urunk Jézus Krisztus által.
1Cor.15.58 | Azért szerelmes Atyámfiai erősen és mozdithatatlnaul álljatok, bővölködvén mindenkor az Úrnak dolgában, mivelhogy tudjátok, hogy a ti munkátok nem hijábavaló az Úrban.

1Cor.16.1 | A mi néz a szentek segitségekre való alamizsnára, a miképen rendeltem a Galatziabeli Gyülekezetekben, azonképen cselekedjetek ti is.
1Cor.16.2 | A hétnek minden első napján magánál mindenitek tegye el, a mit az Istennek ajándékából el akar tenni, hogy ne legyen akkor annak kiszedése, mikor oda megyek.
1Cor.16.3 | Minekutánna pedig oda menéndek, a kiket javaltok leveleitek által, azokat küldöm el hogy elvigyék Jérusálembe a ti ajándékotokat.
1Cor.16.4 | Hogyha méltó dolog lészen, hogy én is elmenjek, velem együtt jöjjenek el.
1Cor.16.5 | Elmegyek pedig ti hozzátok, mikor Maczedónián által menéndek: (mert Maczedónián megyek által.)
1Cor.16.6 | Talán pedig ti nálatok megmaradok, vagy ott is telelek, hogy ti kisérjetek el a hová menéndek.
1Cor.16.7 | Mert nem akarlak most tieket e sietséggel való általmentemben meglátni; de reménylem hogy valami ideig nálatok maradok, ha az Úr engedi.
1Cor.16.8 | Efézusban maradok pedig Pünköstig;
1Cor.16.9 | Mert nékem nagy kapu nyittatott és hasznos, az ellenség is sok.
1Cor.16.10 | Hogyha Timótheus oda menénd, meglássátok, hogy ott nálatok bátorságos maradása legyen: mert az Úrnak dolgát cselekeszi ő is, mint szinte én.
1Cor.16.11 | Senki azért őtet semminek ne állitsa; hanem őtet kövessétek el békességgel, hogy én hozzám jöhessen: mert várom őtet az Atyafiakkal egybe.
1Cor.16.12 | A mi peig az Apollós atyafiúra néz, igen kértem őtet, hogy hozzátok menne az Atyafiakkal egybe: e semmiképen nem lőn akaratja a most oda menetelre: mindazáltal elmegyen, mikor jó alkalmatossága lészen.
1Cor.16.13 | Vigyázzatok, álljatok meg a hitben; úgy cselekedjetek mint férjfiak, legyetek erősek.
1Cor.16.14 | Minden dolgaitok atyafiúi szeretettel legyenek.
1Cor.16.15 | Kérlek pedig titeket Atyámfiai; jól tudjátok, hogy Stéfanának háznépe Akhájának első zsengéje a hitben, és a szenteknek való szolgálatra adták magokat.
1Cor.16.16 | Hogy ti is az illyeneket megbecsüljétek, mind azokkal egybe, a kik szolgálnak és munkálódnak az egyházi szolgálatban.
1Cor.16.17 | Örvendezek pedig a Stéfana, Fortunátus, és Akháikus jöveteleknek: mert a mi fogyatkozásom volt a ti távol létetek miatt, ők bétöltötték.
1Cor.16.18 | Mert megújitották mind az én lelkemet, mind a tiéteket, megbecsüljétek azért azokat, a ki illyenek.
1Cor.16.19 | Köszöntenek titeket az Ázsiabeli Gyülekezetek. Köszöntenek titeket az Úrban felette igen Akvila és Prisczilla, a Gyülekezettel egybe, melly az ő házoknál vagyon.
1Cor.16.20 | Köszöntenek titeket mind az Atyafiak. Köszöntsétek egymást szent csókolással.
1Cor.16.21 | Köszönetet irok én is Pál az én saját kezemmel.
1Cor.16.22 | Valaki nem szereti az Úr Jézus Krisztust, legyen átkozott, és Istentől örökké elvettetett.
1Cor.16.23 | Az Úr Jézus Krisztusnak kegyelme legyen ti veletek.
1Cor.16.24 | Az én szerelmem legyen mindnyájan veletek, a Jézus Krisztusban, Ámen! ///E levél küldetett Filippi városából, Stéfana, Fortunátus, Akháikus és Timótheus által.///
