Matt.1.1 | JÉZUS KRISZTUSNAK, Dávid fijának és Ábrahám fijának nemzetségéről való Könyv.
Matt.13.5 | Némelly esék a köves helyre, a hol nem vala sok föle és hamar kikele, mivelhogy a földben nem vala mélyen,
Matt.13.6 | És a nap mikor felkölt volna, megsüté azt, és mivelhogy nem vala gyökere, kiszárada:
Matt.13.7 | Némelly pedig esék a tövis közzé, és a tövisek felnevekedvén, megfojtják azt.
Matt.13.8 | Némelly pedig esék a jó földbe, és gyümölcsöt terme, némelly száz annyit, némelly hatvan annyit, némelly pedig harmincz annyit.
Matt.13.9 | A kinek vagyon füle a hallásra, hallja.
Matt.13.10 | Akkor hozzá menvén az ő tnaitványai, mondának néki: Mi az oka hogy példabeszég által szólasz e népnek?
Matt.13.11 | És ő felelvén, monda nékik: Mert néktek adatott, hogy a mennyek országának titkait érthessétek, azoknak pedig nem adatott;
Matt.13.12 | Mert a kinek vagyon adatik annak és inkább bővölködik, de a kinek nincsenm a mije vagyon is elvétetik tőle.
Matt.13.13 | Azért szólok példabeszéd által nékik: mert látván nem látnak és hallván nem hallanak, sem értenek.
Matt.13.14 | Azért bételik ő bennek az Ésaiás prófétálása, mely ezt mondja: Hallván, halljátok, és nem értitek: és látván látjátok, és által nem láthatjátok.
Matt.13.15 | Mert megkövéredett e népnek szive, és füleikkel nehezen hallottak, és szemeiket bezárlották, hogy valami módon ne lássanak szemeikkel, és füleikkel ne halljanak, és szivekkel ne értsenek, meg ne térjenek, és meggyógyítsam őket.
Matt.13.16 | A ti szemeitek pedig boldogok, hogy látnak, és füleitek, hogy hallanak;
Matt.13.17 | Mert bizony mondom néktek, hogy sok Próféták és igazak kivánták látni, a mellyeket ti láttok, és nem láthatták; és hallani, a mellyeket ti hallotok, de nem hallhatták.
Matt.13.18 | Halljátok meg azért it a magvetőről vala példabeszéd magyarázatját.
Matt.13.19 | Mikor valaki hallja az igét, a mennyeknek országa felől, és nem érti, eljő a Gonosz és elkapja azt, a mi annak szivébe vettetett vala. Ez az, a kiben az út mellé esett a mag.
Matt.13.20 | A ki pedig a kövesre vetette a magot, ez az, a ki ez igét hallja, és azt mindjárt nagy örömmel veszi:
Matt.13.21 | De nincsen ő benne gyökere, hanem ideig való, és ha háboruság vagy nyomoruság következik az igéért, azonnal megbotránkozik.
Matt.13.22 | A ki pedig a tövis közé vetette a magot, ez az, a ki az igét hallja, de e világnak szorgalmatossága, és a gazdagságnak csalárdsága megfojtja az igét, és gyümölcsöt nem terem.
Matt.13.23 | A ki pedig jó földbe vetette a maogt, ez az, a ki hallgatja az igét és érti, és gyümölcsöt hoz: és terem némely száz annyit, némelly hatvan annyit, némelly pedig harmincz annyit.
Matt.13.24 | Más példabeszédet ada eleikbe nékik Jézus, ezt mondván: Hasonlatos a mennyeknek országa az emberhez, ki az ő földébe jó magot vetett.
Matt.13.25 | És mikor az emberek aludnának, eljöve az ő ellensége, és vete konkolyt a gabona közé, és elméne.
Matt.13.26 | És mikor felnevekedett volna a gabona, és gyümölcsöt termett volna, akkor megtetszék a konkoly is.
Matt.13.27 | A gazdának szolgái pedig elő állván, mondának nékei: Uram avagy nem tiszta magot vetettél vala é a te földedbe? honnét vagyon azért az a konkoly?
Matt.13.28 | És monda nékik:Valamelly ellenségem mivelte ezt. A szolgák pedig mondának: Akarod é tehát hogy elmenjünk és öszveszedjük a konkolyt?
Matt.13.29 | Ő pedig monda: Nem; mert netalán öszveszedvén a konkolyt, azzal együtt a gabonát is kiszaggatjátok.
Matt.13.30 | Engedjétek, hogy mind a kettő nevekedjék együtt az aratásig, és az aratás idején meghagyom az aratóknak; Szedjétek öszve először a konkolyt, és kössétek az kévékbe, hogy megégettessék, a gabonát pedig takarjátok az én csürömbe.
Matt.13.31 | Ismét már példabeszédet ada eleikbe, mondván: Hasonlatos a mennyeknek országa a mustármaghoz, mellyet az ember vévén, elvet az ő mezejében.
Matt.13.32 | Melly jóllehet minden magoknál kisebb: de mikor felnevekedik, a füvek közt legnaghyobb, és végre fa nevekedik belőle, annyira, hogy az égi madarak reá szálljanak, és fészket rakjanak ágain.
Matt.13.33 | Ismét más példabeszédet szóla nékik, mondván: Hasonlatos a mennyeknek országa a kovászhoz, mellyet az asszony vévén, elegyit három mércze lisztben, mig mind megposhad az.
Matt.13.34 | Mind ezeket mondá Jézus a sokaságnak példabeszéd által, és példabeszéd nélkül semmit nem szóla nékik.
Matt.13.35 | Hogy bételnék amit a Próféta szólott, mondván: Megnyitom az én számat példabeszédek által, kimondom azokat, mellyek e világ fundamentomának felvetetésétől fogva eltitkoltattak volt.
Matt.13.36 | Akkor elbocsátván a sokaságot Jézus, házba méne, és az ő tanitványai hozzá menvén, mondának: Magyarázd meg nékünk, ama földbe vetett konkolyról való példabeszédet.
Matt.13.37 | És ő felelvén, monda nékik: A ki a jó magot veti, az embernek fija az:
Matt.13.38 | A mező pedig e világ; a jó mag az Isten országának fijai: a konkoly pedig ama Gonozsnak fijai;
Matt.13.39 | Az ellenség pedig, ki a konkolyt vetette, az ördög; az aratás e világ vége: az aratók pedig az Angyalok.
Matt.13.40 | Miképen azért a konkolyt egybegyüjtik, és megégetik, a képen lészen e világnak végén.
Matt.13.41 | Az embernek Fija elbocsátja az ő Angyalit, kik öszveszednek az ő országából minden botránkozásokat, és azokat, kik cselekedtek hamisságot.
Matt.13.42 | És vetik azokat az égő kemenczébe; ott lészen sirás, és fogcsikorgatás;
Matt.13.43 | Akkor az igazak fénylenek mint a nap az ő attyoknak országában. A kinek vagyon füle a hallásra, hallja.
Matt.13.44 | Ismét hasonló a mennyeknek országa a mezőben elrejtett kincshez, mellyet minekutánna megtalál az ember: elrejti azt, és a talált kincsen való örömében, elmegyen titkon, és minden marháját eladván, megveszi azt a mezőt.
Matt.13.45 | Ismét hasonlatos a mennyeknek országa a keresekdő emberhez, ki szép drágaköveket keres.
Matt.13.46 | Ki minekutánna találánd valami drágakövet, elmegyen, és minden marháját eladván, megveszi azt.
Matt.13.47 | Ismét hasonlatos a mennyeknek országa a tengerbe vetett gyalomhoz, melly mindenféle állatot bétakaritott.
Matt.13.48 | Mellyet, minekutánna megtölt, a halászok a partra kivontak, és leülvén kiszedték a mi jó abban volt, kivetették.
Matt.13.49 | Úgy lészen e világnak végén is:eljőnek az Istennek Angyalai, és kiválasztják a gonoszokat az igazak közzűl.
Matt.13.50 | És azokat vetik az égő kemenczébe, ott lészen sirás és fogcsikorgatás.
Matt.13.51 | És monda nékik Jézus: Értétek é mind ezeket? és ők mondák: Értettük Uram.
Matt.13.52 | Ő pedig monda nékik: Anakokáért minden Irástudó, ki a mennyeknek országában megtanittatott, hasonlatos valamelly gazdához, ki az ő élésházából hoz elő ót és újat.
Matt.13.53 | És mikor elvégezte volna Jézus e példabeszédeket elméne onnét.
Matt.13.54 | És mikor ment volna az ő hazájába, tanitja vala őket az ő zsinagógájokban, úgy annyira, hogy álmélkodnának, és ezt mondanák: Honnét vagyon ebben e bölcsesség, és aez isteni erők?
Matt.13.55 | Avagy nem ez é ama Ácsmester fija? nemde nem Máriának hivják é az ő annyát, és az ő attyafiait Jakabnak, Jósének Simonnak és Júdásnak?
Matt.13.56 | És az ő nénnyei is, nemde nem nálunk vagynak é? Honnét vagynak azért ennek mind ezek?
Matt.13.57 | És megbotránkoznak vala ő benne Jézus pedig monda nékik. Nincsen a Próféta tisztesség nélkül, hanem csak az ő hazájában és házában.
Matt.13.58 | És tőn ott sok csudákat az ő hitetlenségekért.

Matt.14.1 | Akkor az időben Hérodes Tetrárka hallá Jézusnak hirét.
Matt.14.2 | És monda az ő szolgáinak: Ez ama Keresztelő János, ő támadott fel a halálból, és annakokáért cselekesznek ő benne e csudák.
Matt.14.3 | Mert Héródes megfogta vala Jánost, és megkötöztetvén őtet vetette vala a tömlöczbe, Héródiásért, az ő attafiának Filep Királynak feleségéért.
Matt.14.4 | Mert ezt mondja vala néki János: Nem szabad néked azzal élned.
Matt.14.5 | És mikor őtet meg akarná ölni, fél vala a sokaságtól, mivelhogy őtet ugy tarják vala mint egy Prófétát.
Matt.14.6 | Mikor pedig a Héródes születésének napját tisztelnék, tánczola Héródiás leánya ő előttök: és Héródes megkedvellé a leánynak tánczát.
Matt.14.7 | Azért nagy esküvéssel fogadást tőn, hogy valamit kérne, megadná néki.
Matt.14.8 | A leány pedig az ő annya tanácsából monda: Hozasd elő nékem ide egy tálban a Keresztelő János fejét.
Matt.14.9 | És megszomorodék a Király; de az ő esküvéséért és a lakodalmakért, parancsolá előhozatnai.
Matt.14.10 | És elküldvén a hóhért, fejét véteté Jánosnak a tömlöczben.
Matt.14.11 | És előhozák az ő fejét egy tálban, és adatá azt a leánynak; a leány bémutatá az ő annyának.
Matt.14.12 | És előjövén az ő tanitványai, elvivék az ő testét, és eltemeték azt; és elmenvén megmondák azt Jézusnak.
Matt.14.13 | Mikor pedig ezt hallotta volna Jézus, elméne onnét hajón a pusztába magánosan: és mikor ezt hallotta volna a sokaság, gyalog követék őtet a városokból.
Matt.14.14 | És kimenvén Jézus, látá a nagy sokaságot, megszáná őket, és azoknak betegeiket meggyógyitá.
Matt.14.15 | És mikor estve felé volna, hozzá menének az ő tanitványai, mondván: Puszta hely ez, és az idő elmult, bocsásd el a sokaságot, hogy menjenek a falukba, és végyenek magoknak eleséget.
Matt.14.16 | Jézus pedig monda nékik: Nem szükség, hogy elmenjenek; adjatok ti nékik enni.
Matt.14.17 | Mondának a tanitványok néki: Nincsen itt több eleség öt kenyereknél és két halaknál.
Matt.14.18 | Ő pedig monda: Hozzátok ide nékem azokat.
Matt.14.19 | És mikor parancsolt volna a sokaságnak, hogy leülnének a füvön, és vette volna az öt kenyereket, és a két halakat, az égre szemeit felemelvén, hálákat ada Istennek: és mikor megszegte volna a kenyereket, adá a tanitványoknak, a tanitványok pedig a sokaságnak.
Matt.14.20 | És evének mindnyájan, és megelégedének, és felszedék a maradék darab kenyereket tizenkét teli kosárral.
Matt.14.21 | A kik pedig ettek vala, valának mintegy ötezer férjfiak, asszonyok nélkül, és gyermek nélkül.
Matt.14.22 | És mindjárt kénszerité Jézus az ő tanitványit hajóba ülni, hogy elől elmenének a tulsó partra, mig ő elbocsátaná a sokaságot.
Matt.14.23 | Mikor elbocsátotta volna azért a sokaságot, elméne a hegyre magánosan imádkozni: és mikor immár késő estve volna, csak ő maga vala ott.
Matt.14.24 | A hajó pedig immár a tengernek közepette vala, és a haboktól háborgattatik vala: mert a szél ellenekbe fú vala.
Matt.14.25 | Az éjszakának pedig negyedik részén méne hozzájok Jézus a tengeren járván.
Matt.14.26 | És mikor látták volna a tanitványok, hogy a tengeren járna, megháborodának, mondván: Ez valami elmulandó állat; és féltekben kiáltnak vala.
Matt.14.27 | De azonnal szóla nékik Jézus, és monda: Bizzatok, én vagyok, ne féljetek.
Matt.14.28 | És felelvén néki Péter, monda: Uram! ha te vagy, parancsolj hogy hozzád mehjessek a vizen.
Matt.14.29 | Ő pedig monda: Jövel. És mikor kiszállott volna a hajóból Péter, jár vala a vizeken, hogy Jézushpz menne.
Matt.14.30 | Látván pedig a nagy szelet, megrémüle: és mikor elkezdett volna merülni, kiálta, mondván: Uram tarts meg engem!
Matt.14.31 | És mindjárt Jézus kezét kinyujtván, megragadé Pétert, és monda néki: Óh, kicsinyhitü, miért kételkedél?
Matt.14.32 | És mikor ők bémentek volna a hajóba, megszünék a szél.
Matt.14.33 | A kik pedig hajóban valának, előjövén, imádák őtet, mondván! Bizony Isten Fija vagy te.
Matt.14.34 | És mikor általköltek volna a vizen, mennének a Genezáret földébe.
Matt.14.35 | És mikor megesmérték volna őtet annak a helynek lakosai, elküldének azegész körül való tartomáynba; és minden betegeket ő hozzá hozának.
Matt.14.36 | És kérik valal őtet, hogy csak az ő ruhájának prémjét illetnék; és valakik illetik vala, meggyógyulnak vala.

Matt.15.1 | Akkor járulának Jézushoz valai Jérusembeli Irástudók és Farizeusok, kik ezt mondák:
Matt.15.2 | Mi az oka, hogy a te tanitványid a régi Vén embereknek rendeléseket megrontják? Mivelhogy nem mossák meg kezeiket, mikor enni akarnak.
Matt.15.3 | Jézus pedig felelvén, monda nékik: Mi az oka, hogy ti is az Isten parancsolatját megrontjátok a ti rendeléstek által?
Matt.15.4 | Mert Isten parancsolta ezt, mondván: Tiszteljed a te atyádat és anyádat. Ismét: Valaki gonoszt mond attyának vagy annyának, megölettessék.
Matt.15.5 | Ti pedig azt mondjátok: Valaki attyának vagy annyának ezt mondja: Valami ajándékot és Istennek felviszek, tenéked használ, bün nélkül való lészen, ha az ő attyát vagy annyát soha nem tisztelte is.
Matt.15.6 | És az Istennek parancsoltaját a ti rendeléstek által erőtlenné tettétek.
Matt.15.7 | Képmutatók! Igazán prófétált Ésaiás ti felőletek, ezt mondván:
Matt.15.8 | E nemzetség én hozzám csak szájjal közelget, és ajakival tisztel engemet: az ő szivek pedig én tőlem távol vagyon.
Matt.15.9 | Hijába tisztelnek peig azzal is, ha olly tudományokat tanitnak, mellyek embereknek parancsolatai.
Matt.15.10 | És a sokaságot előszólitván, monda nékik: Halljátok és értsétek meg:
Matt.15.11 | Nem fertézteti meg az embert, a mi a száján megyen bé, hanem a mi kijön a száján, az fertézteti meg az embert.
Matt.15.12 | Akkor hozzá járulván az ő tanitványai, mondának néki: tudodé hogy a Farizeusok e beszédet hallván, megbotránkoztak?
Matt.15.13 | Ő pedig felevén, monda: Minden plánta, valamellyet az én mennyei Atyám nem plántált kiszaggattatik.
Matt.15.14 | Hagyjátok békét nékik: a vakoknak vak vezérek; ha pedig a vak vezeti a vakot, mind ketten a verembe esnek:
Matt.15.15 | Felelvén pedig Péter, monda néki: Magyarázd meg nékünk e példabeszédet.
Matt.15.16 | Jézus pedig monda: Mégis értelem nélkül vagytok é ti is?
Matt.15.17 | Nem tudjátok é, hogy a mi az ember száján bémegyen a gyomorba megyen, és onnét az árnyákszákbe vettetik?
Matt.15.18 | A mellyek pedig az embernek szájából származnak, a szivből jőnek ki, és azok fertéztetik meg az embert:
Matt.15.19 | Mert az embernek szivéből jőnek ki a gonosz gondolatok, gyilkosságok, paráznaságok, tisztátalanságok, lopások, hamis tanuságok, rágalmazások.
Matt.15.20 | Ezek fertéztetik meg az embert: mosdatlan kézzel enni pedig, nem fertézteti meg az embert.
Matt.15.21 | És kimenvén onnét Jézus méne Tirusnak és Sídonnak tartományába.
Matt.15.22 | És ímé egy asszony, Kanaán nemzetéből való, onnét a tartományból kijövén kiált vala, mondván néki: Könyörülj rajtam Uram, Dávidnak Fija! az én leányom az ördögtől gonoszul gyötretik.
Matt.15.23 | Jézus pedig semmit nem felele néki. Akkor az ő tanitványai járulván ő hozzá, kérik vala őtet, mondván: Bocsásd el őtet, mert utánunk kiált.
Matt.15.24 | Ő pedig felevén, monda: Nem bocsáttattam én, hanem az Izráel házának elveszett juhaihoz.
Matt.15.25 | És az asszony eljövén, térdre esék Jézus előtt, és monda: Ura, légy segitségül nékem!
Matt.15.26 | Ő pedig felelvén, monda: Nem jó a fiaknak kenyereket elvenni, és az ebeknek vetni.
Matt.15.27 | Az asszony pedig monda: Úgy vagyon Uram! mert a kölykök a morzsalékokkal élnek, mellyek hullanak az ő Uruknak asztalokról.
Matt.15.28 | Akkor felevén Jézus, monda néki:Óh asszony nagy a hited! legyen a te kivánságod szerint. És meggyógyula az ő leánya a szempillantástól fogva.
Matt.15.29 | És elmenvén onnét jé elmenvén onnét Jézus, méne a Galilea tengere mellé, és mikor a hegyre felment volna, ott leüle.
Matt.15.30 | Akkor méne ő hozzá nagy sokaság, és visznek vala velek sok sántákat, vakokat, némákat, csonkákat, és sok egyébféle betegeket: és a Jézus lábai elé helyhezteték azokat, és meggyógyitá azokat.
Matt.15.31 | Úgyannyira hogy a sokaság álmélkodnék rajta, mikor látnák, hogy a némák szólnak, a csonkák épülnek, a sánták járnak, a vakok látnak: és dicsőitik az Izráel Istenét.
Matt.15.32 | Jézus pedig az ő tanitványit előszólitván, monda: A sokaságot igen keserülöm: mert immár harmadnapja hogy velem vagynak, és nincsen mit egynek, és nem akarom őket éhen elbocsátani, hogy az úton el ne fogyatkozzanak.
Matt.15.33 | Akkor mondának néki az ő tanitványai: Hol vehetünk e pusztában annyi kenyeret; hogy megelégitsünk ennyi sokaságot?
Matt.15.34 | Monda azért nékik Jézus: Hány kenyeretek vagyon? Azok pedig mondának. Hét és valami kevés halacskáink.
Matt.15.35 | Akkor parancsolá, hogy a sokaság letelepednék a földön.
Matt.15.36 | És a hét kenyereket és a halakat kezébe vévén, mikor hálákat adott volna, megszegé, és adá az ő tanitványainak, a tanitványok pedig a sokaságnak.
Matt.15.37 | És evének mindnyájan és megelégedének; és felszedvén a maradék darab kenyereket megtöltenek hét kosárokat.
Matt.15.38 | Valának pedig akik ettek vala, négyezeren, asszonyok nélkül és gyermekek nélkül.
Matt.15.39 | És elbocsátván a sokaságot, hajóba üle, és méne Magdalának határiba.

Matt.16.1 | És mikor hozzá mentek volna a Farizeusok és Sadduczeusok, kisértvén kérék őtet, hogy valami mennyei jelt mutatna nékik.
Matt.16.2 | Ő pedig felevén, monda nékik: Mikor estve vagyon, ezt mondjátok: Tiszta idő lészen: mert az ég veres.
Matt.16.3 | És reggel ezt mondjátok: Ma háborgó idő lészen: mert a szomorú ég veres, Képmutatók, az égnek ábrázatja között választást tudtok tenni, az időknek pedig jeleit nem tudjátok megválasztani!
Matt.16.4 | E gonosz és parázna nemzetség jelt kiván, de nem adatik néki egyéb jel, hanem Jónás Prófétaűának ama jele. És őket elhagyván, elméne.
Matt.16.5 | És mikor az ő tanitványai elmentek volna a tulsó partra, elfelejtettek kenyeret vinni magokkal
Matt.16.6 | Jézus pedig monda nékik: Meglássátok, hogy megoltalmazzátok magatokat a Farizeusoknak és Sadduczeusoknak kovászoktól.
Matt.16.7 | Ők pedig magok között vetekednek vala mondván: Kenyereket nem vettünk velünk.
Matt.16.8 | Jézus pedig mikor ezt megértette volna, monda nékik: Mit háborogtok magatokban, kicsinyhitüek hogy kenyereket nem vettetek é?
Matt.16.9 | Mégis nem értitek é, és nem emlékeztek é meg amaz öt kenyerekről, mellyekkel ötezer ember elégitettem meg, és hány kosárt töltöttetek meg?
Matt.16.10 | Sem pedig a hét kenyerekről, mellyekkel négyezer embert elégitettem meg, és hány kosárt töltöttetek meg ?
Matt.16.11 | Hogy vagyon ez, hogy nem értitek; hogy én nem szóltam néktek a kenyér felől, mikor azt mondám, hogy megoltalmaznátok magatokat a Farizeusnak és Sadduczeusoknak kovászoktól?
Matt.16.12 | Akkor megérték, hogy nem arról szólott volna, hogy a kenyérnek kovászától, hanem a Farizeusoknak és Sadduczeusoknak tudományoktól oltalmaznák meg magokat.
Matt.16.13 | Mikor pedig ment volna Jézus Czézárea tartományába, melly Filep Királyról neveztetik, megkérdé az ő tanitványit mondván: Engemet embernek Fiját, kinek mondanak lenni az emberek?
Matt.16.14 | Azok pedig mondának: Némellyek keresztelő Jánosnak, némellyek Illyésnek, némellyek pedig Jeremiásnak, vagy egynek a Próféták közzűl.
Matt.16.15 | És monda nékik: Ti pedig kinek mondotok lenni engemet?
Matt.16.16 | Felelvnén pedig Simon Péter, monda: Te vagy ama Krisztus, az élő Isten fija.
Matt.16.17 | Akkor felelvén Jézus monda néki: Boldog vagy Simon, Jónásnak fija; mert a test és vér ezeket nem jelentette néked, hanem az én mennyei Atyám.
Matt.16.18 | De én is mondom néked: Te Péter vagy, és ezen kősziklára épitem fel az én Anyaszentegyházamat; és a pokol kapui nem vehetnek azon diadalmat.
Matt.16.19 | És néked adom a mennyek országának kulcsait: és valamit megkötözéndesz e földön, a mennyekbe is kötözve lészen, és valamit megoldándasz e földön, a mennyekben is oldozva lészen.
Matt.16.20 | Akkor megtiltá az ő tanitványitól, hogy ne mondanák senkinek, hogy ő volna ama Jézus Krisztus.
Matt.16.21 | Az időtől fogva kezdé Jézus jelenteni az ő tanitványinak, hogy néki Jérusalembe kellene menni, és sokat szenvedni a Vénektől és a Papifejedelmektől, és az Irástudóktól, és megöletnie, de harmadnap feltámadnia.
Matt.16.22 | És Péter megfogván Jézust, kezde dorgálni, mondván: Kedvezz Uram magadnak, ne legyen ez tenéked!
Matt.16.23 | Jézus pedig fordulván, mondá Péternek: Távozzál tőle Sátán, bántásomra vagy nékem: mert nem vagy bölcs az isteni dolgokban, hanem az emberi dolgokban.
Matt.16.24 | Akkor monda Jézus az ő tanitványinak: Ha ki akar én utánnam jőni, tagadja meg magát és vegye fl az ő kersztét, és kövessen engemet;
Matt.16.25 | Mert valaki akarja az ő életét megtartani, elveszti azt; és valaki elveszti az ő életét én érettem, megtalálja azt.
Matt.16.26 | Mert mit használ valakinek, ha mind e világot megnyeri is, ha az ő lelke megbüntettetik? Vagy micsoda váltságot adhat akárki is az ő lelkéért.
Matt.16.27 | Mert az embernek Fija eljövendő az ő Attyának dicsőségével, az ő Angyalival; és akkor megfizet mindennek az ő cselekedetei szerint.
Matt.16.28 | Bizony mondom néktek, vagynak némellyek ezek közzűl, kik itt állanak, kik a halált meg nem kóstolják addig, míg nem látándják az embernek Fiját menni az ő országába.

Matt.17.1 | Azután hatodnappal maga mellé veé Jézus Pétert, Jakabot és Jánost, ennek attyafiát, és felvivé őket magokat egy nagy magas hegyre.
Matt.17.2 | És elváltozék előttök, és fényes vala az ő orczája mint a nap, és az ő ruhái fejérek valának mint a fényesség:
Matt.17.3 | És ímé láták Mózest és Illyért beszélni ő vele.
Matt.17.4 | Felelvén pedig Péter, monda Jézusnak: Uram! jó nékünk itt laknunk; ha akarod csináljunk itt három hajlékokat, néked egyet, Mózesnek egyet, és Illyésnek egyet.
Matt.17.5 | És mikor ezeket mondaná Péter, ímé nagy fényes köd körülvevé őket, és ímé a ködből szó adaték, ezt mondván: Ez az én szerelmes Fiam, kiben én megnyugodtam: őtet hallgassátok.
Matt.17.6 | És mikor ezt hallották volna a tanitványok, arczal leesének, és igen megrémülének.
Matt.17.7 | Akkor Jézus járulván illeté őket és monda: Keljetek fel és ne féljetek.
Matt.17.8 | Felemelvén pedig szemeiket, senkit nem látának, hanem csak Jézust egyedül.
Matt.17.9 | És mikor leszállottak volna a hegyről, megparancsolá nékik Jézus, mondván: Senkinek ne mondjátok a mit láttatok, mígnem az embernek Fija a halálból feltámad.
Matt.17.10 | Akkor megkérdék őtet az ő tanitványai, mondván: Mit mondanak tehát az Irástudók, hogy szükség először eljőni Illyésnek?
Matt.17.11 | Jézus pedig felelvén, monda nékik: Illyés bizony eljő először, és mindeneket helyekre állat.
Matt.17.12 | De mondom néktek, hogy Illyés immár eljött, kit nem esmérének, hanem azt mívelék vele, a mit akarának: ezenképen következik, hogy az embernek Fija is szenvedjen ő tőlök.
Matt.17.13 | Akkor megértették a tanitványok, hogy Kereztelő János felől mondotta volna ezeket nékik.
Matt.17.14 | És mikor mentek volna a sokaság közzé, méne ő hozzá egy ember, leesvén az ő lábai előtt.
Matt.17.15 | És ezt mondván: Uram könyörülj az én fiamon: mert kórságos és nyavalyásul gyötretik, mert gyakorta esik a tűzbe, gyakorta vizbe.
Matt.17.16 | És vittem őtet a te tanitványidnak, és nem gyógyithatták meg őtet.
Matt.17.17 | Felelvénpedig Jézus, monda: Óh hitetlen és elfordult nemzetség! Valyon meddig lészek veletek? Valyon meddig szenvedlek titeket? Hozzátok id előmbe a beteget.
Matt.17.18 | És megdorgálá Jézus az ördögöt, és kiméne belőle; és meggyógyula a gyermek az órától fogva.
Matt.17.19 | Akkor a tanitványok Jézushoz menvén külön, mondának néki: Miért hogy mi ki nem űzhettük azt?
Matt.17.20 | Jézus pedig monda nékik: A ti hitetlenségtekért. Mert bizony mondom néktetk, hogyha annyai hitetek volna mint a mustármag, ezt mondanátok im ez hegynek: menj el innét amoda, elmenne, és semmi lehetetlen nem volna néktek.
Matt.17.21 | Ez illyen ördögnek neme pedig ki nem űzethetik, hanem könyörgés és böjtölés által
Matt.17.22 | És mikor Galileában volnának, monda Jézus a tanitványoknak: Az embernek Fija jövendőbe adattatik az emberek kezébe.
Matt.17.23 | És megölik őtet: de harmadnapon feltámad. És felette igen megszomorodának.
Matt.17.24 | Mikor pedig jutottak volna Kapernaumba, menének Péterhez, a kik a két drakhmát szedik vala, és mondának: A ti Mestertek nem adja é meg magáért a két drakhmát.
Matt.17.25 | És felele Péter: Igenis meg szokta adni. És mikor bément volna a házba, elővevé őtet Jézus mondván: Mint tetszik néked Simon? E földi Királyok kiktől szoktak venni adót vagy rovást? Az ő fijaiktól é, vagy idegenektől?
Matt.17.26 | Monda néki Péter: Az idegenektől. És monda néki Jézus: Tehát a fiak szabadosok.
Matt.17.27 | De hogy őket meg ne botránkoztassuk, menj el a tenger mellé, vesd bé a horgot; és a melly hal először reá akad, vond ki és annak száját felnyitván. találsz abban egy státert, és azt kivévén adjad nékik én érettem és te éretted.

Matt.18.1 | Azion órában menének ő hozzá a tanitványok, ezt mondván: Kicsoda nagyobb a mennyeknek országában?
Matt.18.2 | És mikor egy kis gyermeket szólitott volna elő Jézus, állatá azt ő eleikbe.
Matt.18.3 | És monda: Bizony mondom néktek, ha meg nem tértek, és ollyanok nem lésztek mint a kis gyermekek, semmiképen nem mentek bé a mennyeknek országába.
Matt.18.4 | Valaki azért megalázza magát mint e kis gyermek, az a mennyeknek országában a legnagyobb.
Matt.18.5 | És valaki egy illyen gyermeknek gondját felveszi az én nevemben, nékem veszi fel gondomat.
Matt.18.6 | Valaki pedig megbotránkoztat valamellyet a kicsinyek közzűl, kik én bennem hisznek, jobb volna annak, hogy egy malomkövet kötnének a nyakára, és a tengernek méylségébe vettetnék.
Matt.18.7 | Jaj e világnak a botránkozások miatt: Mert szükség hogy legyenek a botránkozások; de jaj az embernek, a ki által a botránkozás lészen.
Matt.18.8 | Hogyha pedig a te kezed vagy lábad azt míveli, hogy megbotránkozzál, vágd el azokat, és vessed el tőled: jobb néked az életre menned sántán vagy csonkán, hogynem két kézzel vagy két lábbal az örök tűzre vettetned.
Matt.18.9 | És ha a te szemed azt míveli, hogy megbotránkozzál, vájd ki azt és vesd el tőled; jobb néke egy szemmel menned az életre, hogynem két szuemmel vettetned a gyehennának tüzére.
Matt.18.10 | Meglássátok, hogy valamellyet e kicsinyek közzűl meg ne utáljatok: mert mondom néktek, hogy ezeknek Angyalai, mennyországban mindnekor látják az én mennyei Atyámnak orczáját.
Matt.18.11 | Mert az embernek Fija azért jött, hogy megtartsa azt, a mi elveszett vala.
Matt.18.12 | Mint tetszik néktek: Ha valamelly embernek száz juha vagyon; és egy elveszénd azok közzűl, nemde nem elmegyen é a hegyre és nem keresi é az elveszett juhot, elhygaván a kilenczven-kilenczet?
Matt.18.13 | Hogyha pedig megtalálándja azt, bizony mondom néktek, hohy inkább örül azon, hogynem a kilenczvenkilenczen, mellyek el nem vesztek.
Matt.18.14 | Ezenképen nem akaja a ti mennyei Atyátok, hogy elvesszen egy is e kicsinyek közzűl.
Matt.18.15 | Ha pedig vétkezik te ellened a te atyádfia, menj el, és dorgáld meg őtet csak te közötted és ö közötte; hogyha szódat fogadja, megnyerted a te atyádfiát.
Matt.18.16 | Ha pedig szódat nem fogadja, végy melléd még egy vagy két embert, hogy két vagy három bizonyságnak szájából az egész dolog bizonyosabb legyen.
Matt.18.17 | Hogyha azoknak sem fogadja szavokat, mond meg a Gyülekezetnek; hogyha a Gyülekezetnek sem fogadja szavát, legyen te előtted olyan, mint valamelly Pogány vagy fukar.
Matt.18.18 | Bizony mondom néktek: Valakiket megkötöztök a földön: mennyben is kötözve lészenk: és valakiket megoldoztok e földön, oldozva lésznek mennyben is.
Matt.18.19 | Ismét mondom néktek: Ha kettő ti közzületek egy akaraton lészen e földön, minden, valamit kérnek, megadatik nékik az én mennyei Atyámtól;
