Lev.1.1 | Szólítá az Úr Mózest, és beszéle ő vele a gyülekezet sátorából, ezt mondván:
Lev.13.40 | Hogyha pedig az embernek haja mindenestől elhull, az ollyan ember kopasz, tiszta az.
Lev.13.41 | Ha pedig valamelly embernek elől hull el haja, az is kopasz, és tiszta az.
Lev.13.42 | Hogyha pedig az embernek mindenestől fogva való kopaszságán, vagy az elől való kopaszságán fejér verhenyős színű szeplő támad, az nem egyéb, hanem annak kopaszságán indult poklosság.
Lev.13.43 | Annakokáért nézze meg azt a Pap, és ha annak a szeplőnek dagadása fejér verhenyős színű a kopaszságon, és ollyannak tetszik mint a bőrön való poklosság:
Lev.13.44 | Az ollyan ember poklos, tisztátalan; mindenestől tisztátalannak ítélje azt a Pap, mivelhogy az ő fején vagyon az ő poklossága.
Lev.13.45 | A melly emberen pedig a poklosság vagyon, ruhája megszagatva legyen, mezítelen fővel járjon, a bajuszát béfedezze, és ezt kiáltsa: Tisztátalan vagyok, tisztátalan vagyok.
Lev.13.46 | Mind addig tisztátalan legyen, míg rajta lészen a poklosság, mert tisztátalan az; csak ő maga lakjék egyedűl a táboron kivűl.
Lev.13.47 | Viszontag mikor valami ruhán poklosság vagyon, mint vagy gyapjú vagy len ruhán;
Lev.13.48 | Vagy len, vagy gyapjú fonalból szőtt ruhának mellékfonalán vagy bélfonalán, akár valmai bőrön, vagy bőrből csinált eszközön legyen.
Lev.13.49 | És az a poklosság lejénd valamelly ruhán, zöld, vagy verhenyős színű, vagy bőrön, vagy a mellékfonalon, vagy a bélfonalon, vagy valami bőrből csinált eszközön, poklosság az, mutassák meg a Papnak.
Lev.13.50 | És mikor megnézéndi a Pap azt a poklosságot, rekessze külön azt hetednapig.
Lev.13.51 | Azután mikor megnézi a poklosságot hetednapon, ha elterjedt a poklosság azon a ruhán, vagy mellékfonalon, vagy bélfonalon, vagy bőrön, vagy akármi bőrből csinált eszközön, megemésztő poklosság az, tisztátalan állat az:
Lev.13.52 | Annakokáért megégesse azt a ruhát, akár gyajúból, akár lenből való mellékfonalat vagy bélfonalat, akár bőrből csinált eszközt, mllyen e poklosság lejénd: mert megemésztő poklosság az, megégettessék azért.
Lev.13.53 | Hogy ha mikor a Pap megnézi, a poklosság el nem terjedt a ruhán, vagy mellékfonalon, vagy bélfonaton, vagy bőrből csinált eszközön.
Lev.13.54 | A Pap parancsolja meg, hogy mossák meg azt hetednapig, a min a poklosság lejénd, azután ismét rekessze el azt másodszor is.
Lev.13.55 | Minekuttána pedig a Pap megnézi azt a mosás után, ha a poklosság el nem változtatta színét, ha el nem terjed is a poklosság: de ugyan tisztátalan állat az, tűzzel égesd meg azt: megemésztő poklosság az, akár az első részén legyen a ruhának, akár a hátulsó részén.
Lev.13.56 | Hogyha pedig minekutánna a Pap megnézte azt, és a poklosság megkisebbedet a mosás után, tehát azt a részt szakassza el attól a ruhától, vagy bőrtől, vagy mellék vagy bélfonaltól.
Lev.13.57 | Hogyha mégis megtetszik vagy a ruhán, vagy a mellék és bélfonalon, vagy bérből csinált eszközön, tehát megújult poklosság az: tűzzel égesd meg azt, valamin az a poklosság lejénd.
Lev.13.58 | Az a ruha pedig, vagy mellékfonal, vagy bélfonal, vagy akármi bőrből csinált eszköz, minekutánna megmosod, ha eltávozik róla a poklosság, mosd meg másodszor is, és tiszta lészen.
Lev.13.59 | Ez a poklosságról való törvény, melly poklosság lejéndakár gyapjúból, akár lenből csinált mellékfonalon, vagy bélfonalon, vagy akármi bőrből csinált eszközön, hogy megesmértessék az, tisztának vagy tisztátalannak lenni.

Lev.14.1 | Szóla ismét az Úr Mózesnek, mondván:
Lev.14.2 | E legzen a poklos embernek törvénye, az ő metisztulásának napján, hogy vigyék a Paphoz.
Lev.14.3 | A Pap pedig menjen ki a táboron kvűl, és minekutánna megnézéndi a Pap, ha meggyógyult a poklos a poklosságból:
Lev.14.4 | Parancsolja meg a Pap, hogy a megtisztulandó ember vegyen két eleven tiszta madarakat, czédrusfát, veres gyapjat és izsópot.
Lev.14.5 | Azután parancsolja meg a Pap, hogy az egyik madarat ölje meg, és annak vérét vegye egy cserépedénybe, mellyben legyen élőforrásnak vize.
Lev.14.6 | A másik eleven madarat vegye, és a veres gyapjat, a czédrusfát, és az izsópot, és mártsa bé azokat mind az eleven madárral egybe a megöletett madárnak élőforrás vizébe vett vérébe.
Lev.14.7 | És illy módon hitse meg a megtisztulandó embert hétszer, és minekutánna tisztának ítéli az embert, bocsássa el az eleven madarat a mezőre szabadon.
Lev.14.8 | Azután a megtisztulandó ember, megmosván az ő ruháit, és elberetválván minden szőrit, mosódjék meg vízben, és illyen módon tiszta lészen, és azután menjen bé a táborba; de az ő sátora kivűl maradjon hetednapig.
Lev.14.9 | Hetednapon beretválja el minden szőrit, fejéről, álláról, szemöldökéről, és egészen valahol mi szőr vagyon rajta beretválja el, és megmosván ruháit, mossa meg testét is vízzel, és azután tiszta lészen.
Lev.14.10 | Nyolczadnapon vegyen két ép bárányokat, és egy nőstény esztendős ép bárányt, és olajjal megelegyíttetett egy Efa lisztnek három tizedét Minhának, és egy Lóg olajt.
Lev.14.11 | A Pap pedig, a ki a poklost megtisztítja, állassa a megtisztulandó embert mind ezekkel az Úr eleibe, a gyülekezet sátorának ajtaja eleibe.
Lev.14.12 | És a Pap az egyik bárányt vévén áldozza meg azt a vétekért, mind a Lóg olajjal egybe, és azokat ingatván mutogassa az Úr előtt:
Lev.14.13 | A bárányt pedig ott ölje meg, a hol a bűnért való áldozatnak és az egészen megégetendő áldozatnak barmát meg szokták ölni, a szent helyen: mert miképen a bűnért, azonképen a vétekért való áldozat a Papé: szentséges állat az.
Lev.14.14 | És vegyen a Pap a bűnért való áldozatnak vérében, és kenje meg azzal a megtisztulandó ember jobb fülének gombáját, és az ő jobbkezének hüvelykét, és jobblábának nagyobbik ujját.
Lev.14.15 | Hasonlatosképen vegyen az egy Lóg olajban, és töltse a Pap az ő balkezébe.
Lev.14.16 | És a Pap az ő jobbkezének ujját az ő balkezében való olajba mártván, abból hitsen az ő ujjával hétszer az Úr előtt.
Lev.14.17 | A maradék olajból, melly az ő kezében vagyon, kenje meg a Pap a megtisztulandó embernek jobbfüle gombáját, és jobbkezének hüvelykét, és jobblábának nagyobbik ujját, a vétekért való áldozatnak vérén felűl.
Lev.14.18 | A mi pedig megmarad a Pap kezében való olajban, töltse a megtisztulandó embernek fejére: így tisztítja meg azt a Pap az Úr előtt.
Lev.14.19 | Azután a Pap áldozzék a bűnért, és tisztítsá meg az t a ki az ő tisztátalanságából akkor tisztíttatik: azután ölje meg az egészen megégetendő áldozatra való barmot.
Lev.14.20 | És a Pap áldozza meg azt egészen égőáldozatúl, mind a Minhával egybe az oltánron, és minekutánna megtisztítja azt a Pap, tiszta lészen.
Lev.14.21 | Hogyha a megtisztulandó szegény lejénd, és ezeknek szerét nem teheti, vegyen egy bárányt a vétekért való áldozatra és az Úr előtt való megmutogatásra, hogy annak tisztulásáért áldozzék a Pap, és olajjal elegyíttetett zsemlyelisztnek egy Efának tized részét, Minhának áldozatjára, és egy Lóg olajt.
Lev.14.22 | És két gerliczét, vagy két galambfiakat, a mint annak ereje léjend, egyiket bűnért való áldozatra, a másikat egészen megégetendő áldozatra.
Lev.14.23 | Mellyeket a tisztulandó ember, az ő tisztulásának nyolczadnapján vigyen a Papnak, a gyülekezet sátorának ajtajához az Úr eleibe.
Lev.14.24 | És a Pap vegye a vétekért való áldozat bárányát, és az egy Lóg olajt, és azokat ingatván a Pap mutogassa meg az Úr előtt.
Lev.14.25 | És ölje meg a vétekért való áldozatnak bárányát, és vegyen a Pap a vétekért való áldozatnak vérében és kenje meg azzal a megtisztulandónak jobbfüle gombáját, és jobbkezének hüvelykét, és jobblábának nagyobbik ujját.
Lev.14.26 | Az olajból is töltsön a Pap az ő balkezébe.
Lev.14.27 | És a Pap az ő jobbkezének ujjával az olajból, melly az ő balkezében vagyon, hétszer hitsen az Úr előtt.
Lev.14.28 | Azután a Pap az olajjal, melly az ő kezében lejénd a megtisztulandó jobbfülének gombáját, jobbkezének hüvelykét, és jobblábának nagyobbik ujját kenje meg a vétekért való áldozat vérének helyén.
Lev.14.29 | A mi pedig megmarad abban, a mi a Papnak kezében lejénd, töltse a tisztulandónak fejére, annak az Úr előtt való megtisztulására.
Lev.14.30 | Annakutánna a gerliczének vagy a galambfiúnak készítse el egyikét, mellyeket az ő tehetsége szerint szerezhetett.
Lev.14.31 | Azokból, mondom, a mellyeknek szerét tehette, az egyiket bűnért való áldozatra, a másikat egészen megégetendő áldozatra, a hozzátartozó Minhával egybe, és illyen módon tisztítsa meg a Pap a megtisztulandó embert az Úr előtt.
Lev.14.32 | E legyen a poklos embernek törvénye, a ki szerét nem teheti azoknak az először megmondott állatoknak, az ő megtisztulásában.
Lev.14.33 | Szóla ismét az Úr Mózesnek és Áronnak:
Lev.14.34 | Mikor jutándotok a Kanaán földébe, mellyeet én adok néktek örökségül, és a ti birodalmatoknak tartományában valamelly házat megveréndek poklosságnak ostorával.
Lev.14.35 | Az ember a ki a ház, elmenvén mondja meg azt a Papnak, ezt mondván: Mint a poklosság, ollyant látok az én házamban.
Lev.14.36 | És parancsolja meg a Pap, hogy tisztítsák meg a házat, mindenekelőtte a Pap oda menne a poklosságnak megnézésére, hogy meg ne fertéztessék valami a házban lejénd, azután menjen bé a Pap a háznak megnézésére.
Lev.14.37 | És minekutánna megnézendi a poklosságot, hogyha a háznak falain való poklosság lejénd fekete, zöld, vagy verhenyős, és annak színe alább esett a falnál:
Lev.14.38 | Menjen ki a Pap a házból a háznak ajtajára, és zárja bé azt hetednapig.
Lev.14.39 | Azután menjen oda a Pap hetednapon, és minekutánna megtekinténdi, ha a poklosság elterjedett a háznak falain:
Lev.14.40 | Parancsolja meg a Pap, hogy vegyék ki a köveket a falból, mellyeken a poklosság vagyon, és vessék azokat a városon kivűl tisztátalan helyre.
Lev.14.41 | A házat pedig parancsolja, hogy vakarják meeg belúl mind körűl, és a melly port le vakartak, töltsék a városon kivűl tisztátalan helyre.
Lev.14.42 | Azután tegyenek más köveket a kivétetett kövek helyébe: e képen a házat is más sárral tapasszák meg.
Lev.14.43 | Hogyha a poklosság ismét megtér a házban, minekutánna a köveket kivette, és minekutánna azt megvakarván, másodszor megtapasztotta:
Lev.14.44 | A Pap bémenvén nézze meg hogyha a poklosság mind az egész házon elterjedett; megemésztő poklosság vagyon abban és tisztátalan.
Lev.14.45 | Azért rontsák el a házat, annak köveit és fáit, és a háznak minden sárát, és vigyék ki a városon kivűl tisztátalan helyre.
Lev.14.46 | A ki pedig bémenénd a házba az idő alatt, míg bézárva hagyta a Pap állani, tisztátalan lészen estvéig.
Lev.14.47 | És a ki hálánd abban a házban, mossa meg ruháit: hasonlóképen a ki ejéndik abban a házban, mossa meg az ő ruháit.
Lev.14.48 | Hogyha pedig bémenénd a Pap és megnézvén látja, hogy nem nevekedett a poklosság a házon, minekutánna azt újonnan megtapasztották: tisztának ítélje a Pap azt a házát; mert meggyógyúlt annak poklossága.
Lev.14.49 | Annakokáért vegyen a háznak megtisztítására két madarat, czédrusfát, veres gyapjat és iszópot.
Lev.14.50 | És a madárnak egyikét ölje meg, és annak vérét töltse cserépedénybe, mellyben forrásvíz legyen.
Lev.14.51 | Azután vegye a czédrusfát, az iszópot és a veres gyapjat a másik eleven maárral együtt, és mártsa bé ezeket a megölt madárnak vérébe és a forrásbízbe, és a házat hitse meg azzal hétszer.
Lev.14.52 | És illyen módon minekutánna megtisztítja a házat a madárnak vérével, a vízzel és a másik eleven madárral, a czédrusfával, az izsóppal és a veres gyapjúval:
Lev.14.53 | Bocsássa el a másik eleven madarat a városon kivűl a mezőre, és minekutánna megtisztítja a házat, tiszta lészen.
Lev.14.54 | Ez a törvény minden poklosságról és varról.
Lev.14.55 | A ruhának is, és a házának poklosságáról.
Lev.14.56 | A fekélyről, sennyedékről és szeplőről.
Lev.14.57 | Hogy megtudhassák mit kelljen cselekedni, és mikor kelljen valakit tisztátalannak vagy tisztának itélni. Ez a poklosságról való törvény.

Lev.15.1 | Szóla ismét az Úr Mózesnek és Áronnak, ezt mondván:
Lev.15.2 | Szóljatok az Izráel fijainak, és mondjátok meg nékik: Valakinek testéből az ő féjfiúi magva elfoly, tisztátalan az.
Lev.15.3 | E pedig annak tisztátalansága a folyásban, tudniillik ha az őtestéből mintegy nyál kiszármazik az ő féjfiúi magva, vagy megreked az ő teste a folyás miatt, ez annak tisztátalansága.
Lev.15.4 | Minden ágy, a mellyen fekszik az illyen ember, és minden, valamire ül, tisztátalan lészen.
Lev.15.5 | Valaki illeténdi annak ágyát, megmossa ruháit, minekutánna magát megmosta vízzel, és legyen tisztátalan estvéig.
Lev.15.6 | És a ki valamire ülénd, mellyen ült az illyen ember, megmosván az ő ruháit, maga is megmosódjék vízzel, és legyen tisztátalan estvéig.
Lev.15.7 | Viszontag a ki illeti ennek testét, megmosván ruháit, megmosódjék vízzel, és tisztátalan legyen estvéig.
Lev.15.8 | Mikor ismét valamelly tiszta emberre pökénd ez illyen ember, megmosván ruháit, mosódjék meg vízzel az, és tisztátalan legyen estvéig.
Lev.15.9 | Minden szék, valamellyen ülénd ez, tisztátalan legyen.
Lev.15.10 | Valaki illeti azt, a min ez illyen ember feküldt, tisztátalan legyen estvéig, és a ki azokat hordozándja, megmosván ruháit megmosódjék vízzel, és tisztátalan legyen estvéig.
Lev.15.11 | Valakit illeténd ez illyen ember mosdatlan kézzel, az megmosván ruháit maga is megmosódjék vízzel, és tisztátalan legyen estvéig.
Lev.15.12 | A melly cserépedényt ez illyen ember illet, eltörettessék; a faedény pedig megmosattassék vízzel;
Lev.15.13 | Mikor pedig megtisztúl ez illyen ember a folyásból, hét napot számláljon az ő megtisztulására, és mossa meg az ő ruháit; azután mossa meg testét is tiszta vízzel, hogy legyen tiszta.
Lev.15.14 | Nyolczadnapon pedig vegyen két gerliczét, vagy két galambfiat, és elmenvén az Úr eleibe, a gyülekezet sátorának ajtaja eleibe, adja azokat a Papnak.
Lev.15.15 | És azoknak egyikét a Pap áldozza meg a bűnért, a másikat egészen égőáldozatúl; és illyen módon megtisztítja azt a Pap az Úr előtt az ő folyásától.
Lev.15.16 | Mikor valakitől elmenénd a féjfiúi mag, mossa meg az magát vízzel mindenestől: és tisztátalan legyen estvéig.
Lev.15.17 | És valamelly ruhára, vagy bőrre eséndik a féjfiúi mag, az megmosattassék vízzel, és tisztátalan legyen estvéig.
Lev.15.18 | Az asszony is a kivel ez illyen férjfiú hálánd, megmossa magát vízzel mind a féjfiúval egybe, és estvéig tisztátalanok legyenek.
Lev.15.19 | Mikor az asszony vérnek folyását szenvedi az ő testében, hetednapig külön legyen az ő férjétől, és valaki illeténdi azt, tisztátalan lészen estvéig.
Lev.15.20 | És valamin hál az asszony a vér folyásának idején, tisztátalan legyen az; azoképen valamin ülénd tisztátalan legyen az.
Lev.15.21 | És valaki annak ágyát illeténdi, megmosván ruháit, mossa meg vízzel magát is, és tisztátalan legyen estvéig.
Lev.15.22 | Valaki illeténd akármi eszközt, mellyen ült az asszony, megmosván ruháit, megmosódjék vízzel: és tisztátalan lészen estvéig.
Lev.15.23 | Ha valami eszköz lejénd az ágyon vagy a széken, mellyen az asszony ült: ha azt valaki illeténdi, tisztátalan legyen estvéig.
Lev.15.24 | Ha valaki azzal hálánd, és annak tisztátalansága reá ragadánd, tisztátalan legyen hetednapig; és minden ágy valamellyen feküldt tisztátalan lészen.
Lev.15.25 | Mikor az asszonyom, vagy a vérnek folyása sok napokon, a természet szerint való vérfolyásnak ideje felett, avagy az ő vérfolyástól való tisztulásánál tovább: mind a vérfolyásnak idejéig tisztátalan lészen, mint szintén a természet szerint való vérfolyásnak idején.
Lev.15.26 | Minden ágy, valamellyen hál a vérfolyásnak egész idején, igaz ollyan legyen, mint a természet szerint való folyásnak idejében való ágya; és minden eszköz valamellyre ülénd, tisztátalan legyen, mint szintén a természet sezrint való tisztátalanságának idején.
Lev.15.27 | Valaki azokat illeténdi, tisztátalan lészen; azért megmosván az ő ruháit, megmosódjék vízzel, és tisztátalan legyen estvéig.
Lev.15.28 | Hogyha megtisztulánd a vérfolyástól: számláljon hét napot, azután legyen tiszta.
Lev.15.29 | Nyolczadnapon azért vegyen két gerliczét vagy két galambfiat, és vigye azokat a Papnak, a gyülekezet sátorának ajtaja eleibe.
Lev.15.30 | Annak az egyikét a Pap áldozza meg a bűnért, a másikát egészen megégetendő áldozatúl, és tisztítsa meg azt a Pap az Úr előtt az ő tisztátalan folyásától.
Lev.15.31 | Illyen módon tanítsátok az Izráel fijait, hogy a tisztátalanságtól megőrizzék magokat, hogy meg ne haljanak az ő tisztátalanságokban, ha valami módon megundokítják az én ő közöttök való szent hajlékomat.
Lev.15.32 | Ez annak törvénye, a kin a féjfiúi magnak folyása vagyon, vagy a kitől valami módon elmegyen a férjfiúi mag, melly által tisztátalanná lészen.
Lev.15.33 | És az asszonynak a ki a vérnek természet szerint való folyását szenvedi, és annak a ki vagy féjfiak, vagy asszonyok közzűl vérnek folyását szenvedi, és a férjfiúról a ki hálánd tisztátalan asszonnyal.

Lev.16.1 | Szóla az Úr Mózesnek, minekutánna meghalának az Áron két fijai, kik megholtak vala, mikor az Úrnak eleibe közelgettek volna.
Lev.16.2 | És monda az Úr Mózesnek: Szólj Áronnak a te atyádfiának, hogy ne menjen mindenkor a szent helyre a superláton belől, a kegyelem táblája eleibe, melly a ládán felűl vagyon, hogy meg ne haljon: mert felhőben jelenek meg a kegyelem tábláján felűl.
Lev.16.3 | Ez ajándékokkal menjen pedig bé a szent helyre Áron:egy gyermekded tulokkal bűnért való áldozatra, és egy kossal egészen megégetendő áldozatra.
Lev.16.4 | A lenből csinált szoros szent ruhát reá vegye, és az ő testén lenből csinált imegmás legyen, és lenből csinált övvel övedzék bé, és lenből csinált süveget tegyen fejébe; szentöltözet ez: azért vízzel mossa meg az ő testét, mikor azokba öltözik.
Lev.16.5 | Az Izráel fijainak gyülekezetétől pedig vegyen két kecskebakot bűnért való áldozatra, és egy kost egészen megégetendő áldozatra.
Lev.16.6 | És áldozza meg először Áron a maga bűnéért az ő tulkát, és tisztitsa meg mind magát, mind háznépét.
Lev.16.7 | Annakutánna vegye a két kecskebakot, és állassa azokat az Úr eleibe, a gyülekezet sátorának ajtaja eleibe.
Lev.16.8 | És Áron vessen sorsokat a két bakokra, és egyik sorsot az Úrért, a másikat az Azazel nevü hegyre bocsátandó bakért;
Lev.16.9 | És a melly bakra esett az Úr sorsa, áldozza meg azt Áron bűnért való áldozatra.
Lev.16.10 | A melly bakra pedig esett az Azazel hegynek sorsa, állassák azt elevenen az Úr eleibe, a népnek az által való megtisztítására, hogy elbocsássák az Azazel hegyre a pusztába.
Lev.16.11 | Mikor pedig Áron az ő tulkát az ő bűnéért való áldozatra felviszi, hogy mind magának, mind háznépének bűnét megtisztítsa: ölje meg az ő maga bűnéért való tulkot.
Lev.16.12 | És a temjénezőt tele vévén eleven szénnel az Úr előtt való oltárról, és az ő markát is tele merítvén jó illatra való drága megtört szerszámokkal, vigye bé azt superláton belől.
Lev.16.13 | És vesse a szénre az Úr előtt a jóillatra való szerszámokat, hogy béfedje a füstnek felhője a kegylemnek tábláját, melly a Bizonyságtételnek ládáján felül vagyon, és meg ne haljon Áron.
Lev.16.14 | Annakutánna a tuloknak vérében vévén, hintse meg az ő ujjával a kegyelem táblájának felső színét napkelet felé: a kegyelemnek táblája előtt pedig hétszer az ő ujjával hintsen abból a vérből.
Lev.16.15 | Annakfelette ölje meg a községnek bakját azoknak bűnökért való áldozatra, és vigye bé annak vérét a superláton belől, és a képen cselekedjék annak vérével mint a tuloknak vérével cselekedett; hintse meg azzal kegyelemnek tábláját, és a kegyelem táblája előtt is hintsen el abban.
Lev.16.16 | És illyen módon tisztítsa meg az Izráel fijainak tisztátlanságától a szent helyet, és minden bűnből való gonoszságtól: illyen módon cselekedjék a gyülekezet sátorával is, melly vagyon ő közötök az ő fertelmességek között.
Lev.16.17 | (Senki ne legyen pedig a gyülekezetnek sátorában, mikor Aron Pap bémegyen a szent helybe megtisztítsanak okáért, mind addig, mígnem kijő onnét: és megtísztítja Isten előtt magát, háznépét és az Izráelnek egész gyülekezét.)
Lev.16.18 | És minekutánna kijő az Úr előtt való oltárhoz, azt is tísztitsa meg, és vévén a tuloknak és a baknak vérből, kenje meg azzal az oltárnak szavait mind körűl.
Lev.16.19 | És hintse meg az oltárt is az ő ujjával hétszer abból a vérből; e képen tisztává teszi azt, és megszenteli az Izráel fijainak fertelmességétől.
Lev.16.20 | Minekutánna pedig elvégzi a szent helynek, a gyülekezet sátorának és az oltárnak megtisztítását, hozza elő az eleven bakot.
Lev.16.21 | És Áron mind a két kezét az eleven baknak fejére tévén, vallja meg azon az Izráel fijainak minden hamisságokat, és minden ő bűnökből való gonoszságokat, és minekutánna azokat annak a baknak fejére rakja, küldje el azt valami bizonyos embertől a pusztába:
Lev.16.22 | Mert elviszi az a bak magán minden ő hamisságokat a kietelen pusztába; és illyen módon bocsássa el a bakot a pusztába.
Lev.16.23 | Azután megnjen el Áron a gyülekezetnek sátorába, és vesse le a lenből csinált öltözetet, mellyet reá vett vala, mikor a szent helyre bémenne, és az öltözetet hagyja ott.
Lev.16.24 | Azután minekutánna megmossa magát vízzel a szent helyen, és az ő maga ruháit felvészi; kimenvén készítse el az ő egészen megégetendő áldozatját és a községet, hogy mind magát, mind a közösséget megtisztítsa.
Lev.16.25 | A bűnért való áldozatnak pedig kövérit égesse meg az oltáron.
Lev.16.26 | A ki pedig elvitte a bakot az Azazel hegyre, minekutánna megmossa ruháit és testét vizzel, azután bémehet a táborba.
Lev.16.27 | A bűnért való áldozatnak pedig tulkát és a bakot, mellyeknek vérek bűnből való tisztulásnak okáért bévitetett a szent helyre, vigye ki a táboron kivűl: és égessék meg tűzzel azoknak bőröket, húsokat és ganéjokat.
Lev.16.28 | A ki pedig ezeket megégeténdi, minekutánna megmossa ruháit és testét vizzel, bémehet a táborba.
Lev.16.29 | Ez örökké való szertartás legyen ti közöttetek: Hetedik hónapon, annak tizedik napján megsanyargassátok magatokat, és semmi dolgot ne tegyetek, se ti magatok, se pedig a ti közöttetek lakó jövevény;
Lev.16.30 | Mert e napon tisztít meg titket Áron, hogy tiszták legyetek: az Úr előtt megtisztultok minden bűneitekből.
Lev.16.31 | Nyugodalomnak szombatja legyen az ti néktek, melly napon megsanyargassátok magatokat, örökké megállandó rendtartás szerint.
Lev.16.32 | Ez illyen tisztítást pedig azt a Pap cselekedje, a kit az Úr megkent, és a kinek szolgálatját arra szentelte, hogy néki Papja legyen az ő attya helyébe, minekutánna öltözéndik a lenből csinált szent ruhákba.
Lev.16.33 | És megtisztítsa a szent helyet a gyülekezetnek sátorát, az oltárt: a Papokat is, és e gyülekezetnek minden sokaságát megtisztítsa.
Lev.16.34 | És ez ti közöttetek örökkévaló szertartás legyen, az Izráel fijainak minden bűnökből való megtisztulásokra minden esztendőben egyszer. És a képen cselekedék Mózes, mint az Úr parancsolta vala néki.

Lev.17.1 | Szóla ismét az Úr Mózesnek s monda:
Lev.17.2 | Szólj Áronnak és az ő fijainak és mind az Izráel fijainak, és ezt mondjad nékik: Ez a dolog, mellyet az Úr parancsolt, ezt mondván:
Lev.17.3 | Valaki az Izráel nemzetsége közzűl ölénd áldozatra ökröt, bárányt, kecskét a táborban; vagy a ki ölénd a táboron kivűl,
Lev.17.4 | És a gyülekezet sátorának ajtaja eleibe nem hozándja azt, hogy az Úrnak áldozzék az Úrnak sátora előtt; ártatlan ember vérének kiontása tulajdoníttassék annak: vért ontott; annakokáért töröltessék ki az ollyan ember az ő nemzetségének népe közzűl.
Lev.17.5 | Azért az Izráel fijai az ő áldozatjokat, a mellyeket akárhol a mezőn áldoznak, hozzák az Úrnak, a gyülekezet sátorának ajtaja eleibe a Paphoz; és áldozzanak néki háláadó-áldozatokat.
Lev.17.6 | Hogy azoknak véreket a Pap hintse az Úrnak oltárára melly a gyülekezet sátorának ajtaja előtt vagyon, és azoknak kövéreket megégesse jóillatra az Úrnak.
Lev.17.7 | És ne áldozzák ezután az ő áldozatjokat az ördögöknek, a kikkel ezek paráználkodnak; örökkévaló rendtartás legyen ez az ő utánnok valók között is.
Lev.17.8 | Annakokáért mond meg nékik: Valaki az Izráelnek nemzetsége közzűl, vagy az ő közöttük bujdosó jövevény közzűl áldozik egészen égőáldozatot vagy egyébféle áldozatot.
Lev.17.9 | És a gyülekezet sátorának ajtaja eleibe nem hozza azt, hogy azt az Úrnak áldozza: kigyomláltassék az ollyan ember az ő népe közzűl.
Lev.17.10 | És valaki az Izráel nemzetsége közzűl, vagy az ő közöttök lakozó idegen nép közzűl valami vért ejéndik: kiontom az én haragomat az ellen, a ki a vért megette, és kitörlöm azt az én népem közzűl;
Lev.17.11 | Mert minden testnek lelke a vérben vagyon, én pedig rendeltem azt néktek a ti lekeiteknek az oltáron való megtisztíttatásokra; mert vér által tisztúl meg a lélek.
Lev.17.12 | Azért parancsolom az Izráel fijainak, hogy ti közzűletek egy lélek is a vért meg ne egye: a köztetek lakozó jövevény is meg ne egye a vért.
Lev.17.13 | És valaki az Izráel fijai közzűl, vagy az ő közöttök lakozó jövevények közzűl vadászásában vadat vagy madarat fogánd megenni valót, először is a vérét ontsa ki, és ezt fedje bé földdel.
Lev.17.14 | Mert minden állatnak lelke a vér: Azért hagyom az Izráel fijainak, hogy semmi állatnak vérét meg ne egyék; mert minden állatnak lelke az ő vére; a ki megeszi azt, kigyomláltatik.
Lev.17.15 | Valaki pedig valami holttestet, vagy vadtól megszaggattatott állatot ejéndik, akár az Izráel fijai közzűl való, akár jövevény: az mossa meg az ő ruháit és maga is mosódjék meeg vízzel, és tisztátalan legyen estvéig, azután tiszta lészen.
Lev.17.16 | Hogyha meg nem mossa ruháit, sem pedig az ő testét, megbüntettetik.

Lev.18.1 | Szóla az Úr ismét Mózesnek és monda:
Lev.18.2 | Szólj az Izráel fijainak, és mond meg nékik: Én vagyok a ti Uratok Istentek.
Lev.18.3 | Az Égyiptom földének cselekedeti szerint, a mellyben laktatok, ne cselekedjetek, azonképen a Kanaán földének cselekedeti szerint a mellybe béviszlek, ne cselekedjetek, és azoknak az ő rendtartások szerint ne járjatok.
Lev.18.4 | Hanem az én ítéletimet gyakoroljátok, az én rendelésimet tartástok meg, azokban járván. Én vagyok a ti Uratok Istentek.
Lev.18.5 | Őrizzétek meg az én rendelésimet, és az én ítéletimet, mellyeket a ki cselekeszik, él azok által. Én vagyok az Úr.
Lev.18.6 | Senki ne közelgessen egy test szerint való rokonához is annak szemérmének felfedezésére. Én vagyok az Úr.
Lev.18.7 | A te atyádnak vagy anyádnak mezítelenségét fel ne fedezzed: mert te anyád, azért ne fedezd fel az ő szemérmét.
Lev.18.8 | A te atyád feleségének szemérmét, fel ne fedezzed: mert a te atyádnak szemérme az.
Lev.18.9 | A te hugodnak, melly a te atyádnak vagy anyádnak leánya, akár házánál, akár háza kivűl született legyen, fel ne fedezzed ezeknek szemérmeket.
Lev.18.10 | A te fijad leányának, vagy leányok leányának szemérmeket fel ne fedezzed: mert te szemérmed az.
Lev.18.11 | A te atyád felesége leányának, melly a te atyádnak magzajta, mivelhogy néked hugod, fel ne fedezzed szemérmét.
Lev.18.12 | A te atyád hjugának szemérmét fel ne fedezzed: mert a te atyádnak közel való rokona.
Lev.18.13 | A te atyád báttyának szemérmét fel ne fedezzed, annak feleségéhez ne közelgess: mert a te atyád báttyának felesége.
Lev.18.14 | A te atyád báttyának szemérmét fel ne fedezzed, annak feleségéhez ne közelgess: mert a te atyád báttyának felesége.
Lev.18.15 | A te menyednek szemérmét fel ne fedezzed: mert a te fijadnak felesége, azért annak szemérmét fel ne fedezzed:
