Exod.1.1 | Ezek pedig az Izráel fiainak nevei, a kik Jákóbbal Égyiptomba menének; kiki az ő házanépével méne:
Exod.14.10 | A mint közeledék a Faraó, Izráel fiai felemelék szemeiket, és ímé az Égyiptombeliek nyomukban vannak. És nagyon megfélemlének s az Úrhoz kiáltának az Izráel fiai.
Exod.14.11 | És mondának Mózesnek: Hát nincsenek-é Égyiptomban sírok, hogy ide a pusztába hoztál minket meghalni? Mit cselekedél velünk, hogy kihoztál minket Égyiptomból?
Exod.14.12 | Nem ez volt-é a szó, a mit szóltunk vala hozzád Égyiptomban, mondván: Hagyj békét nékünk, hadd szolgáljunk az Égyiptombelieknek, mert jobb volt volna szolgálnunk az Égyiptombelieknek, hogynem mint a pusztában halnunk meg.
Exod.14.13 | Mózes pedig monda a népnek: Ne féljetek, megálljatok! és nézzétek az Úr szabadítását, a melyet ma cselekszik veletek; mert a mely Égyiptombelieket ma láttok, azokat soha többé nem látjátok.
Exod.14.14 | Az Úr hadakozik ti érettetek; ti pedig veszteg legyetek.
Exod.14.15 | És monda az Úr Mózesnek: Mit kiáltasz hozzám? Szólj Izráel fiainak, hogy induljanak el.
Exod.14.16 | Te pedig emeld fel a te pálczádat és nyújtsd ki kezedet a tengerre és válaszd azt kétfelé, hogy Izráel fiai szárazon menjenek át a tenger közepén.
Exod.14.17 | Én pedig ímé megkeményítem az Égyiptombeliek szívét, hogy bemenjenek utánok, és megdicsőíttetem a Faraó által és az ő egész serege által, szekerei és lovasai által.
Exod.14.18 | És megtudják az Égyiptombeliek, hogy én vagyok az Úr, ha majd megdicsőíttetem a Faraó által, az ő szekerei és lovasai által.
Exod.14.19 | Elindula azért az Istennek Angyala, a ki jár vala az Izráel tábora előtt, és méne mögéjök; a felhőoszlop is elindula előlök s mögéjök álla.
Exod.14.20 | És oda méne az Égyiptombeliek tábora és az Izráel tábora közé; így lőn a felhő és a setétség: az éjszakát pedig megvilágosítja vala. És egész éjszaka nem közelítettek egymáshoz.
Exod.14.21 | És kinyújtá Mózes az ő kezét a tengerre, az Úr pedig egész éjjel erős keleti széllel hajtá a tengert és szárazzá tevé a tengert, és kétfelé válának a vizek.
Exod.14.22 | És szárazon menének az Izráel fiai a tenger közepébe, a vizek pedig kőfal gyanánt valának nékik jobbkezök és balkezök felől.
Exod.14.23 | Az Égyiptombeliek pedig utánok nyomulának és bemenének a Faraó minden lovai, szekerei és lovasai a tenger közepébe.
Exod.14.24 | És lőn hajnalkor, rátekinte az Úr az Égyiptombeliek táborára a tűz- és felhő-oszlopból és megzavará az Égyiptombeliek táborát.
Exod.14.25 | És megállítá szekereik kerekeit és nehezen vonszoltatá azokat. És mondának az Égyiptombeliek: Fussunk az Izráel elől, mert az Úr hadakozik érettök Égyiptom ellen.
Exod.14.26 | És szóla az Úr Mózesnek: Nyújtsd ki kezedet a tengerre, hogy a vizek térjenek vissza az Égyiptombeliekre, az ő szekereikre s lovasaikra.
Exod.14.27 | És kinyújtá Mózes az ő kezét a tengerre, és reggel felé visszatére a tenger az ő elébbi állapotjára; az Égyiptombeliek pedig eleibe futnak vala, és az Úr beleveszté az égyiptomiakat a tenger közepébe.
Exod.14.28 | Visszatérének tehát a vizek és elboríták a szekereket és a lovasokat, a Faraónak minden seregét, melyek utánok bementek vala a tengerbe; egy sem marada meg közülök.
Exod.14.29 | De Izráel fiai szárazon menének át a tenger közepén; a vizek pedig kőfal gyanánt valának nékik jobb- és balkezök felől.
Exod.14.30 | És megszabadítá az Úr azon a napon Izráelt az Égyiptombeliek kezéből; és látá Izráel a megholt Égyiptombelieket a tenger partján.
Exod.14.31 | És látá Izráel azt a nagy dolgot, a melyet cselekedék az Úr Égyiptomban: félé azért a nép az Urat és hívének az Úrnak és Mózesnek, az ő szolgájának.

Exod.15.1 | Akkor éneklé Mózes és az Izráel fiai ezt az éneket az Úrnak, és szólának mondván: Éneklek az Úrnak, mert fenséges ő, lovat lovasával tengerbe vetett.
Exod.15.2 | Erősségem az Úr és énekem, szabadítómmá lőn nekem; ez az én Istenem, őt dicsérem, atyámnak Istene, őt magasztalom.
Exod.15.3 | Vitéz harczos az Úr; az ő neve Jehova.
Exod.15.4 | A Faraónak szekereit és seregét tengerbe vetette, s válogatott harczosai belefúltak a veres tengerbe.
Exod.15.5 | Elborították őket a hullámok, kő módjára merültek a mélységbe.
Exod.15.6 | Jobbod, Uram, erő által dicsőül, jobbod, Uram, ellenséget összetör.
Exod.15.7 | Fenséged nagyságával zúzod össze támadóid, kibocsátod haragod s megemészti az őket mint tarlót.
Exod.15.8 | Orrod lehelletétől feltorlódtak a vizek. És a futó habok fal módjára megálltak; a mélységes vizek megmerevültek a tenger szívében.
Exod.15.9 | Az ellenség monda: Ûzöm, utólérem őket, zsákmányt osztok, bosszúm töltöm rajtok. Kardomat kirántom, s kiirtja őket karom.
Exod.15.10 | Leheltél lehelleteddel s tenger borítá be őket: elmerültek, mint az ólom a nagy vizekben.
Exod.15.11 | Kicsoda az istenek közt olyan, mint te Uram? Kicsoda olyan, mint te, szentséggel dicső, félelemmel dícsérendő és csudatévő?
Exod.15.12 | Kinyújtottad jobbkezedet, és elnyelé őket a föld.
Exod.15.13 | Kegyelmeddel vezérled te megváltott népedet, hatalmaddal viszed be te szent lakóhelyedre.
Exod.15.14 | Meghallják ezt a népek és megrendülnek; Filisztea lakóit reszketés fogja el.
Exod.15.15 | Akkor megháborodának Edom fejedelmei, Moáb hatalmasait rettegés szállja meg, elcsügged a Kanaán egész lakossága.
Exod.15.16 | Félelem és aggodalom lepi meg őket; karod hatalmától elnémulnak mint a kő, míg átvonul néped, Uram! Míg átvonul a nép, a te szerzeményed.
Exod.15.17 | Beviszed s megtelepíted őket örökséged hegyén, melyet Uram, lakhelyűl magadnak készítél, szentségedbe Uram, melyet kezed építe.
Exod.15.18 | Az Úr uralkodik mind örökkön örökké.
Exod.15.19 | Mert bémenének a Faraó lovai, szekereivel és lovasaival együtt a tengerbe, és az Úr visszafordítá reájok a tenger vizét; Izráel fiai pedig szárazon jártak a tenger közepén.
Exod.15.20 | Akkor Miriám prófétaasszony, Áronnak nénje dobot vőn kezébe, és kimenének utánna mind az asszonyok dobokkal és tánczolva.
Exod.15.21 | És felele nékik Miriám: Énekeljetek az Úrnak, mert fenséges ő, lovat lovasával tengerbe vetett.
Exod.15.22 | Ennekutánna elindítá Mózes az Izráelt a veres tengertől, és menének Súr puszta felé; három napig menének a pusztában és nem találának vizet.
Exod.15.23 | És eljutának Márába, de nem ihatják vala a vizet Márában, mivelhogy keserű vala. Azért is nevezék nevét Márának.
Exod.15.24 | És zúgolódik vala a nép Mózes ellen, mondván: Mit igyunk?
Exod.15.25 | Ez pedig az Úrhoz kiálta, és mutata néki az Úr egy fát és beveté azt a vízbe, és a víz megédesedék. Ott ada néki rendtartást és törvényt és ott megkísérté.
Exod.15.26 | És monda: Ha a te Uradnak Istenednek szavára hűségesen hallgatsz és azt cselekeszed, a mi kedves az ő szemei előtt és figyelmezel az ő parancsolataira és megtartod minden rendelését: egyet sem bocsátok reád ama betegségek közül, a melyeket Égyiptomra bocsátottam, mert én vagyok az Úr, a te gyógyítód.
Exod.15.27 | És jutának Élimbe, és ott tizenkét forrás vala és hetven pálmafa; és tábort ütének ott a vizek mellett.

Exod.16.1 | És elindulának Élimből és érkezék Izráel fiainak egész gyülekezete a Szin pusztájába, mely Élim között és Sinai között van, a második hónapnak tizenötödik napján, Égyiptom földéről való kijövetelök után.
Exod.16.2 | És zúgolódék Izráel fiainak egész gyülekezete Mózes és Áron ellen a pusztában.
Exod.16.3 | S mondának nékik Izráel fiai: Bár megholtunk volna az Úr keze által Égyiptom földén, a mikor a húsos fazék mellett ülünk vala, a mikor jól lakhatunk vala kenyérrel; mert azért hoztatok ki minket ebbe a pusztába, hogy mind e sokaságot éhséggel öljétek meg.
Exod.16.4 | És monda az Úr Mózesnek: Ímé én esőképen bocsátok néktek kenyeret az égből; menjen ki azért a nép és szedjen naponként arra a napra valót, hogy megkísértsem: akar-é az én törvényem szerint járni, vagy nem?
Exod.16.5 | A hatodik napon pedig úgy lesz, hogy mikor elkészítik a mit bevisznek, az kétannyi lesz, mint a mennyit naponként szedegettek.
Exod.16.6 | És monda Mózes és Áron Izráel minden fiainak: Estve megtudjátok, hogy az Úr hozott ki titeket Égyiptom földéről;
Exod.16.7 | Reggel pedig meglátjátok az Úr dicsőségét; mert meghallotta a ti zúgolódástokat az Úr ellen. De mik vagyunk mi, hogy mi ellenünk zúgolódtok?
Exod.16.8 | És monda Mózes: Estve húst ád az Úr ennetek, reggel pedig kenyeret, hogy jól lakjatok; mert hallotta az Úr a ti zúgolódástokat, melylyel ellene zúgolódtatok. De mik vagyunk mi? Nem mi ellenünk van a ti zúgolódástok, hanem az Úr ellen.
Exod.16.9 | Áronnak pedig monda Mózes: Mondd meg az Izráel fiai egész gyülekezetének: Járuljatok az Úr elé; mert meghallotta a ti zúgolódástokat.
Exod.16.10 | És lőn, mikor beszéle Áron az Izráel fiai egész gyülekezetének, a puszta felé fordulának, és ímé az Úr dicsősége megjelenék a felhőben.
Exod.16.11 | És szóla az Úr Mózesnek, mondván:
Exod.16.12 | Hallottam az Izráel fiainak zúgolódását, szólj nékik mondván: Estennen húst esztek, reggel pedig kenyérrel laktok jól és megtudjátok, hogy én vagyok az Úr a ti Istentek.
Exod.16.13 | És lőn, hogy estve fürjek jövének fel és ellepék a tábort, reggel pedig harmatszállás lőn a tábor körűl.
Exod.16.14 | Mikor pedig a harmatszállás megszűnék, ímé a pusztának színén apró gömbölyegek valának, aprók mint a dara a földön.
Exod.16.15 | A mint megláták az Izráel fiai, mondának egymásnak: Mán ez! mert nem tudják vala mi az. Mózes pedig monda nékik: Ez az a kenyér, melyet az Úr adott néktek eledelül.
Exod.16.16 | Az Úr parancsolata pedig ez: Szedjen abból kiki a mennyit megehetik; fejenként egy ómert, a hozzátok tartozók száma szerint szedjen kiki azok részére, a kik az ő sátorában vannak.
Exod.16.17 | És aképen cselekedének az Izráel fiai és szedének ki többet, ki kevesebbet.
Exod.16.18 | Azután megmérik vala ómerrel, és annak a ki többet szedett, nem vala fölöslege, és annak, a ki kevesebbet szedett, nem vala fogyatkozása: kiki annyit szedett, a mennyit megehetik vala.
Exod.16.19 | Azt is mondá nékik Mózes: Senki ne hagyjon abból reggelre.
Exod.16.20 | De nem hallgatának Mózesre, mert némelyek hagyának abból reggelre; és megférgesedék s megbüszhödék. Mózes pedig megharagudék reájok.
Exod.16.21 | Szedék pedig azt reggelenként, kiki a mennyit megehetik vala, mert ha a nap felmelegedett, elolvad vala.
Exod.16.22 | A hatodik napon pedig két annyi kenyeret szednek vala, két ómerrel egyre-egyre. Eljövének pedig a gyülekezet fejedelmei mindnyájan és tudtára adták azt Mózesnek.
Exod.16.23 | Ő pedig monda nékik: Ez az, a mit az Úr mondott: A holnap nyugalom napja, az Úrnak szentelt szombat; a mit sütni akartok, süssétek meg, és a mit főzni akartok, főzzétek meg; a mi pedig megmarad, azt mind tegyétek el magatoknak reggelre.
Exod.16.24 | És eltevék azt reggelre, a szerint a mint Mózes parancsolta vala, és nem büszhödék meg s féreg sem vala benne.
Exod.16.25 | És monda Mózes: Ma egyétek azt meg, mert ma az Úrnak szombatja van; ma nem találjátok azt a mezőn.
Exod.16.26 | Hat napon szedjétek azt, de a hetedik napon szombat van, akkor nem lesz.
Exod.16.27 | És lőn hetednapon: kimenének a nép közül, hogy szedjenek, de nem találának.
Exod.16.28 | És monda az Úr Mózesnek: Meddig nem akarjátok megtartani az én parancsolataimat és törvényeimet?
Exod.16.29 | Lássátok meg! az Úr adta néktek a szombatot; azért ád ő néktek hatodnapon két napra való kenyeret. Maradjatok veszteg, kiki a maga helyén; senki se menjen ki az ő helyéből a hetedik napon.
Exod.16.30 | És nyugoszik vala a nép a hetedik napon.
Exod.16.31 | Az Izráel háza pedig Mánnak nevezé azt; olyan vala az mint a kóriándrom magva, fehér; és íze, mint a mézes pogácsáé.
Exod.16.32 | És monda Mózes: Ezt parancsolja az Úr: Egy teljes ómernyit tartsatok meg abból maradékaitok számára, hogy lássák a kenyeret, a mellyel éltettelek titeket a pusztában, mikor kihoztalak titeket Égyiptom földéről.
Exod.16.33 | Áronnak pedig monda Mózes: Végy egy edényt és tégy bele egy teljes ómer Mánt és tedd azt az Úr eleibe, hogy megtartassék maradékaitok számára.
Exod.16.34 | A mint parancsolta vala az Úr Mózesnek, eltevé azt Áron a bizonyságtétel ládája elé, hogy megtartassék.
Exod.16.35 | Az Izráel fiai pedig negyven esztendőn át evék a Mánt, míg lakó földre jutának; Mánt evének mind addig, míg a Kanaán földének határához jutának.
Exod.16.36 | Az ómer pedig az éfának tizedrésze.

Exod.17.1 | És elindula Izráel fiainak egész gyülekezete a Szin pusztájából, az Úr rendeléséhez képest az ő útjok rendje szerint és tábort ütének Refidimben. De a népnek nem vala inni való vize.
Exod.17.2 | Verseng vala azért a nép Mózessel és mondák: Adjatok nékünk vizet, hogy igyunk. És monda nékik Mózes: Miért versengtek én velem? Miért kísértitek az Urat?
Exod.17.3 | És szomjúhozik vala ott a nép a vízre és zúgolódék a nép Mózes ellen és monda: Miért hoztál ki minket Égyiptomból? hogy szomjúsággal ölj meg minket, gyermekeinket és barmainkat?
Exod.17.4 | Mózes pedig az Úrhoz kiálta mondván: Mit cselekedjem ezzel a néppel? Kevés hijja, hogy meg nem köveznek engemet.
Exod.17.5 | És az Úr monda Mózesnek: Eredj el a nép előtt és végy magad mellé Izráel vénei közűl; pálczádat is, melylyel a folyót megsujtottad, vedd kezedbe és indulj el.
Exod.17.6 | Ímé én oda állok te elődbe a sziklára a Hóreben, és te sujts a sziklára, és víz jő ki abból, hogy igyék a nép. És úgy cselekedék Mózes Izráel vénei szeme láttára.
Exod.17.7 | És nevezé annak a helynek nevét Masszának és Méribának, Izráel fiainak versengéséért, és mert kísértették az Urat, mondván: Vajjon köztünk van- é az Úr vagy nincsen?
Exod.17.8 | Eljöve pedig Amálek és hadakozék Izráel ellen Refidimben.
Exod.17.9 | És monda Mózes Józsuénak: Válaszsz nékünk férfiakat és menj el, ütközzél meg Amálekkel. Holnap én a halom tetejére állok és az Isten pálczája kezemben lesz.
Exod.17.10 | És úgy cselekedék Józsué a mint mondotta vala néki Mózes, megütközék Amálekkel: Mózes, Áron és Húr pedig felmenének a halom tetejére.
Exod.17.11 | És lőn, mikor Mózes felemelé kezét, Izráel győz vala; mikor pedig leereszté kezét, Amálek győz vala.
Exod.17.12 | Mikor azért Mózes kezei elnehezedének, követ hozának és alája tevék, hogy arra űljön; Áron pedig és Húr tartják vala az ő kezeit, egy felől az egyik, más felől a másik, és felemelve maradának kezei a nap lementéig.
Exod.17.13 | Józsué pedig leveré Amáleket és az ő népét fegyver élivel.
Exod.17.14 | És monda az Úr Mózesnek: Írd meg ezt emlékezetül könyvbe és add tudtára Józsuénak, hogy mindenestől eltörlöm Amálek emlékezetét az ég alól.
Exod.17.15 | És építe Mózes oltárt és nevezé nevét Jehova-Niszszi-nek.
Exod.17.16 | És monda: Megesküdött az Úr, hogy harcza lesz az Úrnak Amálek ellen nemzetségről nemzetségre.

Exod.18.1 | És meghallá Jethró, Midián papja, Mózes ipa, mindazt a mit Isten Mózessel és Izráellel az ő népével cselekedett vala, hogy kihozta az Úr Izráelt Égyiptomból.
Exod.18.2 | És felvevé Jethró, a Mózes ipa Czipporát, a Mózes feleségét - miután haza bocsátotta őt -
Exod.18.3 | És az ő két fiát is, a kik közűl az egyiknek neve Gersom, mert azt mondotta vala: Bujdosó valék az idegen földön;
Exod.18.4 | A másiknak neve pedig Eliézer; mert: Az én atyám Istene segítségül volt nékem és megszabadított engem a Faraó fegyverétől.
Exod.18.5 | Eljuta tehát Jethró, a Mózes ipa, az ő fiaival és feleségével Mózeshez a pusztába, a hol ő táborozott vala az Isten hegye mellett.
Exod.18.6 | És megizené Mózesnek: Én Jethró a te ipad megyek te hozzád a te feleségeddel és az ő két fia is ő vele.
Exod.18.7 | Kiméne azért Mózes az ő ipa eleibe és meghajtá magát és megcsókolá őt; és megkérdék egymást állapotuk felől és bemenének a sátorba.
Exod.18.8 | És elbeszélé Mózes az ő ipának mind azt, a mit az Úr a Faraóval és az Égyiptombeliekkel cselekedett vala Izráelért; mindazt a sok bajt, a melyek útközben érték vala őket, és [mimódon] szabadította meg őket az Úr.
Exod.18.9 | És örvendeze Jethró mindazon a jón, a mit az Úr az Izráellel cselekedett vala, hogy megszabadítá őt az Égyiptombeliek kezéből.
Exod.18.10 | És monda Jethró: Áldott legyen az Úr, a ki megszabadított titeket az Égyiptombeliek kezéből és a Faraó kezéből; a ki megszabadította a népet az Égyiptombeliek keze alól.
Exod.18.11 | Most tudom már, hogy nagyobb az Úr minden istennél; mert az [lett vesztökre], a mivel ellenök vétkeztek.
Exod.18.12 | És Jethró, a Mózes ipa égőáldozattal és véresáldozattal áldozék az Istennek; Áron pedig és Izráel minden vénei jövének, hogy kenyeret egyenek a Mózes ipával Isten előtt.
Exod.18.13 | És lőn másod napon, leűle Mózes törvényt tenni a népnek; a nép pedig áll vala Mózes előtt reggeltől estig.
Exod.18.14 | S a mikor látja vala Mózes ipa mind azt, a mit ő a néppel cselekedék, monda: Mi dolog az, a mit te a néppel cselekszel; miért űlsz te egymagad, mind az egész nép pedig előtted áll reggeltől estig?
Exod.18.15 | És monda Mózes az ő ipának: Mert a nép Isten akaratát tudakolni jön hozzám;
Exod.18.16 | Ha ügyök-bajok van, én hozzám jőnek és törvényt teszek az ember között és felebarátja között és tudtára adom az Isten végezéseit és törvényeit.
Exod.18.17 | Mózes ipa pedig monda néki: Nem jó az, a mit te cselekszel.
Exod.18.18 | Felettébb kifáradsz te is, ez a nép is, a mely veled van; mert erőd felett való dolog ez, nem végezheted azt egymagad.
Exod.18.19 | Most [azért] hallgass az én szavamra, tanácsot adok néked és az Isten veled lesz. Te légy a népnek szószólója az Isten előtt, és te vidd az ügyeket Isten eleibe.
Exod.18.20 | És tanítsd őket a rendeletekre és törvényekre és add tudtokra az útat, a melyen járniok kell és a tenni valót, a melyet tenniök kell.
Exod.18.21 | És szemelj ki magad az egész nép közűl derék, istenfélő férfiakat, igazságos férfiakat, a kik gyűlölik a haszonlesést és tedd közöttük előljárókká, ezeredesekké, századosokká, ötvenedesekké és tizedesekké.
Exod.18.22 | Ezek tegyenek ítéletet a népnek minden időben, úgy hogy minden nagyobb ügyet te elődbe hozzanak, minden csekélyebb dologban pedig ők ítéljenek; így könnyítve lesz rajtad, ha azt veled együtt hordozzák.
Exod.18.23 | Ha ezt cselekszed és az Isten is parancsolja néked: megállhatsz és az egész nép is helyére jut békességben.
Exod.18.24 | És hallgata Mózes az ő ipa szavára és mindazt megtevé, a mit mondott vala.
Exod.18.25 | És választa Mózes az egész Izráelből derék férfiakat és a nép fejeivé tevé őket, ezeredesekké, századosokká, ötvenedesekké, és tizedesekké.
Exod.18.26 | És ítélik vala a népet minden időben; a nehéz dolgokat Mózes elé viszik vala, minden kisebb dologban pedig ők ítélnek vala.
Exod.18.27 | És elbocsátá Mózes az ő ipát, és ez elméne hazájába.

Exod.19.1 | A harmadik hónapban azután hogy kijöttek vala Izráel fiai Égyiptom földéről, azon a napon érkezének a Sinai pusztába.
Exod.19.2 | Refidimből elindulván, érkezének a Sinai pusztába és táborba szállának a pusztában; a hegygyel átellenben szálla pedig ott táborba az Izráel.
Exod.19.3 | Mózes pedig felméne az Istenhez, és szóla hozzá az Úr a hegyről, mondván: Ezt mondd a Jákób házanépének és ezt add tudtára az Izráel fiainak.
Exod.19.4 | Ti láttátok, a mit Égyiptommal cselekedtem, hogy hordoztalak titeket sas szárnyakon és magamhoz bocsátottalak titeket.
Exod.19.5 | Mostan azért ha figyelmesen hallgattok szavamra és megtartjátok az én szövetségemet, úgy ti lesztek nékem valamennyi nép közt az enyéim; mert enyim az egész föld.
Exod.19.6 | És lesztek ti nékem papok birodalma és szent nép. Ezek azok az ígék, melyeket el kell mondanod Izráel fiainak.
Exod.19.7 | Elméne azért Mózes és egybehívá a nép véneit és eleikbe adá mindazokat a beszédeket, melyeket parancsolt vala néki az Úr.
Exod.19.8 | És az egész nép egy akarattal felele és monda: Valamit rendelt az Úr, mind megteszszük. És megvivé Mózes az Úrnak a nép beszédét.
Exod.19.9 | És monda az Úr Mózesnek: Ímé én hozzád megyek a felhő homályában, hogy hallja a nép mikor beszélek veled és higyjenek néked mindörökké. És elmondá Mózes az Úrnak a nép beszédét.
Exod.19.10 | Az Úr pedig monda Mózesnek: Eredj el a néphez és szenteld meg őket ma, meg holnap és hogy mossák ki az ő ruháikat;
Exod.19.11 | És legyenek készek harmadnapra; mert harmadnapon leszáll az Úr az egész nép szeme láttára a Sinai hegyre.
Exod.19.12 | És vess határt a népnek köröskörűl, mondván: Vigyázzatok magatokra, hogy a hegyre fel ne menjetek s még a szélét se érintsétek; mindaz, a mi a hegyet érinti, halállal haljon meg.
Exod.19.13 | Ne érintse azt kéz, hanem kővel köveztessék meg, vagy nyillal nyilaztassék le; akár barom, akár ember, ne éljen. Mikor a kürt hosszan hangzik, akkor felmehetnek a hegyre.
Exod.19.14 | Leszálla azért Mózes a hegyről a néphez, és megszentelé a népet, és megmosák az ő ruháikat.
Exod.19.15 | És monda a népnek: Legyetek készen harmadnapra; asszonyhoz ne közelítsetek.
Exod.19.16 | És lőn harmadnapon virradatkor, mennydörgések, villámlások és sűrű felhő lőn a hegyen és igen erős kürtzengés; és megréműle mind az egész táborbeli nép.
Exod.19.17 | És kivezeté Mózes a népet a táborból az Isten eleibe és megállának a hegy alatt.
Exod.19.18 | Az egész Sinai hegy pedig füstölög vala, mivelhogy leszállott arra az Úr tűzben és felmegy vala annak füstje, mint a kemenczének füstje; és az egész hegy nagyon reng vala.
Exod.19.19 | És a kürt szava mindinkább erősödik vala; Mózes beszél vala és az Isten felel vala néki hangosan.
Exod.19.20 | Leszálla tehát az Úr a Sinai hegyre, a hegy tetejére, és felhívá az Úr Mózest a hegy tetejére, Mózes pedig felméne.
Exod.19.21 | És monda az Úr Mózesnek: Menj alá, intsd meg a népet, hogy ne törjön előre az Urat látni, mert közűlök sokan elhullanak.
Exod.19.22 | És a papok is, a kik az Úr eleibe járulnak, szenteljék meg magokat, hogy reájok ne rontson az Úr.
Exod.19.23 | Mózes pedig monda az Úrnak: Nem jöhet fel a nép a Sinai hegyre, mert te [magad] intettél minket, mondván: Vess határt a hegy körűl, és szenteld meg azt.
Exod.19.24 | De az Úr monda néki: Eredj, menj alá, és jőjj fel te és Áron is veled; de a papok és a nép ne törjenek előre, hogy feljőjjenek az Úrhoz; hogy reájok ne rontson.
Exod.19.25 | Aláméne azért Mózes a néphez, és megmondá nékik.

Exod.20.1 | És szólá Isten mindezeket az igéket, mondván:
Exod.20.2 | Én, az Úr, vagyok a te Istened, a ki kihoztalak téged Égyiptomnak földéről, a szolgálat házából.
Exod.20.3 | Ne legyenek néked idegen isteneid én előttem.
Exod.20.4 | Ne csinálj magadnak faragott képet, és semmi hasonlót azokhoz, a melyek fenn az égben, vagy a melyek alant a földön, vagy a melyek a vizekben a föld alatt vannak.
Exod.20.5 | Ne imádd és ne tiszteld azokat; mert én, az Úr a te Istened, féltőn- szerető Isten vagyok, a ki megbüntetem az atyák vétkét a fiakban, harmad és negyediziglen, a kik engem gyűlölnek.
Exod.20.6 | De irgalmasságot cselekszem ezeriziglen azokkal, a kik engem szeretnek, és az én parancsolatimat megtartják.
Exod.20.7 | Az Úrnak a te Istenednek nevét hiába fel ne vedd; mert nem hagyja azt az Úr büntetés nélkül, a ki az ő nevét hiába felveszi.
Exod.20.8 | Megemlékezzél a szombatnapról, hogy megszenteljed azt.
Exod.20.9 | Hat napon át munkálkodjál, és végezd minden dolgodat;
Exod.20.10 | De a hetedik nap az Úrnak a te Istenednek szombatja: semmi dolgot se tégy azon se magad, se fiad, se leányod, [se] szolgád, se szolgálóleányod, se barmod, se jövevényed, a ki a te kapuidon belől van;
Exod.20.11 | Mert hat napon teremté az Úr az eget és a földet, a tengert és mindent, a mi azokban van, a hetedik napon pedig megnyugovék. Azért megáldá az Úr a szombat napját, és megszentelé azt.
Exod.20.12 | Tiszteld atyádat és anyádat, hogy hosszú ideig élj azon a földön, a melyet az Úr a te Istened ád te néked.
Exod.20.13 | Ne ölj.
Exod.20.14 | Ne paráználkodjál.
Exod.20.15 | Ne lopj.
Exod.20.16 | Ne tégy a te felebarátod ellen hamis tanúbizonyságot.
Exod.20.17 | Ne kívánd a te felebarátodnak házát. Ne kívánd a te felebarátodnak feleségét, se szolgáját, se szolgálóleányát, se ökrét, se szamarát, és semmit, a mi a te felebarátodé.
Exod.20.18 | Az egész nép pedig látja vala a mennydörgéseket, a villámlásokat, a kürt zengését és a hegy füstölgését. És látja vala a nép, és megrémüle, és hátrább álla.
Exod.20.19 | És mondának Mózesnek: Te beszélj velünk, és mi hallgatunk; de az Isten ne beszéljen velünk, hogy meg ne haljunk.
Exod.20.20 | Mózes pedig monda a népnek: Ne féljetek; mert azért jött az Isten, hogy titeket megkísértsen, és hogy az ő félelme legyen előttetek, hogy ne vétkezzetek.
Exod.20.21 | Távol álla azért a nép, Mózes pedig közelebb méne a felhőhöz, melyben az Isten vala.
Exod.20.22 | És monda az Úr Mózesnek: Ezt mondd az Izráel fiainak: Magatok láttátok, hogy az égből beszéltem veletek.
Exod.20.23 | Ne csináljatok én mellém ezüst isteneket, és arany isteneket se csináljatok magatoknak.
Exod.20.24 | Földből csinálj nékem oltárt, és azon áldozd a te égő- és hálaáldozatodat, juhaidat és ökreidet. Valamely helyen akarom, hogy az én nevemről megemlékezzetek, elmegyek tehozzád és megáldalak téged.
Exod.20.25 | Ha pedig kövekből csinálsz nékem oltárt, ne építsd azt faragott [kő]ből: mert a mint faragó vasadat rávetetted, megfertőztetted azt.
Exod.20.26 | Lépcsőkön se menj fel az én oltáromhoz, hogy a te szemérmed fel ne fedeztessék azon.

Exod.21.1 | Ezek pedig azok a rendeletek, a melyeket eleikbe kell terjesztened:
Exod.21.2 | Ha héber szolgát vásárolsz, hat esztendeig szolgáljon, a hetedikben pedig szabaduljon fel ingyen.
Exod.21.3 | Ha egyedűl jött, egyedűl menjen el; ha feleséges ember, menjen el vele a felesége is.
Exod.21.4 | Ha az ő ura adott néki feleséget, és [ez] fiakat vagy leányokat szűlt néki: az asszony, gyermekeivel együtt legyen az ő uráé; ő pedig egyedűl menjen el.
Exod.21.5 | De ha a szolga azt mondaná: Szeretem az én uramat, az én feleségemet és fiaimat, nem akarok felszabadulni:
Exod.21.6 | Akkor vigye őt az ő ura a bírák elé, és állítsa az ajtóhoz vagy az ajtófélhez, és az ő ura fúrja által az ő fülét árral; és szolgálja őt mindörökké.
Exod.21.7 | És ha valaki az ő leányát szolgálóul adja el, ne úgy menjen el, mint a szolgák mennek.
Exod.21.8 | Ha nem tetszik az ő urának, hogy eljegyezze őt magának, akkor váltassa ki; arra, hogy idegen népnek eladja, nincs hatalma, mivel hűtelen volt hozzá.
Exod.21.9 | Ha pedig a fiának jegyzi el őt: a leányok törvénye szerint cselekedjék vele.
Exod.21.10 | Ha mást vesz magának: [ennek] ételét, ruházatát és házasságbeli igazát alább ne szállítsa.
Exod.21.11 | Ha ezt a hármat nem cselekszi vele: akkor menjen az el ingyen, fizetés nélkűl.
Exod.21.12 | A ki úgy megver valakit, hogy meghal, halállal lakoljon.
Exod.21.13 | De ha nem leselkedett, hanem Isten ejtette kezébe: úgy helyet rendelek néked, a hova meneküljön.
Exod.21.14 | Ha pedig valaki szándékosan tör felebarátja ellen, hogy azt orvúl megölje, oltáromtól is elvidd azt a halálra.
