Acts.1.1 | Első könyvemet írtam, Theofilus, mindazokról, a miket kezdett Jézus cselekedni és tanítani,
Acts.11.18 | Ezeknek hallatára aztán megnyugovának, és dicsőíték az Istent, mondván: Eszerint hát a pogányoknak is adott az Isten megtérést az életre!
Acts.11.19 | Azok tehát, a kik eloszlottak az üldözés miatt, mely Istvánért támadott, eljutának Fenicziáig, Cziprusig és Antiókhiáig, senkinek nem prédikálván az ígét, hanem csak a zsidóknak.
Acts.11.20 | Voltak azonban közöttük némely cziprusi és czirénei férfiak, kik mikor Antiókhiába bementek, szólának a görögöknek, hirdetve az Úr Jézust.
Acts.11.21 | És az Úrnak keze vala velök; és nagy sokaság tére meg az Úrhoz, hívővé lévén.
Acts.11.22 | Elhatott pedig a hír ő felőlük a jeruzsálemi gyülekezet fülébe; és kiküldék Barnabást, hogy menjen el egész Antiókhiáig.
Acts.11.23 | Ki mikor oda jutott és látta az Isten kegyelmét, örvendeze; és inté mindnyájukat, hogy állhatatos szívvel maradjanak meg az Úrban.
Acts.11.24 | Mert jámbor és Szent Lélekkel és hittel teljes férfiú vala ő. És nagy sokaság csatlakozék az Úrhoz.
Acts.11.25 | Elméne pedig Barnabás Tárzusba, hogy felkeresse Saulust, és rátalálván, elvivé őt Antiókhiába.
Acts.11.26 | És lőn, hogy ők egy egész esztendeig forgolódtak a gyülekezetben, és tanítottak nagy sokaságot; és a tanítványokat először Antiókhiában nevezték keresztyéneknek.
Acts.11.27 | Ez időtájban pedig menének Jeruzsálemből Antiókhiába próféták.
Acts.11.28 | Felkelvén pedig egy azok közül, névszerint Agabus, megjelenté a Lélek által, hogy az egész föld kerekségén nagy éhség lesz; a mely meg is lőn Klaudius császár idejében.
Acts.11.29 | A tanítványok pedig elhatározták, hogy a szerint, a mint kinek-kinek közöttük módjában áll, küldenek valamit segítségül a Júdeában lakozó atyafiaknak:
Acts.11.30 | A mit meg is cselekedének, elküldvén a vénekhez Barnabás és Saulus keze által.

Acts.12.1 | Abban az időben pedig Heródes király elkezde kegyetlenkedni némelyekkel, a gyülekezetből valók közül.
Acts.12.2 | Megöleté pedig Jakabot, Jánosnak testvérét, fegyverrel.
Acts.12.3 | És látván, hogy ez tetszik a zsidóknak, föltette magában, hogy elfogatja Pétert is. (Valának pedig a kovásztalan kenyerek napjai.)
Acts.12.4 | Kit el is fogatván, tömlöczbe veté, átadván négy négyes katonai szakasznak, hogy őrizzék őt; husvét után akarván őt a nép elé vezettetni.
Acts.12.5 | Péter azért őrizteték a fogságban; a gyülekezet pedig szüntelen könyörög vala az Istennek ő érette.
Acts.12.6 | Mikor pedig Heródes őt elő akará vezettetni, azon az éjszakán aluszik vala Péter két vitéz között, megkötözve két lánczczal; és őrök őrizék az ajtó előtt a tömlöczöt.
Acts.12.7 | És ímé az Úrnak angyala eljöve, és világosság fénylék a tömlöczben: és meglökvén Péter oldalát, felkölté őt, mondván: Kelj föl hamar! És leesének a lánczok kezeiről.
Acts.12.8 | És monda néki az angyal: Övezd fel magadat, és kösd fel saruidat. És úgy cselekedék. És monda néki: Vedd rád felsőruhádat és kövess engem!
Acts.12.9 | És kimenvén, követé őt; és nem tudta, hogy valóság az, a mi történik az angyal által, hanem azt hitte, hogy látást lát.
Acts.12.10 | Mikor pedig általmentek az első őrsön és a másodikon, jutának a vaskapuhoz, mely a városba visz; mely magától megnyílék előttük: és kimenvén, egy utczán előremenének; és azonnal eltávozék az angyal ő tőle.
Acts.12.11 | És Péter magához térve monda: Most tudom igazán, hogy az Úr elbocsátotta az ő angyalát, és megszabadított engem Heródes kezéből és a zsidók népének egész várakozásától.
Acts.12.12 | És miután ezt megértette, elméne Máriának, a János anyjának házához, ki Márknak neveztetik; hol sokan valának egybegyűlve és könyörögnek vala.
Acts.12.13 | És mikor Péter zörgetett a tornácz ajtaján, egy Rhodé nevű szolgálóleány méne oda, hogy hallgatózzék:
Acts.12.14 | És megismervén a Péter szavát, örömében nem nyitá meg a kaput, hanem befutván, hírül adá, hogy Péter áll a kapu előtt.
Acts.12.15 | Azok pedig mondának néki: Elment az eszed. Ő azonban erősíté, hogy úgy van. Azok pedig mondának: Az ő angyala az.
Acts.12.16 | Péter pedig szüntelen zörget vala: mikor azért felnyitották, megláták őt és elálmélkodának.
Acts.12.17 | Miután pedig kezével hallgatást intett nékik, elbeszélé nékik, mimódon hozta ki őt az Úr a tömlöczből. És monda: Adjátok tudtára ezeket Jakabnak és az atyafiaknak. És kimenvén elméne más helyre.
Acts.12.18 | Mikor pedig megvirradt, nem csekély háborúság támada a vitézek között, mi történt hát Péterrel.
Acts.12.19 | Heródes pedig mikor előkérte őt és nem találta, kivallatván az őröket, parancsolá, hogy kivégeztessenek. És lemenvén Júdeából Czézáreába, [ott] időzött.
Acts.12.20 | Heródes pedig ellenséges indulattal vala a tirusiak és sidoniak iránt; de azok egyakarattal eljövének ő hozzá, és Blástust, a király kamarását megnyervén, békességet kérének, mivelhogy az ő tartományuk a királyéból élelmeztetik vala.
Acts.12.21 | Egy kitűzött napon pedig Heródes királyi ruhájába felöltözve és székibe ülve nyilvánosan szóla hozzájuk.
Acts.12.22 | A nép pedig felkiálta: Isten szava ez és nem emberé.
Acts.12.23 | És azonnal megveré őt az Úrnak angyala, azért, hogy nem az Istennek adá a dicsőséget; és a férgektől megemésztetvén, meghala.
Acts.12.24 | Az Istennek ígéje pedig növekedik és terjed vala,
Acts.12.25 | Barnabás és Saulus pedig visszatérének Jeruzsálemből, betöltvén szolgálatukat, maguk mellé véve Jánost is, kinek mellékneve Márk vala.

Acts.13.1 | Valának pedig Antiókhiában az [ott] levő gyülekezetben némely próféták és tanítók: Barnabás és Simeon, ki hivattatik vala Nigernek, és a Czirénei Luczius és Manaen, ki Heródessel, a negyedes fejedelemmel együtt neveltetett vala, és Saulus.
Acts.13.2 | Mikor azért azok szolgálának az Úrnak és bőjtölének, monda a Szent Lélek: Válaszszátok el nékem Barnabást és Saulust a munkára, a melyre én őket elhívtam.
Acts.13.3 | Akkor, miután bőjtöltek és imádkoztak, és kezeiket reájok vetették, elbocsáták [őket.]
Acts.13.4 | Ők annakokáért, miután kibocsáttattak a Szent Lélektől, lemenének Szeleucziába; és onnét elevezének Cziprusba.
Acts.13.5 | És mikor Salamisba jutottak, hirdeték az Isten beszédét a zsidóknak zsinagógáiban: és János is velük vala, mint segítőtárs.
Acts.13.6 | És eljárván a szigetet mind Páfusig, találkozának egy ördöngős hamispróféta zsidóra, kinek neve [vala] Barjézus;
Acts.13.7 | Ki Sergius Paulus tiszttartóval, ez okos emberrel vala. Ez magához hivatván Barnabást és Saulust, kíváná hallani az Isten beszédét.
Acts.13.8 | Elimás, az ördöngős azonban (mert így magyaráztatik az ő neve) ellenkezik vala velök, igyekezvén a tiszttartót elfordítani a hittől.
Acts.13.9 | De Saulus, ki Pál is, megtelvén Szent Lélekkel, szemeit reá vetve,
Acts.13.10 | Monda: Ó minden álnoksággal és minden gonoszsággal teljes ördögfi, minden igazságnak ellensége, nem szűnöl-é meg az Úrnak igaz útait elfordítani?
Acts.13.11 | Most azért ímé az Úrnak keze van ellened, és vak leszel és nem látod a napot egy ideig. És azonnal homály és sötétség szálla reá; és kerengve keres vala vezetőket.
Acts.13.12 | Akkor a tiszttartó, mikor látta a történt dolgot, hűn, elálmélkodván az Úrnak tudományán.
Acts.13.13 | Elhajózván pedig Páfusból Pál és kisérői, Pergába, Pámfiliának városába menének. János azonban elválván tőlük, megtére Jeruzsálembe.
Acts.13.14 | Ők pedig Pergából tovább menve, eljutának Antiókhiába, Pisidiának [városába,] és bemenvén szombatnapon a zsinagógába; leülének.
Acts.13.15 | És a törvénynek és a prófétáknak felolvasása után küldének a zsinagógának előljárói ő hozzájok, mondván: Atyánkfiai, férfiak, ha van valami intőbeszédetek a néphez, szóljatok.
Acts.13.16 | Pál azért felkelvén és kezével intvén, monda: Izráelnek férfiai, és ti, kik félitek az Istent, halljátok meg.
Acts.13.17 | Ennek a népnek, Izráelnek Istene kiválasztotta a mi atyáinkat, és e népet fölemelte, mikor Égyiptomnak földében jövevények valának, és onnét kihozá őket hatalmas karja által.
Acts.13.18 | És közel negyven esztendőnek idejéig tűrte az ő erkölcsöket a pusztában.
Acts.13.19 | És minekutána eltörölt hét népet a Kanaán földén, azoknak földöket sorsvetés által elosztá nékik.
Acts.13.20 | És azután mintegy négyszázötven esztendeig adott birákat mind Sámuel prófétáig;
Acts.13.21 | Annakutána pedig királyt kérének maguknak, és adá nékik az Isten Sault, a Kis fiát, a Benjamin nemzetségéből való férfiút negyven esztendeig.
Acts.13.22 | És mikor őt elveté, támasztá nékik Dávidot királyul; kiről bizonyságot is tőn és monda: Találtam szívem szerint való férfiút, Dávidot, a Jesse fiát, ki minden akaratomat véghez viszi.
Acts.13.23 | Ennek magvából támasztott Isten, ígérete szerint, Izráelnek szabadítót, Jézust;
Acts.13.24 | Minekutána előbb János az ő eljövetele előtt a megtérésnek keresztségét prédikálta Izráel egész népének.
Acts.13.25 | És mikor be akará végezni János az ő tisztét, monda: Kinek gondoltok engem? Nem én vagyok [az], hanem ímé én utánam jő, kinek nem vagyok méltó megoldani lábainak saruját.
Acts.13.26 | Atyámfiai, férfiak, Ábrahám nemzetének fiai, és kik ti köztetek félik az Istent, ez idvességnek beszéde néktek küldetett.
Acts.13.27 | Mert a kik lakoznak Jeruzsálemben és azoknak fejei, mivelhogy őt fel nem ismerék, a prófétáknak szavait is, melyeket minden szombaton felolvasnak, ítéletükkel betöltötték.
Acts.13.28 | És bár semmi halálra való okot nem találtak, kérék Pilátustól, hogy ölettessék meg.
Acts.13.29 | És mikor mindazokat elvégezték, a mik ő felőle megirattak, a fáról levéve sírba helyhezteték.
Acts.13.30 | De az Isten feltámasztá őt halottaiból:
Acts.13.31 | És ő megjelent több napon át azoknak, kik együtt jöttek fel ő vele Galileából Jeruzsálembe, kik néki bizonyságai a nép előtt.
Acts.13.32 | És mi hirdetjük néktek az atyáknak tett ígéretet, hogy azt az Isten betöltötte nékünk, az ő fiaiknak feltámasztván Jézust:
Acts.13.33 | Mint a második zsoltárban is meg van írva: Én Fiam vagy te; ma nemzettelek én téged.
Acts.13.34 | Hogy pedig feltámasztotta őt halottaiból, úgy hogy nem is fog többé az enyészetbe visszatérni, azt így mondotta: Néktek adom a Dávid biztos szent [javait.]
Acts.13.35 | Azért mondja másutt is: Nem engeded, hogy a te Szented rothadást lásson.
Acts.13.36 | Mert Dávid, minekutána a saját idejében szolgált az Isten akaratának, elaludt, és helyhezteték az ő atyáihoz, és rothadást látott.
Acts.13.37 | De a kit Isten feltámasztott, az nem látott rothadást.
Acts.13.38 | Azért legyen néktek tudtotokra, atyámfiai, férfiak, hogy ez által hirdettetik néktek a bűnöknek bocsánata:
Acts.13.39 | És mindenekből, a mikből a Mózes törvénye által meg nem igazíttathattatok, ez által mindenki, a ki hisz, megigazul.
Acts.13.40 | Meglássátok azért, hogy rajtatok ne essék, a mit a próféták megmondottak:
Acts.13.41 | Lássátok meg, ti megvetők, és csodálkozzatok és semmisüljetek meg; mert én [oly] dolgot cselekszem a ti időtökben, [oly] dolgot, melyet nem hinnétek, ha valaki elmondaná néktek.
Acts.13.42 | Mikor pedig kimentek a zsidók zsinagógájából, kérék a pogányok, hogy a következő szombaton prédikálják nékik ezen beszédeket.
Acts.13.43 | Mikor pedig eloszlott a gyülekezet, sokan a zsidók közül és az istenfélő prozelitusok közül követék Pált és Barnabást; a kik szólván hozzájuk, biztaták őket, hogy maradjanak meg az Isten kegyelmében.
Acts.13.44 | A következő szombaton aztán majdnem az egész város egybegyűle az Isten ígéjének hallgatására,
Acts.13.45 | Mikor pedig látták a zsidók a sokaságot, betelének irigységgel, és ellene mondának azoknak, miket Pál mond vala, ellenkezve és káromlást szólva.
Acts.13.46 | Akkor Pál és Barnabás nagy bátorsággal szólva mondának: Szükséges volt, hogy először néktek hirdettessék az Isten ígéje; de mivelhogy ti megvetitek azt, és nem tartjátok méltóknak magatokat az örök életre, ímé a pogányokhoz fordulunk.
Acts.13.47 | Mert így parancsolta nékünk az Úr: Rendeltelek téged világosságul a pogányoknak, hogy légy üdvösségükre a földnek széléig.
Acts.13.48 | A pogányok pedig ezeket hallván, örvendezének, és magasztalják vala az Úrnak ígéjét; és a kik csak örök életre választattak vala, hivének.
Acts.13.49 | Terjede pedig az Úrnak ígéje az egész tartományban.
Acts.13.50 | A zsidók azonban felindíták az istenfélő és tisztességbeli asszonyokat és a városnak eleit, és üldözést támasztának Pál és Barnabás ellen, és kiűzék őket határukból.
Acts.13.51 | Azok pedig lábuknak porát lerázván ellenük, elmenének Ikóniumba.
Acts.13.52 | A tanítványok pedig betelnek vala örömmel és Szent Lélekkel.

Acts.14.1 | Lőn pedig Ikóniumban, hogy ők együtt menének be a zsidók zsinagógájába, és prédikálának, úgyannyira, hogy mind zsidóknak, mind görögöknek nagy sokasága lőn hívővé.
Acts.14.2 | A kik azonban a zsidók közül nem hivének, felindíták és megharagíták a pogányoknak lelkét az atyafiak ellen.
Acts.14.3 | Azért sok időt töltöttek [ott], bátran prédikálva az Úrban, ki bizonyságot tesz vala az ő kegyelmének beszéde mellett, és adja vala, hogy jelek és csodák történjenek az ő kezeik által.
Acts.14.4 | De a városnak sokasága meghasonlék; és némelyek a zsidók mellett, mások pedig az apostolok mellett valának.
Acts.14.5 | És mikor a pogányok és zsidók az ő főembereikkel egybe támadást indítának, hogy bosszúsággal illessék és megkövezzék őket,
Acts.14.6 | Ők megtudták, és elfutának Likaóniának városaiba, Listrába és Derbébe, és a körülvaló tartományba,
Acts.14.7 | És ott prédikálják vala az evangyéliomot.
Acts.14.8 | És Listrában ül vala egy lábaival tehetetlen ember, ki az ő anyjának méhétől fogva sánta volt, és soha nem járt.
Acts.14.9 | Ez hallá Pált beszélni: a ki szemeit reá függesztvén, és látván, hogy van hite, hogy meggyógyul,
Acts.14.10 | Monda nagy fenszóval: Állj fel lábaidra egyenesen! És felszökött és járt.
Acts.14.11 | A sokaság pedig mikor látta, a mit Pál cselekedett, felkiálta, likaóniai nyelven mondván: Az istenek jöttek le mihozzánk emberi ábrázatban!
Acts.14.12 | És hívják vala Barnabást Jupiternek, Pált pedig Merkúriusnak, minthogy ő volt a szóvivő.
Acts.14.13 | Jupiter papja pedig, a kinek [temploma] az ő városuk előtt vala, felkoszorúzott bikákat hajtva a kapukhoz, a sokasággal együtt áldozni akar vala.
Acts.14.14 | Mikor azonban [ezt] meghallották az apostolok, Barnabás és Pál, köntösüket megszaggatván, a sokaság közé futamodának, kiáltván
Acts.14.15 | És [ezt] mondván: Férfiak, miért mívelitek ezeket? Mi is hozzátok hasonló természetű emberek vagyunk, és azt az örvendetes izenetet hirdetjük néktek, hogy e hiábavalóktól az élő Istenhez térjetek, ki teremtette a mennyet, a földet, a tengert és minden azokban valókat:
Acts.14.16 | Ki az elmúlt időkben hagyta a pogányokat mind a maguk útján haladni:
Acts.14.17 | Jóllehet nem hagyta magát tanúbizonyság nélkül, mert jóltevőnk volt, adván mennyből esőket és termő időket nékünk, és betöltvén eledellel és örömmel a mi szívünket.
Acts.14.18 | És ezeket mondván, nagynehezen lecsendesíték a sokaságot, hogy nékik ne áldozzék.
Acts.14.19 | Jövének azonban Antiókhiából és Ikóniumból zsidók, és a sokaságot eláltatván, megkövezék Pált, és kivonszolák a városból, azt gondolván, hogy meghalt.
Acts.14.20 | De mikor körülvették őt a tanítványok, felkelvén, beméne a városba; és másnap Barnabással elméne Derbébe.
Acts.14.21 | És miután hirdették az evangyéliomot annak a városnak, és sokakat tanítványokká tettek, megtérének Listrába, Ikoniumba és Antiókhiába.
Acts.14.22 | Erősítve a tanítványok lelkét, intvén, hogy maradjanak meg a hitben, és hogy sok háborúságon által kell nékünk az Isten országába bemennünk.
Acts.14.23 | Miután pedig választottak nékik gyülekezetenként véneket, imádkozván bőjtölésekkel egybe, ajánlák őket az Úrnak, kiben hittek vala.
Acts.14.24 | És Pisidián általmenvén, menének Pamfiliába.
Acts.14.25 | És miután Pergában hirdették az ígét, lemenének Attáliába;
Acts.14.26 | És onnét elhajózának Antiókhiába, a honnét az Isten kegyelmére bízták volt őket arra a munkára, melyet elvégeztek.
Acts.14.27 | Mikor pedig megérkeztek és a gyülekezetet egybehívták, elbeszélék, mily nagy dolgokat cselekedett az Isten ő velök, és hogy a pogányoknak kaput nyitott a hitre.
Acts.14.28 | Ott aztán nem kevés időt töltöttek a tanítványokkal.

Acts.15.1 | Némelyek pedig, kik Júdeából jöttek alá, így tanítják vala az atyafiakat: Ha körül nem metélkedtek Mózes rendtartása szerint, nem idvezülhettek.
Acts.15.2 | Mikor azért Pálnak és Barnabásnak nagy háborúsága és vetekedése lőn azok ellen, azt végezék, hogy Pál és Barnabás és némely mások ő közülök menjenek fel az apostolokhoz és a vénekhez Jeruzsálembe e kérdés ügyében.
Acts.15.3 | Ők tehát kikísértetvén a gyülekezettől, általmentek Fenicián és Samárián, elbeszélve a pogányok megtérését; és nagy örömet szerzének az összes atyafiaknak.
Acts.15.4 | Mikor pedig megérkeztek Jeruzsálembe, a gyülekezet és az apostolok és a vének fogadák őket, és [ők] elbeszélék, mily nagy dolgokat cselekedék az Isten ő velök.
Acts.15.5 | Előállának azonban némely hivők a farizeusok szerzetéből valók közül, mondván, hogy körül kell metélni őket, és megparancsolni, hogy a Mózes törvényét megtartsák.
Acts.15.6 | Egybegyülének azért az apostolok és a vének, hogy e dolog felől végezzenek.
Acts.15.7 | És mikor nagy vetekedés támadt, felkelvén Péter, monda nékik: Atyámfiai, férfiak, ti tudjátok, hogy az Isten régebbi idő óta kiválasztott [engem] mi közülünk, hogy a pogányok az én számból hallják az evangyéliomnak beszédét, és higyjenek.
Acts.15.8 | És a szíveket ismerő Isten bizonyságot tett mellettük, mert adta nékik a Szent Lelket, miként nékünk is;
Acts.15.9 | És semmi különbséget sem tett mi köztünk és azok között, a hit által tisztítván meg azoknak szívét.
Acts.15.10 | Most azért mit kísértitek az Istent, hogy a tanítványok nyakába oly igát tegyetek, melyet sem a mi atyáink, sem mi el nem hordozhattunk?
Acts.15.11 | Sőt inkább az Úr Jézus Krisztus kegyelme által hiszszük, hogy megtartatunk, miképen azok is.
Acts.15.12 | Elhallgatott azért az egész sokaság; és hallgatják vala Barnabást és Pált, a mint elbeszélék, mennyi jelt és csudát tett az Isten ő általok a pogányok között.
Acts.15.13 | Miután pedig ők elhallgattak, felele Jakab, mondván: Atyámfiai, férfiak, hallgassatok meg engem!
Acts.15.14 | Simeon elbeszélé, mimódon gondoskodott először az Isten, hogy a pogányok közül vegyen népet az ő nevének,
Acts.15.15 | És ezzel egyeznek a próféták mondásai, mint meg van írva:
Acts.15.16 | Ezek után megtérek és felépítem a Dávidnak leomlott sátorát; és annak omladékait helyreállítom, és ismét felállatom azt:
Acts.15.17 | Hogy megkeresse az embereknek többi része az Urat, és a pogányok mindnyájan, a kik az én nevemről neveztetnek. Ezt mondja az Úr, ki mindezeket megcselekszi.
Acts.15.18 | Tudja az Isten öröktől fogva minden ő cselekedeteit.
Acts.15.19 | Azokáért én azt mondom, hogy nem kell háborgatni azokat, kik a pogányok közül térnek meg az Istenhez;
Acts.15.20 | Hanem írjuk meg nékik, hogy tartózkodjanak a bálványok fertelmességeitől, a paráznaságtól, a fúlvaholt állattól és a vértől.
Acts.15.21 | Mert Mózesnek régi nemzedékek óta városonként megvannak a hirdetői, mivelhogy a zsinagógákban minden szombaton olvassák.
Acts.15.22 | Akkor tetszék az apostoloknak és a véneknek az egész gyülekezettel egybe, hogy férfiakat válaszszanak ki magok közül és elküldjék Antiókhiába Pállal és Barnabással, Júdást, kinek mellékneve Barsabás, és Silást, kik az atyafiak között főemberek valának.
Acts.15.23 | Megírván azok keze által ezeket: Az apostolok, a vének, és az atyafiak az Antiókhiában, Siriában és Czilicziában levő, a pogányok közül való atyafiaknak üdvözletüket!
Acts.15.24 | Mivelhogy meghallottuk, hogy némelyek mi közülünk kimenvén, megháborítottak titeket beszédeikkel, feldúlva a ti lelketeket, azt mondván, hogy körülmetélkedjetek és a törvényt megtartsátok; kiknek mi parancsot nem adtunk:
Acts.15.25 | Tetszék nékünk, miután egyértelemre jutottunk, hogy férfiakat válaszszunk ki és elküldjük ti hozzátok a mi szeretteinkkel, Barnabással és Pállal,
Acts.15.26 | Oly emberekkel, kik életüket tették koczkára a mi Urunk Jézus Krisztus nevéért.
Acts.15.27 | Küldöttük azért Júdást és Silást, kik élőszóval szintén tudtotokra adják ugyanezeket.
Acts.15.28 | Mert tetszék a Szent Léleknek és nékünk, hogy semmi több teher ne vettessék ti reátok ezeken a szükséges dolgokon kívül,
Acts.15.29 | Hogy tartózkodjatok a bálványoknak áldozott dolgoktól, a vértől, a fúlvaholt állattól, és a paráznaságtól; melyektől ha megóvjátok magatokat, jól lesz dolgotok. Legyetek egészségben!
Acts.15.30 | Azok annakokáért elbocsáttatván, elmenének Antiókhiába; és egybegyűjtvén a sokaságot, átadák a levelet.
Acts.15.31 | És mikor elolvasták, örvendezének az intésen.
Acts.15.32 | Júdás és Silás pedig maguk is próféták lévén, sok beszéddel inték az atyafiakat, és megerősíték.
Acts.15.33 | Miután pedig bizonyos időt eltöltöttek, elbocsáták őket az atyafiak békességgel az apostolokhoz.
Acts.15.34 | De Silásnak tetszék ott maradni.
Acts.15.35 | Pál és Barnabás is Antiókhiában időzének, tanítva és prédikálva másokkal is többekkel az Úrnak ígéjét.
Acts.15.36 | Egynéhány nap mulva pedig monda Pál Barnabásnak: Visszatérve most, látogassuk meg a mi atyánkfiait minden városban, melyben hírdettük az Úrnak ígéjét, hogyan vannak.
Acts.15.37 | És Barnabás azt tanácsolá, hogy vegyék maguk mellé Jánost, ki Márknak hívatik.
Acts.15.38 | Pál azonban azt tartá méltónak, hogy a ki elszakadt tőlük Pamfiliától fogva, és nem ment velök a munkára, ne vegyék maguk mellé azt.
Acts.15.39 | Meghasonlás támada azért, úgyhogy elszakadának egymástól, és Barnabás maga mellé véve Márkot, elhajózék Cziprusba;
Acts.15.40 | Pál pedig Silást választván maga mellé, elméne, az Isten kegyelmére bízatván az atyafiaktól.
Acts.15.41 | És eljárá Siriát és Czilicziát, erősítve a gyülekezeteket.

Acts.16.1 | Juta pedig Derbébe és Listrába: És ímé vala ott egy Timótheus nevű tanítvány, egy hívő zsidó asszonynak, de görög atyának fia;
Acts.16.2 | Kiről jó bizonyságot tesznek vala a Listrában és Ikóniumban levő atyafiak.
Acts.16.3 | Ezt Pál magával akará vinni; és vévén, körülmetélé őt a zsidókért, kik azokon a helyeken valának: mert ismerték mindnyájan az ő atyját, hogy görög volt.
Acts.16.4 | És a mint általmentek a városokon, meghagyák nékik, hogy tartsák meg a rendeléseket, melyeket végeztek a Jeruzsálemben levő apostolok és vének.
Acts.16.5 | A gyülekezetek azért erősödének a hitben, és gyarapodának számban naponként.
Acts.16.6 | Eljárván pedig Frigiát és Galácia tartományát, mivelhogy eltiltatának a Szent Lélektől, hogy az ígét Ázsiában hirdessék,
Acts.16.7 | Misia felé menvén, igyekeznek vala Bithiniába jutni; de nem ereszté őket a Lélek.
Acts.16.8 | Áthaladván azért Misián, lemenének Tróásba.
Acts.16.9 | És azon az éjszakán látás jelenék meg Pálnak: egy macedón férfiú állt [előtte,] kérve őt és ezt mondva: Jer által Macedóniába, és légy segítségül nékünk!
Acts.16.10 | Mihelyt pedig a látást látta, azonnal igyekezénk elmenni Macedóniába, megértvén, hogy oda hívott minket az Úr, hogy azoknak prédikáljuk az evangyéliomot.
Acts.16.11 | Elhajózván azért Tróásból, egyenesen Sámothrákéba mentünk, és másnap Neápolisba;
Acts.16.12 | Onnét pedig Filippibe, mely Macedónia azon részének első gyarmatvárosa. És ebben a városban töltöttünk néhány napot.
Acts.16.13 | És szombatnapon kimenénk a városon kívül egy folyóvíz mellé, hol az imádkozás szokott lenni; és leülvén, beszélgeténk az egybegyűlt asszonyokkal.
Acts.16.14 | És egy Lidia nevű, Thiatira városbeli bíborárús asszony, ki féli vala az Istent, hallgata [reánk.] Ennek az Úr megnyitá szívét, hogy figyelmezzen azokra, a miket Pál mond vala.
Acts.16.15 | Mikor pedig megkeresztelkedék mind házanépével egybe, kére minket, mondván: Ha az Úr hívének ítéltetek engem, jertek az én házamhoz, és maradjatok [ott.] És unszola minket.
Acts.16.16 | Lőn pedig, hogy mikor mentünk a könyörgésre, egy szolgálóleányka jöve előnkbe, kiben jövendőmondásnak lelke vala, ki az ő urainak nagy hasznot hajta jövendőmondásával.
Acts.16.17 | Ez követvén Pált és minket, kiált vala, mondván: Ezek az emberek a magasságos Istennek szolgái, kik néktek az idvességnek útját hirdetik.
Acts.16.18 | Ezt pedig több napon át mívelte. Pál azonban megbosszankodván, és hátrafordulván, mondá a léleknek: Parancsolom néked a Jézus Krisztus nevében, hogy menj ki belőle. És kiméne abban az órában.
Acts.16.19 | Látván pedig annak az urai, hogy keresetüknek a reménysége elveszett, megfogva Pált és Silást, vonák a piaczra a hatóságok elé.
Acts.16.20 | És odavezetvén őket a bírákhoz, mondának: Ezek az emberek zsidó létükre megháborítják a mi városunkat,
Acts.16.21 | És olyan szertartásokat hirdetnek, melyeket nem szabad nékünk bevennünk, sem cselekednünk, mivelhogy rómaiak vagyunk.
Acts.16.22 | És [velök] egyben feltámada a sokaság ő ellenök. A bírák pedig letépetvén ruháikat, megvesszőzteték [őket.]
Acts.16.23 | És miután sok ütést mértek rájok, tömlöczbe veték [őket,] megparancsolva a tömlöcztartónak, hogy gondosan őrizze őket.
Acts.16.24 | Ki ilyen parancsolatot vévén, veté őket a belső tömlöczbe, és lábaikat kalodába szorítá.
Acts.16.25 | Éjféltájban pedig Pál és Silás imádkozván, énekkel dicsőíték az Istent. A foglyok pedig hallgatják vala őket.
Acts.16.26 | És hirtelen nagy földindulás lőn, úgyannyira, hogy megrendülének a tömlöcz fundamentomai; és azonnal megnyílának az ajtók mind, és mindnyájoknak a bilincsei feloldódnak.
Acts.16.27 | Fölserkenvén pedig a tömlöcztartó, és látván, hogy nyitva vannak a tömlöcznek ajtai, kivonva fegyverét, meg akará magát ölni, azt gondolván, hogy elszöktek a foglyok.
Acts.16.28 | Pál azonban nagy fenszóval kiáltá, mondván: Semmi kárt ne tégy magadban; mert mindnyájan itt vagyunk!
Acts.16.29 | Az pedig világot kérve beugrott, és remegve borult Pál és Silás elé,
Acts.16.30 | És kihozván őket, monda: Uraim, mit kell nékem cselekednem, hogy idvezüljek?
Acts.16.31 | Azok pedig mondának: Higyj az Úr Jézus Krisztusban, és idvezülsz mind te, mind a te házadnépe!
Acts.16.32 | És hirdeték néki az Úrnak ígéjét, és mindazoknak, kik az ő házánál valának.
Acts.16.33 | És az magához vévén őket az éjszakának azon órájában, megmosá az ütésektől; és megkeresztelkedék azonnal ő és az övéi mindnyájan.
Acts.16.34 | És bevivén őket házába, asztalt teríte nékik, és egész háznépével egyben örvendeze, hogy hitt az Istennek.
Acts.16.35 | Mikor pedig megvirradt, a bírák elküldék a poroszlókat, mondván: Bocsásd el azokat az embereket.
Acts.16.36 | A tömlöcztartó pedig tudtára adá e szavakat Pálnak: A bírák ide küldöttek, hogy bocsássalak el titeket: most azért kimenvén, menjetek el békességgel!
Acts.16.37 | Pál pedig monda nékik: Megvesszőztek minket nyilvánosan, ítélet nélkül, holott római emberek vagyunk, és tömlöczbe vetettek: és most alattomban akarnak bennünket kiküldeni? Nem úgy; hanem jőjjenek ők maguk és vezessenek ki minket.
Acts.16.38 | A poroszlók pedig megmondák a bíráknak e beszédeket; és azok megfélemlének, mikor meghallották, hogy rómaiak,
Acts.16.39 | És odamenvén, megkérlelék őket: és kivezetvén, kérék, hogy menjenek ki a városból.
