Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségéről való könyv.
Matt.13.27 | A gazda szolgái pedig előállván, mondának néki: Uram, avagy nem tiszta magot vetettél-e a te földedbe? honnan van azért benne a konkoly?
Matt.13.28 | Ő pedig monda nékik: Valamely ellenség cselekedte azt. A szolgák pedig mondának néki: Akarod-é tehát, hogy elmenvén, összeszedjük azokat?
Matt.13.29 | Ő pedig monda: Nem. Mert a mikor összeszeditek a konkolyt, azzal együtt netalán a búzát is kiszaggatjátok.
Matt.13.30 | Hagyjátok, hogy együtt nőjjön mind a kettő az aratásig, és az aratás idején azt mondom majd az aratóknak: Szedjétek össze először a konkolyt, és kössétek kévékbe, hogy megégessétek; a búzát pedig takarítsátok az én csűrömbe.
Matt.13.31 | Más példázatot is adott eléjök, mondván: Hasonlatos a mennyeknek országa a mustármaghoz, a melyet vévén az ember, elvete az ő mezejében;
Matt.13.32 | A mely kisebb ugyan minden magnál; de a mikor felnő, nagyobb a veteményeknél, és fává lesz, annyira, hogy reá szállanak az égi madarak, és fészket raknak ágain.
Matt.13.33 | Más példázatot is mondott nékik: Hasonlatos a mennyeknek országa a kovászhoz, a melyet vévén az asszony, három mércze lisztbe elegyíte, mígnem az egész megkele.
Matt.13.34 | Mind ezeket példázatokban mondá Jézus a sokaságnak, és példázat nélkül semmit sem szóla nékik,
Matt.13.35 | Hogy beteljék a mit a próféta szólott, mondván: Megnyitom az én számat példázatokra; és kitárom, amik e világ alapítása óta rejtve valának.
Matt.13.36 | Ekkor elbocsátván a sokaságot, beméne Jézus a házba. És az ő tanítványai hozzámenének, mondván: Magyarázd meg nékünk a szántóföld konkolyáról való példázatot.
Matt.13.37 | Ő pedig felelvén monda nékik: A ki a jó magot veti, az az embernek Fia;
Matt.13.38 | A szántóföld pedig a világ; a jó mag az Isten országának fiai; a konkoly pedig a gonosznak fiai.
Matt.13.39 | Az ellenség pedig, a ki a konkolyt vetette, az ördög; az aratás pedig a világ vége; az aratók pedig az angyalok.
Matt.13.40 | A miképen azért összegyűjtik a konkolyt és megégetik: akképen lesz a világnak végén.
Matt.13.41 | Az embernek Fia elküldi az ő angyalait, és az ő országából összegyűjtik a botránkozásokat mind, és azokat is, a kik gonoszságot cselekesznek,
Matt.13.42 | És bevetik őket a tüzes kemenczébe: ott lészen sírás és fogcsikorgatás.
Matt.13.43 | Akkor az igazak fénylenek, mint a nap, az ő Atyjoknak országában. A kinek van füle a hallásra, hallja.
Matt.13.44 | Ismét hasonlatos a mennyeknek országa a szántóföldben elrejtett kincshez, a melyet megtalálván az ember, elrejté azt; és a felett való örömében elmegy és eladván mindenét a mije van, megveszi azt a szántóföldet.
Matt.13.45 | Ismét hasonlatos a mennyeknek országa a kereskedőhöz, a ki igazgyöngyöket keres;
Matt.13.46 | A ki találván egy drágagyöngyre, elméne, és mindenét eladván a mije volt, megvevé azt.
Matt.13.47 | Szintén hasonlatos a mennyeknek országa a tengerbe vetett gyalomhoz, a mely mindenféle fajtát összefogott;
Matt.13.48 | Melyet, minekutána megtelt, a partra vontak a halászok, és leülvén, a jókat edényekbe gyűjtötték, a hitványakat pedig kihányták.
Matt.13.49 | Így lesz a világ végén is: Eljőnek majd az angyalok, és kiválasztják a gonoszokat az igazak közül.
Matt.13.50 | És a tüzes kemenczébe vetik őket; ott lészen sírás és fogcsikorgatás.
Matt.13.51 | Monda nékik Jézus: Megértettétek-é mindezeket? Mondának néki: Megértettük Uram.
Matt.13.52 | Ő pedig monda nékik: Annakokáért minden írástudó, a ki a mennyeknek országa felől megtaníttatott, hasonlatos az olyan gazdához, a ki ót és újat hoz elő az ő éléstárából.
Matt.13.53 | És lőn, a mikor elvégzé Jézus ezeket a példázatokat, elméne onnan.
Matt.13.54 | És hazájába érve, tanítja vala őket az ő zsinagógájukban, annyira, hogy álmélkodnak és ezt mondják vala: Honnét van ebben ez a bölcseség és az erők?
Matt.13.55 | Nem ez-é amaz ácsmesternek fia? Nem az ő anyját hívják-é Máriának, és az ő testvéreit Jakabnak, Józsénak, Simonnak és Júdásnak?
Matt.13.56 | És az ő nőtestvérei is nem mind minálunk vannak-é? Honnét vannak tehát ennél mindezek?
Matt.13.57 | És megbotránkoznak vala ő benne. Jézus pedig monda nékik: Nincsen próféta tisztesség nélkül, hanem csak az ő hazájában és házában.
Matt.13.58 | Nem is tőn ott sok csodát, az ő hitetlenségök miatt.

Matt.14.1 | Abban az időben hírét hallá Heródes negyedes fejedelem Jézusnak,
Matt.14.2 | És monda szolgáinak: Ez ama Keresztelő János; ő támadt fel a halálból, és azért működnek benne az erők.
Matt.14.3 | Mert Heródes elfogatta vala Jánost, és megkötöztetvén, tömlöczbe vetette vala Heródiásért, az ő testvérének, Fülöpnek feleségéért.
Matt.14.4 | Mert ezt mondja vala néki János: Nem szabad néked ővele élned.
Matt.14.5 | De mikor meg akarta öletni, félt a sokaságtól, mert mint egy prófétát úgy tartják vala őt.
Matt.14.6 | Hanem mikor a Heródes születése napját ünnepelék, tánczola a Heródiás leánya ő előttük, és megtetszék Heródesnek;
Matt.14.7 | Azért esküvéssel fogadá, hogy a mit kér, megadja néki.
Matt.14.8 | A leány pedig, anyja rábeszélésére, monda: Add ide nékem egy tálban a Keresztelő János fejét.
Matt.14.9 | És megszomorodék a király, de esküjéért és a vendégek miatt parancsolá, hogy adják oda.
Matt.14.10 | És elküldvén, fejét véteté Jánosnak a tömlöczben.
Matt.14.11 | És előhozák az ő fejét egy tálban, és adák a leánynak; az pedig vivé az ő anyjának.
Matt.14.12 | És előjövén az ő tanítványai, elvivék a testet, és eltemeték azt; és elmenvén, megjelenték Jézusnak.
Matt.14.13 | És mikor ezt meghallotta Jézus, elméne onnét hajón egy puszta helyre egyedül. A sokaság pedig ezt hallva, gyalog követé őt a városokból.
Matt.14.14 | És kimenvén Jézus, láta nagy sokaságot, és megszáná őket, és azoknak betegeit meggyógyítá.
Matt.14.15 | Mikor pedig estveledék, hozzá menének az ő tanítványai, mondván: Puszta hely ez, és az idő már elmúlt; bocsásd el a sokaságot, hogy menjenek el a falvakba és vegyenek magoknak eleséget.
Matt.14.16 | Jézus pedig monda nékik: Nem szükség elmenniök; adjatok nékik ti enniök.
Matt.14.17 | Azok pedig mondának néki: Nincsen itt, csupán öt kenyerünk és két halunk.
Matt.14.18 | Ő pedig monda: Hozzátok azokat ide hozzám.
Matt.14.19 | És mikor megparancsolá a sokaságnak, hogy üljenek le a fűre, vevé az öt kenyeret és két halat, és szemeit az égre emelvén, hálákat ada; és megszegvén a kenyereket, adá a tanítványoknak, a tanítványok pedig a sokaságnak.
Matt.14.20 | És mindnyájan evének, és megelégedének; és felszedék a maradék darabokat, tizenkét teli kosárral.
Matt.14.21 | A kik pedig ettek vala, mintegy ötezeren valának férfiak, asszonyokon és gyermekeken kívül.
Matt.14.22 | És mindjárt kényszeríté Jézus az ő tanítványait, hogy szálljanak a hajóba és menjenek át előre a túlsó partra, míg ő elbocsátja a sokaságot.
Matt.14.23 | És a mint elbocsátá a sokaságot, felméne a hegyre, magánosan imádkozni. Mikor pedig beestveledék, egyedül vala ott.
Matt.14.24 | A hajó pedig immár a tenger közepén vala, a haboktól háborgattatva; mivelhogy a szél szembe fújt vala.
Matt.14.25 | Az éjszaka negyedik részében pedig hozzájuk méne Jézus, a tengeren járván.
Matt.14.26 | És mikor látták a tanítványok, hogy ő a tengeren jára, megrémülének, mondván: Ez kísértet; és a félelem miatt kiáltozának.
Matt.14.27 | De Jézus azonnal szóla hozzájuk, mondván: Bízzatok; én vagyok, ne féljetek!
Matt.14.28 | Péter pedig felelvén néki, monda: Uram, ha te vagy, parancsolj, hogy hozzád mehessek a vizeken.
Matt.14.29 | Ő pedig monda: Jövel! És Péter kiszállván a hajóból, jár vala a vizeken, hogy Jézushoz menjen.
Matt.14.30 | De látva a nagy szelet, megrémüle; és a mikor kezd vala merülni, kiálta, mondván: Uram, tarts meg engem!
Matt.14.31 | Jézus pedig azonnal kinyújtván kezét, megragadá őt, és monda néki: Kicsinyhitű, miért kételkedél?
Matt.14.32 | És a mikor beléptek a hajóba, elállt a szél.
Matt.14.33 | A hajóban levők pedig hozzámenvén, leborulának előtte, mondván: Bizony, Isten Fia vagy!
Matt.14.34 | És általkelvén, eljutának Genezáret földére.
Matt.14.35 | És mikor megismerték őt annak a helynek lakosai, szétküldének abba az egész környékbe, és minden beteget hozzá hozának;
Matt.14.36 | És kérik vala őt, hogy csak az ő ruhájának peremét illethessék. És a kik illeték vala, mindnyájan meggyógyulának.

Matt.15.1 | Akkor írástudók és farizeusok jőnek vala Jézushoz, Jeruzsálemből, mondván:
Matt.15.2 | Miért hágják át a te tanítványaid a vének rendeléseit? Mert nem mossák meg a kezeiket, mikor enni akarnak.
Matt.15.3 | Ő pedig felelvén monda nékik: Ti meg miért hágjátok át az Isten parancsolatját a ti rendeléseitek által?
Matt.15.4 | Mert Isten parancsolta ezt, mondván: Tiszteld atyádat és anyádat, és: A ki atyját vagy anyját szidalmazza, halállal lakoljon.
Matt.15.5 | Ti pedig ezt mondjátok: A ki atyjának vagy anyjának ezt mondja: Templomi ajándék az, a mivel megsegíthetlek, az olyan akár ne is tisztelje az ő atyját vagy anyját.
Matt.15.6 | És erőtelenné tettétek az Isten parancsolatját a ti rendeléseitek által.
Matt.15.7 | Képmutatók, igazán prófétált felőletek Ésaiás, mondván:
Matt.15.8 | Ez a nép szájával közelget hozzám, és ajkával tisztel engemet; szíve pedig távol van tőlem.
Matt.15.9 | Pedig hiába tisztelnek engem, ha oly tudományokat tanítanak, a melyek embereknek parancsolatai.
Matt.15.10 | És előszólítván a sokaságot, monda nékik: Halljátok és értsétek meg:
Matt.15.11 | Nem az fertőzteti meg az embert, a mi a szájon bemegy, hanem a mi kijön a szájból, az fertőzteti meg az embert.
Matt.15.12 | Akkor hozzájárulván az ő tanítványai, mondának néki: Tudod-é, hogy a farizeusok e beszédet hallván, megbotránkoztak?
Matt.15.13 | Ő pedig felelvén, monda: Minden plánta, a melyet nem az én mennyei Atyám plántált, kitépetik.
Matt.15.14 | Hagyjátok őket; vakoknak vak vezetői ők: ha pedig vak vezeti a vakot, mind a ketten a verembe esnek.
Matt.15.15 | Péter pedig felelvén, monda néki: Magyarázd meg nékünk ezt a példázatot.
Matt.15.16 | Jézus pedig monda: Ti is értelem nélkül vagytok-é még?
Matt.15.17 | Mégsem értitek-é, hogy minden, a mi a szájon bemegy, a gyomorba jut, és az árnyékszékbe vettetik?
Matt.15.18 | A mik pedig a szájból jőnek ki, a szívből származnak, és azok fertőztetik meg az embert.
Matt.15.19 | Mert a szívből származnak a gonosz gondolatok, gyilkosságok, házasságtörések, paráznaságok, lopások, hamis tanubizonyságok, káromlások.
Matt.15.20 | Ezek fertőztetik meg az embert; de a mosdatlan kézzel való evés nem fertőzteti meg az embert.
Matt.15.21 | És elmenvén onnét Jézus, Tirus és Sidon vidékeire tére.
Matt.15.22 | És ímé egy kananeus asszony jövén ki abból a tartományból, kiált vala néki: Uram, Dávidnak fia, könyörülj rajtam! az én leányom az ördögtől gonoszul gyötörtetik.
Matt.15.23 | Ő pedig egy szót sem felele néki. És az ő tanítványai hozzá menvén, kérik vala őt, mondván: Bocsásd el őt, mert utánunk kiált.
Matt.15.24 | Ő pedig felelvén, monda: Nem küldettem, csak az Izráel házának elveszett juhaihoz.
Matt.15.25 | Az asszony pedig odaérvén, leborula előtte, mondván: Uram, légy segítségül nékem!
Matt.15.26 | Ő pedig felelvén, monda: Nem jó a fiak kenyerét elvenni, és az ebeknek vetni.
Matt.15.27 | Az pedig monda: Úgy van, Uram; de hiszen az ebek is esznek a morzsalékokból, a mik az ő uroknak asztaláról aláhullanak.
Matt.15.28 | Ekkor felelvén Jézus, monda néki: Óh asszony, nagy a te hited! Legyen néked a te akaratod szerint. És meggyógyula az ő leánya attól a pillanattól fogva.
Matt.15.29 | És onnét távozva, méne Jézus a Galilea tengere mellé; és felmenvén a hegyre, ott leüle.
Matt.15.30 | És nagy sokaság megy vala hozzá, vivén magokkal sántákat, vakokat, némákat, csonkákat és sok egyebeket, és odahelyezék őket a Jézus lábai elé; és meggyógyítá őket,
Matt.15.31 | Úgy hogy a sokaság álmélkodik vala, látván, hogy a némák beszélnek, a csonkák megépülnek, a sánták járnak, a vakok látnak: és dicsőíték Izráel Istenét.
Matt.15.32 | Jézus pedig előszólítván az ő tanítványait, monda: Szánakozom e sokaságon, mert három napja immár, hogy velem vannak, és nincs mit enniök. Éhen pedig nem akarom őket elbocsátani, hogy valamiképen ki ne dőljenek az úton.
Matt.15.33 | És mondának néki az ő tanítványai: Honnét volna e pusztában annyi kenyerünk, hogy megelégítsünk ily nagy sokaságot?
Matt.15.34 | És monda nékik Jézus: Hány kenyeretek van? Ők pedig mondának: Hét, és néhány halunk.
Matt.15.35 | És parancsolá a sokaságnak, hogy telepedjenek le a földön.
Matt.15.36 | És vevén a hét kenyeret és a halakat, és hálákat adván, megtöré, és adá az ő tanítványainak, a tanítványok pedig a sokaságnak.
Matt.15.37 | És mindnyájan evének, és megelégedének; és fölszedék a maradék darabokat hét teli kosárral.
Matt.15.38 | A kik pedig ettek vala, négyezeren valának férfiak, asszonyokon és gyermekeken kívül.
Matt.15.39 | És elbocsátván a sokaságot, beszálla a hajóba, és elméne Magdala határaiba.

Matt.16.1 | És hozzá menvén a farizeusok és sadduczeusok, kisértvén, kérék őt, hogy mutasson nékik mennyei jelt.
Matt.16.2 | Ő pedig felelvén, monda nékik: Mikor estveledik, azt mondjátok: Szép idő lesz; mert veres az ég.
Matt.16.3 | Reggel pedig: Ma zivatar lesz; mert az ég borús és veres. Képmutatók, az ég ábrázatját meg tudjátok ítélni, az idők jeleit pedig nem tudjátok?
Matt.16.4 | E gonosz és parázna nemzetség jelt kíván; és nem adatik néki jel, hanemha a Jónás prófétának jele. És ott hagyván őket, elméne.
Matt.16.5 | És az ő tanítványai a tulsó partra menvén, elfelejtettek kenyeret vinni magukkal.
Matt.16.6 | Jézus pedig monda nékik: Vigyázzatok és őrizkedjetek a farizeusok és sadduczeusok kovászától.
Matt.16.7 | Ők pedig tanakodnak vala maguk között, mondván: Nem hoztunk kenyeret magunkkal.
Matt.16.8 | Jézus pedig megértvén ezt, monda nékik: Mit tanakodtok magatok között óh kicsinyhitűek, hogy kenyeret nem hoztatok magatokkal?!
Matt.16.9 | Mégsem értitek-é, nem is emlékeztek-é az ötezernek öt kenyerére, és hogy hány kosárt töltöttetek meg?
Matt.16.10 | Sem a négyezernek hét kenyerére, és hogy hány kosárt töltöttetek meg?
Matt.16.11 | Hogyan nem értitek, hogy nem kenyérről mondtam néktek, hogy őrizkedjetek a farizeusok és sadduczeusok kovászától!?
Matt.16.12 | Ekkor értették meg, hogy nem arról szólott, hogy a kenyér kovászától, hanem hogy a farizeusok és sadduczeusok tudományától őrizkedjenek.
Matt.16.13 | Mikor pedig Jézus Czézárea Filippi környékére méne, megkérdé tanítványait, mondván: Engemet, embernek Fiát, kinek mondanak az emberek?
Matt.16.14 | Ők pedig mondának: Némelyek Keresztelő Jánosnak, mások Illésnek; némelyek pedig Jeremiásnak, vagy egynek a próféták közül.
Matt.16.15 | Monda nékik: Ti pedig kinek mondotok engem?
Matt.16.16 | Simon Péter pedig felelvén, monda: Te vagy a Krisztus, az élő Istennek Fia.
Matt.16.17 | És felelvén Jézus, monda néki: Boldog vagy Simon, Jónának fia, mert nem test és vér jelentette ezt meg néked, hanem az én mennyei Atyám.
Matt.16.18 | De én is mondom néked, hogy te Péter vagy, és ezen a kősziklán építem fel az én anyaszentegyházamat, és a pokol kapui sem vesznek rajta diadalmat.
Matt.16.19 | És néked adom a mennyek országának kulcsait; és a mit megkötsz a földön, a mennyekben is kötve lészen; és a mit megoldasz a földön, a mennyekben is oldva lészen.
Matt.16.20 | Akkor megparancsolá tanítványainak, hogy senkinek se mondják, hogy ő a Jézus Krisztus.
Matt.16.21 | Ettől fogva kezdé Jézus jelenteni az ő tanítványainak, hogy néki Jeruzsálembe kell menni, és sokat szenvedni a vénektől és a főpapoktól és az írástudóktól, és megöletni, és harmadnapon föltámadni.
Matt.16.22 | És Péter előfogván őt, kezdé feddeni, mondván: Mentsen Isten, Uram! Nem eshetik ez meg te véled.
Matt.16.23 | Ő pedig megfordulván, monda Péternek: Távozz tőlem Sátán; bántásomra vagy nékem; mert nem gondolsz az Isten dolgaira, hanem az emberi dolgokra.
Matt.16.24 | Ekkor monda Jézus az ő tanítványainak: Ha valaki jőni akar én utánam, tagadja meg magát és vegye fel az ő keresztjét, és kövessen engem.
Matt.16.25 | Mert a ki meg akarja tartani az ő életét, elveszti azt; a ki pedig elveszti az ő életét én érettem, megtalálja azt.
Matt.16.26 | Mert mit használ az embernek, ha az egész világot megnyeri is, de az ő lelkében kárt vall? Avagy micsoda váltságot adhat az ember az ő lelkéért?
Matt.16.27 | Mert az embernek Fia eljő az ő Atyjának dicsőségében, az ő angyalaival; és akkor megfizet mindenkinek az ő cselekedete szerint.
Matt.16.28 | Bizony mondom néktek: Azok között, a kik itt állanak, vannak némelyek, a kik nem kóstolják meg a halált, a míg meg nem látják az embernek Fiát eljőni az ő országában.

Matt.17.1 | És hat nap mulva magához vevé Jézus Pétert, Jakabot és ennek testvérét Jánost, és felvivé őket magokban egy magas hegyre.
Matt.17.2 | És elváltozék előttök, és az ő orczája ragyog vala, mint a nap, ruhája pedig fehér lőn, mint a fényesség.
Matt.17.3 | És ímé megjelenék ő nékik Mózes és Illés, a kik beszélnek vala ő vele.
Matt.17.4 | Péter pedig megszólalván, monda Jézusnak: Uram, jó nékünk itt lennünk. Ha akarod, építsünk itt három hajlékot, néked egyet, Mózesnek is egyet, Illésnek is egyet.
Matt.17.5 | Mikor ő még beszél vala, ímé, fényes felhő borítá be őket; és ímé szózat lőn a felhőből, mondván: Ez az én szerelmes Fiam, a kiben én gyönyörködöm: őt hallgassátok.
Matt.17.6 | És a tanítványok a mint ezt hallák, arczra esének és igen megrémülének.
Matt.17.7 | Jézus pedig hozzájok menvén, illeté őket, és monda: Keljetek fel és ne féljetek!
Matt.17.8 | Mikor pedig szemeiket fölemelék, senkit sem látának, hanem csak Jézust egyedül.
Matt.17.9 | És mikor a hegyről alájövének, megparancsolá nékik Jézus, mondván: Senkinek se mondjátok el a mit láttatok, míg fel nem támadt az embernek Fia a halálból.
Matt.17.10 | És megkérdezék őt az ő tanítványai, mondván: Miért mondják tehát az írástudók, hogy előbb Illésnek kell eljőnie?
Matt.17.11 | Jézus pedig felelvén, monda nékik: Illés bizony eljő előbb, és mindent helyreállít;
Matt.17.12 | De mondom néktek, hogy Illés immár eljött, és nem ismerék meg őt, hanem azt mívelék vele, a mit akarának. Ezenképen az ember Fiának is szenvednie kell majd ő tőlük.
Matt.17.13 | Ekkor megértették a tanítványok, hogy Keresztelő Jánosról szóla nékik.
Matt.17.14 | És mikor a sokasághoz értek, egy ember jöve hozzá, térdre esvén ő előtte,
Matt.17.15 | És mondván: Uram, könyörülj az én fiamon, mert holdkóros és kegyetlenül szenved; mivelhogy gyakorta esik a tűzbe, és gyakorta a vízbe.
Matt.17.16 | És elvittem őt a te tanítványaidhoz, és nem tudták őt meggyógyítani.
Matt.17.17 | Jézus pedig felelvén, monda: Óh hitetlen és elfajult nemzetség! vajjon meddig leszek veletek? vajjon meddig szenvedlek titeket? Hozzátok őt ide nékem.
Matt.17.18 | És megdorgálá őt Jézus, és kiméne belőle az ördög; és meggyógyula a gyermek azon órától fogva.
Matt.17.19 | Ekkor a tanítványok magukban Jézushoz menvén, mondának néki: Mi miért nem tudtuk azt kiűzni?
Matt.17.20 | Jézus pedig monda nékik: A ti hitetlenségetek miatt. Mert bizony mondom néktek: Ha akkora hitetek volna, mint a mustármag, azt mondanátok ennek a hegynek: Menj innen amoda, és elmenne; és semmi sem volna lehetetlen néktek.
Matt.17.21 | Ez a fajzat pedig ki nem megy, hanemha könyörgés és bőjtölés által.
Matt.17.22 | Mikor pedig Galileában jártak vala, monda nékik Jézus: Az ember Fia emberek kezébe adatik;
Matt.17.23 | És megölik őt, de harmadnapon föltámad. És felettébb megszomorodának.
Matt.17.24 | Mikor pedig eljutottak vala Kapernaumba, a kétdrakma-szedők Péterhez menének és mondának néki: A ti mesteretek nem fizeti-é a kétdrakmát?
Matt.17.25 | Monda: Igen. És mikor beméne a házba, megelőzé őt Jézus, mondván: Mit gondolsz Simon? A föld királyai kiktől szednek vámot vagy adót? a fiaiktól-é, vagy az idegenektől?
Matt.17.26 | Monda néki Péter: Az idegenektől. Monda néki Jézus: Tehát a fiak szabadok.
Matt.17.27 | De hogy őket meg ne botránkoztassuk, menj a tengerre, vesd be a horgot, és vond ki az első halat, a mely rá akad: és felnyitván a száját, egy státert találsz benne: azt kivévén, add oda nékik én érettem és te éretted.

Matt.18.1 | Abban az órában menének a tanítványok Jézushoz, mondván: Vajjon ki nagyobb a mennyeknek országában?
Matt.18.2 | És előhíván Jézus egy kis gyermeket, közéjök állítja vala azt,
Matt.18.3 | És monda: Bizony mondom néktek, ha meg nem tértek és olyanok nem lesztek mint a kis gyermekek, semmiképen nem mentek be a mennyeknek országába.
Matt.18.4 | A ki azért megalázza magát, mint ez a kis gyermek, az a nagyobb a mennyeknek országában.
Matt.18.5 | És a ki egy ilyen kis gyermeket befogad az én nevemben, engem fogad be.
Matt.18.6 | A ki pedig megbotránkoztat egyet e kicsinyek közül, a kik én bennem hisznek, jobb annak, hogy malomkövet kössenek a nyakára, és a tenger mélységébe vessék.
Matt.18.7 | Jaj a világnak a botránkozások miatt! Mert szükség, hogy botránkozások essenek; de jaj annak az embernek, a ki által a botránkozás esik.
Matt.18.8 | Ha pedig a te kezed vagy a te lábad megbotránkoztat téged, vágd le azokat és vesd el magadtól; jobb néked az életre sántán vagy csonkán bemenned, hogynem két kézzel vagy két lábbal vettetned az örök tűzre.
Matt.18.9 | És ha a te szemed botránkoztat meg téged, vájd ki azt és vesd el magadtól; jobb néked félszemmel bemenned az életre, hogynem két szemmel vettetned a gyehenna tüzére.
Matt.18.10 | Meglássátok, hogy eme kicsinyek közül egyet is meg ne utáljatok; mert mondom néktek, hogy az ő angyalaik a mennyekben mindenkor látják az én mennyei Atyám orczáját.
Matt.18.11 | Mert az embernek Fia azért jött, hogy megtartsa, a mi elveszett vala.
Matt.18.12 | Mit gondoltok? Ha valamely embernek száz juha van, és egy azok közül eltévelyedik: vajjon a kilenczvenkilenczet nem hagyja-é ott, és a hegyekre menvén, nem keresi-é azt, a melyik eltévelyedett?
Matt.18.13 | És ha történetesen megtalálja azt, bizony mondom néktek, inkább örvend azon, mint a kilenczvenkilenczen, a mely el nem tévelyedett.
Matt.18.14 | Ekképen a ti mennyei Atyátok sem akarja, hogy egy is elveszszen e kicsinyek közül.
Matt.18.15 | Ha pedig a te atyádfia vétkezik ellened, menj el és dorgáld meg őt négy szem között: ha hallgat rád, megnyerted a te atyádfiát;
Matt.18.16 | Ha pedig nem hallgat rád, végy magad mellé még egyet vagy kettőt, hogy két vagy három tanú vallomásával erősíttessék minden szó.
Matt.18.17 | Ha azokra nem hallgat, mondd meg a gyülekezetnek; ha a gyülekezetre sem hallgat, legyen előtted olyan, mint a pogány és a vámszedő.
Matt.18.18 | Bizony mondom néktek: A mit megköttök a földön, a mennyben is kötve lészen; és a mit megoldotok a földön, a mennyben is oldva lészen.
Matt.18.19 | Ismét, mondom néktek, hogy ha ketten közületek egy akaraton lesznek a földön minden dolog felől, a mit csak kérnek, megadja nékik az én mennyei Atyám.
Matt.18.20 | Mert a hol ketten vagy hárman egybegyűlnek az én nevemben, ott vagyok közöttük.
Matt.18.21 | Ekkor hozzámenvén Péter, monda: Uram, hányszor lehet az én atyámfiának ellenem vétkezni, és néki megbocsátanom? még hétszer is?
Matt.18.22 | Monda néki Jézus: Nem mondom néked, hogy még hétszer is, hanem még hetvenhétszer is.
Matt.18.23 | Annakokáért hasonlatos a mennyeknek országa a királyhoz, a ki számot akar vala vetni az ő szolgáival.
Matt.18.24 | Mikor pedig számot kezde vetni, hozának eléje egyet, a ki tízezer tálentommal vala adós.
Matt.18.25 | Nem tudván pedig fizetni, parancsolá annak ura, hogy adják el azt, és a feleségét és gyermekeit, és mindenét, a mije vala, és fizessenek.
Matt.18.26 | Leborulván azért a szolga előtte, könyörög vala néki, mondván: Uram, légy türelemmel hozzám, és mindent megfizetek néked.
Matt.18.27 | Az úr pedig megszánván azt a szolgát, elbocsátá őt, és az adósságot is elengedé néki.
Matt.18.28 | Kimenvén pedig az a szolga, találkozék egygyel az ő szolgatársai közül, a ki száz dénárral vala néki adós; és megragadván azt, fojtogatja vala, mondván: Fizesd meg nékem, a mivel tartozol.
Matt.18.29 | Leborulván azért az ő szolgatársa az ő lábai elé, könyörög vala néki, mondván: Légy türelemmel hozzám, és mindent megfizetek néked.
Matt.18.30 | De ő nem akará; hanem elmenvén, börtönbe veté őt, mígnem megfizeti, a mivel tartozik.
Matt.18.31 | Látván pedig az ő szolgatársai, a mik történtek vala, felettébb megszomorodának; és elmenvén, mindent megjelentének az ő uroknak, a mik történtek vala.
Matt.18.32 | Akkor előhivatván őt az ő ura, monda néki: Gonosz szolga, minden adósságodat elengedtem néked, mivelhogy könyörögtél nékem:
Matt.18.33 | Nem kellett volna-é néked is könyörülnöd a te szolgatársadon, a miképen én is könyörültem te rajtad?
Matt.18.34 | És megharagudván az ő ura, átadta őt a hóhérok kezébe, mígnem megfizeti mind, a mivel tartozik.
Matt.18.35 | Ekképen cselekszik az én mennyei Atyám is veletek, ha szivetekből meg nem bocsátjátok, kiki az ő atyjafiának, az ő vétkeiket.

Matt.19.1 | És lőn, mikor elvégezte Jézus e beszédeket, elméne Galileából, és méne Júdeának határaiba a Jordánon túl;
Matt.19.2 | És követé őt nagy sokaság, és meggyógyítá ott őket.
Matt.19.3 | És hozzá menének a farizeusok, kisértvén őt és mondván: Szabad-é az embernek az ő feleségét akármi okért elbocsátani?
Matt.19.4 | Ő pedig felelvén, monda: Nem olvastátok-é, hogy a teremtő kezdettől fogva férfiúvá és asszonynyá teremté őket,
Matt.19.5 | És ezt mondá: Annak okáért elhagyja a férfiú atyját és anyját; és ragaszkodik feleségéhez, és lesznek ketten egy testté.
Matt.19.6 | Úgy hogy többé nem kettő, hanem egy test. A mit azért az Isten egybeszerkesztett, ember el ne válaszsza.
Matt.19.7 | Mondának néki: Miért rendelte tehát Mózes, hogy válólevelet kell adni, és úgy bocsátani el az asszonyt?
Matt.19.8 | Monda nékik: Mózes a ti szívetek keménysége miatt engedte volt meg néktek, hogy feleségeiteket elbocsássátok; de kezdettől fogva nem így volt.
Matt.19.9 | Mondom pedig néktek, hogy a ki elbocsátja feleségét, hanemha paráznaság miatt, és mást vesz el, házasságtörő; és a ki elbocsátottat vesz el, az is házasságtörő.
Matt.19.10 | Mondának néki tanítványai: Ha így van a férfi dolga az asszonynyal, nem jó megházasodni.
Matt.19.11 | Ő pedig monda nékik: Nem mindenki veszi be ezt a beszédet, hanem a kinek adatott.
Matt.19.12 | Mert vannak heréltek, a kik anyjuk méhéből születtek így; és vannak heréltek, a kiket az emberek heréltek ki; és vannak heréltek, a kik maguk herélték ki magukat a mennyeknek országáért. A ki beveheti, vegye be.
Matt.19.13 | Ekkor kis gyermekeket hozának hozzá, hogy kezeit vesse azokra, és imádkozzék; a tanítványok pedig dorgálják vala azokat.
Matt.19.14 | Jézus pedig monda: Hagyjatok békét e kis gyermekeknek, és ne tiltsátok meg nekik, hogy hozzám jőjjenek; mert ilyeneké a mennyeknek országa.
Matt.19.15 | És kezeit reájuk vetvén, eltávozék onnét.
