1Cor.1.1 | Pál, Jézus Krisztusnak Isten akaratából elhívott apostola, és Sosthenes, az atyafi.
1Cor.16.7 | Mert nem akarlak titeket épen csak átmenet közben látni, de reménylem, hogy valami ideig nálatok maradok, ha az Úr engedi.
1Cor.16.8 | Efézusban pedig pünkösdig maradok.
1Cor.16.9 | Mert nagy kapu nyílott meg előttem és hasznos, az ellenség is sok.
1Cor.16.10 | Hogyha pedig megérkezik Timótheus, meglássátok, hogy bátorságos maradása legyen nálatok; mert az Úrnak dolgát cselekszi, mint én is.
1Cor.16.11 | Senki azért őt meg ne vesse: hanem bocsássátok el őt békességgel, hogy hozzám jöhessen; mert várom őt az atyafiakkal együtt.
1Cor.16.12 | A mi pedig Apollós atyafit illeti, igen kértem őt, hogy menjen el hozzátok az atyafiakkal együtt: de semmiképpen sem volt kedve, hogy most elmenjen; de majd elmegy, mihelyt jó alkalmatossága lészen.
1Cor.16.13 | Vigyázzatok, álljatok meg a hitben, legyetek férfiak, legyetek erősek!
1Cor.16.14 | Minden dolgotok szeretetben menjen végbe!
1Cor.16.15 | Intelek pedig titeket, atyámfiai, [hiszen] tudjátok, hogy Stefanásnak háznépe Akhája zsengéje, és ők a szenteknek való szolgálatra adták magukat.
1Cor.16.16 | Hogy ti is engedelmeskedjetek az ilyeneknek, és mindenkinek, a ki velök szolgál és fárad.
1Cor.16.17 | Örvendezek pedig a Stefanás, Fortunátus és Akhaikus eljövetelének; mert a bennetek való fogyatkozást ezek betöltötték.
1Cor.16.18 | Mert megnyugtatták az én lelkemet és a tiéteket is. Megbecsüljétek azért az ilyeneket.
1Cor.16.19 | Köszöntenek titeket Ázsia gyülekezetei; köszöntenek titeket az Úrban felette igen Akvila és Prisczilla, a házuknál levő gyülekezettel egybe.
1Cor.16.20 | Köszöntenek titeket az atyafiak mindnyájan. Köszöntsétek egymást szent csókkal.
1Cor.16.21 | A köszöntés a saját kezemmel, a Páléval.
1Cor.16.22 | Ha valaki nem szereti az Úr Jézus Krisztust, legyen átkozott! Maran atha.
1Cor.16.23 | Az Úr Jézus Krisztusnak kegyelme veletek!
1Cor.16.24 | Az én szeretetem mindnyájatokkal a Jézus Krisztusban! Ámen.
